# Date, Value
1960-01,0.301
1960-02,0.301
1960-03,0.301
1960-04,0.301
1960-05,0.301
1960-06,0.301
1960-07,0.301
1960-08,0.301
1960-09,0.301
1960-10,0.301
1960-11,0.301
1960-12,0.301
1961-01,0.301
1961-02,0.301
1961-03,0.301
1961-04,0.301
1961-05,0.301
1961-06,0.301
1961-07,0.301
1961-08,0.301
1961-09,0.301
1961-10,0.301
1961-11,0.301
1961-12,0.301
1962-01,0.301
1962-02,0.301
1962-03,0.301
1962-04,0.301
1962-05,0.301
1962-06,0.301
1962-07,0.301
1962-08,0.301
1962-09,0.301
1962-10,0.301
1962-11,0.301
1962-12,0.301
1963-01,0.301
1963-02,0.301
1963-03,0.301
1963-04,0.301
1963-05,0.301
1963-06,0.301
1963-07,0.301
1963-08,0.301
1963-09,0.301
1963-10,0.301
1963-11,0.301
1963-12,0.301
1964-01,0.301
1964-02,0.301
1964-03,0.301
1964-04,0.301
1964-05,0.301
1964-06,0.301
1964-07,0.301
1964-08,0.301
1964-09,0.301
1964-10,0.301
1964-11,0.301
1964-12,0.301
1965-01,0.304
1965-02,0.301
1965-03,0.305
1965-04,0.309
1965-05,0.301
1965-06,0.301
1965-07,0.309
1965-08,0.305
1965-09,0.300
1965-10,0.305
1965-11,0.300
1965-12,0.300
1966-01,0.304
1966-02,0.294
1966-03,0.295
1966-04,0.300
1966-05,0.298
1966-06,0.305
1966-07,0.299
1966-08,0.297
1966-09,0.310
1966-10,0.303
1966-11,0.305
1966-12,0.298
1967-01,0.302
1967-02,0.306
1967-03,0.300
1967-04,0.308
1967-05,0.303
1967-06,0.305
1967-07,0.304
1967-08,0.316
1967-09,0.308
1967-10,0.304
1967-11,0.313
1967-12,0.304
1968-01,0.311
1968-02,0.302
1968-03,0.305
1968-04,0.313
1968-05,0.316
1968-06,0.314
1968-07,0.314
1968-08,0.314
1968-09,0.309
1968-10,0.314
1968-11,0.316
1968-12,0.324
1969-01,0.322
1969-02,0.313
1969-03,0.324
1969-04,0.322
1969-05,0.322
1969-06,0.329
1969-07,0.332
1969-08,0.333
1969-09,0.327
1969-10,0.331
1969-11,0.335
1969-12,0.340
1970-01,0.335
1970-02,0.338
1970-03,0.335
1970-04,0.337
1970-05,0.348
1970-06,0.352
1970-07,0.348
1970-08,0.355
1970-09,0.354
1970-10,0.351
1970-11,0.358
1970-12,0.366
1971-01,0.361
1971-02,0.371
1971-03,0.354
1971-04,0.372
1971-05,0.371
1971-06,0.372
1971-07,0.376
1971-08,0.369
1971-09,0.380
1971-10,0.385
1971-11,0.392
1971-12,0.386
1972-01,0.387
1972-02,0.391
1972-03,0.400
1972-04,0.400
1972-05,0.399
1972-06,0.406
1972-07,0.407
1972-08,0.413
1972-09,0.408
1972-10,0.412
1972-11,0.414
1972-12,0.412
1973-01,0.422
1973-02,0.424
1973-03,0.425
1973-04,0.427
1973-05,0.423
1973-06,0.430
1973-07,0.432
1973-08,0.432
1973-09,0.437
1973-10,0.441
1973-11,0.449
1973-12,0.443
1974-01,0.445
1974-02,0.445
1974-03,0.438
1974-04,0.447
1974-05,0.449
1974-06,0.460
1974-07,0.449
1974-08,0.452
1974-09,0.451
1974-10,0.446
1974-11,0.457
1974-12,0.455
1975-01,0.456
1975-02,0.448
1975-03,0.458
1975-04,0.445
1975-05,0.454
1975-06,0.461
1975-07,0.446
1975-08,0.447
1975-09,0.449
1975-10,0.445
1975-11,0.439
1975-12,0.445
1976-01,0.439
1976-02,0.445
1976-03,0.437
1976-04,0.447
1976-05,0.434
1976-06,0.435
1976-07,0.438
1976-08,0.427
1976-09,0.431
1976-10,0.434
1976-11,0.419
1976-12,0.425
1977-01,0.423
1977-02,0.423
1977-03,0.412
1977-04,0.409
1977-05,0.415
1977-06,0.412
1977-07,0.409
1977-08,0.407
1977-09,0.400
1977-10,0.402
1977-11,0.400
1977-12,0.393
1978-01,0.402
1978-02,0.394
1978-03,0.384
1978-04,0.390
1978-05,0.380
1978-06,0.386
1978-07,0.385
1978-08,0.374
1978-09,0.380
1978-10,0.375
1978-11,0.375
1978-12,0.378
1979-01,0.366
1979-02,0.362
1979-03,0.359
1979-04,0.358
1979-05,0.360
1979-06,0.360
1979-07,0.358
1979-08,0.359
1979-09,0.354
1979-10,0.359
1979-11,0.349
1979-12,0.362
1980-01,0.351
1980-02,0.343
1980-03,0.341
1980-04,0.347
1980-05,0.343
1980-06,0.346
1980-07,0.344
1980-08,0.341
1980-09,0.337
1980-10,0.333
