Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,13.2,11.6,2.9075,3.7005,20.4431,20.9016,12:11:49.216
2,12.7,12.0,2.9736,3.1718,20.311,20.2768,12:11:50.165
3,12.9,10.9,3.7005,3.2379,20.353,20.4632,12:11:50.936
4,12.7,11.3,3.7005,2.9075,20.213,20.4721,12:11:51.707
5,12.7,11.3,2.9736,3.7666,20.4859,20.1927,12:11:52.468
6,13.2,11.6,4.3613,4.2952,20.3116,20.3887,12:11:53.224
7,13.2,11.3,4.4934,4.7578,20.5947,20.5566,12:11:53.987
8,12.9,10.9,3.5022,2.6432,20.4017,20.3253,12:11:54.743
9,12.7,11.6,3.7666,3.9648,20.4239,20.4312,12:11:55.515
10,13.2,11.6,4.097,4.0309,20.3969,20.4794,12:11:56.256
11,12.9,11.3,4.097,3.7005,20.3629,20.768,12:11:57.051
12,12.9,11.8,2.9075,3.5683,20.4985,20.8903,12:11:57.844
13,13.2,10.9,3.6344,3.1058,20.4084,20.374,12:11:58.622
14,12.7,11.6,4.2952,4.4274,20.3767,20.5171,12:11:59.411
15,13.2,11.6,4.2952,4.097,20.0865,20.1392,12:12:00.184
16,13.2,11.3,3.6344,3.5022,20.8727,21.2506,12:12:00.942
17,13.2,11.3,3.1718,3.6344,20.5062,20.3516,12:12:01.719
18,13.2,12.0,3.4362,5.4186,19.9476,20.2234,12:12:02.474
19,12.9,11.6,4.4274,4.2952,20.6276,20.475,12:12:03.246
20,12.9,12.3,3.2379,3.7666,20.4735,20.5306,12:12:03.988
21,13.6,11.3,3.1058,4.0309,20.3201,20.3862,12:12:04.796
22,13.2,11.1,4.097,2.9075,20.3968,20.3406,12:12:05.561
23,13.2,11.8,3.7005,2.6432,20.4274,20.4098,12:12:06.337
24,12.7,11.1,5.4846,3.0397,20.2765,20.5681,12:12:07.098
25,13.4,11.6,5.2203,2.8414,20.3448,20.5744,12:12:07.920
26,12.9,11.8,4.4274,3.5022,21.0766,20.4939,12:12:08.700
27,12.7,10.9,3.9648,3.5022,20.315,20.4512,12:12:09.461
28,12.9,11.3,5.3525,5.5507,20.2143,20.2454,12:12:10.207
29,12.9,11.3,4.3613,3.7005,20.2798,20.4692,12:12:10.971
30,13.6,11.6,3.5683,3.1718,20.3683,20.1891,12:12:11.735
31,13.6,11.1,3.8987,3.8987,20.2021,20.4461,12:12:12.511
32,12.7,10.9,3.8326,4.2291,20.5016,20.3588,12:12:13.285
33,12.9,11.6,3.6344,3.304,20.3681,20.3278,12:12:14.032
34,13.2,11.1,2.9736,3.5022,20.6701,20.8524,12:12:14.790
35,12.9,11.3,4.3613,3.6344,20.1983,20.3471,12:12:15.549
36,13.2,11.3,4.4934,3.8987,20.32,20.5955,12:12:16.310
37,12.9,11.6,3.304,4.956,20.472,20.8694,12:12:17.086
38,13.2,11.1,3.1058,3.304,20.3016,20.4101,12:12:17.848
39,12.7,11.8,2.9736,3.6344,20.6204,20.28,12:12:18.611
40,12.7,11.8,4.5595,3.3701,20.3364,20.5158,12:12:19.387
41,13.2,11.1,3.7005,4.0309,20.3535,20.3132,12:12:20.148
42,13.2,11.3,3.8326,2.511,20.7716,20.4224,12:12:20.905
43,12.9,11.8,3.6344,3.3701,20.676,20.0579,12:12:21.667
44,12.7,11.1,3.304,3.5022,20.4717,20.4168,12:12:22.428
45,12.5,11.3,4.163,3.304,20.3872,20.3808,12:12:23.192
46,12.7,10.4,3.5683,4.163,20.4227,20.7415,12:12:23.948
47,12.9,11.6,3.6344,3.2379,20.6506,20.2903,12:12:24.709
48,13.2,12.3,3.6344,4.163,20.2491,20.3298,12:12:25.467
49,12.9,10.9,3.1058,3.5683,20.5064,20.3153,12:12:26.230
50,12.7,11.3,4.8899,3.1058,20.2444,20.4577,12:12:26.994
51,12.7,11.1,4.0309,4.0309,20.3463,20.2609,12:12:27.753
52,13.2,10.9,4.8238,3.3701,20.4669,20.2501,12:12:28.514
53,13.2,11.6,4.163,3.1058,20.4124,20.3404,12:12:29.294
54,13.2,11.6,3.3701,3.8987,20.3086,20.0524,12:12:30.069
55,12.9,11.3,4.3613,4.4934,20.567,20.2572,12:12:30.833
56,13.2,11.8,3.8326,3.7666,20.3352,20.0622,12:12:31.612
57,13.2,10.9,4.0309,3.1058,20.3533,20.3615,12:12:32.372
