Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,14.1,12.3,5.2203,5.6829,59.928,59.9509,12:16:26.039
2,14.3,12.3,5.6168,5.4846,59.9505,60.1525,12:16:27.006
3,14.3,12.7,5.1542,3.9648,60.4858,60.165,12:16:27.767
4,14.5,12.5,4.8238,4.6917,59.8345,60.6055,12:16:28.546
5,14.3,12.5,5.4846,4.4274,60.0463,59.9304,12:16:29.324
6,14.1,12.7,6.7402,5.8811,59.8552,59.9606,12:16:30.105
7,14.5,12.0,5.9472,5.4186,59.8093,60.4182,12:16:30.867
8,14.1,12.5,4.3613,6.6741,59.974,59.9128,12:16:31.645
9,14.5,12.7,5.1542,3.7666,60.1003,59.8531,12:16:32.404
10,14.1,12.9,6.7402,5.1542,59.6848,60.1883,12:16:33.162
11,14.5,12.9,4.956,3.7005,60.3266,59.9531,12:16:33.922
12,14.1,12.3,5.6829,4.2952,62.5775,59.6433,12:16:34.698
13,14.1,12.7,5.6829,5.0221,59.7714,59.5512,12:16:35.492
14,14.1,12.0,5.9472,5.815,59.7087,60.2761,12:16:36.249
15,14.1,12.0,5.749,4.956,59.9518,60.0061,12:16:37.012
16,14.5,12.5,6.1454,5.5507,59.9382,59.5699,12:16:37.800
17,14.5,12.0,5.4846,5.8811,59.9551,59.9319,12:16:38.594
18,14.3,12.3,5.4186,5.1542,59.3682,59.96,12:16:39.357
19,14.3,12.5,5.8811,5.4186,59.9645,59.9108,12:16:40.117
20,14.5,12.5,4.8899,4.2291,59.9588,60.3974,12:16:40.894
21,14.1,12.5,4.163,4.6256,59.6142,59.7496,12:16:41.654
22,14.5,12.7,4.7578,3.1718,59.7937,60.078,12:16:42.418
23,14.5,13.2,4.4274,4.0309,60.0385,60.2005,12:16:43.173
24,14.5,12.7,5.0221,5.4846,60.0298,59.8444,12:16:43.934
25,14.3,12.0,5.4186,4.3613,59.9988,59.796,12:16:44.692
26,14.3,12.7,6.0794,4.2952,59.9718,60.3576,12:16:45.483
27,14.1,12.7,5.749,5.2203,60.0076,60.0985,12:16:46.261
28,14.3,12.3,5.2203,4.097,60.0517,59.8205,12:16:47.025
29,14.1,12.9,5.0882,4.4274,59.9623,59.7561,12:16:47.803
30,14.3,12.7,4.5595,4.097,59.9399,60.0452,12:16:48.561
31,14.3,12.9,4.0309,4.2952,60.1292,59.9588,12:16:49.302
32,14.5,12.3,5.1542,5.3525,59.9279,60.1909,12:16:50.078
33,14.1,12.7,5.749,4.2952,60.2365,59.9651,12:16:50.887
34,14.1,12.5,4.4934,4.8899,59.7253,59.9583,12:16:51.648
35,14.3,12.0,4.163,4.0309,59.5543,60.1504,12:16:52.425
36,14.1,12.7,6.4098,4.0309,59.975,60.0459,12:16:53.183
37,14.5,12.3,5.6829,5.2864,59.649,60.0339,12:16:53.963
38,14.5,13.2,7.3349,5.0882,59.9253,59.7373,12:16:54.741
39,14.5,13.2,4.7578,4.0309,60.298,60.0248,12:16:55.516
40,14.3,13.2,5.2203,4.4934,60.2549,59.4318,12:16:56.277
41,14.5,12.7,5.2864,5.1542,59.9576,60.0759,12:16:57.057
42,14.1,12.9,6.608,5.3525,59.7162,60.4408,12:16:57.845
43,14.8,12.7,5.6829,5.4186,59.8616,59.9095,12:16:58.604
44,14.3,12.7,4.4274,3.6344,60.2077,60.3069,12:16:59.396
45,14.5,12.5,6.608,5.1542,60.0246,59.5187,12:17:00.183
46,14.1,12.7,5.5507,5.749,61.5575,59.9824,12:17:00.958
47,14.3,12.5,5.8811,4.5595,59.7714,59.8809,12:17:01.753
48,14.3,12.7,3.5683,3.8326,60.2009,60.6516,12:17:02.549
49,14.5,12.7,5.6168,4.7578,59.915,60.0369,12:17:03.329
50,14.5,12.5,5.4186,5.3525,59.9346,59.9233,12:17:04.088
51,14.5,12.3,5.815,4.8899,59.7148,60.0754,12:17:04.866
52,14.5,12.7,4.6917,4.8899,59.8981,59.7365,12:17:05.627
53,14.1,12.3,5.1542,3.7666,60.0877,60.034,12:17:06.391
54,14.3,12.5,5.9472,4.4274,59.7921,59.9554,12:17:07.155
55,14.1,12.3,4.4934,4.956,59.8937,59.5737,12:17:07.918
56,14.5,12.0,5.0882,4.956,60.3924,59.8234,12:17:08.680
57,14.1,12.7,4.3613,3.6344,59.7949,60.9091,12:17:09.504
58,14.5,12.3,4.5595,5.1542,60.1334,60.5718,12:17:10.294
59,14.3,12.7,5.5507,6.7402,59.8791,59.9437,12:17:11.053
