Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,17.5,14.3,8.3922,8.5243,60.1963,60.2114,11:23:54.271
2,17.7,14.1,9.053,8.7226,59.7487,60.0601,11:23:55.220
3,18.2,14.5,9.5155,8.3922,60.0458,59.7136,11:23:55.977
4,18.4,14.3,7.9296,9.5155,59.9736,59.6921,11:23:56.731
5,18.2,14.5,9.2512,6.4098,60.3044,60.4774,11:23:57.503
6,17.5,14.5,8.0618,8.1278,59.8778,60.1473,11:23:58.253
7,17.5,13.8,9.6477,7.7974,59.8224,59.8472,11:23:59.007
8,17.7,14.3,9.4494,7.0706,60.3252,59.5695,11:23:59.768
9,17.5,14.5,8.7886,5.3525,60.1564,60.5146,11:24:00.527
10,17.9,14.3,8.8547,7.3349,60.2866,59.8215,11:24:01.288
11,17.7,14.8,8.6565,6.8723,59.9403,60.2475,11:24:02.050
12,17.5,13.8,10.3085,7.5331,60.2906,60.4031,11:24:02.812
13,17.5,13.8,7.7314,7.7974,59.809,60.0075,11:24:03.598
14,17.9,13.8,9.119,6.8062,59.8008,59.4228,11:24:04.373
15,17.5,14.1,8.26,8.4582,59.7376,59.9796,11:24:05.133
16,17.9,14.5,8.8547,8.1278,59.7633,60.4576,11:24:05.894
17,17.7,14.3,5.8811,8.3261,59.6767,59.9663,11:24:06.642
18,17.7,14.5,8.6565,5.6829,59.8834,59.7926,11:24:07.421
19,17.9,14.1,8.1278,9.4494,59.8389,60.0509,11:24:08.195
20,17.3,14.5,9.6477,7.7314,59.0003,59.8686,11:24:08.952
21,17.7,14.3,8.0618,8.1939,60.0827,59.6742,11:24:09.712
22,17.5,14.5,8.7226,5.815,60.2454,60.0774,11:24:10.497
23,17.9,14.5,7.9957,8.7226,60.2018,60.1078,11:24:11.251
24,17.7,14.1,8.8547,7.9957,59.9731,60.0285,11:24:12.008
25,17.7,14.1,10.0442,7.6653,60.1979,59.671,11:24:12.766
26,17.9,14.5,7.8635,7.6653,59.6665,60.2457,11:24:13.571
27,17.9,14.5,9.2512,8.26,59.8417,59.8634,11:24:14.327
28,17.9,14.8,8.6565,8.1939,59.9977,59.8417,11:24:15.082
29,17.5,14.1,9.5816,9.2512,59.9704,59.9523,11:24:15.854
30,18.2,13.8,7.1366,8.5243,59.7754,59.9428,11:24:16.611
31,17.7,13.8,8.8547,7.6653,60.0439,60.2386,11:24:17.364
32,18.2,15.0,8.3922,7.5331,59.7345,59.7004,11:24:18.125
33,18.2,14.1,9.1851,7.467,60.0068,61.0802,11:24:18.880
34,18.2,14.1,6.3437,9.1851,59.4012,60.0294,11:24:19.636
35,17.7,14.1,7.9296,7.467,59.9053,59.8518,11:24:20.389
36,17.9,14.8,7.5331,7.1366,59.9019,59.8631,11:24:21.159
37,17.5,14.5,9.2512,7.467,59.8709,60.3266,11:24:21.941
38,17.7,14.8,7.2688,8.6565,59.7656,59.8249,11:24:22.712
39,17.5,13.6,8.9869,5.9472,60.1138,60.1727,11:24:23.501
40,17.9,14.1,8.8547,7.7974,59.8742,59.6795,11:24:24.258
41,17.5,13.8,9.119,6.8062,59.7821,59.903,11:24:25.012
42,17.5,14.1,10.0442,7.8635,60.6921,59.3616,11:24:25.771
43,17.7,14.8,7.2027,6.2115,59.9396,59.8826,11:24:26.560
44,17.7,14.5,8.0618,8.3922,60.0974,59.9319,11:24:27.316
45,18.2,13.8,8.9208,9.1851,60.0295,60.2181,11:24:28.086
46,17.9,14.5,10.3746,8.3922,60.0275,60.3394,11:24:28.839
47,18.2,14.5,7.467,8.1278,59.5395,60.0217,11:24:29.610
48,17.7,14.3,8.5243,8.0618,59.9991,60.0849,11:24:30.369
49,18.2,14.1,7.7314,7.5992,59.6432,59.9419,11:24:31.138
50,18.2,14.8,8.7226,6.4758,59.7723,60.884,11:24:31.895
51,18.2,14.1,7.5331,8.0618,59.4358,59.8295,11:24:32.710
52,17.9,15.0,8.5904,6.2115,60.5928,60.1091,11:24:33.465
53,17.9,14.1,10.2424,8.3261,59.9458,60.3668,11:24:34.208
54,17.7,14.5,9.912,8.9208,59.7994,59.9443,11:24:34.967
55,17.9,15.0,8.1278,8.26,60.1799,59.2559,11:24:35.743
56,18.4,14.1,10.1763,5.0221,60.1119,60.055,11:24:36.515
57,17.7,14.3,7.9957,7.7314,60.5812,60.1002,11:24:37.279
58,17.5,14.1,6.9384,7.2027,59.892,60.0394,11:24:38.037
59,17.9,14.3,8.5904,8.6565,60.0321,60.7499,11:24:38.826
60,17.9,14.8,6.8723,8.4582,59.6509,60.1689,11:24:39.617
61,17.9,14.5,7.8635,6.1454,59.9013,60.27,11:24:40.394
62,17.5,14.8,7.9296,8.6565,60.0426,60.1457,11:24:41.175
63,18.2,14.8,9.1851,7.5992,59.9811,59.7157,11:24:41.953
64,17.5,14.5,7.9296,8.1278,59.972,59.6865,11:24:42.744
65,18.2,14.3,8.1278,4.8899,60.1069,59.965,11:24:43.517
66,17.9,15.0,8.5243,7.3349,60.1813,59.8258,11:24:44.264
67,17.9,14.5,7.8635,7.5992,59.8572,59.7095,11:24:45.026
68,17.7,14.3,9.5816,8.1278,60.4254,60.1454,11:24:45.816
69,17.9,14.1,6.5419,7.7974,59.8056,60.2967,11:24:46.595
70,17.5,14.5,8.0618,8.7886,59.8819,59.5063,11:24:47.362
71,18.2,15.2,7.6653,7.6653,59.8118,59.5492,11:24:48.121
72,18.2,14.3,8.8547,6.3437,59.7539,59.9192,11:24:48.926
73,18.2,14.5,6.0794,7.9296,59.7618,59.7904,11:24:49.692
74,18.2,15.0,8.1939,5.6168,59.3608,59.8683,11:24:50.438
75,18.2,14.1,8.9869,8.26,59.8855,59.5444,11:24:51.220
76,17.9,14.1,7.7974,7.7974,59.979,60.4456,11:24:52.007
77,17.5,14.5,7.8635,7.1366,60.4392,59.6408,11:24:52.772
78,18.2,14.8,7.5992,5.4846,59.9025,60.0537,11:24:53.550
79,17.5,14.1,8.1278,8.3922,60.2854,60.1564,11:24:54.308
80,17.9,14.3,9.5816,8.3261,59.6957,59.8619,11:24:55.086
81,18.2,14.1,8.7226,7.7314,60.0612,59.9184,11:24:55.851
82,17.5,15.0,6.6741,7.3349,59.7612,59.9184,11:24:56.622
83,18.2,14.8,7.5331,7.0045,60.14,60.0192,11:24:57.384
84,18.4,14.3,8.4582,7.3349,59.878,61.244,11:24:58.147
85,17.7,14.5,8.5904,7.0706,60.1492,59.7778,11:24:58.935
86,17.7,14.5,6.608,7.467,59.9235,59.3708,11:24:59.700
87,18.2,14.5,8.0618,6.4098,60.7914,59.9348,11:25:00.459
88,17.5,14.1,7.0706,8.1278,60.2137,60.0746,11:25:01.220
89,18.2,14.1,8.5243,7.3349,59.7867,59.6553,11:25:02.010
90,18.2,15.0,7.7314,7.2027,60.2908,59.5055,11:25:02.770
91,18.2,14.1,6.8062,5.749,60.5176,59.964,11:25:03.546
92,18.2,14.3,8.3922,7.3349,59.9192,59.834,11:25:04.306
93,17.9,15.0,8.4582,7.7314,60.1491,60.2553,11:25:05.093
94,17.7,14.1,8.3261,7.9957,59.7919,60.0314,11:25:05.856
95,17.7,15.2,6.4098,7.3349,59.6743,60.0153,11:25:06.615
96,18.2,13.8,7.401,6.4758,59.8726,60.0227,11:25:07.378
97,18.2,14.3,7.2027,7.5992,59.8045,59.9936,11:25:08.136
98,18.4,14.8,7.1366,7.0045,60.374,59.8932,11:25:08.901
99,17.9,14.1,5.1542,6.8062,59.59,59.9706,11:25:09.661
100,17.9,14.5,6.8723,4.956,60.4151,59.8065,11:25:10.437
101,18.2,13.8,8.6565,8.1278,59.8194,59.6963,11:25:11.200
102,17.9,14.8,8.3922,6.7402,60.0354,59.7,11:25:11.964
103,17.5,14.8,8.9208,6.6741,59.9372,59.3406,11:25:12.787
104,17.9,14.8,6.608,5.4846,60.3149,60.518,11:25:13.547
105,17.9,14.5,7.9957,8.7886,60.0513,60.0851,11:25:14.336
106,17.9,13.8,8.9208,7.5331,59.7119,59.9729,11:25:15.114
107,18.2,14.5,9.1851,6.5419,59.7082,59.7208,11:25:15.874
108,17.9,14.1,5.8811,7.2027,59.6801,60.0248,11:25:16.631
109,17.7,14.5,6.4758,5.0882,60.0977,60.5194,11:25:17.395
110,17.7,14.1,7.7974,6.7402,59.7444,60.1741,11:25:18.169
111,17.5,14.1,7.5331,7.8635,60.2078,60.165,11:25:18.934
112,17.7,15.0,6.0133,8.8547,59.7066,59.7878,11:25:19.696
113,18.2,14.3,7.0045,4.956,60.3317,60.1306,11:25:20.456
114,17.7,14.1,7.7974,6.8723,59.7547,59.8396,11:25:21.233
115,18.2,15.0,7.8635,6.6741,60.1547,60.071,11:25:21.996
116,17.5,14.5,7.0706,7.0045,59.8893,59.5242,11:25:22.735
117,18.2,14.1,5.9472,4.8238,59.8209,60.8619,11:25:23.509
118,17.7,14.5,7.0045,7.0045,60.0219,60.0663,11:25:24.301
119,18.2,15.2,6.8723,6.608,59.9385,60.1267,11:25:25.061
120,18.4,15.2,7.8635,7.1366,59.2335,59.9893,11:25:25.826
121,18.2,14.8,6.7402,6.7402,59.9872,60.0942,11:25:26.590
122,17.7,14.8,7.3349,7.401,59.9192,59.8024,11:25:27.350
123,18.2,14.1,7.8635,7.0706,59.5895,59.8629,11:25:28.108
124,17.9,15.0,7.401,6.608,60.5649,60.0374,11:25:28.870
125,17.9,14.3,5.5507,5.8811,59.6147,59.9295,11:25:29.647
126,17.5,14.8,6.8723,4.4934,60.3542,60.031,11:25:30.406
127,18.2,14.8,6.7402,7.467,59.9111,59.969,11:25:31.184
128,17.5,13.8,8.3922,7.401,59.7738,59.8018,11:25:31.945
129,18.2,14.3,6.6741,7.5331,59.8336,59.5379,11:25:32.712
130,17.9,14.3,5.6168,4.4274,60.0094,59.9265,11:25:33.504
131,18.4,15.0,8.9208,8.1939,60.2021,60.1796,11:25:34.309
132,18.2,14.5,7.2027,6.4758,60.0709,59.9423,11:25:35.071
133,17.7,14.5,7.7974,6.608,60.9869,60.5722,11:25:35.836
134,18.2,14.3,6.0133,6.1454,59.8848,59.9507,11:25:36.597
135,17.9,14.5,7.1366,6.608,59.8016,60.0858,11:25:37.356
136,17.7,14.3,6.7402,6.608,59.8464,59.8801,11:25:38.123
137,17.9,14.1,7.401,6.4758,60.4215,59.941,11:25:38.884
138,18.2,14.8,5.1542,5.9472,59.5294,59.7471,11:25:39.644
139,18.2,15.0,6.0794,4.6256,59.8718,59.8739,11:25:40.418
140,17.5,14.5,6.4098,7.1366,59.8431,60.0937,11:25:41.181
141,18.2,14.5,8.1278,6.5419,60.1414,60.0901,11:25:41.944
142,18.2,14.5,6.608,6.3437,60.9338,59.7617,11:25:42.739
143,17.9,15.0,5.4186,4.8899,60.1164,60.3267,11:25:43.530
144,17.9,15.0,6.6741,6.0794,60.2822,59.818,11:25:44.290
145,18.4,15.4,7.2688,5.9472,60.2132,60.5082,11:25:45.063
146,18.2,14.5,7.7974,7.7314,59.9877,59.8128,11:25:45.835
147,17.7,14.5,5.2203,6.4758,59.7607,59.9969,11:25:46.631
148,17.5,14.5,5.815,4.2291,59.5934,60.492,11:25:47.410
149,17.9,14.8,6.5419,6.0133,59.7951,59.9452,11:25:48.175
150,17.5,13.8,8.5904,5.815,59.7032,59.973,11:25:48.957
151,17.7,14.3,6.0133,6.3437,60.9865,60.4228,11:25:49.749
152,18.4,15.2,6.8062,4.3613,59.9886,60.2414,11:25:50.512
153,17.7,14.5,6.7402,5.8811,60.0024,59.7994,11:25:51.287
154,17.5,15.0,6.1454,4.956,59.8343,60.2203,11:25:52.047
155,17.5,14.5,7.467,6.1454,59.7981,59.5614,11:25:52.807
156,18.2,14.5,6.2115,5.4846,59.9698,60.2081,11:25:53.570
157,17.9,14.5,7.401,5.9472,59.7169,59.9621,11:25:54.330
158,18.2,15.0,6.9384,6.4098,60.1802,59.9071,11:25:55.076
159,18.4,14.8,7.2027,6.4758,60.0163,60.5067,11:25:55.840
160,17.5,15.4,5.749,7.8635,60.0334,60.0196,11:25:56.605
161,18.2,14.5,7.5992,6.2115,59.6378,60.1134,11:25:57.361
162,17.9,14.5,6.4758,6.1454,60.0597,59.9138,11:25:58.124
163,17.7,15.0,6.5419,5.749,60.1394,60.884,11:25:58.883
164,17.9,14.1,5.0882,5.8811,60.1709,59.7714,11:25:59.659
165,17.7,13.8,6.1454,4.2291,60.6209,60.1778,11:26:00.435
166,17.5,13.8,7.0706,6.4098,60.0846,60.0474,11:26:01.195
167,17.5,14.8,7.0706,5.4846,60.0373,60.4006,11:26:01.956
168,18.2,14.5,6.3437,6.2115,60.0485,59.7889,11:26:02.715
169,17.9,14.1,6.7402,5.1542,60.2579,59.8326,11:26:03.493
170,17.5,14.8,7.2027,7.0706,61.4474,60.2256,11:26:04.240
171,17.7,15.0,5.4846,4.956,59.7778,59.6277,11:26:05.016
172,17.7,15.0,6.8062,5.4186,60.0329,60.2802,11:26:05.791
173,17.5,14.5,5.2864,5.3525,60.0847,60.2613,11:26:06.566
174,17.9,14.8,9.1851,6.1454,59.8074,59.8932,11:26:07.326
175,17.9,14.5,6.9384,6.8723,60.2111,59.7629,11:26:08.100
176,18.2,14.1,6.0133,5.815,59.8839,60.0582,11:26:08.892
177,17.5,14.1,5.2203,5.815,59.749,59.9807,11:26:09.651
178,17.9,14.1,5.4186,4.6917,60.1883,60.067,11:26:10.412
179,17.9,15.0,7.2027,6.5419,59.8041,60.1643,11:26:11.173
180,17.7,14.5,6.4758,6.4758,59.7995,59.7417,11:26:11.946
181,17.7,14.3,6.8723,7.2688,60.2689,59.9739,11:26:12.709
182,17.9,14.8,6.2115,4.956,60.2745,59.9303,11:26:13.474
183,17.9,14.5,7.0706,6.0794,60.0198,59.9766,11:26:14.235
184,17.7,14.1,7.1366,5.6829,60.1762,58.9684,11:26:14.991
185,17.9,14.1,6.0133,6.7402,60.2185,59.8027,11:26:15.747
186,17.7,15.0,6.2115,4.5595,60.0021,59.7389,11:26:16.508
187,17.7,14.5,1.5198,2.3789,25.521,55.5652,11:26:17.271
