Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,12.5,10.4,2.7093,2.7754,20.4694,20.4567,12:07:33.988
2,12.7,11.3,3.0397,2.2467,20.4283,20.4316,12:07:34.939
3,12.7,11.3,1.9163,2.9075,20.4068,20.4079,12:07:35.700
4,12.7,10.7,3.0397,2.8414,20.3484,20.4179,12:07:36.478
5,12.7,11.3,2.6432,3.0397,20.4144,20.3845,12:07:37.238
6,12.5,11.3,2.0485,2.7093,20.3821,20.3981,12:07:37.994
7,12.7,10.7,2.9075,2.5771,20.3247,20.3438,12:07:38.768
8,12.3,11.8,3.2379,1.652,20.499,20.4576,12:07:39.526
9,12.9,10.9,2.9736,3.304,20.3868,20.4381,12:07:40.283
10,12.7,11.1,1.8502,2.5771,20.3983,20.3656,12:07:41.046
11,12.5,10.9,1.9824,2.8414,20.3904,20.361,12:07:41.785
12,12.9,10.4,2.3128,2.7754,20.3734,20.4189,12:07:42.544
13,12.7,11.1,2.6432,2.7093,20.3937,20.3961,12:07:43.318
14,12.5,10.7,2.9736,2.6432,20.4311,20.4134,12:07:44.079
15,12.9,10.4,3.0397,3.1718,20.3196,20.3634,12:07:44.835
16,12.3,10.7,3.0397,2.9736,20.4066,20.4343,12:07:45.587
17,12.3,11.3,2.6432,3.1058,20.3727,20.3647,12:07:46.346
18,12.5,10.4,2.6432,2.3128,20.3721,20.3808,12:07:47.136
19,12.3,11.1,2.7754,1.9824,20.4236,20.3976,12:07:47.926
20,12.7,11.8,3.4362,3.1058,20.4333,20.4422,12:07:48.703
21,12.7,11.1,3.1058,1.9824,20.4833,20.3951,12:07:49.463
22,12.5,11.3,2.6432,3.1718,20.4067,20.4411,12:07:50.222
23,12.7,11.1,2.3789,2.9075,20.3802,20.357,12:07:50.998
24,12.7,11.1,2.9736,3.304,20.3912,20.4507,12:07:51.754
25,12.5,10.9,3.0397,2.3789,20.3285,20.3798,12:07:52.544
26,12.9,10.9,2.0485,2.2467,20.4516,20.4303,12:07:53.353
27,12.7,10.9,2.3128,3.3701,20.3337,20.3151,12:07:54.114
28,12.5,11.3,2.1806,3.5022,20.4258,20.4809,12:07:54.875
29,12.5,11.3,2.1806,2.7754,20.3147,20.454,12:07:55.653
30,12.5,10.4,2.3128,2.7093,20.4423,20.4433,12:07:56.447
31,12.3,11.3,2.3128,2.7093,20.4176,20.4181,12:07:57.205
32,12.7,10.9,2.9075,2.2467,20.4305,20.2993,12:07:57.974
33,12.3,10.7,3.1058,2.1146,20.4103,20.4128,12:07:58.729
34,12.3,11.3,2.8414,3.1058,20.389,20.3816,12:07:59.503
35,12.7,10.4,2.445,2.7754,20.4011,20.3883,12:08:00.296
36,12.3,10.9,2.445,2.7093,20.3535,20.3528,12:08:01.089
37,12.9,11.3,2.8414,2.3128,20.3938,20.3996,12:08:01.844
38,12.7,10.7,3.0397,2.3789,20.4292,20.4741,12:08:02.602
39,12.5,11.1,2.1146,3.4362,20.3807,20.4389,12:08:03.363
40,12.3,11.1,2.5771,2.1146,20.3787,20.3153,12:08:04.123
41,12.9,11.3,2.7093,3.1058,20.409,20.4003,12:08:04.884
42,12.7,11.3,2.3789,2.3789,20.4249,20.4405,12:08:05.657
43,12.7,10.9,2.9736,2.9736,20.3802,20.3455,12:08:06.418
44,12.7,11.3,1.9824,2.511,20.4257,20.4923,12:08:07.186
45,12.7,11.3,3.1058,2.9075,20.4252,20.3618,12:08:07.945
46,12.5,10.9,2.3128,2.1146,20.4505,20.3991,12:08:08.702
47,12.3,11.3,2.8414,3.4362,20.3346,20.3304,12:08:09.460
48,12.7,10.7,2.8414,2.0485,20.4936,20.4309,12:08:10.217
49,12.3,10.9,2.3789,3.304,20.3622,20.4269,12:08:10.985
50,12.5,10.9,3.1058,3.2379,20.3089,20.3241,12:08:11.755
51,12.9,11.1,3.2379,2.9736,20.5226,20.3252,12:08:12.512
52,12.7,10.4,2.1806,2.7754,20.4115,20.3728,12:08:13.265
53,12.5,11.3,3.0397,3.8987,20.2557,20.3236,12:08:14.071
54,12.5,11.1,2.445,3.1058,20.3991,20.4385,12:08:14.844
55,12.9,11.3,2.3789,2.8414,20.4136,20.3428,12:08:15.622
56,12.9,10.9,2.445,3.1058,20.3667,20.4148,12:08:16.415
57,12.9,10.9,3.304,2.8414,20.4422,20.4106,12:08:17.193
