Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,19.5,17.5,30.529,24.8461,60.2177,60.8747,16:51:05.543
2,19.1,17.9,36.6083,26.6963,59.9871,60.2464,16:51:06.487
3,19.5,17.9,28.4805,29.2074,59.3099,59.343,16:51:07.246
4,19.8,17.9,29.6699,22.7315,60.2323,61.1132,16:51:08.002
5,19.8,17.9,18.8328,26.6963,58.8707,60.2265,16:51:08.759
6,19.8,18.2,27.291,20.5509,59.6695,61.2858,16:51:09.521
7,19.8,17.9,22.6654,24.9122,59.0306,60.2938,16:51:10.286
8,20.2,18.4,24.5157,18.7006,59.6762,61.2481,16:51:11.043
9,20.2,17.9,16.3218,23.7888,59.0623,59.7601,16:51:11.800
10,20.4,17.9,21.2117,15.7931,59.9718,60.6021,16:51:12.554
11,20.2,18.4,20.4187,23.7227,59.6301,59.4995,16:51:13.311
12,20.4,18.4,21.6082,17.9738,59.7477,60.4894,16:51:14.064
13,20.7,18.4,18.3702,22.4011,59.8068,59.1731,16:51:14.820
14,20.7,17.7,18.172,14.4054,60.7687,59.7754,16:51:15.610
15,20.9,18.2,23.5906,19.8901,60.5907,59.2612,16:51:16.380
16,21.6,18.2,19.4275,17.1147,59.8094,59.6772,16:51:17.156
17,21.6,18.2,21.7403,20.8152,60.932,60.0108,16:51:17.925
18,21.3,18.4,14.6698,16.9165,60.1378,60.0493,16:51:18.682
19,21.6,18.8,23.7888,17.9077,60.6195,59.7785,16:51:19.447
20,21.3,19.1,18.2381,20.9474,59.9183,59.7204,16:51:20.220
21,21.8,18.8,20.3526,17.4451,60.0623,60.5624,16:51:20.993
22,22.3,18.8,13.7446,21.2117,58.8486,60.1064,16:51:21.750
23,21.8,18.8,18.3042,15.5288,59.9802,60.8409,16:51:22.521
24,21.8,18.4,16.6522,20.9474,59.3152,59.7533,16:51:23.292
25,21.8,19.3,17.7094,15.727,60.146,60.7527,16:51:24.047
26,22.0,19.3,12.6213,20.9474,59.5054,59.5372,16:51:24.804
27,21.6,18.8,16.1896,14.2733,60.1691,59.983,16:51:25.558
28,22.3,19.3,17.6434,19.4936,60.0756,59.7206,16:51:26.320
29,22.3,18.8,18.1059,15.4627,60.1236,60.3619,16:51:27.079
30,22.3,18.8,15.2645,19.8901,60.0165,59.1724,16:51:27.838
31,22.3,19.8,15.727,12.5552,60.3304,59.5632,16:51:28.629
32,22.3,19.8,20.4187,18.5024,60.6205,59.7519,16:51:29.389
33,22.0,19.1,15.3966,17.1147,59.898,60.0438,16:51:30.149
34,22.3,19.8,21.6742,18.172,60.9751,59.9807,16:51:30.938
35,22.3,20.2,14.4715,16.9165,59.5927,60.0389,16:51:31.712
36,22.3,20.0,20.4848,15.8592,60.2216,60.3218,16:51:32.474
37,22.7,20.0,17.1808,19.9562,59.4928,59.9061,16:51:33.231
38,22.7,20.0,17.4451,15.9253,60.1597,60.7826,16:51:33.994
39,22.7,19.3,12.0926,19.824,59.0833,60.2592,16:51:34.751
40,22.7,19.5,16.8504,13.8107,59.7391,60.2158,16:51:35.527
41,22.5,19.8,15.661,18.7667,59.5026,60.012,16:51:36.288
42,22.7,20.0,16.1235,14.4054,59.9851,60.5823,16:51:37.063
43,22.7,19.8,15.0662,17.4451,59.9862,58.9985,16:51:37.856
44,22.7,20.4,15.9914,12.357,60.0387,60.093,16:51:38.616
