Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_old,mixer_torque_M2,mixer_torque_M1_old,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,16.6,13.2,9.3834,5.361942857,7.7314,4.417942857,60.1268,59.9883,19:56.0
2,17,13.4,8.5904,4.9088,8.26,4.72,60.0256,59.8913,19:56.9
3,17,13.4,8.8547,5.059828571,7.401,4.229142857,60.0496,60.06,19:57.7
4,17,13.2,6.8062,3.889257143,7.7974,4.455657143,59.4103,60.0823,19:58.4
5,16.8,13.8,8.9208,5.0976,6.4758,3.700457143,59.8571,60.0414,19:59.2
6,16.6,13.6,8.7886,5.022057143,7.1366,4.078057143,60.1931,59.8965,19:59.9
7,16.6,13.2,10.3746,5.928342857,8.5243,4.871028571,59.8087,59.5904,20:00.7
8,16.8,13.6,6.9384,3.9648,8.0618,4.606742857,60.0627,59.6846,20:01.5
9,16.3,13.4,9.5816,5.4752,5.815,3.322857143,60.3221,59.9039,20:02.2
10,16.6,13.6,9.5155,5.437428571,9.5155,5.437428571,59.7779,59.937,20:03.0
11,17,13.2,9.5155,5.437428571,8.9208,5.0976,59.5341,60.2285,20:03.8
12,16.3,13.6,8.7886,5.022057143,7.5992,4.3424,59.9179,59.7213,20:04.5
13,16.6,13.2,8.3922,4.795542857,5.2864,3.0208,60.1355,60.3375,20:05.3
14,16.8,13.2,8.8547,5.059828571,8.4582,4.833257143,60.2373,59.9562,20:06.1
15,17,13.2,8.7886,5.022057143,7.467,4.266857143,60.0309,59.7544,20:06.8
16,16.8,13.4,8.7226,4.984342857,7.467,4.266857143,60.6132,59.8842,20:07.6
17,16.8,12.9,7.6653,4.380171429,5.6168,3.2096,59.9202,60.0357,20:08.3
18,17,13.4,9.2512,5.2864,8.26,4.72,59.9775,60.0686,20:09.1
19,16.6,13.2,9.5155,5.437428571,8.7886,5.022057143,60.3614,59.9053,20:09.9
20,16.6,13.4,10.2424,5.8528,9.5155,5.437428571,60.1625,60.0088,20:10.6
21,16.6,13.2,6.9384,3.9648,7.2027,4.115828571,59.9794,59.9734,20:11.4
22,16.6,13.6,8.1939,4.682228571,6.8723,3.927028571,59.7912,60.1781,20:12.2
23,16.6,13.6,8.9208,5.0976,7.8635,4.493428571,60.2314,59.9994,20:12.9
24,16.6,13.2,9.3173,5.324171429,7.467,4.266857143,59.8479,60.1881,20:13.7
25,16.6,12.7,6.5419,3.738228571,7.7974,4.455657143,59.6428,60.0197,20:14.4
26,17,12.7,9.4494,5.399657143,6.608,3.776,60.3677,59.4601,20:15.2
27,16.8,13.6,9.3834,5.361942857,9.053,5.173142857,60.0119,60.2724,20:16.0
28,17,13.2,10.1763,5.815028571,8.9208,5.0976,60.1377,60.2194,20:16.8
29,17,12.9,7.7974,4.455657143,8.1939,4.682228571,60.1321,59.7569,20:17.5
30,16.3,13.2,7.5331,4.304628571,5.4186,3.096342857,59.8099,60.4176,20:18.3
31,16.3,14.3,9.2512,5.2864,9.119,5.210857143,59.8839,59.9158,20:19.1
32,17,13.2,9.053,5.173142857,8.3922,4.795542857,60.1232,59.9728,20:19.9
33,16.6,13.6,10.9032,6.2304,9.9781,5.701771429,59.9742,60.8555,20:20.6
34,16.8,13.6,6.9384,3.9648,8.26,4.72,59.6152,60.0762,20:21.4
35,17,13.6,8.5904,4.9088,7.401,4.229142857,59.7446,60.1504,20:22.2
36,16.6,13.6,7.6653,4.380171429,6.9384,3.9648,60.0815,59.8226,20:22.9
37,16.6,13.6,8.9869,5.135371429,6.6741,3.813771429,60.76,59.8557,20:23.7
38,17,12.9,6.6741,3.813771429,8.8547,5.059828571,59.6778,59.7732,20:24.4
39,16.8,12.7,8.3922,4.795542857,6.2115,3.549428571,59.8794,59.9349,20:25.2
40,16.8,14.1,8.9208,5.0976,7.9296,4.5312,59.9866,60.1197,20:26.0
41,16.8,13.6,9.1851,5.248628571,7.9296,4.5312,60.1471,60.1651,20:26.7
42,16.8,13.4,8.1939,4.682228571,8.1278,4.644457143,59.8127,59.7186,20:27.5
43,16.6,13.4,9.053,5.173142857,5.6168,3.2096,60.3465,59.9707,20:28.3
44,17,13.2,8.9208,5.0976,8.3261,4.757771429,60.0685,60.054,20:29.0
45,16.8,14.1,8.8547,5.059828571,8.1278,4.644457143,59.9797,59.7967,20:29.8
46,17,13.6,8.0618,4.606742857,7.401,4.229142857,61.0054,59.5941,20:30.5
47,17,13.6,8.7886,5.022057143,6.4758,3.700457143,60.0204,60.3539,20:31.3
48,16.6,13.4,9.6477,5.512971429,7.5992,4.3424,59.9625,59.7992,20:32.1
49,16.8,14.1,8.5243,4.871028571,7.5331,4.304628571,59.8528,59.7695,20:32.8
50,16.8,13.6,9.053,5.173142857,8.3261,4.757771429,60.8243,60.2358,20:33.6
51,16.6,13.6,7.0045,4.002571429,8.9208,5.0976,59.7554,60.1934,20:34.4
52,16.8,13.8,9.2512,5.2864,8.9869,5.135371429,59.9645,59.7403,20:35.1
53,16.3,13.2,9.1851,5.248628571,8.5904,4.9088,59.919,59.9639,20:35.9
54,16.8,13.6,9.2512,5.2864,8.3261,4.757771429,59.6392,60.6874,20:36.7
55,17,13.8,6.0133,3.436171429,8.8547,5.059828571,59.4879,60.0999,20:37.4
56,16.8,13.8,9.053,5.173142857,6.4098,3.662742857,60.0759,60.7375,20:38.2
57,16.8,13.4,9.3834,5.361942857,10.3746,5.928342857,59.7377,59.8811,20:39.0
58,17,13.4,9.6477,5.512971429,8.3261,4.757771429,59.8569,60.0998,20:39.7
59,16.8,14.1,7.401,4.229142857,8.9208,5.0976,59.7159,59.9564,20:40.5
60,16.8,14.1,9.1851,5.248628571,6.6741,3.813771429,60.176,59.9132,20:41.3
61,17.3,13.6,9.3834,5.361942857,8.9208,5.0976,59.6297,60.0224,20:42.0
62,16.8,14.1,9.8459,5.626228571,8.0618,4.606742857,60.1223,59.9011,20:42.8
63,16.8,13.6,8.8547,5.059828571,6.608,3.776,60.5121,59.7048,20:43.5
64,17,13.6,7.8635,4.493428571,7.2027,4.115828571,60.0515,60.4927,20:44.3
65,17,13.6,9.912,5.664,7.7974,4.455657143,60.0559,60.1993,20:45.1
66,16.6,14.1,9.053,5.173142857,8.9869,5.135371429,60.0638,59.9705,20:45.9
67,17.3,14.1,10.4406,5.966057143,9.8459,5.626228571,60.1505,60.6291,20:46.6
68,16.6,13.6,7.3349,4.191371429,7.7314,4.417942857,59.6865,60.376,20:47.4
69,17,13.6,9.5816,5.4752,7.6653,4.380171429,59.8459,59.91,20:48.1
70,17,13.6,9.053,5.173142857,8.9869,5.135371429,59.7349,60.2046,20:48.9
71,16.6,13.8,9.053,5.173142857,8.26,4.72,59.68,60.4284,20:49.7
72,17,14.1,6.7402,3.851542857,8.1939,4.682228571,59.5546,59.9709,20:50.4
73,16.6,13.8,8.5904,4.9088,5.749,3.285142857,59.9499,60.0132,20:51.2
74,17,13.6,9.3834,5.361942857,7.3349,4.191371429,59.675,60.3083,20:52.0
75,16.8,12.7,10.5728,6.0416,7.5331,4.304628571,60.1171,60.6023,20:52.7
76,16.8,13.8,6.3437,3.624971429,8.6565,4.946571429,59.9736,59.8896,20:53.5
77,16.6,13.8,8.3922,4.795542857,5.6168,3.2096,60.4256,59.812,20:54.2
78,17,13.6,8.7886,5.022057143,8.5904,4.9088,59.8535,59.7209,20:55.0
79,17,13.4,11.3658,6.494742857,7.9296,4.5312,60.3666,59.7131,20:55.8
80,16.8,13.8,8.7226,4.984342857,7.8635,4.493428571,59.8562,59.5942,20:56.5
81,16.6,13.2,10.771,6.154857143,6.1454,3.511657143,60.2741,60.0857,20:57.3
82,16.8,14.1,10.3085,5.890571429,7.7974,4.455657143,60.0714,59.6672,20:58.0
83,17,13.6,10.4406,5.966057143,7.7314,4.417942857,60.1926,60.2777,20:58.8
