normalized_point,LORA_current_uA,LORA_max_voltage,LORA_min_voltage,BLE_current_uA,BLE_min_voltage,BLE_max_voltage,TX_current_uA,TX_max_voltage,TX_min_voltage,VDD_CAP_current_uA,VDD_CAP_max_voltage,VDD_CAP_min_voltage
1,-200,-0.254717875,-0.314051125,-200,-0.841221874,-0.804353126,-200,-0.270190317,-0.331603683,-200,-0.576754274,-0.615956059
2,-195,-0.253604237,-0.312801763,-195,-0.840403998,-0.803551002,-195,-0.269064022,-0.330053978,-195,-0.574855739,-0.616580261
3,-190,-0.252388134,-0.311020866,-190,-0.839569519,-0.802739481,-190,-0.267879914,-0.328508086,-190,-0.573343891,-0.616850776
4,-185,-0.25149307,-0.30986993,-185,-0.838716644,-0.801904356,-185,-0.266631419,-0.326816581,-185,-0.570417421,-0.617279579
5,-180,-0.250073125,-0.308177875,-180,-0.837848299,-0.801056701,-180,-0.265397149,-0.325160851,-180,-0.569272434,-0.616883232
6,-175,-0.248915666,-0.306774334,-175,-0.836951098,-0.800219902,-175,-0.264179236,-0.323470764,-175,-0.568058447,-0.616317553
7,-170,-0.247896729,-0.305039271,-170,-0.836033581,-0.799335419,-170,-0.262899095,-0.321824905,-170,-0.566717526,-0.615583808
8,-165,-0.246606582,-0.303572418,-165,-0.835081814,-0.798392186,-165,-0.26155927,-0.32012373,-165,-0.565016445,-0.614895889
9,-160,-0.245208598,-0.302420402,-160,-0.834118486,-0.797454514,-160,-0.260175881,-0.318331119,-160,-0.564456735,-0.613618599
10,-155,-0.243962062,-0.300220938,-155,-0.833150464,-0.796486536,-155,-0.258741941,-0.316596059,-155,-0.563586754,-0.611990246
11,-150,-0.242331986,-0.298369014,-150,-0.832132203,-0.795481797,-150,-0.257346218,-0.314699782,-150,-0.563778963,-0.610077037
12,-145,-0.241242273,-0.296933727,-145,-0.831063188,-0.794449812,-145,-0.255893258,-0.312802742,-145,-0.562743582,-0.608548752
13,-140,-0.23970275,-0.29480425,-140,-0.829961317,-0.793373683,-140,-0.254381184,-0.310897816,-140,-0.562187758,-0.607008242
14,-135,-0.237685102,-0.293018898,-135,-0.828882874,-0.792268126,-135,-0.252782329,-0.308908671,-135,-0.560266245,-0.605262422
15,-130,-0.236770726,-0.291257274,-130,-0.827697067,-0.791131933,-130,-0.251176132,-0.306879868,-130,-0.557742962,-0.604024371
16,-125,-0.235398882,-0.289170118,-125,-0.826498503,-0.789917497,-125,-0.249486727,-0.304788273,-125,-0.555141769,-0.602878898
17,-120,-0.233441167,-0.287499833,-120,-0.82528895,-0.78864105,-120,-0.24778103,-0.30268097,-120,-0.554222418,-0.600557249
18,-115,-0.231967432,-0.285298568,-115,-0.823990873,-0.787329127,-115,-0.245958692,-0.300525308,-115,-0.552655464,-0.598812536
19,-110,-0.230243704,-0.283280296,-110,-0.822637645,-0.785960355,-110,-0.244094449,-0.298112551,-110,-0.552642192,-0.596069808
20,-105,-0.22833489,-0.28103011,-105,-0.821213479,-0.784503521,-105,-0.242072165,-0.295818835,-105,-0.550477824,-0.594530176
21,-100,-0.226578534,-0.278579466,-100,-0.819709838,-0.783032162,-100,-0.240072878,-0.293320122,-100,-0.550210173,-0.591804161
22,-95,-0.224799446,-0.276330554,-95,-0.818165223,-0.781402777,-95,-0.237872286,-0.290855714,-95,-0.548497082,-0.589388918
23,-90,-0.222483631,-0.274010369,-90,-0.816593706,-0.779699294,-90,-0.235669003,-0.288153997,-90,-0.548398775,-0.586213225
24,-85,-0.220551212,-0.271014788,-85,-0.814871441,-0.777849559,-85,-0.2333301,-0.2853449,-85,-0.546200251,-0.583802082
25,-80,-0.218205831,-0.268482169,-80,-0.813037239,-0.775997761,-80,-0.230868344,-0.282399656,-80,-0.544192641,-0.581370693
26,-75,-0.215589294,-0.265373706,-75,-0.811135098,-0.773857902,-75,-0.22815737,-0.27943463,-75,-0.540204331,-0.579617669
27,-70,-0.212941131,-0.262353869,-70,-0.809050478,-0.771731522,-70,-0.225469134,-0.276089866,-70,-0.537473049,-0.577163284
28,-65,-0.209963557,-0.259190443,-65,-0.806854384,-0.769324616,-65,-0.222460037,-0.272627963,-65,-0.533401364,-0.574779303
29,-60,-0.207211539,-0.255892461,-60,-0.8044177,-0.7667203,-60,-0.219237883,-0.268897117,-60,-0.529687678,-0.572274988
30,-55,-0.203611366,-0.252048634,-55,-0.801842948,-0.763876052,-55,-0.215750406,-0.264949594,-55,-0.526003024,-0.568676643
31,-50,-0.199948376,-0.248116624,-50,-0.798969005,-0.760720995,-50,-0.211938728,-0.260520272,-50,-0.522500329,-0.564879671
