,filter,zp_vegjy
0,J,1594
1,H,1024
2,Ks,666.7
3,IRAC1,277.5
4,IRAC2,179.5
5,IRAC3,116.6
6,IRAC4,63.1
7,MIPS1,7.17
8,MIPS2,0.778
9,MIPS3,0.159
0,f070w,2924.34
1,f090w,2314.51
2,f115w,1791.24
3,f150w,1193.9
4,f200w,766.35
5,f140m,1314.23
6,f162m,1036.9
7,f182m,853.54
8,f210m,695.19
9,f164n,996.82
10,f187n,802.17
11,f212n,682.02
12,f150w2,1157.59
13,f277w,432.98
14,f356w,272.99
15,f444w,186.28
16,f250m,509.32
17,f300m,370.06
18,f335m,301.65
19,f360m,261.79
20,f410m,210.39
21,f430m,191.2
22,f460m,163.99
23,f480m,154.71
24,f323n,322.95
25,f405n,207.0
26,f466n,157.47
27,f470n,159.7
28,f322w2,338.41
0,f560w,115.439
1,f770w,65.011
2,f1000w,38.401
3,f1130w,29.538
4,f1280w,23.368
5,f1500w,17.020
6,f1800w,11.895
7,f2100w,8.981
8,f2550w,6.012
