Log,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
167,0.6104,25.3,1.5,0,24.7,22.7,20.9,3.8138,3.776,59.5657,59.497,12:32:53.505
168,0.586,25.3,1.5,0,24.7,22.9,21.1,3.1718,3.0963,60.6795,59.9729,12:32:54.733
169,0.5786,23.9,1.5,0,26.1,22.9,20.9,3.2851,2.4922,60.9695,59.9949,12:32:55.959
170,0.5872,23.9,1.5,0,26.1,23.2,20.7,3.5117,2.8698,59.8733,59.4232,12:32:57.158
171,0.5811,25.3,1.5,0,24.7,22.7,21.1,2.832,3.8515,59.5734,60.1968,12:32:58.383
172,0.5457,23.9,1.5,0,24.7,23.2,21.6,1.8502,3.8515,39.3794,39.4272,12:32:59.656
173,0.625,25.3,1.5,0,24.7,23.2,21.8,3.1718,2.4544,39.5331,39.4689,12:33:00.876
174,0.5335,25.3,1.5,0,24.7,23.2,20.9,2.3034,2.1523,39.5533,40.1096,12:33:02.097
175,0.5725,25.3,1.5,0,24.7,22.7,21.1,2.5677,2.8698,39.8999,39.2447,12:33:03.321
176,0.6677,23.9,1.5,0,24.7,22.9,20.7,2.9453,2.983,39.3474,39.1706,12:33:04.560
177,0.6067,23.9,1.5,0,24.7,23.2,21.3,2.2656,2.9453,39.6974,39.3373,12:33:05.803
178,0.6299,23.9,1.5,0,24.7,22.7,21.3,3.2851,1.6992,39.605,39.6536,12:33:07.036
179,0.5933,23.9,1.5,0,24.7,23.2,20.9,2.5677,2.9453,38.8627,40.0297,12:33:08.271
180,0.586,23.9,1.5,0,24.7,23.2,20.9,2.983,2.4922,39.41,39.5924,12:33:09.515
181,0.6189,23.9,1.5,0,26.2,22.7,21.8,3.2851,2.4922,39.5213,39.4105,12:33:10.738
182,0.5921,23.9,1.5,0,26.2,23.2,20.9,2.7942,3.3229,39.6133,39.8272,12:33:11.982
183,0.6067,23.9,1.5,0,24.7,22.7,21.1,2.6432,2.3411,40.4267,39.4058,12:33:13.210
184,0.6018,23.9,1.5,0,24.7,23.2,20.7,3.0963,3.0208,39.4768,39.7226,12:33:14.426
185,0.5493,23.9,1.5,0,24.7,22.7,21.1,2.983,3.2474,39.2555,39.7804,12:33:15.650
186,0.5652,23.9,1.5,0,26.2,22.7,20.9,4.0403,2.4544,39.6264,39.2697,12:33:16.876
187,0.625,23.9,1.5,0,26.2,22.7,21.1,2.4922,3.1341,39.9349,40.1049,12:33:18.138
188,0.6079,23.9,1.5,0,26.2,22.7,20.9,2.4922,2.0013,20.4136,20.52,12:33:19.362
189,0.5774,23.9,1.5,0,26.2,23.2,21.3,1.3594,2.832,20.4114,20.4022,12:33:20.585
190,0.6055,23.8,1.5,0,24.7,22.7,21.3,1.5859,2.9075,19.9701,20.401,12:33:21.825
191,0.603,23.9,1.5,0,24.7,22.7,21.3,2.2278,2.3789,20.3051,19.9689,12:33:23.042
192,0.5164,25.3,1.5,0,24.7,22.9,21.3,2.039,3.3229,20.2399,20.3097,12:33:24.298
193,0.5921,25.3,1.5,0,24.7,22.9,21.6,2.2278,2.3411,20.4556,20.4834,12:33:25.521
194,0.5359,25.3,1.5,0,24.7,23.2,21.3,2.4544,2.681,20.3385,20.3225,12:33:26.775
195,0.5811,25.3,1.5,0,24.7,22.9,21.6,1.9635,2.4166,20.7676,20.4447,12:33:27.996
196,0.5432,25.3,1.5,0,24.7,22.7,20.9,2.0013,2.1146,20.459,20.359,12:33:29.221
197,0.5884,23.8,1.5,0,24.7,22.7,21.3,2.3411,3.0208,20.2846,20.4674,12:33:30.462
198,0.5957,23.8,1.5,0,24.7,22.7,20.9,2.1901,2.0013,20.4704,20.2173,12:33:31.704
199,0.6006,25.3,1.5,0,24.7,22.7,20.7,2.6432,2.1523,20.1156,20.6425,12:33:32.912
200,0.5689,23.8,1.5,0,24.7,22.7,20.7,2.4544,2.4544,20.0915,20.2491,12:33:34.137
201,0.6458,25.3,1.5,0,24.7,22.9,20.4,1.8502,2.1901,20.7871,20.5587,12:33:35.365
202,0.6384,23.8,1.5,0,24.7,22.7,20.4,2.4166,2.2656,20.2781,20.384,12:33:36.588
203,0.6079,23.8,1.5,0,24.7,22.9,21.6,1.7747,2.5677,20.1313,20.2677,12:33:37.843
