Log,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.564,23.9,1.5,0,24.5,21.3,19.8,4.0026,4.1158,60.7802,57.8592,12:29:28.643
2,0.6262,25.3,1.5,0,26.0,21.6,19.3,3.927,3.625,60.3767,60.2031,12:29:30.204
3,0.5957,25.3,1.5,0,24.5,21.6,18.8,4.0026,4.3424,59.9713,60.6347,12:29:31.474
4,0.5872,25.3,1.5,0,24.5,21.1,19.8,4.1536,4.4179,59.7637,59.5451,12:29:32.703
5,0.5908,23.9,1.5,0,24.5,21.3,19.8,4.2291,3.9648,59.9317,60.1227,12:29:33.931
6,0.5884,23.9,1.5,0,24.6,21.3,19.3,3.3984,2.7187,59.8647,62.2828,12:29:35.176
7,0.6067,25.3,1.5,0,24.6,21.6,20.4,3.5117,3.5494,60.0785,59.6902,12:29:36.400
8,0.5261,25.3,1.5,0,24.5,21.6,19.8,3.4362,4.6067,59.7682,59.6134,12:29:37.624
9,0.5774,23.9,1.5,0,24.6,21.6,20.4,3.4362,3.4362,60.1497,59.9823,12:29:38.867
10,0.6128,23.9,1.5,0,24.5,21.3,19.8,3.3606,2.0013,60.7213,59.9095,12:29:40.108
11,0.6873,23.9,1.5,0,24.5,21.6,19.5,3.2096,3.8893,59.9302,60.009,12:29:41.331
12,0.7312,23.9,1.5,0,24.5,21.6,20.2,3.8893,4.6445,60.0271,59.8791,12:29:42.576
13,0.5957,23.9,1.5,0,24.6,21.8,20.2,3.0208,3.8138,60.0648,59.5599,12:29:43.803
14,0.5676,23.9,1.5,0,24.5,21.6,20.0,3.0586,2.983,59.5632,60.3707,12:29:45.026
15,0.6165,23.9,1.5,0,26.0,21.1,19.3,2.983,5.2486,59.8486,60.0257,12:29:46.272
16,0.6336,25.4,1.5,0,24.6,21.8,19.5,3.8893,3.2096,59.4226,61.4449,12:29:47.529
17,0.6397,25.3,1.5,0,24.6,21.3,20.2,2.7565,3.1718,59.6219,58.9697,12:29:48.753
18,0.6116,23.9,1.5,0,24.5,21.3,19.5,4.7578,3.2096,60.576,59.8768,12:29:49.979
19,0.5335,25.3,1.5,0,24.6,21.6,19.8,3.3229,3.776,60.2393,60.3247,12:29:51.205
20,0.6641,23.9,1.5,0,24.6,21.8,19.8,4.0403,4.0781,59.8167,59.7193,12:29:52.434
21,0.6153,25.3,1.5,0,24.5,21.6,20.2,3.6627,2.983,59.4017,59.8651,12:29:53.672
22,0.6629,25.3,1.5,0,24.6,21.3,20.0,2.9453,3.4739,59.6521,60.1053,12:29:54.894
23,0.6287,23.9,1.5,0,24.6,21.3,19.3,3.3229,2.6432,59.9257,60.9151,12:29:56.115
24,0.5957,23.9,1.5,0,26.0,21.6,19.5,3.2474,3.6627,59.8418,59.9113,12:29:57.336
25,0.6531,23.9,1.5,0,26.0,21.6,19.3,1.8502,2.9453,24.6142,53.7797,12:29:58.560
26,0.6494,25.3,1.5,0,26.0,21.6,20.4,2.832,2.6054,20.1198,20.4578,12:29:59.789
27,0.6641,25.4,1.5,0,24.6,21.6,19.3,1.8125,2.2278,20.3289,20.451,12:30:01.029
28,0.6665,25.4,1.5,0,24.6,21.8,20.0,2.3789,3.0963,20.3789,20.2791,12:30:02.265
29,0.6604,23.9,1.5,0,24.6,21.6,20.2,2.2656,1.6614,20.4777,20.6978,12:30:03.492
30,0.6299,25.4,1.5,0,24.6,21.8,20.4,2.4544,2.7942,20.4397,20.6466,12:30:04.720
31,0.6885,25.4,1.5,0,24.6,21.8,19.8,2.4166,2.681,19.9505,21.0165,12:30:05.948
32,0.7031,25.4,1.5,0,24.6,22.0,19.8,2.2656,2.3034,20.5062,20.5074,12:30:07.192
33,0.6714,25.4,1.5,0,24.6,21.8,20.0,1.8125,2.0768,20.1511,20.772,12:30:08.418
34,0.6909,25.3,1.5,0,24.6,21.3,20.4,2.4922,2.2278,20.4002,20.4493,12:30:09.646
35,0.7154,25.4,1.5,0,24.6,21.6,20.4,2.3034,1.5104,20.2938,20.5007,12:30:10.876
36,0.6128,25.4,1.5,0,24.6,21.1,19.8,3.4362,1.888,20.3457,20.1059,12:30:12.103
37,0.6336,25.4,1.5,0,24.6,21.8,20.0,2.3034,2.3411,20.4573,20.2849,12:30:13.336
38,0.6348,23.9,1.5,0,24.6,21.6,20.4,1.9635,2.2656,20.3176,20.3476,12:30:14.552
39,0.697,25.4,1.5,0,26.0,21.8,19.8,2.039,3.0963,20.1947,20.4257,12:30:15.774
40,0.7312,23.9,1.5,0,26.0,21.6,19.8,1.8502,3.8138,20.3924,20.4381,12:30:16.998
41,0.6909,23.9,1.5,0,26.0,21.8,19.8,2.3411,1.6237,20.3297,20.4678,12:30:18.222
42,0.6555,25.4,1.5,0,24.6,21.8,20.4,2.4922,2.983,39.7954,39.751,12:30:19.450
43,0.6433,25.4,1.5,0,24.6,21.1,20.2,2.681,3.8515,39.3847,39.4929,12:30:20.692
44,0.6238,25.4,1.5,0,24.6,21.3,19.8,3.1718,2.3411,39.5452,39.5957,12:30:21.934
45,0.5713,25.4,1.5,0,24.6,21.1,20.2,2.3789,2.983,39.4128,40.3103,12:30:23.162
46,0.5835,23.9,1.5,0,24.6,22.0,20.9,3.1341,2.1901,39.8537,39.7347,12:30:24.415
47,0.6543,23.9,1.5,0,24.6,21.6,19.8,3.1718,2.2656,39.7661,40.1906,12:30:25.650
48,0.6885,23.9,1.5,0,24.6,21.6,20.2,3.8893,2.5677,39.3577,40.3824,12:30:26.897
49,0.7056,23.9,1.5,0,26.1,21.6,18.8,4.4934,2.9453,39.3186,39.2506,12:30:28.109
50,0.658,23.9,1.5,0,26.1,21.8,19.5,3.2851,3.4739,39.6182,39.3948,12:30:29.350
51,0.6775,23.9,1.5,0,24.6,21.8,20.4,2.4166,2.3789,39.4303,39.6513,12:30:30.576
52,0.6055,23.9,1.5,0,24.6,21.6,20.4,3.4739,4.2291,39.2095,39.5964,12:30:31.807
53,0.6677,23.9,1.5,0,24.6,21.6,19.3,3.0208,3.0208,39.61,39.4886,12:30:33.033
54,0.669,23.9,1.5,0,24.6,21.8,20.4,3.3606,4.0403,39.5747,39.3522,12:30:34.241
55,0.6641,23.9,1.5,0,24.6,21.8,19.3,4.6822,4.3424,39.0058,39.9356,12:30:35.460
56,0.7202,25.4,1.5,0,24.6,21.8,20.0,3.0586,2.7565,39.294,38.7563,12:30:36.707
57,0.6836,23.9,1.5,0,24.6,21.6,19.8,3.625,2.7187,39.7133,39.6998,12:30:37.918
58,0.5603,23.9,1.5,0,24.6,21.6,19.8,4.6067,3.2096,60.1298,61.9471,12:30:39.148
59,0.6909,23.9,1.5,0,24.6,21.6,20.0,3.0208,4.9088,59.4738,59.9423,12:30:40.371
60,0.6629,23.9,1.5,0,24.6,21.6,20.4,3.625,3.5117,60.2551,61.4138,12:30:41.599
61,0.6677,23.9,1.5,0,24.6,21.3,20.9,2.9075,3.3984,59.7563,59.697,12:30:42.842
62,0.6629,23.9,1.5,0,24.6,22.0,19.8,4.6067,2.4544,59.888,60.1962,12:30:44.077
63,0.6934,24.0,1.5,0,24.6,21.6,20.0,4.0026,3.4362,59.6393,59.6577,12:30:45.304
64,0.6262,23.9,1.5,0,24.6,22.0,19.8,3.776,3.5117,59.8194,61.5381,12:30:46.514
65,0.6934,24.0,1.5,0,24.6,21.8,20.4,3.0586,3.0963,59.7293,59.8531,12:30:47.741
66,0.6787,24.0,1.5,0,24.6,22.3,20.4,4.6445,3.7382,59.8901,60.0836,12:30:48.980
67,0.6153,24.0,1.5,0,24.6,22.0,20.0,3.6627,2.7187,59.618,60.355,12:30:50.208
68,0.6824,25.4,1.5,0,24.6,21.6,20.2,4.6067,3.3984,60.2698,59.5812,12:30:51.435
69,0.7666,24.0,1.5,0,24.6,21.8,20.0,4.9843,3.9648,59.9333,62.787,12:30:52.672
70,0.7141,24.0,1.5,0,24.6,22.3,20.0,4.1914,4.0403,59.7723,60.4613,12:30:53.914
71,0.6677,24.0,1.5,0,24.6,21.6,20.4,4.1536,2.983,60.4104,59.8128,12:30:55.132
72,0.6104,24.0,1.5,0,24.6,22.3,19.8,3.927,3.3229,59.8443,59.9062,12:30:56.358
73,0.6531,24.0,1.5,0,24.6,21.6,20.4,4.3424,3.1718,60.0407,59.9553,12:30:57.600
74,0.6787,25.4,1.5,0,24.6,22.0,20.2,4.6445,3.7382,80.8441,80.0745,12:30:58.844
75,0.6433,24.0,1.5,0,24.6,22.0,19.8,3.5117,3.927,81.0725,79.7682,12:31:00.105
76,0.6348,25.4,1.5,0,24.6,22.0,20.7,4.6445,3.7382,79.8389,79.912,12:31:01.345
77,0.6592,25.4,1.5,0,24.6,21.8,19.5,4.0781,3.5494,80.7429,79.5281,12:31:02.554
78,0.7007,25.4,1.5,0,24.6,21.8,19.8,4.1536,3.5117,80.1966,80.9301,12:31:03.795
79,0.6446,24.0,1.5,0,24.6,21.8,20.7,3.625,3.776,80.2213,80.6367,12:31:05.038
80,0.6494,24.0,1.5,0,24.6,21.6,20.4,4.3424,4.2669,80.7499,79.9988,12:31:06.265
81,0.6531,24.0,1.5,0,24.6,22.5,19.8,5.2109,4.1536,80.5283,79.9726,12:31:07.485
82,0.7068,24.0,1.5,0,24.6,21.8,20.4,4.6067,3.7005,80.5102,80.4238,12:31:08.725
83,0.6433,24.0,1.5,0,24.6,22.3,20.4,4.0403,4.5312,80.4199,79.8737,12:31:09.952
84,0.636,24.0,1.5,0,24.6,22.5,20.4,4.72,4.7955,80.6846,80.8177,12:31:11.205
85,0.6726,24.0,1.5,0,24.6,22.3,20.4,3.5872,3.0208,80.43,80.0772,12:31:12.436
86,0.6592,24.0,1.5,0,24.6,22.3,20.2,4.1536,4.5312,80.3036,80.1329,12:31:13.659
87,0.5591,24.0,1.5,0,24.6,22.3,20.4,5.2486,4.3046,80.3611,79.8107,12:31:14.887
88,0.6775,24.0,1.5,0,24.6,22.0,19.8,3.8515,2.7942,80.4348,80.2216,12:31:16.118
89,0.6555,25.4,1.5,0,24.6,22.3,20.0,4.1914,3.8893,79.9487,80.814,12:31:17.376
90,0.6482,24.0,1.5,0,24.6,22.3,20.4,5.4374,4.0781,100.0022,89.0977,12:31:18.611
91,0.6348,24.0,1.5,0,24.6,22.0,20.4,5.0976,4.4557,100.0194,99.5654,12:31:19.839
92,0.6507,24.0,1.5,0,26.1,22.3,20.9,5.0976,4.2291,99.4213,100.2269,12:31:21.063
93,0.6348,24.0,1.5,0,26.1,21.8,20.4,4.9466,3.7005,99.6738,98.9106,12:31:22.286
94,0.6006,24.0,1.5,0,26.1,21.8,20.7,4.6822,4.4557,99.4724,99.9519,12:31:23.516
95,0.6677,24.0,1.5,0,26.1,21.8,20.4,4.72,5.3242,99.4354,99.5975,12:31:24.740
96,0.6336,24.0,1.5,0,24.6,22.3,20.4,4.0026,4.4557,100.2176,99.4732,12:31:25.980
97,0.5823,24.0,1.5,0,26.1,22.5,20.9,4.4557,8.1184,99.9144,98.7505,12:31:27.193
98,0.6458,24.0,1.5,0,24.6,22.5,21.3,5.0221,5.664,99.9605,101.04,12:31:28.416
99,0.6262,24.0,1.5,0,24.6,22.5,20.2,6.0416,3.927,99.7536,99.998,12:31:29.658
100,0.6775,25.4,1.5,0,24.6,22.3,20.4,5.664,3.625,99.322,99.4704,12:31:30.892
101,0.6507,24.0,1.5,0,26.1,21.8,20.9,5.9283,4.0403,99.5693,99.7122,12:31:32.118
102,0.6763,24.0,1.5,0,26.1,22.7,20.4,5.2864,4.0403,99.9017,99.5537,12:31:33.340
103,0.6592,24.0,1.5,0,26.1,22.3,20.0,5.4752,3.776,100.9867,99.4944,12:31:34.565
104,0.6543,24.0,1.5,0,26.1,22.5,21.3,4.3046,3.3229,99.7493,98.8848,12:31:35.793
105,0.6262,24.0,1.5,0,26.1,22.3,20.9,4.1158,3.2851,100.1177,99.5196,12:31:37.016
106,0.603,24.0,1.5,0,24.6,22.3,20.4,4.3424,2.7187,98.6656,102.15,12:31:38.242
107,0.586,24.0,1.5,0,26.1,22.0,21.3,5.2109,4.9466,120.7142,119.3171,12:31:39.490
108,0.6494,25.4,1.5,0,24.6,22.7,20.4,6.0416,4.1158,119.9511,119.7717,12:31:40.722
109,0.7166,25.4,1.5,0,24.6,22.7,20.9,5.3619,5.2864,119.9951,120.4496,12:31:41.976
110,0.625,25.4,1.5,0,24.6,22.3,20.7,4.871,4.5312,119.4771,120.3506,12:31:43.180
111,0.6116,25.4,1.5,0,24.6,22.5,20.4,4.1536,5.3242,119.3671,120.3083,12:31:44.428
112,0.6641,24.0,1.5,0,24.6,22.3,21.1,4.7578,4.2669,119.909,120.3248,12:31:45.666
113,0.6494,24.0,1.5,0,26.1,22.5,20.4,5.3997,4.6067,119.5989,120.0546,12:31:46.930
114,0.6262,24.0,1.5,0,26.1,22.7,21.1,4.3424,4.3046,119.261,119.8335,12:31:48.171
115,0.6446,24.0,1.5,0,26.1,22.5,20.4,5.0221,4.5312,119.5374,119.9751,12:31:49.397
116,0.6128,24.0,1.5,0,26.1,22.7,20.7,4.2291,4.6445,119.7781,119.7888,12:31:50.626
117,0.6018,24.0,1.5,0,24.6,22.7,20.9,4.6822,4.3802,120.1139,120.317,12:31:51.869
118,0.697,24.0,1.5,0,26.1,22.5,20.2,4.8333,6.0794,120.1947,120.1387,12:31:53.108
119,0.6201,24.0,1.5,0,24.6,22.5,20.9,4.5312,3.9648,120.1044,119.6844,12:31:54.351
120,0.6543,24.0,1.5,0,24.6,22.9,20.9,4.72,4.5312,120.2724,120.8019,12:31:55.592
121,0.6165,24.0,1.5,0,24.6,22.3,21.3,3.2851,4.4557,118.8669,120.1039,12:31:56.819
122,0.6629,24.0,1.5,0,24.6,23.2,20.9,4.0026,4.72,120.4253,120.2523,12:31:58.049
123,0.6336,24.0,1.5,0,24.6,22.5,20.9,5.7018,5.5885,99.4191,99.9441,12:31:59.313
124,0.6592,25.5,1.5,0,26.1,22.9,20.7,3.8893,4.1158,99.6937,99.495,12:32:00.547
125,0.6079,24.0,1.5,0,26.1,22.3,20.9,5.0598,3.927,99.195,100.3999,12:32:01.787
126,0.5823,25.4,1.5,0,24.6,22.7,20.9,5.0598,2.983,99.8964,99.0975,12:32:03.027
127,0.6116,25.5,1.5,0,24.6,22.7,20.9,4.1158,2.8698,99.459,99.9457,12:32:04.267
128,0.6165,24.0,1.5,0,24.7,22.7,21.3,2.832,3.6627,99.7106,99.5036,12:32:05.505
129,0.6458,24.0,1.5,0,24.6,22.9,20.4,3.7005,3.8138,99.6773,99.5118,12:32:06.760
130,0.5457,24.0,1.5,0,24.7,22.7,20.9,4.1914,4.0403,99.2309,99.1912,12:32:07.981
131,0.6238,24.0,1.5,0,24.6,22.7,21.3,3.6627,4.6445,99.2418,99.7481,12:32:09.216
132,0.5908,24.0,1.5,0,24.7,22.9,20.4,4.4557,3.6627,98.6577,99.6541,12:32:10.445
133,0.6165,24.0,1.5,0,24.6,22.9,20.7,4.5312,4.569,98.4918,100.5884,12:32:11.669
134,0.6104,24.0,1.5,0,24.7,22.7,21.3,4.0403,5.5885,98.7334,99.402,12:32:12.888
135,0.586,24.0,1.5,0,26.1,22.7,20.7,5.1354,3.776,99.4869,99.22,12:32:14.138
136,0.5652,24.0,1.5,0,26.1,23.2,21.1,3.927,3.5117,99.2216,99.465,12:32:15.392
137,0.5969,24.0,1.5,0,26.1,22.7,20.9,4.4934,3.625,99.1141,99.3222,12:32:16.605
138,0.5457,24.0,1.5,0,26.1,22.7,20.2,4.6067,3.6627,99.1163,99.3295,12:32:17.836
139,0.6067,24.0,1.5,0,26.1,23.2,21.1,3.9648,4.2669,80.4806,80.6649,12:32:19.061
140,0.6287,24.0,1.5,0,26.1,22.9,20.4,3.6627,2.983,80.4262,80.519,12:32:20.293
141,0.6348,24.0,1.5,0,26.1,22.7,21.1,3.0586,3.6627,80.252,79.8507,12:32:21.522
142,0.625,24.0,1.5,0,26.1,23.2,20.4,5.2864,3.776,80.4462,79.9322,12:32:22.765
143,0.5713,24.0,1.5,0,26.1,22.5,21.1,3.2474,2.983,80.8095,81.2534,12:32:23.985
144,0.5713,23.9,1.5,0,26.1,22.9,21.3,4.0026,3.8515,80.5906,80.1764,12:32:25.204
145,0.6018,24.0,1.5,0,24.7,22.9,21.3,3.6627,3.927,80.2003,80.316,12:32:26.430
146,0.5713,24.0,1.5,0,26.1,22.7,21.1,3.5872,2.7187,80.7744,81.2067,12:32:27.655
147,0.636,24.0,1.5,0,24.7,22.7,20.9,4.0403,3.5117,80.524,80.4053,12:32:28.888
148,0.6348,23.9,1.5,0,26.1,22.5,21.1,3.3229,3.3984,79.7053,81.0708,12:32:30.126
149,0.5921,23.9,1.5,0,26.1,22.7,20.9,3.9648,3.8138,80.0257,81.5031,12:32:31.361
150,0.5737,24.0,1.5,0,26.1,22.9,21.3,5.3997,3.3606,80.0186,80.3125,12:32:32.587
151,0.5762,23.9,1.5,0,26.1,22.5,21.3,3.1341,3.3984,80.2557,80.3985,12:32:33.810
152,0.6531,23.9,1.5,0,24.6,22.7,20.4,3.3984,3.5494,81.0062,79.9411,12:32:35.036
153,0.5872,23.9,1.5,0,24.7,22.9,20.9,4.6445,4.7578,80.2526,80.5506,12:32:36.257
154,0.5884,23.9,1.5,0,24.7,23.2,20.9,2.983,2.6054,80.2067,81.4921,12:32:37.486
155,0.5786,23.9,1.5,0,26.1,22.7,20.9,3.7382,3.2096,60.6838,59.8396,12:32:38.730
156,0.6055,23.9,1.5,0,26.1,22.9,20.7,3.7382,3.625,59.3047,62.629,12:32:39.954
157,0.586,23.9,1.5,0,24.7,23.2,20.2,3.1718,3.0208,59.7114,59.9844,12:32:41.198
158,0.6214,23.9,1.5,0,24.7,22.9,20.7,2.6054,3.0208,61.5395,59.5622,12:32:42.441
159,0.6153,23.9,1.5,0,26.1,22.7,20.9,3.5117,3.2474,59.9649,59.4723,12:32:43.629
160,0.5762,23.9,1.5,0,26.1,23.4,20.4,3.0208,2.9075,60.1998,60.6209,12:32:44.857
161,0.5884,23.9,1.5,0,26.1,23.2,21.1,2.832,2.7187,60.9969,60.4433,12:32:46.104
162,0.6201,23.9,1.5,0,24.7,23.2,20.9,2.6054,2.8698,59.9681,60.7768,12:32:47.328
163,0.6238,23.9,1.5,0,24.7,22.9,21.1,3.0208,4.0781,61.1458,59.9327,12:32:48.537
164,0.531,23.9,1.5,0,24.7,23.2,20.9,3.776,3.3606,60.6909,60.1379,12:32:49.763
165,0.5432,23.9,1.5,0,24.7,22.7,21.3,3.5872,2.681,59.8223,59.8311,12:32:51.007
166,0.5786,25.3,1.5,0,24.7,22.9,20.4,3.5872,3.5872,59.6622,59.8353,12:32:52.278
