Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
83,17.5,14.1,3.7005,3.2851,59.9487,59.8007,09:02:20.564
84,17.3,13.8,4.0026,3.1341,60.1213,60.0355,09:02:21.327
85,17.5,14.1,3.5872,3.3984,60.0947,60.2068,09:02:22.084
86,17.0,14.3,4.6822,4.0026,80.619,80.0278,09:02:22.862
87,17.3,14.1,6.0794,3.9648,80.5999,80.5721,09:02:23.652
88,17.0,13.6,4.4557,4.2291,80.4354,80.2342,09:02:24.410
89,17.5,14.1,4.8333,3.8893,80.3321,80.4576,09:02:25.175
90,17.5,13.6,4.3046,4.3046,80.4112,80.6659,09:02:25.936
91,17.3,13.6,4.8333,3.927,80.6012,80.3442,09:02:26.696
92,17.0,14.5,4.5312,3.3229,80.5213,80.5739,09:02:27.459
93,17.5,13.8,5.3997,3.7005,80.6883,80.4466,09:02:28.222
94,17.5,13.8,4.7578,4.4934,80.6705,79.5636,09:02:28.981
95,17.7,13.4,4.2291,3.7382,80.3977,80.2066,09:02:29.729
96,17.5,14.1,4.9088,4.3424,80.369,80.7113,09:02:30.490
97,17.0,14.5,4.1914,4.0403,80.2851,80.0265,09:02:31.266
98,17.5,14.1,4.871,3.5117,81.0923,80.4749,09:02:32.026
99,17.5,14.3,4.871,3.2096,80.6481,80.23,09:02:32.779
100,17.5,14.1,4.2291,3.5117,79.8419,80.4313,09:02:33.542
101,17.3,13.8,4.4934,3.1341,80.5217,80.6142,09:02:34.302
102,17.5,13.8,4.1914,2.9453,81.0024,80.508,09:02:35.068
103,17.0,14.8,4.6067,3.5117,80.447,80.9306,09:02:35.846
104,17.3,14.1,4.1536,3.0208,80.3344,80.1967,09:02:36.607
105,17.0,14.1,4.6822,2.5299,80.6729,80.3841,09:02:37.365
106,17.7,14.3,5.3619,4.3424,98.6634,99.5059,09:02:38.126
107,17.7,14.5,4.6445,4.9843,99.8659,99.9201,09:02:38.890
108,17.5,14.1,4.72,4.0781,99.2394,99.6253,09:02:39.649
109,17.5,13.8,4.2669,3.0963,99.896,99.5591,09:02:40.408
110,17.5,14.5,5.513,4.4179,99.6432,99.4777,09:02:41.170
111,17.3,14.1,4.9466,4.8333,99.5337,99.8114,09:02:41.935
112,17.9,13.4,5.3242,4.1158,99.7549,99.9,09:02:42.712
113,17.7,14.5,4.4179,4.2669,99.3804,99.8761,09:02:43.472
114,17.3,14.5,5.0221,4.6822,100.3049,98.9359,09:02:44.221
115,17.3,13.8,5.3997,5.0221,99.5598,98.9227,09:02:44.980
116,17.5,13.8,4.9843,3.5872,99.3883,99.8678,09:02:45.771
117,17.7,14.3,4.569,4.8333,99.1606,99.6185,09:02:46.532
118,17.5,13.8,5.3619,3.927,99.2378,100.1085,09:02:47.294
119,17.5,14.5,5.664,4.0403,99.6659,99.6475,09:02:48.054
120,17.3,13.6,4.0026,3.3229,99.4773,100.8861,09:02:48.828
