Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,10,8.2,7.2688,4.1536,5.3525,3.058571429,59.9541,59.687,01:31.8
2,10.2,8.2,7.0706,4.040342857,6.3437,3.624971429,59.5791,59.7289,01:32.7
3,10,8.2,3.304,1.888,2.9075,1.661428571,24.6131,50.9262,01:33.5
4,10.2,7.9,4.2952,2.4544,3.2379,1.850228571,20.2638,20.3966,01:34.3
5,10,8.2,4.2952,2.4544,3.1718,1.812457143,20.4748,20.4165,01:35.0
6,10,7.7,3.8987,2.227828571,3.2379,1.850228571,20.5913,20.4837,01:35.8
7,10,7.9,4.8899,2.794228571,3.9648,2.2656,20.3536,20.2889,01:36.6
8,10,7.5,4.5595,2.605428571,2.7093,1.548171429,20.4415,20.3587,01:37.3
9,9.5,8.2,5.2864,3.0208,3.5683,2.039028571,20.9879,20.0146,01:38.1
10,9.8,7.5,4.163,2.378857143,2.5771,1.472628571,20.6299,20.2419,01:38.8
11,10,8.2,4.4274,2.529942857,4.2291,2.416628571,20.394,20.4907,01:39.6
12,10,7.5,4.956,2.832,4.4274,2.529942857,20.8729,20.2681,01:40.4
13,10,8.2,4.2952,2.4544,3.1058,1.774742857,20.3415,20.2837,01:41.2
14,9.5,7.9,4.6256,2.6432,3.1718,1.812457143,20.2899,20.6904,01:41.9
15,10,8.6,3.9648,2.2656,4.6917,2.680971429,20.2329,20.7666,01:42.7
16,10.4,7.7,6.0133,3.436171429,4.6917,2.680971429,37.2657,21.1812,01:43.5
17,9.8,7.5,7.0045,4.002571429,5.815,3.322857143,39.6366,39.4953,01:44.3
18,10,8.6,6.608,3.776,4.6256,2.6432,39.9235,39.4108,01:45.0
19,10.2,8.4,5.0882,2.907542857,4.5595,2.605428571,39.4289,39.5398,01:45.8
20,10,8.4,5.4186,3.096342857,3.7005,2.114571429,39.6199,40.0748,01:46.6
21,9.5,8.2,5.4186,3.096342857,4.4934,2.567657143,39.5626,39.5789,01:47.3
22,10.2,8.6,5.3525,3.058571429,4.6917,2.680971429,39.5993,39.3903,01:48.1
23,10.4,7.7,5.1542,2.945257143,3.5683,2.039028571,39.9835,39.5525,01:48.9
24,10.2,8.4,4.8238,2.756457143,3.8326,2.190057143,39.7437,39.4957,01:49.6
25,10.4,7.9,5.4846,3.134057143,4.2952,2.4544,39.7218,39.8033,01:50.4
26,10.4,7.9,6.0794,3.473942857,4.5595,2.605428571,39.7516,39.5952,01:51.1
27,10,8.6,6.2776,3.5872,4.6917,2.680971429,39.6231,39.6287,01:51.9
28,10,8.6,5.9472,3.3984,4.7578,2.718742857,39.7218,39.8033,01:52.6
29,10,8.2,7.3349,4.191371429,6.0133,3.436171429,41.7167,39.6432,01:53.4
30,10,7.7,5.2864,3.0208,5.815,3.322857143,59.9192,59.8254,01:54.2
31,10.2,7.7,6.2115,3.549428571,4.3613,2.492171429,60.2568,59.8808,01:55.0
32,10.2,8.6,7.3349,4.191371429,5.9472,3.3984,60.0467,60.14,01:55.7
33,10.4,8.4,9.5155,5.437428571,6.2776,3.5872,59.9345,59.9552,01:56.5
34,10,7.9,7.2688,4.1536,7.0706,4.040342857,60.9236,59.2419,01:57.2
35,10.4,7.9,6.608,3.776,5.815,3.322857143,59.9752,60.2803,01:58.0
36,10.7,7.5,7.0706,4.040342857,6.0133,3.436171429,60.1734,59.9042,01:58.8
37,10,7.5,6.8723,3.927028571,5.0221,2.869771429,59.9567,59.8206,01:59.5
38,10.4,7.9,6.2776,3.5872,5.1542,2.945257143,59.8149,59.5545,02:00.3
39,10.2,8.2,5.9472,3.3984,6.0794,3.473942857,59.7423,59.8764,02:01.1
40,10.4,7.9,7.5331,4.304628571,5.8811,3.360628571,59.9032,59.8933,02:01.9
41,9.8,8.2,7.467,4.266857143,6.5419,3.738228571,60.1395,60.1655,02:02.6
42,9.8,8.2,9.7138,5.550742857,8.1278,4.644457143,60.6882,60.2553,02:03.4
43,10.2,7.5,7.8635,4.493428571,7.467,4.266857143,80.7878,80.3617,02:04.2
44,10.2,8.2,9.5816,5.4752,7.2027,4.115828571,80.5036,79.9086,02:04.9
45,10.2,8.6,8.7886,5.022057143,6.2776,3.5872,80.4009,80.6698,02:05.7
46,10.7,8.2,7.9296,4.5312,6.6741,3.813771429,80.1704,80.3361,02:06.5
47,10,8.2,8.7886,5.022057143,6.3437,3.624971429,80.501,80.3245,02:07.2
48,10,8.6,10.0442,5.739542857,7.0045,4.002571429,80.2627,80.0889,02:08.0
49,10,7.9,8.0618,4.606742857,7.467,4.266857143,80.4436,80.4484,02:08.8
50,10.4,8.2,8.26,4.72,7.8635,4.493428571,80.3426,80.4507,02:09.5
51,9.8,8.6,8.1278,4.644457143,7.7974,4.455657143,80.2831,80.5117,02:10.3
52,10.4,7.9,8.26,4.72,7.9957,4.568971429,80.446,80.481,02:11.0
53,10,7.5,9.2512,5.2864,6.4758,3.700457143,80.3162,80.2027,02:11.8
54,10,7.7,9.7798,5.588457143,7.2688,4.1536,80.877,80.314,02:12.6
55,10.4,8.4,11.4318,6.532457143,7.5992,4.3424,80.5275,80.3685,02:13.3
56,10,7.7,7.9957,4.568971429,6.2115,3.549428571,99.6788,100.0884,02:14.1
57,10.4,7.9,11.1014,6.343657143,8.3922,4.795542857,99.2412,99.4076,02:14.9
58,10,8.6,9.3173,5.324171429,9.6477,5.512971429,99.6375,99.4694,02:15.6
59,10.4,7.9,9.053,5.173142857,9.4494,5.399657143,99.8011,99.3658,02:16.4
60,10.2,8.2,8.5243,4.871028571,7.7314,4.417942857,100.2239,100.068,02:17.1
61,10.2,8.2,10.771,6.154857143,8.3261,4.757771429,100.1866,99.2486,02:17.9
62,10.4,7.9,10.2424,5.8528,8.9869,5.135371429,99.5256,99.7084,02:18.7
63,10.4,8.2,8.7886,5.022057143,7.5992,4.3424,99.6492,99.2076,02:19.4
64,10,8.2,8.26,4.72,8.5243,4.871028571,99.2888,100.1775,02:20.2
65,10,7.9,10.705,6.117142857,7.9957,4.568971429,100.2355,98.4175,02:21.0
66,10.4,8.6,8.5904,4.9088,8.9869,5.135371429,99.2589,99.6714,02:21.7
67,10.7,9.1,8.7226,4.984342857,6.1454,3.511657143,99.1831,99.647,02:22.5
68,10.4,8.8,12.0266,6.872342857,7.467,4.266857143,98.7511,100.3302,02:23.2
69,10.4,8.2,10.8371,6.192628571,10.1763,5.815028571,119.4642,120.2889,02:24.0
70,10.7,7.7,10.9693,6.268171429,10.2424,5.8528,119.5366,119.9277,02:24.8
71,10.4,7.9,11.6962,6.683542857,11.0354,6.305942857,120.0679,119.9827,02:25.5
72,10.4,8.4,11.4318,6.532457143,9.5816,5.4752,119.1566,120.6687,02:26.3
73,10.2,8.2,11.6301,6.645771429,10.5728,6.0416,120.0576,120.3649,02:27.0
74,10.4,8.6,11.4979,6.570228571,10.9032,6.2304,119.2276,120.4901,02:27.8
75,10.9,8.2,11.3658,6.494742857,8.9208,5.0976,119.754,120.6039,02:28.5
76,10.2,7.9,11.6301,6.645771429,8.6565,4.946571429,118.9684,120.6857,02:29.3
77,10.7,8.6,10.0442,5.739542857,9.912,5.664,119.6839,119.9911,02:30.1
78,10.4,8.2,11.4979,6.570228571,10.3085,5.890571429,120.3717,119.7268,02:30.8
79,10.4,7.9,10.705,6.117142857,9.053,5.173142857,120.1386,119.9894,02:31.6
80,10.9,9.1,12.2248,6.9856,9.3834,5.361942857,120.6319,119.4776,02:32.4
81,10.9,8.8,9.7798,5.588457143,6.4098,3.662742857,120.5679,119.9856,02:33.1
82,10.9,8.2,9.2512,5.2864,8.9869,5.135371429,99.5116,99.5981,02:33.9
83,10.7,9.1,8.7226,4.984342857,8.26,4.72,99.6574,100.3014,02:34.7
84,11.1,8.4,9.119,5.210857143,7.9957,4.568971429,99.7167,99.416,02:35.4
85,10.9,8.6,7.401,4.229142857,8.3922,4.795542857,99.9176,99.2785,02:36.2
86,10.9,8.2,10.3746,5.928342857,8.4582,4.833257143,100.6565,99.0765,02:37.0
87,10.9,8.6,8.9208,5.0976,8.3261,4.757771429,99.556,99.3999,02:37.7
88,10.9,8.2,9.3834,5.361942857,6.6741,3.813771429,99.7411,99.3438,02:38.5
89,10.9,8.2,7.5992,4.3424,8.7226,4.984342857,99.233,100.0887,02:39.2
90,10.4,8.8,9.119,5.210857143,8.5904,4.9088,99.4742,98.9688,02:40.0
91,10.9,7.9,9.7798,5.588457143,8.3261,4.757771429,99.3415,99.5046,02:40.8
92,11.1,7.9,8.26,4.72,6.4098,3.662742857,99.7222,99.605,02:41.6
