Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,16.8,14.1,2.1523,3.2474,20.1767,20.4266,11:13:23.648
2,16.8,14.1,2.9453,2.3789,20.1184,20.8698,11:13:24.613
3,17.0,13.6,2.2278,1.6237,20.4041,20.0493,11:13:25.373
4,16.6,13.2,2.1146,2.039,20.276,20.3592,11:13:26.138
5,16.6,14.3,2.5299,2.2656,20.3497,20.4216,11:13:26.902
6,16.6,13.8,2.3411,2.2278,20.1952,20.3309,11:13:27.663
7,16.6,13.2,2.681,1.7747,20.0202,20.3883,11:13:28.426
8,16.6,14.1,2.0768,2.7942,20.3585,20.1935,11:13:29.187
9,16.6,13.6,2.1523,2.7565,20.071,20.2714,11:13:29.946
10,16.6,13.8,2.7187,2.1523,20.2824,20.4803,11:13:30.704
11,16.6,13.8,2.5299,2.0768,20.658,20.5451,11:13:31.479
12,17.0,13.2,3.3984,2.5677,20.4454,20.2571,11:13:32.257
13,16.6,13.6,2.039,2.983,20.3781,20.4387,11:13:33.020
14,17.0,14.5,3.2474,1.6237,20.855,19.9767,11:13:33.778
15,16.8,14.1,2.1146,2.0013,20.3756,20.2445,11:13:34.536
16,16.6,13.6,2.0013,2.4922,20.2728,20.2671,11:13:35.296
17,16.6,14.1,3.5117,2.6432,20.3351,20.6763,11:13:36.056
18,17.0,13.6,2.5299,1.9258,20.3266,20.5113,11:13:36.820
19,16.3,14.3,2.0013,1.6614,20.6021,20.5657,11:13:37.612
20,16.8,14.1,2.7942,2.1146,20.4467,20.503,11:13:38.376
21,17.0,14.1,2.7942,2.2278,20.2877,20.2023,11:13:39.136
22,16.8,14.1,1.888,1.9635,20.4001,20.4574,11:13:39.899
23,17.0,13.6,3.2096,1.8502,20.4321,20.2253,11:13:40.659
24,16.6,14.1,2.832,2.0013,20.4246,20.4213,11:13:41.417
25,17.0,13.4,2.7187,2.4166,21.0992,20.4513,11:13:42.174
26,16.8,14.1,2.9075,1.6614,20.3838,20.3934,11:13:42.936
27,16.3,13.6,2.6054,1.737,20.9742,20.3136,11:13:43.715
28,16.6,13.4,2.5677,2.8698,20.166,20.3454,11:13:44.506
29,16.6,14.1,3.0586,2.1901,20.4121,20.2793,11:13:45.267
30,16.6,13.2,2.039,2.7187,20.4044,20.4154,11:13:46.034
31,17.0,14.1,2.5299,2.3411,20.3368,20.2229,11:13:46.796
32,17.0,14.1,3.3984,2.7187,20.2918,20.3526,11:13:47.558
33,16.6,13.8,3.2096,1.8502,20.0179,20.5306,11:13:48.316
34,16.8,13.8,2.4166,2.039,20.3834,20.6903,11:13:49.078
35,16.6,13.6,2.6054,2.3034,20.332,20.4271,11:13:49.839
36,17.0,14.1,2.1146,3.1341,20.4366,20.4798,11:13:50.600
37,16.8,14.1,2.983,1.888,20.4931,20.181,11:13:51.375
38,16.6,14.1,2.039,2.3411,20.2952,20.074,11:13:52.136
39,16.6,13.2,3.2851,1.888,20.2379,20.4955,11:13:52.896
40,17.0,13.8,2.2656,2.5299,20.4186,20.8847,11:13:53.658
41,16.6,13.2,2.832,2.1523,20.4218,20.1925,11:13:54.451
42,16.3,13.8,2.5299,2.4922,20.3959,20.208,11:13:55.211
43,16.6,13.6,2.0013,2.8698,20.5345,20.3898,11:13:55.973
44,16.8,13.6,3.0208,2.9453,20.2975,20.4487,11:13:56.737
45,17.0,13.6,2.3034,2.1523,20.3937,20.2779,11:13:57.496
46,16.6,13.6,2.8698,2.6432,20.8946,20.3222,11:13:58.256
47,16.8,13.6,3.4362,3.1341,39.694,39.6901,11:13:59.020
48,16.6,13.8,2.4544,2.5677,39.9955,39.6187,11:13:59.778
49,17.0,13.6,3.0208,2.3411,39.6409,39.4302,11:14:00.539
50,16.6,13.8,2.983,2.8698,39.5104,39.4561,11:14:01.300
51,16.6,13.6,3.2096,2.9453,39.5917,39.0634,11:14:02.062
52,16.8,13.4,2.6054,2.7565,39.7047,39.6116,11:14:02.821
53,16.3,14.1,2.832,2.4922,39.3035,39.5336,11:14:03.568
54,16.6,13.6,2.9075,2.7187,39.5874,39.8876,11:14:04.334
55,16.3,13.8,2.7565,3.4739,39.5457,39.4485,11:14:05.093
56,17.0,13.6,2.8698,2.4166,39.6422,39.6229,11:14:05.855
57,16.6,13.6,3.776,3.4739,39.5975,39.5806,11:14:06.620
58,16.8,13.6,2.7565,2.6432,39.5919,39.4771,11:14:07.414
59,16.8,13.8,4.2291,2.6432,39.772,39.6919,11:14:08.178
60,16.6,14.1,3.2096,3.0208,39.9546,39.1993,11:14:08.939
61,16.6,14.1,2.983,2.8698,40.0019,40.0337,11:14:09.700
62,16.8,14.1,2.8698,2.1146,40.4781,39.0835,11:14:10.457
63,17.0,14.1,3.625,2.6432,40.0175,39.6896,11:14:11.220
64,16.6,13.2,2.5677,2.7565,39.4962,40.1389,11:14:11.976
65,16.8,14.3,2.983,2.4922,39.611,39.2968,11:14:12.734
66,16.3,13.8,3.7005,4.1914,59.8263,60.7774,11:14:13.501
67,17.0,14.1,3.2851,3.2474,59.9395,59.9222,11:14:14.264
68,16.8,14.1,3.776,2.7187,60.0154,59.9199,11:14:15.027
69,16.3,13.4,4.0026,2.9075,60.1279,60.0418,11:14:15.786
70,16.3,14.1,4.1536,3.8138,59.8422,60.1212,11:14:16.551
71,16.6,13.6,3.2096,2.8698,60.4204,59.902,11:14:17.323
72,16.6,14.1,3.4739,3.0208,60.2656,59.9045,11:14:18.087
73,16.6,13.4,4.0781,3.4362,60.2557,59.8544,11:14:18.847
74,16.6,13.4,5.2864,4.1536,60.4276,60.113,11:14:19.607
75,16.8,13.6,3.8138,3.1341,60.419,59.6298,11:14:20.371
76,16.6,13.8,4.3802,3.1341,59.9355,59.6893,11:14:21.133
77,16.6,13.2,4.1536,3.3606,60.0263,59.8752,11:14:21.894
78,16.8,14.1,3.5872,3.776,60.0202,59.7549,11:14:22.654
79,16.8,13.4,3.5494,2.983,59.9466,59.6388,11:14:23.414
80,16.6,12.9,2.832,2.7565,59.9898,60.125,11:14:24.181
81,17.0,13.8,3.625,3.5494,59.8131,60.01,11:14:24.945
82,16.8,12.9,5.0976,3.625,59.9474,60.0869,11:14:25.733
83,16.6,13.6,3.9648,3.6627,60.4734,60.31,11:14:26.495
84,16.6,13.6,3.2851,3.0586,59.8457,59.8019,11:14:27.256
85,16.8,13.6,4.4934,3.3229,59.8355,60.0303,11:14:28.014
86,16.8,13.2,3.927,3.5117,80.1786,80.4196,11:14:28.778
87,16.6,13.4,4.0026,4.1914,80.6376,80.1722,11:14:29.538
88,16.8,14.3,3.776,3.2851,80.8146,80.1806,11:14:30.300
89,17.3,14.3,4.9843,3.3229,80.9344,81.9197,11:14:31.063
90,16.8,13.6,3.9648,2.6432,79.936,80.2587,11:14:31.819
91,17.0,14.5,4.569,3.2096,80.783,80.4759,11:14:32.576
92,16.8,14.1,3.927,3.0586,80.4627,80.4716,11:14:33.341
93,16.6,14.1,4.4934,3.7382,80.3418,79.9324,11:14:34.104
94,16.8,13.6,5.4752,2.8698,80.7112,80.2392,11:14:34.864
95,17.0,14.1,5.0221,3.4739,80.9354,81.024,11:14:35.618
96,16.8,13.6,3.3984,3.0963,80.8226,80.0952,11:14:36.381
97,16.6,13.8,3.7382,3.2851,80.3848,80.3536,11:14:37.142
98,17.0,14.5,3.8893,3.8893,80.2194,80.0323,11:14:37.917
99,17.0,14.1,3.1341,4.569,79.9927,80.2141,11:14:38.675
100,17.0,14.5,3.5494,4.1158,80.1078,80.8425,11:14:39.438
101,17.3,13.8,3.2096,3.3984,80.0531,80.7991,11:14:40.202
102,16.8,14.1,3.8138,3.3229,80.1647,80.5795,11:14:40.958
103,16.8,14.1,4.3802,3.9648,80.1516,81.1147,11:14:41.718
104,17.3,13.2,4.2669,3.1718,80.2299,80.2322,11:14:42.493
105,16.8,14.5,4.7578,4.0026,80.492,80.1819,11:14:43.254
106,17.0,14.1,4.72,5.1731,99.2183,99.8025,11:14:44.021
107,16.8,14.8,4.871,4.5312,99.6349,99.4118,11:14:44.785
108,16.6,13.8,3.3229,4.3424,99.8978,99.4864,11:14:45.561
109,17.0,13.6,4.6822,4.3424,99.9678,99.3774,11:14:46.319
110,16.8,13.8,4.871,4.2669,99.8067,98.8741,11:14:47.084
111,16.6,13.8,4.569,4.1536,99.3256,99.7103,11:14:47.846
112,17.3,13.6,3.927,4.7955,99.3303,99.8915,11:14:48.607
113,17.0,13.6,4.9466,4.3424,99.9684,99.2832,11:14:49.370
114,16.8,14.1,5.664,3.8893,99.3168,99.2271,11:14:50.134
115,16.8,13.6,4.5312,3.3606,99.3383,98.8211,11:14:50.893
116,16.8,14.1,4.4934,3.8893,99.3127,100.394,11:14:51.653
117,17.0,14.1,5.2109,4.3424,99.412,100.6466,11:14:52.415
118,17.0,13.6,4.6067,4.569,99.5056,99.5594,11:14:53.179
119,17.3,13.8,3.625,3.3984,99.517,99.0125,11:14:53.942
120,17.0,13.2,4.9843,3.4739,99.071,99.5359,11:14:54.705
121,16.8,14.5,4.6445,4.3424,99.5143,99.6071,11:14:55.469
122,16.8,13.4,4.0781,4.1536,100.1457,99.6235,11:14:56.229
123,17.3,13.8,3.776,3.776,99.6133,99.7459,11:14:56.991
124,17.0,13.8,4.8333,3.9648,99.62,99.2396,11:14:57.768
125,17.5,14.3,5.5885,4.4934,119.8253,119.522,11:14:58.544
126,17.3,14.5,4.9843,4.9088,119.482,120.6428,11:14:59.307
127,16.8,14.1,5.2486,4.6822,120.0267,119.9207,11:15:00.068
128,17.0,14.1,5.1354,4.871,119.5865,120.4672,11:15:00.832
129,17.0,14.3,5.0598,4.569,119.8556,119.9069,11:15:01.597
130,17.0,13.2,5.8528,4.1536,120.2143,119.8541,11:15:02.360
131,17.3,13.6,5.0598,3.5872,120.1896,120.093,11:15:03.124
132,17.5,13.6,4.9843,4.1914,120.4998,119.6338,11:15:03.883
133,17.5,14.1,4.4557,3.4739,120.2234,120.0991,11:15:04.647
134,16.8,14.1,4.569,4.9466,119.8499,119.494,11:15:05.408
135,17.0,14.5,3.927,3.8515,119.6488,119.7639,11:15:06.166
136,17.0,14.5,5.1354,5.0976,119.5333,119.8235,11:15:06.927
137,17.3,13.6,4.1914,3.4739,120.1746,119.833,11:15:07.687
138,17.5,13.6,5.513,4.4934,120.3578,119.8354,11:15:08.430
139,17.3,14.1,3.3229,4.2669,120.3057,120.3133,11:15:09.192
140,17.3,14.3,4.9843,4.7955,119.6614,120.1809,11:15:09.972
141,17.3,15.2,4.2669,4.3046,120.4111,119.925,11:15:10.730
142,17.3,14.1,4.4557,4.9843,119.9701,120.2156,11:15:11.473
143,16.8,14.1,4.3424,4.3046,120.3117,120.0569,11:15:12.235
144,17.0,13.8,4.8333,4.3424,119.9724,121.0208,11:15:12.994
145,17.3,13.4,3.3229,3.3229,99.4745,99.6573,11:15:13.769
146,17.3,13.6,4.6067,3.7005,99.3205,99.493,11:15:14.530
147,17.5,14.1,4.6067,4.0403,99.386,99.4006,11:15:15.292
148,17.0,14.1,5.513,4.1158,99.5738,99.4917,11:15:16.053
149,17.3,13.6,3.6627,4.0781,99.7225,99.3582,11:15:16.831
150,17.5,14.5,4.7578,3.7005,100.3988,99.2202,11:15:17.589
151,17.5,14.1,4.1914,4.0403,99.5528,99.3283,11:15:18.350
152,17.3,14.3,4.1536,4.5312,99.7903,99.6233,11:15:19.114
153,17.5,14.8,4.4934,3.7382,99.4249,99.297,11:15:19.874
154,17.0,15.4,4.5312,4.4557,99.4107,98.9496,11:15:20.648
155,17.5,14.3,4.0781,4.3424,99.6068,99.6188,11:15:21.409
156,17.3,14.1,4.5312,3.0586,99.5127,99.7146,11:15:22.169
157,17.5,14.1,5.0598,3.5494,99.1327,99.9091,11:15:22.932
158,17.3,14.3,4.2669,5.3619,99.2121,100.0714,11:15:23.697
159,17.3,13.6,4.2669,5.1354,99.5201,99.6909,11:15:24.462
160,17.5,13.6,4.871,3.2096,99.7893,100.2042,11:15:25.227
161,17.5,14.3,4.4934,4.0403,99.912,99.4961,11:15:25.990
162,17.7,14.5,4.9088,4.2669,99.7171,99.241,11:15:26.770
163,17.5,14.5,5.4374,4.0403,99.5132,99.4676,11:15:27.531
164,17.5,14.5,3.2474,3.5872,99.4848,99.3484,11:15:28.291
165,17.5,14.5,3.3229,3.7382,80.4143,80.3098,11:15:29.057
166,17.5,13.6,3.0963,3.4362,80.1355,80.3248,11:15:29.827
