Log,cp_pressure,mixer_temperature_Funnel,cp_flowrate,mixer_pressure,cp_temperature,ac_flowrate,mixer_speed_M2,mixer_torque_M1,mixer_speed_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_temperature_Funnel_outlet,mixer_motor_temperature_M1,Time
1,0.455,25.3,1.5,0.24,24.8,0.0,60.111,1.661,60.111,2.341,21.1,27.9,19.8,11:21:09.261
2,0.47,25.3,1.5,0.212,26.2,0.0,59.98,1.246,59.98,1.85,21.1,25.8,18.8,11:21:10.383
3,0.501,25.3,1.5,0.28,26.2,0.0,60.395,1.473,60.395,1.964,21.3,25.8,19.3,11:21:11.503
4,0.54,26.8,1.5,0.228,24.8,0.0,60.077,1.435,60.077,1.699,20.9,25.8,19.5,11:21:12.602
5,0.498,25.3,1.5,0.214,26.2,0.0,59.976,2.115,59.976,1.812,21.1,25.8,18.8,11:21:13.702
6,0.558,26.8,1.5,0.26,24.8,0.0,59.867,2.266,59.867,2.19,21.3,27.9,18.6,11:21:14.804
7,0.468,25.3,1.5,0.223,26.2,0.0,59.929,1.85,59.929,2.228,20.9,25.8,20.0,11:21:15.913
8,0.521,25.3,1.5,0.189,24.8,0.0,59.873,1.586,59.873,1.85,21.1,25.8,19.8,11:21:17.018
9,0.518,25.3,1.5,0.27,24.8,0.0,59.922,1.473,59.922,1.661,21.6,25.8,20.0,11:21:18.121
10,0.476,25.3,1.5,0.255,26.2,0.0,60.028,1.435,60.028,1.926,21.1,25.8,19.1,11:21:19.226
11,0.486,26.8,1.5,0.383,24.8,0.0,59.884,1.85,59.884,1.926,20.9,27.9,19.8,11:21:20.329
12,0.46,25.3,1.5,0.222,26.2,0.0,60.212,1.85,60.212,1.85,21.3,25.8,19.5,11:21:21.437
13,0.448,25.3,1.5,0.25,24.8,0.0,60.2,1.699,60.2,2.19,21.1,25.8,18.8,11:21:22.537
14,0.546,25.3,1.5,0.193,24.8,0.0,60.352,1.624,60.352,1.812,21.3,25.8,18.8,11:21:23.646
15,0.486,25.3,1.5,0.227,26.2,0.0,60.125,1.661,60.125,1.888,21.3,25.8,18.8,11:21:24.754
16,0.464,26.8,1.5,0.197,24.8,0.0,60.123,1.397,60.123,1.586,21.6,27.9,19.3,11:21:25.852
17,0.502,25.3,1.5,0.226,26.3,0.0,60.082,1.624,60.082,1.661,21.1,25.8,19.5,11:21:26.958
18,0.482,26.8,1.5,0.284,24.8,0.0,60.055,1.812,60.055,2.077,21.1,27.9,18.8,11:21:28.063
19,0.472,26.8,1.5,0.175,24.8,0.0,60.047,1.812,60.047,2.115,21.6,27.9,19.5,11:21:29.169
20,0.51,25.3,1.5,0.227,24.8,0.0,59.905,1.246,59.905,2.266,21.1,25.8,18.8,11:21:30.269
21,0.477,26.8,1.5,0.228,24.8,0.0,59.665,1.812,59.665,1.926,21.8,27.9,19.5,11:21:31.377
22,0.481,25.3,1.5,0.217,24.8,0.0,59.934,1.624,59.934,1.737,20.9,25.8,19.3,11:21:32.498
23,0.479,25.3,1.5,0.276,24.8,0.0,60.029,1.435,60.029,1.624,21.1,25.8,19.3,11:21:33.603
24,0.559,25.3,1.5,0.271,24.8,0.0,60.051,2.039,60.051,1.888,21.1,25.8,19.8,11:21:34.701
25,0.483,25.3,1.5,0.226,26.3,0.0,60.06,2.001,60.06,2.228,21.1,25.8,19.5,11:21:35.809
26,0.43,26.8,1.5,0.188,24.8,0.0,60.042,1.699,60.042,2.379,21.3,27.9,20.0,11:21:36.911
27,0.511,25.3,1.5,0.233,26.3,0.0,60.061,1.359,60.061,2.19,21.1,25.8,19.8,11:21:38.010
