Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,10.4,9.1,5.4186,3.096342857,5.8811,3.360628571,59.8332,60.289,45:02.2
2,11.1,8.8,5.4846,3.134057143,5.4846,3.134057143,60.1604,59.7756,45:03.1
3,10.4,8.2,3.7005,2.114571429,3.304,1.888,24.9068,53.4942,45:03.9
4,11.3,8.6,4.3613,2.492171429,2.7754,1.585942857,20.3349,20.4339,45:04.6
5,10.9,8.2,3.1058,1.774742857,3.7666,2.152342857,20.3542,20.4406,45:05.4
6,10.7,8.4,3.1718,1.812457143,2.9736,1.6992,20.1248,20.5744,45:06.2
7,11.1,9.1,4.163,2.378857143,2.9075,1.661428571,20.4333,20.3435,45:06.9
8,10.7,7.9,3.0397,1.736971429,3.5022,2.001257143,20.381,20.4626,45:07.7
9,10.7,8.4,3.9648,2.2656,3.5022,2.001257143,20.4117,20.3999,45:08.5
10,10.9,8.6,3.2379,1.850228571,3.1058,1.774742857,20.4657,20.5401,45:09.2
11,10.4,8.6,3.304,1.888,4.0309,2.303371429,20.2966,20.252,45:10.0
12,10.7,8.8,3.1058,1.774742857,3.8326,2.190057143,20.8653,20.4038,45:10.8
13,11.1,8.2,3.5683,2.039028571,2.511,1.434857143,20.5075,20.5263,45:11.5
14,10.4,8.2,3.2379,1.850228571,3.9648,2.2656,20.409,20.3435,45:12.3
15,10.9,9.1,3.5683,2.039028571,2.9075,1.661428571,20.5643,20.3022,45:13.1
16,10.9,7.9,4.2291,2.416628571,4.2291,2.416628571,29.4807,20.7077,45:13.8
17,10.7,9.1,4.163,2.378857143,3.6344,2.0768,39.7708,39.7759,45:14.6
18,11.1,8.6,3.7666,2.152342857,4.0309,2.303371429,39.408,39.4068,45:15.4
19,10.7,8.4,4.7578,2.718742857,4.4274,2.529942857,39.6223,39.5384,45:16.1
20,10.4,8.8,4.8899,2.794228571,4.2952,2.4544,39.5126,39.5065,45:16.9
21,11.1,8.6,3.6344,2.0768,4.163,2.378857143,39.5242,39.41,45:17.6
22,11.3,8.6,3.9648,2.2656,3.4362,1.963542857,39.6194,39.624,45:18.4
23,11.1,8.6,4.6256,2.6432,3.9648,2.2656,39.1504,39.5859,45:19.2
24,10.7,7.9,4.5595,2.605428571,3.9648,2.2656,39.5923,39.2985,45:19.9
25,11.1,8.4,4.3613,2.492171429,3.9648,2.2656,39.5451,39.9064,45:20.7
26,10.7,8.2,4.4934,2.567657143,3.304,1.888,39.6413,39.5632,45:21.5
27,10.4,8.6,4.6256,2.6432,5.0221,2.869771429,39.6052,39.777,45:22.3
28,11.3,8.4,3.8326,2.190057143,4.0309,2.303371429,39.6004,39.5124,45:23.0
29,11.1,8.2,4.8238,2.756457143,4.097,2.341142857,41.2352,39.5578,45:23.8
30,11.1,8.8,5.0221,2.869771429,5.4186,3.096342857,60.0317,60.1203,45:24.5
31,10.9,8.6,6.0794,3.473942857,5.0221,2.869771429,59.8954,60.5987,45:25.3
32,10.7,8.6,5.3525,3.058571429,5.2864,3.0208,59.8762,59.9067,45:26.1
33,10.9,7.9,5.9472,3.3984,4.6917,2.680971429,60.1232,59.8928,45:26.8
34,10.9,8.2,5.5507,3.171828571,5.2203,2.983028571,60.0304,59.8088,45:27.6
35,10.9,9.1,5.749,3.285142857,5.2864,3.0208,59.935,59.9778,45:28.4
36,10.9,8.6,4.163,2.378857143,4.4934,2.567657143,59.8978,59.9538,45:29.1
37,11.1,8.2,4.956,2.832,3.5683,2.039028571,60.1633,60.225,45:29.9
38,10.9,8.2,5.5507,3.171828571,4.4934,2.567657143,60.0976,60.3273,45:30.6
39,11.1,8.2,6.6741,3.813771429,5.8811,3.360628571,60.016,59.7993,45:31.4
40,10.9,9.5,5.0882,2.907542857,5.6829,3.247371429,59.8761,59.4855,45:32.2
41,10.7,9.1,4.4934,2.567657143,5.0882,2.907542857,59.5885,60.1039,45:33.0
42,10.7,8.8,5.6168,3.2096,5.1542,2.945257143,60.1108,59.818,45:33.8
43,10.7,8.6,6.0794,3.473942857,5.6829,3.247371429,80.0887,80.6042,45:34.5
44,11.3,8.6,5.5507,3.171828571,4.3613,2.492171429,80.5835,80.2656,45:35.3
45,11.1,8.6,6.5419,3.738228571,5.0882,2.907542857,80.6906,80.3844,45:36.0
46,10.9,7.7,6.0794,3.473942857,4.8899,2.794228571,80.4202,79.9129,45:36.8
47,11.3,8.8,6.2115,3.549428571,4.5595,2.605428571,80.9749,80.5502,45:37.6
48,10.9,8.2,5.1542,2.945257143,5.2203,2.983028571,80.6611,80.2262,45:38.4
49,11.3,8.8,4.4934,2.567657143,4.956,2.832,80.5025,80.2823,45:39.1
50,10.9,9.1,5.3525,3.058571429,6.2776,3.5872,80.3152,81.0859,45:39.9
51,10.9,8.6,4.4274,2.529942857,5.815,3.322857143,80.252,80.3874,45:40.7
52,11.1,7.9,6.0794,3.473942857,5.4186,3.096342857,80.114,80.292,45:41.4
53,11.3,8.4,5.5507,3.171828571,4.163,2.378857143,80.331,80.3073,45:42.2
54,11.3,8.8,6.608,3.776,4.6256,2.6432,80.3355,80.3214,45:43.0
55,10.9,9.3,7.0045,4.002571429,5.9472,3.3984,80.4329,79.9011,45:43.8
56,11.3,8.4,7.7314,4.417942857,6.9384,3.9648,99.7203,100.3714,45:44.5
57,11.3,9.1,7.2688,4.1536,6.0794,3.473942857,99.8253,99.2881,45:45.3
58,10.9,8.6,5.8811,3.360628571,6.2776,3.5872,99.6914,99.6747,45:46.1
59,10.9,9.1,7.1366,4.078057143,5.9472,3.3984,99.7143,99.2326,45:46.8
60,10.9,8.6,7.2688,4.1536,6.4758,3.700457143,99.5986,99.6027,45:47.6
61,11.3,9.1,6.8723,3.927028571,4.6917,2.680971429,99.4716,99.6568,45:48.4
62,11.3,9.1,6.3437,3.624971429,5.6829,3.247371429,99.2966,99.7095,45:49.1
63,10.7,8.6,5.9472,3.3984,5.1542,2.945257143,99.1841,99.6777,45:49.9
64,10.9,9.1,7.0045,4.002571429,5.815,3.322857143,99.7683,99.5731,45:50.7
65,11.3,9.1,5.815,3.322857143,4.8899,2.794228571,99.8971,99.5825,45:51.4
66,10.9,8.8,6.1454,3.511657143,5.6829,3.247371429,99.5668,99.5922,45:52.2
67,11.1,8.6,7.9296,4.5312,5.1542,2.945257143,99.7456,99.5328,45:53.0
68,11.3,8.6,7.7314,4.417942857,6.2776,3.5872,99.7134,99.4789,45:53.8
69,11.6,8.6,8.4582,4.833257143,6.4098,3.662742857,120.3002,119.6089,45:54.5
70,11.1,9.1,7.2688,4.1536,5.4846,3.134057143,119.793,119.8041,45:55.3
71,10.9,9.1,6.5419,3.738228571,6.2115,3.549428571,119.8267,119.897,45:56.1
72,11.1,9.1,5.3525,3.058571429,5.4846,3.134057143,119.3078,119.0218,45:56.8
73,10.9,8.2,7.5331,4.304628571,6.7402,3.851542857,119.944,120.6707,45:57.6
74,10.9,8.6,5.749,3.285142857,6.0794,3.473942857,120.3073,119.9644,45:58.4
75,10.9,9.5,7.401,4.229142857,7.467,4.266857143,120.1988,119.8688,45:59.1
76,11.3,9.1,6.9384,3.9648,7.0706,4.040342857,119.8784,119.7684,45:59.9
77,10.9,8.6,6.0133,3.436171429,6.5419,3.738228571,119.6779,120.0847,46:00.7
78,10.9,9.1,6.0794,3.473942857,5.6168,3.2096,119.7336,120.1628,46:01.4
79,11.1,8.6,6.7402,3.851542857,6.2115,3.549428571,119.904,120.0074,46:02.2
80,10.9,9.1,6.5419,3.738228571,7.5331,4.304628571,119.7943,120.1171,46:03.0
81,11.6,8.6,6.2115,3.549428571,7.9296,4.5312,120.1364,120.1148,46:03.7
82,11.1,9.1,4.6917,2.680971429,6.0133,3.436171429,99.5524,99.5948,46:04.5
83,11.1,8.6,6.3437,3.624971429,5.815,3.322857143,100.4547,99.5085,46:05.3
84,11.1,9.3,6.8723,3.927028571,5.1542,2.945257143,99.4691,99.7626,46:06.0
85,11.3,9.1,5.2864,3.0208,5.0221,2.869771429,99.8563,99.459,46:06.8
86,11.3,8.2,7.0706,4.040342857,5.0882,2.907542857,99.3861,100.1636,46:07.6
87,11.3,8.4,5.0221,2.869771429,5.5507,3.171828571,99.8985,99.857,46:08.4
88,11.3,9.3,5.5507,3.171828571,5.3525,3.058571429,99.7914,99.6257,46:09.1
89,11.3,9.1,4.6917,2.680971429,5.1542,2.945257143,99.7066,99.4968,46:09.9
90,11.3,9.1,5.6829,3.247371429,5.4846,3.134057143,100.0436,99.2765,46:10.7
91,11.3,9.3,5.815,3.322857143,4.6917,2.680971429,99.23,99.6222,46:11.4
92,11.1,9.1,5.3525,3.058571429,6.0133,3.436171429,99.8345,99.8451,46:12.2
93,11.3,9.3,5.1542,2.945257143,6.0133,3.436171429,99.5274,99.5826,46:13.0
94,10.9,8.6,5.0221,2.869771429,5.0882,2.907542857,99.5295,100.3223,46:13.7
95,11.3,8.8,5.6168,3.2096,4.4274,2.529942857,80.3986,80.4415,46:14.5
96,11.3,8.6,5.0221,2.869771429,5.2864,3.0208,80.6414,80.5289,46:15.3
97,11.6,8.8,5.2203,2.983028571,5.2203,2.983028571,80.1631,80.3607,46:16.0
98,11.6,8.8,5.5507,3.171828571,5.5507,3.171828571,80.0368,80.2695,46:16.8
99,11.3,9.5,5.2203,2.983028571,4.3613,2.492171429,80.3608,80.1951,46:17.5
100,11.1,8.8,6.4758,3.700457143,5.3525,3.058571429,80.1312,80.4238,46:18.3
101,11.3,9.1,5.6168,3.2096,5.2203,2.983028571,80.5017,80.4971,46:19.1
102,11.3,9.3,4.8238,2.756457143,4.8899,2.794228571,80.0232,80.1664,46:19.8
103,11.6,8.4,6.1454,3.511657143,6.0794,3.473942857,80.3117,80.4136,46:20.6
104,11.1,9.1,6.608,3.776,5.6168,3.2096,80.3076,80.3897,46:21.4
105,11.3,8.6,5.749,3.285142857,6.2115,3.549428571,80.2512,80.4118,46:22.1
106,11.6,9.1,5.749,3.285142857,5.0882,2.907542857,80.4845,80.4404,46:22.9
107,11.3,9.1,4.8238,2.756457143,3.8326,2.190057143,80.5039,80.392,46:23.7
108,11.1,9.1,5.0882,2.907542857,4.5595,2.605428571,60.2034,59.8264,46:24.4
