Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.43,25.0,1.5,0.29,24.3,24.3,21.6,2.3,2.11,59.81,59.84,13:29:09.001
2,0.0,0.43,25.0,1.5,0.27,24.3,24.3,21.6,2.19,2.34,60.65,59.71,13:29:10.584
3,0.0,0.42,25.1,1.5,0.31,25.8,24.3,22.5,3.32,2.45,59.88,59.39,13:29:11.786
4,0.0,0.42,25.1,1.5,0.29,24.3,24.5,21.6,2.45,3.29,60.51,59.98,13:29:12.999
5,0.0,0.47,25.0,1.5,0.24,24.3,24.8,22.3,2.79,1.81,60.11,59.13,13:29:14.202
6,0.0,0.47,26.5,1.5,0.26,24.3,24.5,22.5,3.13,2.19,60.31,60.47,13:29:15.422
7,0.0,0.44,25.0,1.5,0.35,25.8,24.5,22.3,3.13,2.42,60.09,60.01,13:29:16.629
8,0.0,0.43,25.0,1.5,0.3,25.8,24.5,22.5,2.08,2.0,59.86,60.11,13:29:17.835
9,0.0,0.45,25.0,1.5,0.28,24.3,24.3,22.3,2.04,2.42,59.74,60.08,13:29:19.062
10,0.0,0.47,25.0,1.5,0.27,24.3,24.3,22.0,3.17,3.4,60.0,60.48,13:29:20.271
11,0.0,0.48,25.1,1.5,0.28,24.3,24.1,22.5,2.15,2.34,60.14,60.04,13:29:21.495
12,0.0,0.46,26.5,1.5,0.27,24.3,24.5,22.0,2.42,1.93,60.15,59.76,13:29:22.702
13,0.0,0.47,26.5,1.5,0.26,24.3,24.3,22.3,2.91,2.45,59.94,60.52,13:29:23.914
14,0.0,0.44,25.1,1.5,0.28,25.8,24.1,22.5,2.38,3.25,60.33,60.12,13:29:25.142
15,0.0,0.37,25.1,1.5,0.3,24.3,24.1,22.3,2.0,2.0,60.01,60.57,13:29:26.349
16,0.0,0.41,25.1,1.5,0.19,24.3,25.0,21.8,2.34,2.23,58.8,59.6,13:29:27.558
17,0.0,0.42,25.1,1.5,0.26,24.4,24.3,22.0,4.27,2.23,59.95,59.91,13:29:28.780
18,0.0,0.42,26.5,1.5,0.26,24.3,24.8,22.0,1.77,1.89,60.0,59.89,13:29:29.987
19,0.0,0.46,26.5,1.5,0.25,24.4,24.3,22.3,2.23,2.0,60.87,59.9,13:29:31.215
20,0.0,0.43,25.1,1.5,0.25,25.8,24.3,22.0,2.64,2.79,60.26,60.12,13:29:32.416
21,0.0,0.41,25.1,1.5,0.29,24.3,24.8,22.0,2.61,2.23,59.94,61.18,13:29:33.606
22,0.0,0.4,25.1,1.5,0.32,24.3,24.5,22.5,3.21,2.0,59.9,59.94,13:29:34.815
23,0.0,0.39,25.1,1.5,0.23,25.8,24.5,22.5,2.45,3.29,60.23,60.21,13:29:36.039
24,0.0,0.45,25.1,1.5,0.24,24.4,24.1,22.5,3.44,2.08,59.25,60.48,13:29:37.227
25,0.0,0.39,25.0,1.5,0.28,24.4,24.3,22.5,2.76,2.95,59.78,61.53,13:29:38.420
26,0.0,0.43,26.5,1.5,0.25,24.4,24.3,22.3,1.17,1.51,20.69,20.1,13:29:39.634
27,0.0,0.43,25.1,1.5,0.25,25.8,24.3,22.7,1.02,1.74,20.58,20.39,13:29:40.837
28,0.0,0.45,25.1,1.5,0.26,24.4,25.0,22.3,1.43,1.17,20.43,20.45,13:29:42.045
29,0.0,0.43,25.1,1.5,0.24,24.4,24.1,22.5,1.17,1.66,20.36,20.63,13:29:43.238
30,0.0,0.42,26.5,1.5,0.27,24.4,24.3,21.8,2.11,1.93,20.36,20.71,13:29:44.452
31,0.0,0.37,25.1,1.5,0.29,24.4,24.3,22.5,1.4,1.7,20.45,20.36,13:29:45.655
32,0.0,0.42,25.1,1.5,0.25,24.4,24.3,22.7,1.4,2.27,20.26,21.11,13:29:46.854
33,0.0,0.46,25.1,1.5,0.25,24.4,24.5,22.3,1.55,1.1,20.43,20.47,13:29:48.094
34,0.0,0.45,25.1,1.5,0.34,24.4,24.3,21.6,2.27,1.55,20.45,20.42,13:29:49.321
35,0.0,0.49,26.5,1.5,0.25,24.4,24.3,21.8,1.4,1.62,20.34,20.53,13:29:50.526
36,0.0,0.43,25.1,1.5,0.26,24.4,24.3,22.7,1.13,2.38,20.25,20.68,13:29:51.732
37,0.0,0.46,25.1,1.5,0.24,24.4,24.3,22.0,2.45,2.04,20.3,20.33,13:29:52.935
38,0.0,0.44,25.1,1.5,0.27,24.4,24.3,22.3,1.25,1.43,20.35,20.28,13:29:54.150
39,0.0,0.46,26.5,1.5,0.25,24.4,24.3,22.0,2.15,1.25,20.47,20.49,13:29:55.353
40,0.0,0.45,26.5,1.5,0.28,24.4,25.0,22.9,1.55,1.28,20.59,20.22,13:29:56.561
41,0.0,0.49,25.1,1.5,0.27,24.4,24.8,22.3,2.3,1.7,21.23,19.87,13:29:57.767
42,0.0,0.43,25.1,1.5,0.29,25.9,24.3,22.5,2.27,2.04,39.68,34.06,13:29:58.971
43,0.0,0.44,25.1,1.5,0.25,24.4,24.3,22.3,2.83,2.42,39.85,39.95,13:30:00.194
44,0.0,0.48,25.1,1.5,0.27,24.4,24.5,22.3,2.68,1.47,39.9,39.77,13:30:01.387
45,0.0,0.44,25.1,1.5,0.27,25.9,24.3,21.8,2.27,2.15,38.84,39.39,13:30:02.591
46,0.0,0.45,25.1,1.5,0.28,24.4,24.1,21.8,1.85,1.96,39.66,39.66,13:30:03.798
47,0.0,0.43,25.1,1.5,0.29,24.4,24.3,22.5,2.38,2.3,39.38,39.05,13:30:05.022
48,0.0,0.5,26.5,1.5,0.33,24.4,25.0,22.5,1.93,2.23,39.34,39.59,13:30:06.225
49,0.0,0.47,25.1,1.5,0.27,25.9,24.3,22.7,1.66,2.72,40.31,39.64,13:30:07.431
50,0.0,0.45,25.1,1.5,0.26,25.9,24.8,22.5,1.7,2.95,39.63,39.54,13:30:08.639
51,0.0,0.46,25.1,1.5,0.32,24.4,24.8,22.3,2.0,1.51,39.63,39.71,13:30:09.844
52,0.0,0.44,25.1,1.5,0.27,24.4,24.8,22.5,2.42,2.34,39.77,40.72,13:30:11.050
53,0.0,0.44,26.5,1.5,0.28,24.4,24.3,22.3,2.23,2.08,39.61,39.61,13:30:12.270
54,0.0,0.46,25.1,1.5,0.25,24.4,24.8,22.9,2.15,1.96,39.44,39.51,13:30:13.481
55,0.0,0.46,25.1,1.5,0.29,24.4,24.8,22.3,1.7,2.3,39.83,39.65,13:30:14.690
56,0.0,0.46,25.1,1.5,0.28,24.4,24.3,22.5,2.04,1.77,39.65,39.9,13:30:15.916
57,0.0,0.48,25.1,1.5,0.27,24.4,23.8,22.3,2.27,2.15,39.49,39.23,13:30:17.122
58,0.0,0.42,26.6,1.5,0.31,24.4,24.8,22.5,2.04,1.36,39.6,39.49,13:30:18.333
59,0.0,0.46,26.6,1.5,0.3,24.4,24.5,22.0,2.04,2.08,59.43,59.34,13:30:19.544
60,0.0,0.43,25.1,1.5,0.24,25.9,24.5,21.8,2.79,2.61,59.78,58.81,13:30:20.755
61,0.0,0.45,25.1,1.5,0.28,24.4,24.8,22.3,2.08,2.72,60.04,59.85,13:30:21.971
62,0.0,0.42,25.1,1.5,0.34,24.4,24.8,22.3,2.57,2.0,60.21,60.08,13:30:23.174
63,0.0,0.45,26.6,1.5,0.25,24.4,24.3,22.0,2.68,1.81,60.15,59.35,13:30:24.398
64,0.0,0.51,26.6,1.5,0.27,24.4,24.8,22.5,2.53,2.53,60.67,60.07,13:30:25.604
65,0.0,0.46,25.1,1.5,0.22,25.9,24.8,22.7,2.45,2.45,59.99,60.03,13:30:26.805
66,0.0,0.44,25.1,1.5,0.29,24.4,24.3,22.9,2.23,2.0,59.93,59.97,13:30:28.013
67,0.0,0.39,26.6,1.5,0.26,24.4,24.3,22.3,3.62,2.38,59.9,60.96,13:30:29.214
68,0.0,0.44,26.6,1.5,0.33,25.9,24.5,22.3,3.06,2.53,59.96,59.94,13:30:30.416
69,0.0,0.46,25.1,1.5,0.26,25.9,24.3,22.3,2.53,2.45,59.86,60.07,13:30:31.637
70,0.0,0.51,25.1,1.5,0.22,24.4,24.3,22.5,2.83,2.15,60.3,59.61,13:30:32.838
71,0.0,0.49,25.1,1.5,0.26,24.4,25.0,22.7,1.85,1.96,59.96,60.07,13:30:34.047
72,0.0,0.41,26.6,1.5,0.28,24.4,24.5,22.0,2.79,2.64,59.74,59.75,13:30:35.255
73,0.0,0.42,25.1,1.5,0.24,25.9,24.3,22.3,2.79,2.08,60.36,59.72,13:30:36.463
74,0.0,0.45,25.1,1.5,0.27,24.5,24.5,22.5,2.72,2.0,60.41,59.75,13:30:37.672
75,0.0,0.45,25.1,1.5,0.26,24.4,24.3,22.5,2.83,2.04,73.55,59.96,13:30:38.897
76,0.0,0.43,25.1,1.5,0.24,24.5,24.3,22.0,2.72,3.85,80.23,80.06,13:30:40.107
77,0.0,0.43,26.6,1.5,0.29,24.5,24.3,22.3,2.3,4.53,81.1,79.73,13:30:41.316
78,0.0,0.46,25.1,1.5,0.25,25.9,24.5,22.9,3.7,2.04,79.97,80.06,13:30:42.522
