Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,9.1,6.6,8.7886,5.022057143,6.608,3.776,60.0551,60.6561,58:32.3
2,9.8,7.5,7.5331,4.304628571,7.9957,4.568971429,59.919,60.2048,58:33.3
3,9.1,7,3.1718,1.812457143,3.0397,1.736971429,24.4745,50.9109,58:34.1
4,9.5,6.6,3.5022,2.001257143,3.8326,2.190057143,20.2784,20.6066,58:34.8
5,9.5,7.3,4.3613,2.492171429,3.8987,2.227828571,20.3091,20.6789,58:35.6
6,8.8,7.7,4.4274,2.529942857,4.4934,2.567657143,20.542,20.3598,58:36.3
7,9.3,6.8,4.7578,2.718742857,2.8414,1.623657143,20.3663,20.5042,58:37.2
8,9.3,7,4.097,2.341142857,5.1542,2.945257143,20.5004,20.2523,58:37.9
9,9.1,7.9,6.0133,3.436171429,2.9736,1.6992,20.4623,20.3003,58:38.7
10,9.5,7.5,4.4274,2.529942857,3.6344,2.0768,20.3155,20.3898,58:39.4
11,9.3,7.5,4.2952,2.4544,4.4934,2.567657143,20.3952,20.565,58:40.2
12,9.3,7.5,3.7666,2.152342857,3.304,1.888,20.4689,20.2868,58:40.9
13,9.1,7,4.6256,2.6432,2.6432,1.5104,20.4553,20.287,58:41.7
14,9.3,7.5,3.7005,2.114571429,3.7666,2.152342857,20.3145,20.334,58:42.5
15,9.5,6.6,3.8987,2.227828571,3.8326,2.190057143,20.2423,20.3879,58:43.2
16,9.1,7.9,6.608,3.776,5.749,3.285142857,31.6154,20.3723,58:44.0
17,9.3,7.7,6.0133,3.436171429,4.2291,2.416628571,39.8189,39.5955,58:44.8
18,9.1,7.5,7.5331,4.304628571,4.7578,2.718742857,39.7018,39.4003,58:45.5
19,9.1,7.3,6.2115,3.549428571,4.6917,2.680971429,39.9358,39.4539,58:46.3
20,9.5,7.5,6.3437,3.624971429,4.2952,2.4544,39.6362,39.5017,58:47.0
21,9.1,7,6.3437,3.624971429,3.6344,2.0768,39.6145,39.5975,58:47.8
22,9.5,6.6,7.0706,4.040342857,4.6256,2.6432,39.4353,39.3655,58:48.6
23,9.5,6.8,5.2864,3.0208,3.3701,1.925771429,39.6806,39.05,58:49.4
24,9.1,7.7,6.9384,3.9648,4.6917,2.680971429,39.4801,39.622,58:50.1
25,9.8,7.9,6.2115,3.549428571,3.2379,1.850228571,39.7949,39.8376,58:50.9
26,9.3,7.5,6.0794,3.473942857,4.8238,2.756457143,39.7747,39.6163,58:51.7
27,9.3,7,6.608,3.776,3.3701,1.925771429,39.8897,39.9535,58:52.4
28,9.5,7.3,7.3349,4.191371429,4.4274,2.529942857,39.6771,39.7164,58:53.2
29,9.3,7,7.8635,4.493428571,5.0882,2.907542857,42.4397,39.7867,58:54.0
30,9.3,7.5,9.119,5.210857143,6.2115,3.549428571,60.0584,59.883,58:54.7
31,9.1,6.8,6.8723,3.927028571,6.2115,3.549428571,59.9076,60.0026,58:55.5
32,9.8,7.5,6.8723,3.927028571,6.8723,3.927028571,60.2051,60.1626,58:56.2
33,9.5,7,6.2776,3.5872,5.6168,3.2096,60.1221,60.5945,58:57.0
34,9.5,7.9,7.467,4.266857143,7.401,4.229142857,60.2595,59.7678,58:57.8
35,9.3,7.9,7.5992,4.3424,7.1366,4.078057143,59.8177,59.6598,58:58.5
36,9.1,7,8.1278,4.644457143,5.9472,3.3984,59.8957,60.1339,58:59.3
37,9.3,7.5,6.2115,3.549428571,6.4758,3.700457143,59.8331,59.9689,59:00.1
38,9.3,7.5,7.5992,4.3424,5.4186,3.096342857,59.8494,59.8328,59:00.8
39,9.1,7.3,6.1454,3.511657143,6.0794,3.473942857,60.0655,60.1563,59:01.6
40,9.3,8.2,7.6653,4.380171429,5.4186,3.096342857,60.0788,59.9469,59:02.4
41,9.5,7.7,5.1542,2.945257143,5.6168,3.2096,59.9462,59.9191,59:03.1
42,9.3,7.3,10.2424,5.8528,4.4274,2.529942857,60.0593,60.027,59:03.9
43,9.3,7.3,8.5904,4.9088,7.3349,4.191371429,80.3528,80.3953,59:04.6
44,9.8,7,10.1763,5.815028571,5.0221,2.869771429,80.4613,80.5106,59:05.4
45,9.8,7,7.2688,4.1536,5.2864,3.0208,80.48,80.6656,59:06.2
46,9.5,7.7,7.0706,4.040342857,5.2203,2.983028571,80.5717,80.4224,59:06.9
47,9.1,7,6.8723,3.927028571,7.0045,4.002571429,80.4749,80.5727,59:07.7
48,9.8,8.2,6.9384,3.9648,7.3349,4.191371429,80.5161,80.6419,59:08.5
49,9.5,8.2,7.3349,4.191371429,8.1939,4.682228571,80.2014,80.5571,59:09.2
50,9.5,7.3,6.4098,3.662742857,7.1366,4.078057143,80.1909,80.4197,59:10.0
51,9.3,7.5,6.4758,3.700457143,8.0618,4.606742857,79.9254,80.7063,59:10.7
52,9.5,7.5,6.7402,3.851542857,8.4582,4.833257143,80.0344,81.3069,59:11.5
53,9.5,7.5,7.0706,4.040342857,7.0706,4.040342857,80.0624,80.6745,59:12.3
54,9.5,7.9,7.2027,4.115828571,9.3834,5.361942857,79.9582,80.4224,59:13.0
55,10,6.8,7.7314,4.417942857,6.7402,3.851542857,79.8129,80.1944,59:13.8
56,10,7.3,9.4494,5.399657143,8.5243,4.871028571,99.5138,99.1205,59:14.5
57,10,7.3,10.771,6.154857143,8.5904,4.9088,99.3603,99.5398,59:15.3
58,9.5,7,9.8459,5.626228571,6.4758,3.700457143,99.5766,99.8506,59:16.1
59,9.5,7.5,9.8459,5.626228571,9.9781,5.701771429,99.1141,100.2086,59:16.8
60,9.5,6.8,10.2424,5.8528,8.4582,4.833257143,99.2372,98.6546,59:17.6
61,9.8,7.3,9.5816,5.4752,8.6565,4.946571429,99.2302,99.6306,59:18.4
62,9.5,7,7.401,4.229142857,7.5331,4.304628571,101.4137,100.0222,59:19.1
63,9.5,7.5,10.1102,5.777257143,10.0442,5.739542857,100.4157,98.9706,59:19.9
64,9.5,7,9.9781,5.701771429,9.119,5.210857143,99.9956,99.3796,59:20.7
65,10.2,7.7,9.2512,5.2864,7.0045,4.002571429,99.9516,99.5915,59:21.5
66,9.8,7.9,8.7226,4.984342857,9.6477,5.512971429,99.1681,100.2566,59:22.2
67,10,7.9,9.7798,5.588457143,8.3922,4.795542857,99.6197,99.0126,59:23.0
68,9.5,7.3,10.1102,5.777257143,8.5904,4.9088,99.539,99.6636,59:23.7
69,9.5,8.2,9.5816,5.4752,10.8371,6.192628571,119.7745,120.3391,59:24.5
70,10.2,7.3,12.2248,6.9856,10.9693,6.268171429,120.2346,119.9967,59:25.3
71,9.8,7.9,11.9605,6.834571429,10.5067,6.003828571,119.4014,119.5215,59:26.0
72,9.3,7.5,10.771,6.154857143,9.8459,5.626228571,120.0407,119.9264,59:26.8
73,10,7.9,10.9693,6.268171429,8.9869,5.135371429,119.9221,120.8234,59:27.6
74,10,7.7,10.9032,6.2304,7.2027,4.115828571,119.8627,119.898,59:28.4
75,9.5,7.7,11.4318,6.532457143,11.1014,6.343657143,120.4252,118.985,59:29.1
76,9.5,7.3,9.6477,5.512971429,6.2115,3.549428571,120.1201,119.6313,59:29.9
77,9.8,7.5,10.9693,6.268171429,8.3922,4.795542857,119.9284,120.3974,59:30.7
78,9.5,8.6,9.3173,5.324171429,9.6477,5.512971429,121.3562,119.4633,59:31.4
79,9.5,7.9,10.0442,5.739542857,10.3085,5.890571429,119.7804,120.3132,59:32.2
80,10,7.9,9.2512,5.2864,9.7798,5.588457143,120.2517,119.627,59:33.0
81,9.5,7.5,11.0354,6.305942857,10.5728,6.0416,120.1079,120.0775,59:33.8
82,9.5,7.5,7.7974,4.455657143,5.2864,3.0208,99.9775,99.538,59:34.5
83,10,7.5,8.7226,4.984342857,9.119,5.210857143,99.8642,99.4335,59:35.3
84,9.8,7.9,9.7138,5.550742857,7.6653,4.380171429,99.503,99.8385,59:36.1
85,10,7.9,9.053,5.173142857,7.6653,4.380171429,99.6107,99.4922,59:36.8
86,10,7.9,6.9384,3.9648,7.1366,4.078057143,100.3806,99.9994,59:37.6
87,10,8.4,9.5155,5.437428571,9.7138,5.550742857,99.5638,99.1871,59:38.3
88,10,7.5,8.9208,5.0976,7.5992,4.3424,99.7653,99.8976,59:39.1
89,10,7.9,8.9869,5.135371429,7.0706,4.040342857,99.9863,99.4933,59:39.9
90,10,7.7,8.9208,5.0976,7.7974,4.455657143,99.0673,100.0954,59:40.7
91,10.2,7.5,8.4582,4.833257143,8.0618,4.606742857,99.5747,99.9949,59:41.4
92,10.4,8.2,9.7798,5.588457143,8.3261,4.757771429,99.253,99.9855,59:42.2
93,10,7.5,7.9296,4.5312,5.4186,3.096342857,99.6357,100.214,59:43.0
94,10.2,8.6,9.912,5.664,7.8635,4.493428571,98.8464,99.4612,59:43.7
95,10.4,7.3,8.7226,4.984342857,6.2776,3.5872,80.434,80.3482,59:44.5
96,10.2,8.2,8.6565,4.946571429,7.1366,4.078057143,80.1642,80.2991,59:45.3
97,10.4,8.2,7.6653,4.380171429,6.6741,3.813771429,80.4091,79.7404,59:46.0
98,10,8.2,7.9296,4.5312,6.2776,3.5872,80.7817,80.6268,59:46.8
99,10.4,7.5,7.401,4.229142857,5.749,3.285142857,80.2513,80.3304,59:47.6
100,10,7.9,7.3349,4.191371429,7.3349,4.191371429,81.0771,80.5094,59:48.3
101,10,7.9,6.9384,3.9648,6.608,3.776,80.2733,81.236,59:49.1
102,10.2,7.5,8.5904,4.9088,6.6741,3.813771429,80.4292,81.0185,59:49.9
103,10.4,8.2,7.2027,4.115828571,7.2688,4.1536,80.4326,80.6391,59:50.7
104,10.2,8.2,7.7974,4.455657143,6.4758,3.700457143,80.1872,80.4182,59:51.4
105,10,7.9,7.7974,4.455657143,7.3349,4.191371429,80.3259,80.303,59:52.2
106,10.4,7.9,7.5331,4.304628571,6.3437,3.624971429,80.1435,80.6707,59:53.0
107,10,8.2,7.9296,4.5312,6.608,3.776,80.3591,80.6087,59:53.7
108,10,7.9,6.4098,3.662742857,5.815,3.322857143,60.9431,60.4571,59:54.5
109,10.9,7.9,6.7402,3.851542857,5.6829,3.247371429,60.0226,60.1048,59:55.3
110,10.2,7.9,5.4846,3.134057143,6.3437,3.624971429,59.8214,60.0445,59:56.0
111,10,8.2,6.1454,3.511657143,4.8238,2.756457143,59.924,60.1839,59:56.8
112,10,8.2,6.2776,3.5872,5.5507,3.171828571,59.9146,60.2983,59:57.6
113,10.4,7.5,7.7314,4.417942857,5.4846,3.134057143,60.0253,60.3619,59:58.3
114,10.4,7.9,4.4274,2.529942857,5.6829,3.247371429,60.1018,60.0002,59:59.1
115,10,8.6,6.6741,3.813771429,4.163,2.378857143,60.0492,59.7208,59:59.9
116,10.2,8.2,7.2027,4.115828571,5.6829,3.247371429,60.1979,59.9196,00:00.6
117,10.2,7.9,6.0794,3.473942857,5.6168,3.2096,59.8521,60.133,00:01.4
118,10.4,8.2,7.7314,4.417942857,4.8238,2.756457143,60.7309,60.0538,00:02.2
119,10,7.9,4.956,2.832,3.8326,2.190057143,59.9065,60.4361,00:02.9
120,10,7.9,6.2115,3.549428571,4.3613,2.492171429,59.9233,60.3217,00:03.7
121,10.2,7.9,6.1454,3.511657143,3.7005,2.114571429,39.5178,39.3734,00:04.5
122,10.4,8.2,5.1542,2.945257143,3.8987,2.227828571,39.7455,39.5571,00:05.2
123,10.4,7.7,5.4846,3.134057143,4.2952,2.4544,39.8606,39.3833,00:06.0
124,10.2,7.9,6.3437,3.624971429,4.0309,2.303371429,39.4377,39.3168,00:06.8
125,10.4,8.2,6.2776,3.5872,4.956,2.832,39.3748,39.5735,00:07.6
126,10.2,7.7,4.956,2.832,3.9648,2.2656,39.7614,39.5705,00:08.3
127,10.4,7.9,5.2864,3.0208,3.9648,2.2656,39.7925,39.6572,00:09.1
128,10.2,8.6,4.8238,2.756457143,4.163,2.378857143,39.898,40.2743,00:09.8
129,10,8.2,4.2952,2.4544,4.4934,2.567657143,39.6445,39.6393,00:10.6
130,10,8.2,5.1542,2.945257143,3.2379,1.850228571,39.3856,39.5376,00:11.4
131,10,8.6,6.0794,3.473942857,4.7578,2.718742857,39.5961,39.7106,00:12.1
132,10.2,8.2,4.4274,2.529942857,3.8987,2.227828571,39.4403,39.5721,00:12.9
