Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,12.5,10.0,3.3984,2.681,20.2354,42.6193,10:30:56.115
2,12.3,9.1,3.3229,2.4166,20.3084,20.3936,10:30:57.066
3,12.3,10.0,2.6054,2.039,20.3854,20.3816,10:30:57.827
4,12.3,10.4,3.2851,2.5677,20.3849,20.3336,10:30:58.581
5,12.3,9.8,3.2096,2.1523,20.4055,20.3748,10:30:59.337
6,11.8,9.5,2.7187,2.2656,20.3573,20.369,10:31:00.096
7,12.3,9.5,2.8698,2.0013,20.7491,20.3838,10:31:00.862
8,12.3,9.8,3.4362,2.681,20.3567,20.3639,10:31:01.620
9,12.3,9.5,3.0963,2.2656,20.4637,20.2978,10:31:02.385
10,12.3,9.5,3.4739,2.7565,20.3546,20.204,10:31:03.144
11,12.3,10.0,2.832,2.1146,20.19,20.3653,10:31:03.906
12,12.5,9.3,2.7942,2.6432,20.4212,20.3289,10:31:04.678
13,12.5,9.1,3.1718,2.1146,20.3934,20.3177,10:31:05.441
14,12.5,9.8,3.1341,1.6614,20.1516,20.3967,10:31:06.202
15,12.5,9.5,3.1718,1.7747,20.5228,20.669,10:31:06.966
16,12.3,10.0,3.1718,2.4544,20.2924,20.2603,10:31:07.726
17,12.3,9.3,3.3984,2.1146,20.413,20.3364,10:31:08.474
18,12.3,10.0,3.0963,1.9258,20.3101,20.3578,10:31:09.235
19,12.3,9.5,3.1718,3.0963,20.3164,20.3004,10:31:09.996
20,12.3,10.0,3.3984,3.1718,20.3288,20.3179,10:31:10.754
21,12.5,10.0,4.1536,3.0208,19.9516,20.5182,10:31:11.545
22,12.5,9.3,2.7942,2.2656,20.4298,20.5212,10:31:12.303
23,11.8,9.5,3.8515,2.7187,20.3595,20.2565,10:31:13.068
24,12.7,10.0,3.0586,2.2656,20.4783,20.4476,10:31:13.830
25,12.3,9.1,3.3984,1.5859,20.264,20.3749,10:31:14.592
26,12.3,9.1,3.1718,2.681,20.4679,20.2876,10:31:15.357
27,12.3,9.5,3.3606,2.3789,20.285,20.1546,10:31:16.131
28,12.3,9.5,2.9453,3.0586,20.3351,20.3952,10:31:16.888
29,12.0,9.5,3.5117,1.888,20.3912,20.3328,10:31:17.650
30,12.3,9.3,2.4544,2.0768,20.6936,20.495,10:31:18.413
31,11.8,9.1,3.8515,2.6432,20.9192,20.5502,10:31:19.176
32,12.3,10.2,3.3229,2.4922,20.4615,20.5119,10:31:19.935
33,12.3,10.0,3.1341,2.039,20.4295,20.2624,10:31:20.697
34,11.8,10.0,2.6432,2.3034,20.7428,20.4287,10:31:21.461
35,12.7,10.0,3.4739,2.5299,20.447,20.3915,10:31:22.224
36,12.3,9.1,3.1341,1.9635,20.3699,20.2701,10:31:22.982
37,12.0,10.2,3.4362,1.6237,20.3831,20.3973,10:31:23.758
38,12.3,9.5,2.983,2.039,20.4209,20.3582,10:31:24.537
39,12.0,9.1,3.8515,2.7942,20.4284,20.5224,10:31:25.300
40,12.3,10.2,3.5117,2.4166,20.623,20.4897,10:31:26.063
41,12.3,9.5,3.0586,2.0768,20.371,20.537,10:31:26.827
42,12.5,9.3,3.3984,3.0208,20.3378,20.4738,10:31:27.589
43,12.3,10.2,3.776,3.1718,20.2163,20.4525,10:31:28.349
44,12.5,8.8,3.5117,2.7942,20.7251,20.486,10:31:29.128
45,12.3,9.1,3.0208,2.2656,20.3505,20.2462,10:31:29.887
46,12.7,9.5,5.4752,2.2656,20.5946,20.9993,10:31:30.646
47,12.3,9.3,4.9088,3.2474,39.5015,39.5299,10:31:31.410
48,12.3,9.3,4.2669,3.3229,39.6464,40.1428,10:31:32.173
