Log,cp_pressure,cp_temperature_fresh,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_torque_M2,ac_flowrate,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.54,23.2,3.0,24.1,3.7,0.0,0.27,20.9,17.9,15.4,2.643,65.575,65.575,10:14:10.503
2,0.548,23.2,3.0,24.1,3.625,0.0,0.275,20.9,17.9,15.9,3.398,60.058,60.058,10:14:11.597
3,0.533,21.7,3.0,22.0,3.625,0.0,0.254,20.9,17.9,15.4,3.361,60.786,60.786,10:14:12.705
4,0.544,21.7,3.0,22.0,3.285,0.0,0.283,20.9,17.7,16.1,3.059,59.867,59.867,10:14:13.805
5,0.516,21.7,3.0,22.0,4.833,0.0,0.269,20.9,17.7,16.1,3.021,59.791,59.791,10:14:14.902
6,0.531,21.7,3.0,22.0,5.249,0.0,0.27,21.0,17.7,15.4,2.379,59.763,59.763,10:14:16.005
7,0.529,21.7,3.0,24.1,3.965,0.0,0.242,21.0,17.9,16.3,3.285,59.895,59.895,10:14:17.107
8,0.538,21.7,3.0,22.0,3.625,0.0,0.243,22.4,17.5,15.7,3.889,61.435,61.435,10:14:18.210
9,0.524,23.2,3.0,24.1,4.569,0.0,0.278,20.9,17.7,15.9,3.172,59.812,59.812,10:14:19.311
10,0.531,21.7,3.0,22.0,4.267,0.0,0.269,22.4,17.9,16.3,3.436,60.242,60.242,10:14:20.415
11,0.496,21.7,3.0,22.0,4.682,0.0,0.251,21.0,17.5,15.9,2.605,59.942,59.942,10:14:21.521
12,0.551,21.7,3.0,22.0,3.512,0.0,0.269,22.4,17.9,16.6,3.021,59.968,59.968,10:14:22.622
13,0.541,21.7,3.0,22.0,2.908,0.0,0.245,22.4,17.7,16.6,3.474,61.326,61.326,10:14:23.742
14,0.531,21.7,3.0,24.0,3.398,0.0,0.259,21.0,17.7,16.6,3.814,59.805,59.805,10:14:24.848
15,0.541,21.8,3.0,22.0,5.211,0.0,0.256,22.4,17.5,16.3,3.247,60.126,60.126,10:14:25.949
16,0.524,23.2,3.0,22.0,5.135,0.0,0.265,21.0,18.2,16.1,3.134,59.941,59.941,10:14:27.056
17,0.521,21.8,3.0,24.0,4.116,0.0,0.284,21.0,17.9,17.0,4.003,59.953,59.953,10:14:28.174
18,0.536,21.8,3.0,22.0,3.436,0.0,0.255,21.0,17.9,16.3,3.361,60.29,60.29,10:14:29.277
19,0.521,23.2,3.0,22.0,4.04,0.0,0.271,21.0,18.2,15.9,3.436,59.937,59.937,10:14:30.381
20,0.569,21.8,3.0,22.0,4.456,0.0,0.276,22.4,17.7,16.1,3.549,59.865,59.865,10:14:31.487
21,0.546,21.8,3.0,22.0,3.852,0.0,0.28,21.0,17.5,16.8,5.06,59.261,59.261,10:14:32.593
22,0.526,21.8,3.0,24.0,4.04,0.0,0.269,21.0,17.5,15.9,4.569,59.85,59.85,10:14:33.700
