Log,cp_flowrate,cp_temperature_fresh,mixer_torque_M2,mixer_motor_temperature_M1,cp_temperature,ac_flowrate,mixer_motor_temperature_M2,mixer_pressure,mixer_temperature_Funnel_outlet,cp_pressure,mixer_torque_M1,mixer_speed_M1,mixer_speed_M2,Time
1,3.0,22.2,6.608,17.5,23.1,0.0,19.5,0.206,23.7,0.326,3.814,59.202,59.202,10:21:59.511
2,3.0,22.2,4.796,17.9,23.1,0.0,19.5,0.248,23.7,0.32,3.738,59.822,59.822,10:22:00.616
3,3.0,22.2,5.324,17.9,21.6,0.0,19.5,0.248,21.6,0.326,5.664,59.233,59.233,10:22:01.715
4,3.0,22.2,4.871,18.2,21.6,0.0,20.2,0.231,21.6,0.317,5.362,59.418,59.418,10:22:02.815
5,3.0,22.2,4.947,17.7,21.6,0.0,19.8,0.247,23.6,0.325,4.569,59.997,59.997,10:22:03.919
6,3.0,22.2,5.4,17.7,21.6,0.0,19.5,0.26,21.6,0.316,4.305,59.974,59.974,10:22:05.025
7,3.0,22.2,4.758,17.9,23.0,0.0,19.8,0.26,21.6,0.33,3.738,59.93,59.93,10:22:06.128
8,3.0,23.6,4.456,17.9,21.6,0.0,19.8,0.256,21.5,0.326,5.475,58.96,58.96,10:22:07.232
9,3.0,22.2,3.965,17.7,23.1,0.0,20.0,0.243,23.6,0.33,5.211,60.672,60.672,10:22:08.335
10,3.0,22.2,4.078,17.9,21.6,0.0,19.5,0.259,21.5,0.325,4.493,59.665,59.665,10:22:09.439
11,3.0,22.2,7.099,17.7,21.6,0.0,20.0,0.242,21.5,0.333,3.172,59.975,59.975,10:22:10.546
12,3.0,22.2,4.493,17.7,23.1,0.0,19.5,0.232,23.6,0.343,3.587,59.706,59.706,10:22:11.652
13,3.0,23.7,5.098,17.5,21.6,0.0,20.0,0.237,21.5,0.338,4.607,60.074,60.074,10:22:12.757
14,3.0,22.2,4.305,17.9,23.0,0.0,19.5,0.237,21.5,0.313,4.418,60.005,60.005,10:22:13.858
15,3.0,23.6,4.607,17.9,21.6,0.0,20.2,0.254,21.5,0.315,4.418,59.919,59.919,10:22:14.964
16,3.0,23.7,4.456,17.9,21.6,0.0,19.5,0.261,21.5,0.32,4.607,60.016,60.016,10:22:16.088
17,3.0,22.2,5.815,17.9,23.1,0.0,19.5,0.261,23.6,0.298,4.191,59.932,59.932,10:22:17.195
18,3.0,23.7,4.116,18.2,21.6,0.0,19.8,0.242,21.5,0.325,5.437,60.991,60.991,10:22:18.298
19,3.0,22.2,3.21,17.7,23.0,0.0,20.0,0.24,21.5,0.315,3.889,59.744,59.744,10:22:19.404
20,3.0,22.2,4.38,17.7,21.6,0.0,20.2,0.247,23.5,0.333,3.398,60.164,60.164,10:22:20.505
21,3.0,23.6,3.776,17.9,21.6,0.0,20.0,0.226,21.5,0.31,4.003,59.888,59.888,10:22:21.621
22,3.0,22.2,4.947,17.7,23.0,0.0,20.2,0.247,21.5,0.316,4.644,59.321,59.321,10:22:22.731
23,3.0,23.6,4.342,17.9,21.6,0.0,20.0,0.251,21.5,0.32,4.493,60.224,60.224,10:22:23.837
24,3.0,22.2,4.305,18.4,21.6,0.0,20.2,0.254,21.5,0.339,5.211,59.896,59.896,10:22:24.944
25,3.0,22.2,5.324,17.9,21.6,0.0,20.2,0.255,23.5,0.333,3.323,60.019,60.019,10:22:26.046
26,3.0,23.7,4.191,18.4,21.6,0.0,20.0,0.251,21.4,0.303,3.172,59.81,59.81,10:22:27.151
27,3.0,22.2,3.852,18.4,23.0,0.0,20.2,0.251,21.4,0.326,4.531,59.637,59.637,10:22:28.252
28,3.0,23.6,3.361,17.7,21.6,0.0,20.2,0.261,21.4,0.317,3.927,59.964,59.964,10:22:29.353
29,3.0,22.2,2.643,17.9,23.0,0.0,20.2,0.254,21.4,0.313,2.832,20.649,20.649,10:22:30.457
30,3.0,23.7,2.53,18.2,21.6,0.0,20.0,0.25,23.5,0.334,2.341,20.608,20.608,10:22:31.563
31,3.0,22.2,3.361,17.9,21.6,0.0,19.5,0.251,21.4,0.322,2.19,20.483,20.483,10:22:32.670
32,3.0,22.2,2.077,18.2,23.0,0.0,20.2,0.245,21.4,0.331,1.888,20.443,20.443,10:22:33.777
33,3.0,23.6,2.266,17.9,21.6,0.0,20.2,0.236,21.4,0.315,2.19,20.137,20.137,10:22:34.885
34,3.0,22.2,2.756,17.9,23.0,0.0,19.8,0.251,21.4,0.317,2.341,20.413,20.413,10:22:35.994
35,3.0,23.7,2.681,18.2,21.6,0.0,20.2,0.254,23.5,0.313,2.077,20.406,20.406,10:22:37.097
36,3.0,22.2,2.417,17.9,21.6,0.0,20.0,0.238,21.4,0.302,2.228,20.35,20.35,10:22:38.206
37,3.0,22.2,2.568,17.9,23.0,0.0,19.8,0.294,21.4,0.287,2.228,20.186,20.186,10:22:39.322
38,3.0,22.2,1.964,17.7,21.6,0.0,20.2,0.256,23.4,0.31,2.303,20.399,20.399,10:22:40.429
39,3.0,22.2,3.021,17.7,21.6,0.0,20.0,0.238,21.4,0.331,2.379,20.33,20.33,10:22:41.528
40,3.0,22.2,2.643,18.2,21.6,0.0,20.2,0.243,21.4,0.305,3.059,20.497,20.497,10:22:42.639
41,3.0,22.2,2.152,17.5,21.6,0.0,19.8,0.255,21.3,0.305,3.7,20.614,20.614,10:22:43.745
42,3.0,22.2,2.53,18.2,23.0,0.0,20.0,0.247,21.3,0.31,2.87,20.385,20.385,10:22:44.846
43,3.0,23.7,2.681,18.2,21.6,0.0,20.2,0.256,23.4,0.311,2.53,20.611,20.611,10:22:45.949
44,3.0,22.2,1.964,18.2,23.0,0.0,20.2,0.245,21.3,0.311,2.832,20.269,20.269,10:22:47.052
45,3.0,22.2,2.53,17.9,21.6,0.0,19.8,0.26,21.3,0.353,2.454,20.233,20.233,10:22:48.158
46,3.0,23.6,2.077,18.2,21.6,0.0,19.5,0.245,23.4,0.311,1.964,20.458,20.458,10:22:49.280
47,3.0,22.2,3.247,17.9,23.0,0.0,20.2,0.232,21.3,0.32,3.776,39.506,39.506,10:22:50.388
48,3.0,23.6,3.814,17.9,21.6,0.0,19.8,0.255,21.3,0.33,2.908,39.53,39.53,10:22:51.495
49,3.0,22.2,2.908,18.4,21.6,0.0,20.2,0.247,21.3,0.333,3.436,39.567,39.567,10:22:52.599
50,3.0,22.2,3.361,18.2,23.0,0.0,20.2,0.247,21.3,0.33,3.247,39.609,39.609,10:22:53.705
51,3.0,23.6,4.456,17.7,21.6,0.0,20.2,0.273,23.4,0.306,4.267,39.662,39.662,10:22:54.807
52,3.0,22.2,3.247,17.9,23.0,0.0,20.0,0.261,21.3,0.317,2.945,39.712,39.712,10:22:55.908
53,3.0,23.6,3.172,18.2,21.6,0.0,20.0,0.256,23.3,0.313,3.852,39.82,39.82,10:22:57.012
54,3.0,22.2,3.285,17.9,23.0,0.0,20.0,0.251,21.3,0.322,3.361,39.687,39.687,10:22:58.121
55,3.0,22.2,4.531,17.7,21.6,0.0,20.2,0.24,21.3,0.313,4.456,38.648,38.648,10:22:59.229
56,3.0,23.6,3.398,18.2,21.6,0.0,20.2,0.25,21.3,0.325,2.87,39.67,39.67,10:23:00.349
57,3.0,22.2,3.021,17.7,23.0,0.0,20.2,0.265,23.3,0.298,2.87,39.422,39.422,10:23:01.457
58,3.0,22.2,3.474,17.9,21.6,0.0,20.2,0.265,21.3,0.298,3.059,39.592,39.592,10:23:02.575
59,3.0,23.6,4.154,18.2,21.6,0.0,20.0,0.251,21.3,0.311,3.738,39.469,39.469,10:23:03.679
60,3.0,22.2,2.568,18.4,23.0,0.0,20.4,0.243,21.3,0.31,2.908,39.461,39.461,10:23:04.785
61,3.0,23.6,3.814,17.9,21.6,0.0,19.8,0.254,21.2,0.315,2.681,39.665,39.665,10:23:05.892
62,3.0,22.2,2.87,17.5,21.6,0.0,20.0,0.265,23.3,0.334,3.285,39.468,39.468,10:23:06.998
63,3.0,22.2,4.078,18.6,21.6,0.0,20.2,0.238,21.2,0.305,3.021,39.331,39.331,10:23:08.105
64,3.0,22.2,3.021,17.9,21.6,0.0,19.8,0.248,23.3,0.32,3.852,39.839,39.839,10:23:09.204
65,3.0,22.2,3.172,18.4,23.0,0.0,19.8,0.248,21.2,0.336,4.682,60.225,60.225,10:23:10.310
66,3.0,23.6,3.663,18.2,21.6,0.0,20.2,0.251,21.2,0.333,3.587,60.037,60.037,10:23:11.415
67,3.0,22.2,4.833,18.4,21.6,0.0,20.7,0.247,23.3,0.308,4.342,60.047,60.047,10:23:12.533
68,3.0,22.2,4.607,18.4,23.0,0.0,20.2,0.24,21.2,0.331,3.285,59.914,59.914,10:23:13.641
69,3.0,23.6,4.191,17.7,21.6,0.0,20.0,0.26,21.2,0.308,4.078,61.17,61.17,10:23:14.752
70,3.0,22.2,3.738,17.7,21.6,0.0,19.8,0.269,23.3,0.315,3.663,60.058,60.058,10:23:15.861
71,3.0,22.2,3.965,17.7,21.6,0.0,19.8,0.248,21.2,0.308,3.172,60.027,60.027,10:23:16.974
72,3.0,23.6,4.947,18.2,21.6,0.0,20.2,0.25,21.2,0.326,3.21,59.905,59.905,10:23:18.085
73,3.0,22.2,3.7,17.9,21.6,0.0,20.2,0.266,23.2,0.308,4.078,59.928,59.928,10:23:19.203
74,3.0,22.2,2.87,18.4,23.0,0.0,20.0,0.245,21.2,0.311,4.38,60.438,60.438,10:23:20.309
75,3.0,23.6,3.549,17.9,21.6,0.0,20.0,0.266,21.2,0.306,3.587,59.871,59.871,10:23:21.410
76,3.0,22.2,5.286,17.9,23.0,0.0,20.2,0.236,23.2,0.325,2.908,60.25,60.25,10:23:22.516
77,3.0,22.2,4.078,17.9,21.6,0.0,20.0,0.254,21.2,0.316,2.983,59.917,59.917,10:23:23.628
78,3.0,23.6,4.267,18.4,21.6,0.0,20.4,0.245,21.2,0.33,4.984,60.158,60.158,10:23:24.747
79,3.0,22.2,4.644,18.2,21.6,0.0,19.8,0.25,21.2,0.31,3.587,59.952,59.952,10:23:25.869
80,3.0,22.2,4.229,18.4,23.0,0.0,20.2,0.254,23.2,0.331,2.756,60.767,60.767,10:23:26.992
81,3.0,22.2,3.625,17.9,21.6,0.0,20.4,0.259,21.2,0.308,2.719,60.053,60.053,10:23:28.096
82,3.0,22.2,3.587,18.4,21.6,0.0,20.0,0.26,23.2,0.341,3.889,60.023,60.023,10:23:29.202
83,3.0,22.2,6.759,18.2,21.6,0.0,20.4,0.259,21.2,0.31,3.776,80.233,80.233,10:23:30.306
84,3.0,22.2,4.796,18.4,21.6,0.0,20.4,0.261,21.1,0.308,4.531,80.398,80.398,10:23:31.413
85,3.0,22.2,5.437,18.2,23.0,0.0,20.2,0.242,23.2,0.322,3.436,80.449,80.449,10:23:32.522
