Log,mixer_motor_temperature_M1,mixer_speed_M2,cp_temperature,cp_pressure,cp_flowrate,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_torque_M2,mixer_temperature_Funnel,ac_flowrate,mixer_speed_M1,mixer_motor_temperature_M2,mixer_torque_M1,Time
1,18.4,48.919,24.1,0.078,3.0,0.186,26.6,1.624,26.3,103.2,48.919,19.5,1.926,12:11:45.872
2,18.4,60.006,24.1,0.106,3.0,0.199,24.5,1.208,24.8,103.2,60.006,19.8,1.699,12:11:46.982
3,18.4,59.988,24.1,0.044,3.0,0.204,26.6,1.548,26.3,103.2,59.988,19.5,1.775,12:11:48.088
4,17.9,60.009,25.5,0.077,3.0,0.201,24.5,1.737,24.8,103.2,60.009,19.5,1.85,12:11:49.192
5,18.2,60.026,24.1,0.05,3.0,0.214,26.6,1.699,26.3,103.2,60.026,19.5,1.397,12:11:50.292
6,17.9,60.034,24.1,0.117,3.0,0.209,24.5,1.85,24.8,103.2,60.034,19.5,1.473,12:11:51.396
7,18.6,60.039,24.1,0.072,3.0,0.183,24.5,1.661,24.8,103.2,60.039,20.2,1.397,12:11:52.497
8,18.4,60.034,24.1,0.148,3.0,0.283,24.5,1.208,24.8,103.2,60.034,20.2,1.473,12:11:53.601
9,18.2,59.984,25.5,0.072,3.0,0.212,24.5,1.661,24.8,103.2,59.984,19.8,1.51,12:11:54.706
10,18.2,60.054,24.1,0.062,3.0,0.186,26.6,1.359,26.3,103.2,60.054,19.5,1.775,12:11:55.815
11,18.2,59.98,25.5,0.127,3.0,0.227,24.5,2.001,24.8,103.2,59.98,19.8,2.115,12:11:56.918
12,18.4,60.029,24.1,0.042,3.0,0.178,24.5,2.039,24.8,103.2,60.029,19.5,1.661,12:11:58.026
13,18.4,60.022,24.1,0.065,3.0,0.181,24.5,1.473,24.8,103.2,60.022,20.2,1.171,12:11:59.129
14,18.4,59.925,24.1,0.045,3.0,0.221,24.5,1.548,24.8,103.2,59.925,19.8,1.208,12:12:00.235
15,18.4,59.977,24.1,0.087,3.0,0.199,26.6,1.435,24.8,103.2,59.977,19.5,1.737,12:12:01.340
16,18.4,60.014,25.5,0.063,3.0,0.217,24.5,1.737,24.9,103.2,60.014,19.8,2.001,12:12:02.447
17,18.2,60.006,24.1,0.067,3.0,0.216,24.5,1.85,24.9,103.2,60.006,20.0,2.039,12:12:03.556
18,18.2,60.02,24.1,0.083,3.0,0.151,26.6,1.775,24.9,103.2,60.02,19.8,1.397,12:12:04.660
19,17.9,60.042,24.1,0.082,3.0,0.214,24.5,1.586,24.9,103.2,60.042,19.5,1.246,12:12:05.763
20,18.4,60.033,24.1,0.084,3.0,0.204,26.6,1.699,24.9,103.2,60.033,19.8,1.359,12:12:06.867
21,18.2,60.038,25.5,0.07,3.0,0.168,24.5,1.284,24.9,103.2,60.038,19.5,1.548,12:12:07.977
22,17.9,59.914,24.1,0.077,3.0,0.192,24.5,1.661,26.4,103.2,59.914,19.1,1.397,12:12:09.081
23,17.9,60.038,25.5,0.078,3.0,0.194,26.6,1.775,25.0,103.2,60.038,20.0,1.699,12:12:10.188
24,18.4,60.04,24.1,0.084,3.0,0.208,24.6,1.737,25.1,103.2,60.04,20.0,1.397,12:12:11.293
25,18.4,60.034,24.1,0.07,3.0,0.197,26.6,1.888,25.1,103.2,60.034,19.5,1.473,12:12:12.404
26,18.6,60.116,25.5,0.095,3.0,0.175,24.6,1.359,25.2,103.2,60.116,19.5,1.284,12:12:13.507
27,18.8,59.948,24.1,0.078,3.0,0.194,24.6,1.51,26.8,103.2,59.948,19.5,1.737,12:12:14.612
28,18.4,59.992,25.5,0.087,3.0,0.211,26.7,1.435,25.4,103.2,59.992,20.2,1.548,12:12:15.716
29,18.4,60.001,24.1,0.074,3.0,0.192,24.6,1.51,26.9,103.2,60.055,20.2,1.775,12:12:16.823
30,18.4,59.976,24.1,0.062,3.0,0.179,24.6,1.926,25.5,103.2,59.976,19.5,1.699,12:12:17.930
31,18.4,60.101,25.5,0.082,3.0,0.203,24.6,1.737,25.6,103.2,60.101,20.0,1.435,12:12:19.037
32,18.4,59.966,24.1,0.092,3.0,0.186,24.6,1.812,27.2,103.2,59.966,19.5,1.435,12:12:20.143
33,18.6,60.035,25.5,0.092,3.0,0.184,26.7,1.624,25.7,103.2,60.035,19.5,1.397,12:12:21.249
34,18.4,59.933,24.1,0.137,3.0,0.209,24.6,1.397,25.8,103.2,59.933,20.0,1.661,12:12:22.356
35,18.6,59.998,24.1,0.117,3.0,0.116,24.6,1.435,25.9,103.2,59.998,20.0,1.926,12:12:23.465
36,18.4,59.891,25.5,0.059,3.0,0.173,26.7,1.661,26.0,103.2,59.891,20.2,1.85,12:12:24.576
37,18.2,59.948,24.1,0.06,3.0,0.214,24.7,2.039,27.5,103.2,59.948,19.8,1.586,12:12:25.683
38,17.9,60.03,24.1,0.072,3.0,0.184,24.7,1.737,26.1,103.2,60.03,20.2,1.548,12:12:26.793
39,18.4,60.011,25.5,0.126,3.0,0.186,26.7,1.964,26.2,103.2,60.011,19.8,1.246,12:12:27.914
40,18.4,59.965,24.1,0.074,3.0,0.181,24.7,2.001,27.8,103.2,59.965,20.2,1.133,12:12:29.022
41,17.9,59.977,24.1,0.126,3.0,0.286,24.7,1.737,26.4,103.2,59.977,19.8,1.397,12:12:30.134
42,18.2,59.951,24.1,0.107,3.0,0.188,26.8,1.586,26.5,103.2,59.951,19.3,1.208,12:12:31.241
43,18.4,60.06,24.1,0.14,3.0,0.173,24.7,0.906,28.1,103.2,60.06,20.2,1.548,12:12:32.348
44,18.4,60.019,25.5,0.059,3.0,0.201,26.8,1.51,26.7,103.2,60.019,19.5,2.039,12:12:33.453
45,18.4,60.023,24.1,0.088,3.0,0.165,24.7,1.888,26.7,103.2,60.023,19.8,2.039,12:12:34.556
46,18.4,60.002,24.1,0.078,3.0,0.184,24.7,2.001,26.8,103.2,60.002,19.5,1.473,12:12:35.656
47,18.4,60.033,24.1,0.079,3.0,0.197,24.7,1.548,26.9,103.2,60.033,19.5,1.208,12:12:36.763
48,18.2,60.039,24.1,0.121,3.0,0.171,24.7,1.624,26.9,103.2,60.039,19.5,1.397,12:12:37.868
49,17.9,59.975,25.5,0.105,3.0,0.193,26.8,1.473,26.9,103.2,59.975,19.8,1.661,12:12:38.973
50,18.4,59.906,24.1,0.048,3.0,0.151,24.8,1.51,28.4,103.2,59.906,20.2,2.039,12:12:40.076
51,18.6,60.013,25.5,0.1,3.0,0.149,24.8,1.926,27.0,103.2,60.013,19.8,1.737,12:12:41.180
52,18.2,59.971,24.1,0.096,3.0,0.203,24.8,2.039,28.5,103.2,59.971,20.0,1.548,12:12:42.283
53,18.4,60.058,25.5,0.072,3.0,0.212,24.8,1.322,27.1,103.2,60.058,19.5,1.359,12:12:43.383
54,18.4,60.016,24.1,0.092,3.0,0.255,26.9,1.586,27.1,103.2,60.016,19.5,1.359,12:12:44.489
55,17.9,60.016,24.1,0.092,3.0,0.186,24.8,1.208,28.6,103.2,60.016,20.0,1.51,12:12:45.596
56,18.4,59.992,25.6,0.084,3.0,0.214,26.9,1.699,27.1,103.2,59.992,20.0,1.812,12:12:46.703
57,18.4,60.0,24.1,0.052,3.0,0.164,24.8,1.926,28.6,103.2,60.0,20.0,2.001,12:12:47.809
58,18.4,60.01,25.5,0.126,3.0,0.194,24.8,1.888,27.1,103.2,60.01,20.0,1.473,12:12:48.909
59,18.4,60.082,24.1,1.408,3.0,0.14,26.9,1.51,27.2,103.2,60.082,20.0,1.171,12:12:50.010
60,18.2,59.981,24.1,0.839,3.0,0.228,24.9,1.586,27.1,103.2,59.981,19.8,1.359,12:12:51.117
61,17.9,60.019,25.5,0.697,3.0,0.199,24.9,1.284,27.2,103.2,60.019,20.0,1.661,12:12:52.226
62,18.6,60.016,24.1,0.591,3.0,0.212,27.0,1.699,28.6,103.2,60.016,19.8,1.85,12:12:53.334
63,18.4,59.983,25.6,0.684,3.0,0.181,24.9,1.661,27.1,103.2,59.983,19.5,2.039,12:12:54.441
