Log,ac_flowrate,mixer_speed_M2,mixer_pressure,mixer_torque_M2,cp_temperature,mixer_temperature_Funnel_outlet,cp_pressure,cp_flowrate,cp_temperature_fresh,mixer_torque_M1,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_speed_M1,Time
1,0.0,57.934,0.231,3.512,21.5,24.4,0.315,3.0,23.6,4.078,21.1,18.2,57.934,10:26:26.788
2,0.0,60.093,0.209,3.361,22.9,22.3,0.311,3.0,22.1,2.945,21.1,18.4,60.093,10:26:27.895
3,0.0,60.284,0.227,3.323,21.5,24.4,0.325,3.0,22.1,2.266,20.7,19.1,60.284,10:26:29.017
4,0.0,60.001,0.264,3.738,21.5,22.3,0.303,3.0,22.1,2.983,21.1,18.8,60.001,10:26:30.121
5,0.0,59.987,0.259,2.568,21.5,22.3,0.317,3.0,22.1,2.568,20.9,18.4,59.987,10:26:31.227
6,0.0,59.505,0.256,3.059,21.5,24.4,0.306,3.0,22.1,3.549,20.7,19.1,59.505,10:26:32.335
7,0.0,59.872,0.201,2.266,21.5,22.3,0.303,3.0,22.2,3.096,20.7,18.4,59.872,10:26:33.442
8,0.0,59.882,0.261,2.908,21.5,24.3,0.302,3.0,23.6,2.756,21.1,18.4,59.882,10:26:34.543
9,0.0,60.478,0.233,3.852,22.9,22.3,0.325,3.0,22.1,2.832,21.1,18.4,60.478,10:26:35.647
10,0.0,59.963,0.226,3.663,22.9,22.3,0.302,3.0,22.1,2.19,20.9,18.4,59.963,10:26:36.765
11,0.0,61.858,0.255,3.059,21.5,24.4,0.302,3.0,23.6,2.605,21.1,18.4,61.858,10:26:37.873
12,0.0,59.894,0.247,2.681,22.9,22.3,0.322,3.0,22.1,2.379,20.4,18.2,59.894,10:26:38.979
13,0.0,59.909,0.231,3.398,21.5,22.3,0.31,3.0,23.6,3.361,20.7,18.4,59.909,10:26:40.082
14,0.0,59.748,0.26,3.398,21.5,24.4,0.303,3.0,22.1,2.832,20.7,18.4,59.748,10:26:41.188
15,0.0,59.992,0.254,3.965,22.9,22.3,0.283,3.0,22.1,2.983,21.1,18.6,59.992,10:26:42.305
16,0.0,60.523,0.228,2.87,21.5,22.3,0.321,3.0,22.1,3.172,20.9,18.6,60.523,10:26:43.428
17,0.0,59.714,0.256,3.172,21.5,24.4,0.308,3.0,22.1,3.134,20.9,18.4,59.714,10:26:44.534
18,0.0,59.795,0.248,5.173,22.9,22.3,0.334,3.0,22.1,2.832,21.6,18.6,59.795,10:26:45.639
19,0.0,59.83,0.242,3.247,21.5,22.3,0.317,3.0,23.6,2.417,20.7,19.3,59.83,10:26:46.745
20,0.0,60.348,0.238,3.549,21.5,24.4,0.313,3.0,22.1,3.096,20.7,18.8,60.348,10:26:47.868
21,0.0,59.917,0.256,3.059,21.5,22.3,0.297,3.0,22.1,3.549,20.7,18.4,59.917,10:26:48.972
22,0.0,60.068,0.256,2.794,21.5,22.3,0.315,3.0,23.6,3.096,21.1,18.4,60.068,10:26:50.080
23,0.0,59.928,0.245,3.776,22.9,24.3,0.298,3.0,22.1,2.756,20.9,19.3,59.928,10:26:51.185
24,0.0,60.002,0.259,3.134,21.5,22.3,0.321,3.0,22.1,2.719,21.1,18.6,60.002,10:26:52.302
25,0.0,59.755,0.242,2.87,21.5,22.3,0.298,3.0,23.6,2.908,21.3,18.4,59.755,10:26:53.413
26,0.0,59.977,0.251,3.172,22.9,24.3,0.313,3.0,22.1,2.228,20.7,18.6,59.977,10:26:54.517
27,0.0,60.104,0.293,4.04,21.5,22.3,0.293,3.0,23.6,2.039,21.1,18.6,60.104,10:26:55.621
28,0.0,48.226,0.231,3.549,22.9,24.4,0.322,3.0,22.1,2.152,20.9,18.4,48.226,10:26:56.724
29,0.0,20.445,0.233,2.53,21.5,22.3,0.31,3.0,22.1,1.926,21.1,18.8,20.445,10:26:57.827
