Log,ac_flowrate,mixer_speed_M2,mixer_pressure,mixer_torque_M2,cp_temperature,mixer_temperature_Funnel_outlet,cp_pressure,cp_flowrate,cp_temperature_fresh,mixer_torque_M1,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_speed_M1,Time
30,0.0,20.247,0.254,1.775,21.5,24.3,0.331,3.0,22.2,2.152,21.1,18.4,20.247,10:26:58.929
31,0.0,20.487,0.276,2.115,22.9,24.3,0.315,3.0,22.1,1.699,21.1,18.8,20.621,10:27:00.046
32,0.0,20.466,0.243,2.719,21.5,22.3,0.297,3.0,23.6,1.624,20.9,19.3,20.466,10:27:01.149
33,0.0,20.396,0.243,4.456,22.9,24.4,0.298,3.0,22.1,1.775,21.1,18.6,20.396,10:27:02.255
34,0.0,20.367,0.256,1.812,21.5,22.3,0.311,3.0,22.1,1.85,20.9,18.8,20.367,10:27:03.362
35,0.0,20.97,0.248,1.812,21.5,22.3,0.298,3.0,23.6,2.039,21.1,18.8,20.97,10:27:04.465
36,0.0,20.464,0.266,2.077,22.9,22.3,0.305,3.0,22.1,2.001,20.9,18.8,20.464,10:27:05.572
37,0.0,20.474,0.242,2.341,21.5,22.3,0.291,3.0,23.6,1.548,21.1,18.8,20.569,10:27:06.676
38,0.0,20.507,0.283,2.039,22.9,24.4,0.295,3.0,22.2,2.001,21.1,18.6,20.507,10:27:07.772
39,0.0,20.471,0.289,2.492,21.5,22.3,0.297,3.0,23.6,2.605,21.1,18.8,20.471,10:27:08.875
40,0.0,20.479,0.299,2.115,22.9,24.3,0.295,3.0,22.1,1.888,20.9,18.4,20.479,10:27:09.982
41,0.0,20.322,0.245,2.568,21.5,22.3,0.302,3.0,22.1,1.85,20.7,18.4,20.322,10:27:11.089
42,0.0,20.482,0.275,2.568,21.5,22.3,0.303,3.0,22.1,2.643,20.9,18.6,20.482,10:27:12.194
43,0.0,20.656,0.266,1.926,22.9,24.3,0.302,3.0,22.1,1.548,21.1,18.6,20.656,10:27:13.301
44,0.0,20.23,0.217,2.908,21.5,22.3,0.339,3.0,22.1,1.812,20.9,18.4,20.23,10:27:14.407
45,0.0,20.457,0.245,3.512,22.9,24.3,0.302,3.0,22.1,1.812,21.1,18.4,20.457,10:27:15.510
46,0.0,20.307,0.206,2.379,21.5,22.3,0.297,3.0,22.1,1.85,21.1,18.4,20.307,10:27:16.616
47,0.0,39.419,0.242,2.908,21.4,22.3,0.315,3.0,22.1,2.001,21.1,18.6,39.419,10:27:17.721
48,0.0,39.401,0.248,2.756,22.9,24.3,0.298,3.0,22.1,3.172,20.9,18.2,39.401,10:27:18.824
49,0.0,39.718,0.228,2.87,21.5,22.3,0.298,3.0,23.6,1.699,21.1,18.6,39.718,10:27:19.931
50,0.0,39.514,0.227,2.643,22.9,22.3,0.308,3.0,22.1,2.568,21.1,18.8,39.514,10:27:21.045
51,0.0,39.799,0.25,2.605,21.5,22.3,0.305,3.0,23.6,2.454,20.7,18.6,39.799,10:27:22.144
52,0.0,41.33,0.24,3.021,21.4,22.3,0.315,3.0,22.1,1.926,21.1,18.8,41.33,10:27:23.249
53,0.0,39.547,0.271,3.021,22.9,24.3,0.316,3.0,22.1,2.983,20.9,18.8,39.547,10:27:24.374
54,0.0,39.566,0.286,2.492,21.4,22.3,0.298,3.0,22.1,2.417,20.9,18.8,39.566,10:27:25.482
55,0.0,39.706,0.238,2.417,21.4,22.3,0.311,3.0,22.1,2.266,21.3,18.4,39.706,10:27:26.599
56,0.0,39.576,0.247,3.361,22.9,22.3,0.31,3.0,22.1,2.379,21.1,18.2,39.576,10:27:27.707
57,0.0,39.555,0.237,2.115,21.5,22.3,0.321,3.0,23.6,2.266,20.7,19.3,39.555,10:27:28.811
58,0.0,39.616,0.269,3.134,21.4,22.3,0.297,3.0,22.1,1.85,21.1,18.2,39.616,10:27:29.920
59,0.0,39.312,0.255,2.492,21.4,24.4,0.293,3.0,22.1,3.21,20.9,18.8,39.312,10:27:31.024
60,0.0,39.516,0.243,2.19,21.5,22.3,0.28,3.0,22.1,1.812,20.7,18.8,39.516,10:27:32.133
61,0.0,39.593,0.238,3.021,22.9,22.3,0.278,3.0,22.1,2.379,20.7,18.6,39.593,10:27:33.239
62,0.0,39.457,0.26,2.794,21.4,22.3,0.298,3.0,23.6,2.152,21.1,18.4,39.457,10:27:34.342
63,0.0,39.976,0.245,2.87,21.5,22.3,0.298,3.0,22.2,2.417,21.1,18.6,39.976,10:27:35.447
64,0.0,39.478,0.247,3.134,22.9,22.3,0.302,3.0,22.1,2.341,20.9,18.6,39.478,10:27:36.556
65,0.0,59.861,0.231,3.096,21.4,22.3,0.325,3.0,22.1,2.303,21.3,19.1,59.861,10:27:37.663
66,0.0,59.99,0.245,3.21,22.8,22.3,0.306,3.0,22.1,2.794,21.1,18.8,59.99,10:27:38.770
67,0.0,61.391,0.255,3.663,21.4,24.3,0.316,3.0,23.6,4.342,20.9,19.3,61.391,10:27:39.872
68,0.0,59.951,0.247,3.059,21.4,22.3,0.295,3.0,22.1,3.021,21.1,18.4,59.951,10:27:40.990
69,0.0,60.668,0.24,4.947,22.8,22.3,0.325,3.0,22.1,2.266,20.9,18.2,60.668,10:27:42.096
70,0.0,60.04,0.238,3.549,21.4,24.4,0.311,3.0,23.6,2.152,20.9,19.3,60.04,10:27:43.212
71,0.0,59.793,0.265,2.53,21.4,22.3,0.334,3.0,22.1,3.059,20.7,18.8,59.793,10:27:44.318
72,0.0,60.385,0.247,2.303,21.4,22.3,0.295,3.0,22.1,2.719,21.3,18.4,60.385,10:27:45.428
73,0.0,60.066,0.259,2.643,21.4,22.3,0.298,3.0,22.1,3.021,21.3,18.4,60.066,10:27:46.531
74,0.0,59.802,0.261,4.267,22.8,22.3,0.33,3.0,22.1,2.794,20.7,19.3,59.802,10:27:47.639
75,0.0,59.98,0.216,3.776,21.4,24.3,0.287,3.0,23.6,2.454,20.9,18.4,59.98,10:27:48.743
76,0.0,59.25,0.284,3.512,21.4,22.3,0.282,3.0,22.1,3.663,21.1,19.5,59.25,10:27:49.845
77,0.0,60.05,0.288,3.21,21.4,22.3,0.298,3.0,22.1,2.794,21.3,18.4,60.05,10:27:50.946
78,0.0,59.969,0.238,2.832,21.4,22.3,0.317,3.0,22.1,2.568,21.1,18.8,59.969,10:27:52.046
79,0.0,59.984,0.251,3.889,21.4,22.3,0.298,3.0,22.1,3.323,21.3,19.3,59.984,10:27:53.146
80,0.0,59.929,0.233,3.625,21.4,22.3,0.322,3.0,22.1,2.832,20.7,18.8,59.929,10:27:54.251
81,0.0,60.868,0.27,3.398,22.8,22.3,0.26,3.0,22.1,3.323,21.3,18.4,60.868,10:27:55.355
82,0.0,59.966,0.219,3.247,21.4,24.4,0.297,3.0,23.6,2.681,21.1,18.4,59.966,10:27:56.464
83,0.0,79.462,0.238,3.436,22.8,22.3,0.293,3.0,22.1,5.324,21.6,18.6,79.462,10:27:57.568
84,0.0,80.138,0.216,3.436,21.4,22.3,0.306,3.0,23.6,3.814,21.3,18.4,80.138,10:27:58.673
85,0.0,79.534,0.231,5.324,21.4,24.4,0.298,3.0,23.6,5.135,21.1,19.3,79.534,10:27:59.795
86,0.0,80.212,0.222,3.474,22.8,22.3,0.286,3.0,22.1,3.247,21.3,18.4,80.212,10:28:00.898
87,0.0,79.783,0.259,3.663,21.4,22.3,0.297,3.0,22.1,3.738,21.6,18.6,79.783,10:28:02.003
88,0.0,80.325,0.24,2.908,21.4,24.4,0.295,3.0,22.1,2.794,21.1,18.8,80.325,10:28:03.115
89,0.0,80.387,0.24,4.04,21.4,22.3,0.277,3.0,22.1,2.908,20.9,18.8,80.387,10:28:04.221
90,0.0,80.105,0.271,3.549,21.4,24.4,0.311,3.0,23.6,3.738,21.1,19.3,80.105,10:28:05.326
91,0.0,80.427,0.237,3.474,22.8,22.3,0.316,3.0,22.1,3.474,21.1,19.1,80.427,10:28:06.432
92,0.0,80.226,0.231,4.003,21.4,22.3,0.288,3.0,23.6,3.021,21.3,19.3,80.226,10:28:07.534
93,0.0,80.262,0.245,4.418,21.4,24.4,0.302,3.0,22.1,3.474,21.3,19.3,80.262,10:28:08.651
94,0.0,80.379,0.245,3.172,22.8,22.3,0.297,3.0,22.1,3.059,21.1,18.8,80.379,10:28:09.759
95,0.0,80.471,0.255,3.474,21.4,22.3,0.288,3.0,22.1,3.096,21.1,18.8,80.471,10:28:10.892
96,0.0,80.282,0.259,3.663,21.4,24.4,0.326,3.0,22.1,2.492,21.3,18.8,80.282,10:28:11.994
97,0.0,80.272,0.248,4.796,22.8,22.3,0.277,3.0,22.1,2.605,21.1,18.8,80.272,10:28:13.100
98,0.0,80.392,0.243,4.229,21.4,22.3,0.325,3.0,23.6,3.247,21.3,18.8,80.392,10:28:14.204
99,0.0,80.536,0.255,6.91,22.8,24.4,0.306,3.0,22.1,2.794,21.1,18.4,80.536,10:28:15.311
100,0.0,80.853,0.247,4.644,21.4,22.3,0.302,3.0,22.1,2.492,21.3,18.8,80.853,10:28:16.417
101,0.0,98.254,0.236,4.456,21.4,22.3,0.292,3.0,22.1,4.833,20.9,18.6,98.254,10:28:17.534
102,0.0,99.399,0.251,4.154,22.8,22.3,0.313,3.0,22.1,2.832,21.3,18.8,99.399,10:28:18.640
103,0.0,99.628,0.248,4.04,21.4,22.3,0.286,3.0,23.6,4.078,21.1,17.9,99.628,10:28:19.744
104,0.0,101.067,0.266,3.889,21.4,24.4,0.291,3.0,22.1,3.776,21.3,18.6,101.067,10:28:20.858
105,0.0,99.478,0.26,5.098,22.8,24.4,0.287,3.0,22.1,2.908,21.6,19.3,99.478,10:28:21.994
106,0.0,99.81,0.27,4.38,21.4,22.3,0.303,3.0,22.1,3.625,21.1,18.8,99.81,10:28:23.100
107,0.0,100.183,0.265,4.04,21.4,22.3,0.31,3.0,23.6,4.04,21.3,19.3,100.183,10:28:24.204
108,0.0,99.373,0.291,4.833,22.8,24.4,0.295,3.0,22.1,3.549,21.1,18.6,99.373,10:28:25.306
109,0.0,99.704,0.212,4.569,21.4,22.3,0.316,3.0,23.6,3.7,21.3,18.6,99.704,10:28:26.412
110,0.0,100.326,0.237,2.945,22.8,24.4,0.302,3.0,22.1,3.852,21.6,18.8,99.328,10:28:27.514
111,0.0,99.549,0.259,4.418,21.4,22.3,0.295,3.0,22.1,2.87,21.6,19.8,99.549,10:28:28.622
112,0.0,99.874,0.237,4.531,21.4,22.3,0.303,3.0,23.6,3.549,21.6,18.4,99.874,10:28:29.741
113,0.0,99.731,0.266,3.965,22.8,24.4,0.313,3.0,22.1,3.512,21.6,18.4,99.731,10:28:30.845
114,0.0,99.481,0.251,3.398,21.4,22.3,0.313,3.0,23.6,3.549,21.6,18.8,99.481,10:28:31.950
115,0.0,99.634,0.247,3.776,21.4,22.3,0.295,3.0,23.6,3.625,21.3,18.8,99.634,10:28:33.068
116,0.0,99.612,0.25,3.21,21.4,24.4,0.302,3.0,22.1,3.738,21.3,18.8,99.612,10:28:34.168
117,0.0,98.564,0.269,4.229,21.4,22.3,0.295,3.0,23.6,4.758,21.3,19.1,98.564,10:28:35.289
118,0.0,99.557,0.232,4.342,21.4,22.3,0.28,3.0,22.1,3.323,21.6,19.3,99.673,10:28:36.395
119,0.0,119.704,0.261,4.305,22.8,22.3,0.303,3.0,22.1,4.267,21.1,18.8,119.704,10:28:37.531
120,0.0,120.393,0.24,4.267,21.4,22.3,0.286,3.0,22.1,3.398,21.6,19.8,120.393,10:28:38.637
121,0.0,119.843,0.255,3.927,21.4,22.3,0.311,3.0,22.1,4.682,21.1,18.6,119.843,10:28:39.739
122,0.0,120.017,0.245,3.663,22.8,22.3,0.292,3.0,22.1,4.04,21.3,19.8,120.017,10:28:40.873
123,0.0,120.105,0.251,4.984,21.4,24.4,0.305,3.0,22.1,3.738,21.1,18.8,120.105,10:28:41.971
124,0.0,120.657,0.245,3.663,21.4,22.3,0.293,3.0,22.1,4.116,21.8,18.8,120.657,10:28:43.077
125,0.0,120.223,0.248,5.588,21.4,24.4,0.311,3.0,22.1,3.738,21.3,18.4,120.223,10:28:44.176
126,0.0,119.173,0.243,4.871,21.4,22.3,0.316,3.0,22.1,5.777,21.3,18.4,119.173,10:28:45.277
127,0.0,120.076,0.236,3.549,22.8,24.4,0.302,3.0,22.1,3.663,21.6,18.6,120.076,10:28:46.380
128,0.0,119.797,0.25,4.267,21.4,24.4,0.297,3.0,22.1,3.21,21.3,18.8,119.797,10:28:47.507
129,0.0,120.198,0.238,3.398,21.4,22.3,0.306,3.0,23.6,4.04,21.8,19.3,120.198,10:28:48.616
130,0.0,119.968,0.248,5.06,22.8,24.4,0.311,3.0,22.1,3.172,21.6,18.6,119.968,10:28:49.719
131,0.0,120.963,0.245,3.889,21.4,22.3,0.313,3.0,23.6,3.549,21.8,19.5,120.963,10:28:50.826
132,0.0,120.327,0.269,4.456,21.4,22.3,0.298,3.0,22.1,3.436,21.3,19.3,120.327,10:28:51.951
133,0.0,119.922,0.236,3.247,22.8,22.3,0.305,3.0,22.1,4.116,21.3,18.8,119.922,10:28:53.054
134,0.0,119.889,0.228,3.889,21.4,22.3,0.303,3.0,23.6,3.738,22.0,18.8,119.889,10:28:54.155
135,0.0,119.615,0.243,4.116,22.8,22.3,0.305,3.0,22.1,3.134,21.6,18.8,119.615,10:28:55.259
136,0.0,119.999,0.243,3.852,21.4,24.4,0.298,3.0,22.1,3.738,21.3,19.5,119.999,10:28:56.365
137,0.0,99.841,0.26,3.21,21.4,22.3,0.292,3.0,22.1,3.587,21.8,18.8,99.841,10:28:57.466
138,0.0,97.863,0.255,4.04,22.8,22.3,0.316,3.0,22.1,5.777,21.6,20.0,97.863,10:28:58.586
139,0.0,99.686,0.24,5.664,21.4,22.3,0.31,3.0,23.6,3.7,21.6,19.3,99.686,10:28:59.688
140,0.0,99.803,0.251,3.398,22.8,22.3,0.313,3.0,22.1,4.04,22.3,18.8,99.803,10:29:00.793
141,0.0,98.376,0.259,3.285,21.4,22.3,0.306,3.0,22.1,4.154,21.6,18.8,99.266,10:29:01.914
142,0.0,99.5,0.245,3.549,21.4,24.4,0.311,3.0,23.6,3.436,21.6,19.5,99.5,10:29:03.034
143,0.0,99.608,0.265,3.738,22.8,22.3,0.327,3.0,22.1,3.625,21.1,19.5,99.608,10:29:04.136
144,0.0,99.193,0.24,4.229,21.4,24.4,0.31,3.0,22.1,4.984,21.6,19.1,99.193,10:29:05.243
145,0.0,99.484,0.236,4.078,21.4,22.3,0.305,3.0,22.1,3.134,21.6,19.5,99.484,10:29:06.350
146,0.0,99.61,0.27,3.361,21.4,22.3,0.325,3.0,22.1,3.059,21.6,18.8,99.61,10:29:07.453
147,0.0,100.22,0.247,3.172,21.4,22.3,0.31,3.0,22.1,3.776,21.8,19.3,100.22,10:29:08.578
148,0.0,99.391,0.256,3.738,21.4,22.3,0.3,3.0,22.1,3.059,21.6,18.4,99.391,10:29:09.681
149,0.0,99.516,0.247,3.889,22.8,22.3,0.303,3.0,22.1,3.663,21.8,19.3,99.516,10:29:10.803
150,0.0,100.106,0.254,3.663,21.4,22.3,0.308,3.0,22.1,3.361,21.6,19.5,100.106,10:29:11.911
151,0.0,99.41,0.245,4.191,22.8,22.3,0.292,3.0,22.1,3.738,21.6,18.8,99.41,10:29:13.014
152,0.0,99.604,0.243,4.191,21.3,22.3,0.302,3.0,22.1,2.492,21.6,18.8,99.604,10:29:14.119
153,0.0,99.936,0.255,3.361,21.4,24.4,0.291,3.0,23.6,3.285,21.6,19.1,99.936,10:29:15.239
154,0.0,99.563,0.264,3.738,22.8,22.3,0.306,3.0,22.1,3.625,22.0,20.0,99.563,10:29:16.344
155,0.0,81.521,0.247,3.059,21.4,22.3,0.311,3.0,22.1,3.247,21.8,19.3,81.521,10:29:17.450
156,0.0,80.004,0.245,2.945,21.4,24.4,0.31,3.0,23.5,3.663,22.3,19.3,80.004,10:29:18.572
157,0.0,80.591,0.242,3.361,21.3,24.4,0.313,3.0,22.1,3.323,21.6,19.3,80.591,10:29:19.696
158,0.0,80.208,0.28,2.794,21.4,22.3,0.305,3.0,22.1,3.474,22.3,19.1,80.208,10:29:20.797
159,0.0,81.575,0.231,3.247,21.3,22.3,0.288,3.0,23.5,2.681,22.0,19.5,81.575,10:29:21.918
160,0.0,80.236,0.232,3.172,22.8,22.3,0.313,3.0,22.1,4.04,21.8,18.8,80.236,10:29:23.021
161,0.0,78.047,0.25,3.247,21.3,22.3,0.31,3.0,22.1,5.664,21.3,19.1,78.047,10:29:24.122
162,0.0,80.153,0.259,3.172,21.4,22.3,0.288,3.0,22.1,2.756,21.8,19.3,80.153,10:29:25.220
163,0.0,80.32,0.216,3.738,21.4,22.3,0.286,3.0,22.1,2.908,21.8,19.1,80.32,10:29:26.325
164,0.0,80.449,0.266,3.814,21.4,22.3,0.288,3.0,23.6,2.794,22.0,19.1,80.449,10:29:27.430
165,0.0,80.116,0.251,3.663,22.8,22.3,0.269,3.0,22.1,2.794,22.0,19.1,80.116,10:29:28.547
166,0.0,80.283,0.247,3.172,21.3,22.3,0.298,3.0,22.1,2.87,22.3,19.8,80.283,10:29:29.668
167,0.0,80.312,0.233,3.323,21.3,22.3,0.306,3.0,23.5,3.21,22.3,19.5,80.312,10:29:30.786
168,0.0,80.354,0.254,3.889,21.3,24.4,0.302,3.0,22.1,2.341,22.0,19.3,80.354,10:29:31.902
169,0.0,80.334,0.255,3.889,22.8,22.3,0.297,3.0,22.1,2.719,21.6,19.3,80.334,10:29:33.017
170,0.0,80.376,0.238,3.323,21.3,22.3,0.288,3.0,23.6,2.719,22.3,19.8,80.376,10:29:34.121
171,0.0,80.362,0.237,3.625,21.3,24.4,0.311,3.0,22.1,2.832,21.8,19.8,80.362,10:29:35.238
172,0.0,80.261,0.248,4.154,22.8,24.4,0.293,3.0,22.1,2.454,22.3,19.5,80.261,10:29:36.373
173,0.0,60.104,0.255,2.643,21.3,22.3,0.288,3.0,22.1,3.096,22.3,19.1,60.104,10:29:37.475
174,0.0,60.166,0.238,4.833,21.3,22.3,0.31,3.0,22.1,2.341,22.0,18.8,60.166,10:29:38.581
175,0.0,60.155,0.248,3.927,21.3,22.3,0.286,3.0,22.1,2.266,21.8,18.8,60.155,10:29:39.684
176,0.0,59.595,0.237,3.776,21.3,22.3,0.295,3.0,22.1,3.814,22.0,19.8,59.595,10:29:40.814
177,0.0,59.595,0.255,3.247,21.3,22.3,0.3,3.0,23.6,2.152,22.0,19.8,59.595,10:29:41.935
178,0.0,60.269,0.27,2.832,22.8,24.4,0.265,3.0,22.1,3.059,22.0,18.8,60.269,10:29:43.039
179,0.0,60.001,0.245,2.266,21.3,22.3,0.297,3.0,22.1,2.115,21.6,18.8,60.001,10:29:44.163
180,0.0,60.096,0.261,2.53,21.3,22.3,0.298,3.0,23.5,2.115,21.6,19.3,60.096,10:29:45.272
181,0.0,59.635,0.238,2.152,22.8,24.4,0.286,3.0,22.1,2.643,22.0,20.0,59.635,10:29:46.376
182,0.0,60.037,0.284,2.53,21.3,22.3,0.298,3.0,22.1,2.719,22.0,19.8,60.037,10:29:47.487
183,0.0,59.867,0.271,4.191,21.3,22.3,0.277,3.0,23.5,3.474,21.8,19.8,59.867,10:29:48.601
184,0.0,60.087,0.24,3.738,22.7,24.4,0.293,3.0,22.1,2.454,21.6,19.1,60.087,10:29:49.710
185,0.0,60.338,0.251,3.587,22.7,24.4,0.311,3.0,22.1,4.418,21.6,18.8,60.338,10:29:50.843
186,0.0,60.017,0.254,2.983,21.3,22.3,0.282,3.0,23.6,2.53,21.6,18.8,60.017,10:29:51.949
187,0.0,59.856,0.248,3.965,21.3,22.3,0.278,3.0,23.6,3.398,21.8,19.8,59.856,10:29:53.088
188,0.0,60.012,0.254,3.927,21.3,22.4,0.31,3.0,22.1,2.605,21.6,18.8,60.012,10:29:54.211
189,0.0,60.138,0.288,3.21,22.7,24.4,0.297,3.0,22.1,3.361,21.6,18.8,60.138,10:29:55.330
190,0.0,60.028,0.251,2.719,22.8,24.4,0.272,3.0,22.1,2.454,22.0,19.3,60.028,10:29:56.457
191,0.0,39.529,0.259,2.379,21.3,22.4,0.287,3.0,22.1,3.059,21.8,18.6,39.529,10:29:57.577
192,0.0,39.596,0.243,3.285,21.3,22.4,0.298,3.0,22.1,2.266,21.8,19.3,39.596,10:29:58.687
193,0.0,39.333,0.248,2.417,22.7,24.4,0.308,3.0,22.1,2.454,22.3,19.5,39.333,10:29:59.796
194,0.0,39.511,0.242,2.719,21.3,22.4,0.31,3.0,23.5,2.303,22.3,19.3,39.511,10:30:00.900
195,0.0,39.569,0.259,2.719,21.3,22.3,0.303,3.0,22.1,2.605,21.6,19.8,39.569,10:30:02.022
196,0.0,39.601,0.255,2.832,22.7,24.4,0.3,3.0,22.1,2.756,22.3,19.8,39.601,10:30:03.129
197,0.0,39.562,0.248,3.096,21.3,22.4,0.308,3.0,22.1,2.341,22.3,19.8,39.562,10:30:04.250
198,0.0,39.661,0.236,2.303,21.3,22.4,0.283,3.0,23.5,1.926,21.8,18.8,39.661,10:30:05.369
199,0.0,39.559,0.245,2.341,22.7,22.4,0.286,3.0,22.1,1.548,21.6,19.1,39.559,10:30:06.486
200,0.0,39.558,0.24,2.832,22.7,24.4,0.311,3.0,22.1,1.926,21.8,19.8,39.558,10:30:07.605
201,0.0,39.708,0.228,3.172,21.3,24.4,0.288,3.0,22.1,1.85,21.6,19.1,39.708,10:30:08.729
202,0.0,39.484,0.269,2.492,21.3,22.4,0.287,3.0,23.5,1.85,22.3,19.5,39.484,10:30:09.847
203,0.0,39.491,0.254,3.021,21.3,22.4,0.303,3.0,22.1,2.379,21.1,20.0,39.491,10:30:10.967
204,0.0,39.635,0.233,1.888,21.3,24.4,0.298,3.0,22.1,2.228,21.6,19.8,39.635,10:30:12.070
205,0.0,39.579,0.227,3.172,21.3,22.4,0.297,3.0,22.1,1.699,22.3,18.8,39.579,10:30:13.177
206,0.0,39.863,0.27,2.417,21.3,22.4,0.288,3.0,22.1,2.983,21.6,18.8,39.863,10:30:14.313
207,0.0,39.531,0.242,2.077,22.7,22.4,0.298,3.0,22.1,2.492,21.6,19.8,39.531,10:30:15.439
208,0.0,39.16,0.286,2.454,21.3,24.4,0.282,3.0,22.1,2.417,22.5,18.8,39.16,10:30:16.558
209,0.0,20.514,0.245,2.681,21.3,24.4,0.3,3.0,23.5,2.341,22.3,19.8,20.514,10:30:17.680
210,0.0,20.199,0.198,2.719,21.3,22.4,0.306,3.0,22.1,2.303,21.8,18.8,20.199,10:30:18.800
211,0.0,20.391,0.247,2.908,22.7,22.4,0.311,3.0,22.1,1.548,22.0,19.8,20.391,10:30:19.924
212,0.0,20.547,0.261,2.19,22.7,22.4,0.288,3.0,22.1,1.964,21.6,18.8,20.547,10:30:21.050
213,0.0,20.732,0.24,2.001,21.3,24.4,0.308,3.0,23.5,2.001,21.8,19.8,20.732,10:30:22.156
214,0.0,20.415,0.293,1.699,21.3,22.4,0.244,3.0,22.1,1.775,21.6,18.6,20.415,10:30:23.282
215,0.0,20.11,0.227,3.587,22.7,22.4,0.306,3.0,22.1,2.039,21.6,19.5,20.11,10:30:24.403
216,0.0,20.313,0.237,3.021,21.3,22.4,0.311,3.0,22.1,2.152,21.8,19.3,20.313,10:30:25.512
217,0.0,20.432,0.243,1.812,21.3,24.4,0.292,3.0,22.1,1.812,22.3,20.0,20.432,10:30:26.642
218,0.0,20.513,0.24,2.454,21.3,22.4,0.286,3.0,23.5,2.001,21.8,18.8,20.513,10:30:27.764
219,0.0,20.33,0.231,2.228,21.3,22.4,0.297,3.0,22.1,1.548,22.0,19.5,20.33,10:30:28.900
220,0.0,20.487,0.281,1.888,22.7,22.4,0.28,3.0,22.1,1.85,21.8,20.0,20.487,10:30:30.023
221,0.0,20.242,0.25,2.115,22.7,22.4,0.28,3.0,22.1,2.53,22.0,19.3,20.242,10:30:31.149
