Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_old,mixer_torque_M2,mixer_torque_M1_old,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,7.3,5.7,6.2776,3.5872,4.8238,2.756457143,59.7861,60.4891,22:41.7
2,7,5.7,5.8811,3.360628571,5.815,3.322857143,59.8731,60.0782,22:42.7
3,7.5,6.1,6.7402,3.851542857,6.0794,3.473942857,60.7621,60.166,22:43.4
4,7.3,5.4,5.6168,3.2096,5.0221,2.869771429,60.1698,59.7471,22:44.2
5,7.3,6.1,5.4186,3.096342857,4.8238,2.756457143,59.7342,59.6797,22:45.0
6,7.5,5.2,6.0133,3.436171429,6.3437,3.624971429,60.151,60.1437,22:45.7
7,7.5,5.2,5.6829,3.247371429,7.2027,4.115828571,59.8673,59.5812,22:46.5
8,7.7,5.7,6.8062,3.889257143,7.3349,4.191371429,59.9988,60.5356,22:47.2
9,7.5,5.7,5.4186,3.096342857,6.4098,3.662742857,59.7276,60.7342,22:48.0
10,7.3,5.7,6.4758,3.700457143,5.4186,3.096342857,59.8031,59.8963,22:48.8
11,7.5,5.7,6.7402,3.851542857,5.6829,3.247371429,59.8891,59.9221,22:49.5
12,7.7,5.7,5.815,3.322857143,5.3525,3.058571429,59.9717,60.5054,22:50.3
13,7.3,5,5.0882,2.907542857,7.401,4.229142857,59.911,59.8316,22:51.1
14,7.5,6.1,6.2115,3.549428571,5.8811,3.360628571,59.9205,59.9454,22:51.8
15,7.5,5.7,6.7402,3.851542857,6.4098,3.662742857,59.7484,60.1949,22:52.6
16,7.3,5.7,7.6653,4.380171429,6.4098,3.662742857,60.2462,60.2111,22:53.4
17,7.3,5.2,5.6829,3.247371429,6.0133,3.436171429,60.409,59.9179,22:54.1
18,7,6.1,7.9957,4.568971429,5.0882,2.907542857,60.1173,59.9045,22:54.9
19,7,5.7,6.3437,3.624971429,5.6829,3.247371429,59.1285,59.9841,22:55.7
20,7.9,5.7,6.4098,3.662742857,7.401,4.229142857,59.9684,59.9688,22:56.4
21,7.7,6.1,6.0794,3.473942857,5.6829,3.247371429,59.7577,59.7701,22:57.2
22,7.5,6.1,5.4186,3.096342857,4.4934,2.567657143,60.1106,59.7762,22:57.9
23,7.3,5.7,7.7974,4.455657143,6.0133,3.436171429,59.7161,60.1091,22:58.7
24,7.3,6.3,7.0045,4.002571429,5.815,3.322857143,60.068,60.2093,22:59.5
25,7.5,6.3,8.0618,4.606742857,5.8811,3.360628571,60.2471,59.9863,23:00.2
26,7.3,5.2,6.2115,3.549428571,5.749,3.285142857,59.8241,59.71,23:01.0
27,7.7,5.7,7.9957,4.568971429,6.8062,3.889257143,60.1636,60.1776,23:01.7
28,7.7,5.7,6.2115,3.549428571,7.2027,4.115828571,59.9266,60.3749,23:02.5
29,7.7,6.1,8.9869,5.135371429,5.2864,3.0208,60.0836,59.9502,23:03.3
30,7.9,5.2,5.2864,3.0208,6.0133,3.436171429,60.0325,59.8618,23:04.0
