Log,ac_flowrate,cp_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_speed_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,Time
1,172.1,0.916,5.0,23.6,23.2,0.266,23.6,18.8,17.5,119.963,2.605,2.341,119.963,11:36:26.297
2,172.1,0.93,5.0,23.6,23.2,0.31,25.1,18.6,16.3,119.807,2.53,2.832,119.807,11:36:27.405
3,172.1,0.881,5.0,23.6,23.2,0.27,23.6,18.6,16.8,120.138,2.454,2.832,120.138,11:36:28.517
4,172.1,0.778,5.0,25.7,23.2,0.328,23.6,18.6,17.5,119.893,3.247,2.454,119.893,11:36:29.627
5,172.1,1.014,5.0,23.6,23.2,0.221,25.1,18.6,17.3,120.016,2.643,2.568,120.016,11:36:30.734
6,172.1,0.848,5.0,23.6,24.7,0.259,23.6,18.8,17.5,119.959,5.588,2.681,119.959,11:36:31.841
7,172.1,0.839,5.0,25.7,23.2,0.271,25.0,18.6,17.3,120.248,3.247,3.021,120.248,11:36:32.944
8,172.1,0.973,5.0,23.6,23.2,0.264,23.6,19.1,17.5,120.043,2.492,2.001,120.043,11:36:34.046
9,172.1,0.855,5.0,25.7,23.2,0.232,23.6,19.1,17.5,120.74,2.454,2.492,120.74,11:36:35.153
10,172.1,0.907,5.0,23.7,23.2,0.26,25.1,19.1,17.5,119.997,2.492,3.021,119.997,11:36:36.265
11,172.1,0.844,5.0,23.6,23.2,0.259,23.6,18.6,16.8,120.144,3.172,3.096,120.144,11:36:37.372
12,172.1,0.811,5.0,25.7,23.2,0.289,23.6,18.6,17.7,119.958,2.87,2.794,119.958,11:36:38.477
13,172.1,0.934,5.0,23.6,23.2,0.273,23.6,19.1,17.5,120.022,2.983,2.945,120.022,11:36:39.583
14,172.1,0.839,5.0,23.7,24.7,0.25,23.6,18.6,17.5,119.819,2.794,3.285,119.819,11:36:40.688
15,172.1,0.941,5.0,25.7,23.2,0.261,25.1,19.3,17.5,119.886,2.756,2.568,119.886,11:36:41.796
16,172.1,0.874,5.0,23.7,23.2,0.264,23.6,19.1,17.5,120.128,3.021,3.361,120.128,11:36:42.903
17,172.1,0.873,5.0,23.6,23.2,0.261,23.6,18.6,17.5,120.661,3.059,3.398,120.661,11:36:44.014
18,172.1,1.001,5.0,25.7,23.2,0.294,23.6,19.1,17.7,119.859,3.096,2.605,119.859,11:36:45.125
19,172.1,0.82,5.0,23.7,24.7,0.216,23.6,19.1,17.7,119.885,2.719,3.059,119.885,11:36:46.227
20,172.1,0.983,5.0,25.7,23.2,0.27,25.1,19.1,17.5,120.046,3.134,3.625,120.046,11:36:47.334
21,172.1,0.876,5.0,23.7,23.2,0.291,23.6,19.1,17.5,119.432,3.889,4.456,119.432,11:36:48.442
22,172.1,0.876,5.0,23.7,24.6,0.266,23.6,19.1,17.9,119.912,4.116,3.587,119.912,11:36:49.548
23,172.1,0.887,5.0,25.7,23.2,0.259,25.1,18.8,17.0,119.996,3.247,2.945,119.996,11:36:50.655
24,172.1,0.873,5.0,23.7,23.2,0.237,23.6,18.6,17.7,120.159,2.908,4.04,120.159,11:36:51.761
25,172.1,0.867,5.0,23.7,23.2,0.293,23.6,19.1,17.3,120.004,3.814,3.7,120.004,11:36:52.870
26,172.1,0.972,5.0,23.7,23.2,0.293,25.1,18.8,17.5,121.551,3.7,3.247,121.551,11:36:53.981
27,172.1,0.878,5.0,23.7,24.7,0.25,23.7,19.3,17.5,119.458,3.625,3.587,119.458,11:36:55.089
28,172.1,0.981,5.0,25.7,23.2,0.251,25.1,19.1,17.5,119.66,3.549,3.776,119.66,11:36:56.197
29,172.1,0.853,5.0,23.7,23.2,0.219,23.6,18.6,17.5,119.915,3.852,3.625,119.915,11:36:57.300
