Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,9.8,7,5.5507,3.171828571,7.9296,4.5312,60.0616,60.0136,30:16.7
2,9.5,7.5,6.2776,3.5872,4.8238,2.756457143,59.8972,59.6418,30:17.6
3,9.3,7,6.2776,3.5872,5.8811,3.360628571,59.863,59.7762,30:18.4
4,9.5,7.9,7.401,4.229142857,6.9384,3.9648,60.1678,59.7058,30:19.1
5,9.3,7.5,6.4098,3.662742857,6.5419,3.738228571,60.3798,59.9831,30:19.9
6,9.3,6.8,7.2688,4.1536,5.3525,3.058571429,60.3678,59.4179,30:20.7
7,10,7.7,6.608,3.776,6.3437,3.624971429,60.4507,59.8618,30:21.4
8,9.5,7.3,6.4758,3.700457143,5.6829,3.247371429,60.0964,60.0175,30:22.2
9,9.3,7.5,5.5507,3.171828571,5.8811,3.360628571,59.8148,59.6807,30:22.9
10,10,7,5.6168,3.2096,4.6256,2.6432,59.9323,59.8552,30:23.7
11,9.5,7,6.608,3.776,4.8899,2.794228571,60.3452,59.9434,30:24.5
12,9.5,7.7,6.2776,3.5872,5.815,3.322857143,59.9716,59.9025,30:25.2
13,9.3,8.2,7.0045,4.002571429,5.2864,3.0208,60.2056,60.3883,30:26.0
14,9.5,7,5.5507,3.171828571,6.6741,3.813771429,60.0381,60.3442,30:26.8
15,9.3,7.5,7.0045,4.002571429,6.7402,3.851542857,59.9745,59.9893,30:27.5
16,9.5,6.6,7.0706,4.040342857,6.7402,3.851542857,60.0651,59.9535,30:28.3
17,10,6.6,6.3437,3.624971429,5.9472,3.3984,60.2037,60.5747,30:29.0
18,9.5,6.8,5.4186,3.096342857,6.3437,3.624971429,59.7802,60.1334,30:29.8
19,9.5,7.5,6.7402,3.851542857,5.8811,3.360628571,59.9162,59.9668,30:30.5
20,9.8,7.5,6.4758,3.700457143,7.2027,4.115828571,60.0588,59.9844,30:31.3
21,9.8,7.3,6.4098,3.662742857,6.0133,3.436171429,60.5622,59.7888,30:32.1
22,9.8,7.5,4.8899,2.794228571,5.4186,3.096342857,60.1126,60.0631,30:32.8
23,9.5,8.2,5.2203,2.983028571,4.2952,2.4544,60.04,59.9661,30:33.6
24,9.3,7.5,7.8635,4.493428571,6.3437,3.624971429,59.8844,60.4736,30:34.4
25,10,7.7,6.7402,3.851542857,5.3525,3.058571429,60.0677,59.8908,30:35.1
26,10,7.9,6.2776,3.5872,5.6168,3.2096,59.9174,59.4552,30:35.9
27,9.5,7.5,6.5419,3.738228571,5.5507,3.171828571,60.514,59.6734,30:36.6
28,10,7.5,6.4758,3.700457143,6.4098,3.662742857,60.0256,59.5174,30:37.4
29,9.5,7,8.4582,4.833257143,5.6829,3.247371429,60.0434,59.925,30:38.2
30,9.8,7.3,5.1542,2.945257143,5.2864,3.0208,59.7403,60.0309,30:38.9
31,9.8,7,5.8811,3.360628571,4.6917,2.680971429,59.8004,59.9359,30:39.7
32,9.8,7,6.4098,3.662742857,5.1542,2.945257143,60.1086,59.9981,30:40.5
33,10,7,5.2864,3.0208,5.815,3.322857143,59.924,60.0994,30:41.2
34,9.8,7.9,8.3261,4.757771429,5.4846,3.134057143,59.8834,59.1487,30:42.0
35,9.8,7.9,5.3525,3.058571429,5.815,3.322857143,60.1705,60.1268,30:42.7
36,10,7.5,7.401,4.229142857,5.815,3.322857143,59.9102,59.4638,30:43.5
37,10,7.9,6.5419,3.738228571,6.0794,3.473942857,60.0614,60.0177,30:44.3
38,10,7.3,7.2688,4.1536,6.2776,3.5872,60.2526,60.863,30:45.0
39,10,6.6,5.5507,3.171828571,6.7402,3.851542857,59.4959,59.787,30:45.8
40,9.5,7.7,6.5419,3.738228571,5.1542,2.945257143,60.2571,59.8913,30:46.6
41,9.5,7,4.8238,2.756457143,5.5507,3.171828571,59.9873,60.2147,30:47.3
42,9.8,7.7,5.3525,3.058571429,5.6168,3.2096,59.8801,59.7437,30:48.1
43,10,7.7,4.6917,2.680971429,4.956,2.832,59.4524,59.8686,30:48.8
44,9.8,7.5,5.2864,3.0208,4.8899,2.794228571,60.0805,60.4369,30:49.6
45,9.5,7.7,6.0794,3.473942857,4.8899,2.794228571,60.0797,59.9328,30:50.3
46,10,7.9,6.5419,3.738228571,5.2864,3.0208,59.9938,59.9284,30:51.1
47,10,7.5,5.0882,2.907542857,6.608,3.776,59.9803,59.9112,30:51.9
48,10,7.5,7.0045,4.002571429,6.0794,3.473942857,60.1509,59.6572,30:52.6
