Log,cp_pressure,cp_flowrate,mixer_motor_temperature_M1,mixer_torque_M1,accLow_flowrate,mixer_motor_temperature_M2,mixer_torque_M2,mixer_speed_M2,mixer_pressure,mixer_temperature_outlet,cp_temperature,accHigh_flowrate,cp_temperature_fresh,mixer_speed_M1,Time
1,0.016,0.0,17.9,2.001,50.0,19.5,2.341,64.78,0.0,28.7,20.7,100.0,18.7,64.78,09:19:49.841
2,0.016,0.0,17.3,1.812,50.0,18.8,1.699,119.984,0.0,26.6,19.2,100.0,18.7,119.984,09:19:50.944
3,0.016,0.0,17.7,1.661,50.0,19.1,2.19,119.959,0.0,26.6,19.2,100.0,18.6,119.959,09:19:52.045
4,0.022,0.0,17.5,2.077,50.0,19.3,1.699,120.108,0.0,26.6,19.2,100.0,18.7,120.108,09:19:53.143
5,0.015,0.0,17.9,2.19,50.0,19.1,2.039,120.039,0.0,28.7,20.7,100.0,18.6,120.039,09:19:54.257
6,0.022,0.0,17.3,1.548,50.0,19.1,2.19,120.283,0.0,26.6,19.2,100.0,18.7,120.283,09:19:55.361
7,0.012,0.0,17.7,1.624,50.0,19.1,2.077,119.807,0.0,26.6,19.2,100.0,18.7,119.807,09:19:56.470
8,0.012,0.0,17.3,2.228,50.0,18.6,1.888,120.055,0.0,26.6,19.2,100.0,18.6,120.055,09:19:57.573
9,0.016,0.0,17.9,2.001,50.0,19.5,2.19,119.908,0.0,26.6,19.2,100.0,20.1,119.908,09:19:58.674
10,0.006,0.0,17.5,2.152,50.0,19.1,1.586,119.992,0.0,28.7,20.7,100.0,18.7,119.992,09:19:59.777
11,0.011,0.0,17.5,1.775,50.0,19.1,2.039,120.181,0.0,26.6,19.2,100.0,20.1,120.181,09:20:00.877
12,0.021,0.0,17.9,1.699,50.0,19.1,2.303,119.838,0.0,28.7,20.7,100.0,18.7,119.838,09:20:01.980
13,0.017,0.0,17.7,1.812,50.0,19.3,1.473,120.016,0.0,26.6,19.2,100.0,20.1,120.016,09:20:03.089
14,0.012,0.0,17.9,1.812,50.0,19.1,1.775,119.959,0.0,26.6,19.2,100.0,20.1,119.959,09:20:04.211
15,0.02,0.0,17.7,1.775,50.0,18.6,1.699,120.033,0.0,26.6,19.2,100.0,18.7,120.033,09:20:05.323
16,0.017,0.0,17.0,1.85,50.0,19.1,2.303,119.961,0.0,26.6,19.2,100.0,20.1,119.961,09:20:06.425
