Log,mixer_torque_M1,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_torque_M2,ac_flowrate,mixer_pressure,mixer_motor_temperature_M2,cp_temperature,cp_pressure,mixer_motor_temperature_M1,mixer_speed_M2,mixer_speed_M1,Time
1,2.039,3.0,24.9,27.6,2.454,104.2,0.226,18.6,25.0,0.262,17.7,119.948,119.948,12:03:20.568
2,2.19,3.0,24.9,27.6,2.266,104.2,0.175,18.2,23.6,0.269,17.5,119.974,119.974,12:03:21.677
3,1.51,3.0,24.9,27.5,2.303,104.2,0.181,18.6,25.0,0.313,17.0,119.963,119.963,12:03:22.784
4,1.926,3.0,27.0,29.0,1.964,104.2,0.173,18.8,23.6,0.243,17.9,120.04,120.04,12:03:23.888
5,2.115,3.0,24.9,27.6,1.926,104.2,0.219,18.6,23.6,0.277,17.7,120.001,120.001,12:03:24.992
6,2.266,3.0,27.0,27.6,2.53,104.2,0.165,18.6,23.6,0.28,17.9,119.977,119.977,12:03:26.094
7,1.85,3.0,24.9,27.6,1.624,104.2,0.189,18.6,23.6,0.343,17.5,120.022,120.022,12:03:27.198
8,2.115,3.0,24.9,27.6,2.454,104.2,0.186,18.6,23.6,0.33,17.5,119.968,119.968,12:03:28.299
9,1.624,3.0,24.9,29.0,2.568,104.2,0.165,18.2,23.6,0.327,16.6,119.968,119.968,12:03:29.404
10,1.624,3.0,24.9,27.6,1.964,104.2,0.209,18.6,25.0,0.343,17.5,120.059,120.059,12:03:30.515
11,1.85,3.0,27.0,27.6,2.039,104.2,0.254,18.6,23.6,0.413,17.7,120.02,120.02,12:03:31.621
12,1.926,3.0,24.9,27.6,2.152,104.2,0.151,18.6,23.6,0.311,17.9,119.998,119.998,12:03:32.726
13,1.51,3.0,24.9,27.6,2.039,104.2,0.136,18.4,23.6,0.416,17.9,120.03,120.03,12:03:33.828
14,1.812,3.0,27.0,29.0,1.888,104.2,0.231,18.4,23.6,0.349,17.5,119.979,119.979,12:03:34.937
15,1.85,3.0,24.9,27.6,2.341,104.2,0.15,18.2,25.0,0.367,17.9,120.028,120.028,12:03:36.044
16,1.586,3.0,27.0,27.6,2.039,104.2,0.217,18.4,23.6,0.41,17.5,119.879,119.879,12:03:37.148
17,1.699,3.0,25.0,27.6,1.699,104.2,0.254,18.6,23.6,0.377,17.7,120.046,120.046,12:03:38.254
18,2.152,3.0,25.0,27.6,2.379,104.2,0.228,18.4,23.6,0.386,17.0,119.947,119.947,12:03:39.357
19,1.586,3.0,27.0,29.1,2.379,104.2,0.219,18.6,23.6,0.469,17.3,119.937,119.937,12:03:40.462
20,1.812,3.0,24.9,27.6,2.001,104.2,0.217,18.6,25.0,0.355,17.9,120.042,120.042,12:03:41.568
21,2.228,3.0,27.0,27.6,2.115,104.2,0.256,18.4,23.6,0.433,17.5,119.954,119.954,12:03:42.678
22,1.737,3.0,25.0,27.6,2.454,104.2,0.259,18.6,23.6,0.443,17.5,119.959,119.959,12:03:43.783
23,1.473,3.0,25.0,27.6,2.077,104.2,0.248,18.8,25.0,0.387,17.5,120.58,120.58,12:03:44.895
24,1.737,3.0,27.0,27.6,1.964,104.2,0.227,18.8,23.6,0.438,17.5,120.187,120.679,12:03:45.999
25,2.719,3.0,25.0,27.6,2.53,104.2,0.276,18.6,25.0,0.4,17.5,119.905,119.905,12:03:47.099
26,2.303,3.0,27.0,27.6,2.379,104.2,0.209,18.6,23.6,0.387,18.2,120.018,120.018,12:03:48.206
27,2.303,3.0,25.0,27.6,2.152,104.2,0.264,18.6,23.6,0.381,17.5,120.099,120.099,12:03:49.315
28,2.341,3.0,25.0,27.6,3.663,104.2,0.208,18.8,23.6,0.446,17.9,119.972,119.972,12:03:50.416
29,2.53,3.0,27.1,29.1,2.228,104.2,0.193,18.8,23.6,0.459,17.5,119.881,119.881,12:03:51.527
30,2.266,3.0,25.0,27.6,3.021,104.2,0.227,18.6,25.0,0.441,17.0,119.872,119.872,12:03:52.633
