Log,mixer_torque_M1,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_torque_M2,ac_flowrate,mixer_pressure,mixer_motor_temperature_M2,cp_temperature,cp_pressure,mixer_motor_temperature_M1,mixer_speed_M2,mixer_speed_M1,Time
31,2.643,3.0,25.0,27.6,2.303,104.2,0.226,18.6,23.6,0.421,17.9,120.032,120.032,12:03:53.742
32,2.228,3.0,25.0,27.6,3.285,104.2,0.211,19.1,23.6,0.446,17.5,120.286,120.286,12:03:54.847
33,2.152,3.0,25.0,27.6,2.341,104.2,0.247,19.1,25.0,0.441,17.5,119.921,119.921,12:03:55.956
34,2.605,3.0,27.1,29.1,2.001,104.2,0.208,18.6,23.6,0.465,17.9,120.09,120.09,12:03:57.060
35,2.643,3.0,25.0,27.6,2.492,104.2,0.232,19.1,25.0,0.372,17.5,119.946,119.946,12:03:58.168
36,2.492,3.0,25.0,27.6,2.719,104.2,0.197,18.8,23.6,0.43,17.0,119.972,119.972,12:03:59.271
37,2.681,3.0,27.1,27.6,2.19,104.2,0.232,18.6,23.6,0.472,17.5,120.045,120.045,12:04:00.379
38,3.323,3.0,25.0,27.6,2.756,104.2,0.243,18.8,25.0,0.426,17.5,119.452,119.452,12:04:01.487
39,2.341,3.0,27.1,27.7,2.115,104.2,0.245,18.6,23.6,0.474,17.5,119.605,119.605,12:04:02.579
40,2.266,3.0,25.0,27.7,2.115,104.2,0.28,18.6,25.0,0.421,17.5,119.916,119.916,12:04:03.689
41,2.454,3.0,25.0,27.7,2.719,104.2,0.221,18.8,23.6,0.469,17.5,119.96,119.96,12:04:04.795
42,1.85,3.0,27.1,27.7,2.605,104.2,0.237,18.6,23.6,0.459,18.2,119.995,119.995,12:04:05.904
43,2.341,3.0,25.0,27.7,1.812,104.2,0.231,18.8,23.6,0.472,17.5,119.864,119.864,12:04:07.009
44,3.059,3.0,27.1,29.1,1.926,104.2,0.264,18.6,23.6,0.438,18.2,119.744,119.744,12:04:08.116
45,2.983,3.0,25.0,27.7,2.87,104.2,0.243,18.2,25.0,0.453,17.9,119.862,119.862,12:04:09.224
46,2.115,3.0,25.0,27.7,1.964,104.2,0.243,18.8,23.6,0.47,17.9,120.007,120.007,12:04:10.332
47,2.001,3.0,27.1,27.7,2.719,104.2,0.237,19.3,23.6,0.582,17.7,119.908,119.908,12:04:11.432
48,2.53,3.0,25.0,27.7,2.605,104.2,0.211,18.8,23.6,0.482,18.2,120.113,120.113,12:04:12.536
49,2.115,3.0,25.0,29.1,3.096,104.2,0.206,19.1,23.6,0.51,17.7,119.987,119.987,12:04:13.647
50,2.568,3.0,25.0,27.6,2.077,104.2,0.188,19.1,25.0,0.438,17.9,119.885,119.885,12:04:14.758
51,2.794,3.0,25.0,27.7,2.379,104.2,0.243,18.8,23.6,0.481,18.2,119.702,119.702,12:04:15.865
52,2.303,3.0,27.1,29.1,2.454,104.2,0.248,19.1,23.6,0.477,17.5,120.064,120.064,12:04:16.974
53,2.417,3.0,25.0,27.7,2.379,104.2,0.242,18.6,25.0,0.435,17.5,120.014,120.014,12:04:18.085
54,2.87,3.0,25.0,27.7,2.379,104.2,0.238,19.1,23.6,0.51,17.7,120.364,120.364,12:04:19.192
55,2.568,3.0,27.1,27.6,2.756,104.2,0.273,19.1,23.6,0.479,17.5,119.904,119.904,12:04:20.297
56,2.983,3.0,25.0,27.6,3.134,104.2,0.299,18.6,25.0,0.482,17.9,119.354,119.354,12:04:21.403
57,2.152,3.0,25.0,29.1,2.039,104.2,0.204,18.4,23.6,0.46,17.5,119.938,119.938,12:04:22.503
58,2.719,3.0,25.0,27.6,2.945,104.2,0.204,18.6,25.0,0.449,17.7,120.048,120.048,12:04:23.613
59,2.53,3.0,25.0,27.6,3.134,104.2,0.289,18.8,23.6,0.469,17.7,120.112,120.112,12:04:24.719
60,2.417,3.0,27.1,27.6,2.983,104.2,0.247,18.8,23.6,0.51,17.9,120.181,120.181,12:04:25.826
61,2.228,3.0,25.0,27.6,2.681,104.2,0.24,19.1,25.0,0.482,17.9,120.021,120.021,12:04:26.933
62,3.021,3.0,25.0,29.1,2.908,104.2,0.245,19.1,23.6,0.468,17.5,120.045,120.045,12:04:28.038
63,2.681,3.0,27.1,27.6,3.474,104.2,0.261,19.1,25.0,0.492,18.2,119.664,119.664,12:04:29.145
64,3.625,3.0,25.0,27.6,2.945,104.2,0.278,19.1,23.6,0.491,17.9,119.823,119.823,12:04:30.249
65,3.021,3.0,27.1,27.6,3.247,104.2,0.25,18.8,23.6,0.492,17.9,120.103,120.103,12:04:31.352
66,2.001,3.0,25.1,27.6,3.059,104.2,0.255,18.8,23.6,0.455,17.9,119.78,119.78,12:04:32.456
67,3.7,3.0,25.0,29.0,2.417,104.2,0.247,19.3,23.6,0.531,17.9,119.913,119.913,12:04:33.561
68,2.908,3.0,25.0,27.6,3.512,104.2,0.261,19.1,25.0,0.543,17.9,120.107,120.107,12:04:34.659
69,3.625,3.0,25.0,27.5,3.587,104.2,0.209,19.1,23.6,0.464,18.4,119.718,119.718,12:04:35.782
70,2.87,3.0,27.1,27.5,3.587,104.2,0.25,19.1,23.6,0.468,17.9,119.974,119.974,12:04:36.884
71,3.361,3.0,25.0,27.5,3.172,104.2,0.338,19.1,25.0,0.52,18.2,119.613,119.613,12:04:37.990
72,3.21,3.0,25.0,29.0,3.436,104.2,0.248,19.3,23.6,0.464,17.9,119.798,119.798,12:04:39.096
73,3.096,3.0,27.1,27.5,3.436,104.2,0.266,19.1,23.6,0.529,17.9,120.294,120.294,12:04:40.202
74,3.096,3.0,25.1,27.5,2.832,104.2,0.28,18.8,23.6,0.553,17.7,120.023,120.023,12:04:41.318
75,2.266,3.0,25.0,29.0,3.172,104.2,0.293,19.1,23.6,0.563,18.2,120.82,120.82,12:04:42.425
76,3.512,3.0,25.1,27.5,2.945,104.2,0.288,19.1,25.0,0.53,17.9,119.848,119.848,12:04:43.531
77,3.361,3.0,25.0,27.5,3.512,104.2,0.259,19.1,23.6,0.474,17.9,119.811,119.811,12:04:44.634
78,3.549,3.0,27.1,27.5,3.549,104.2,0.269,18.8,23.6,0.525,17.7,121.094,121.094,12:04:45.740
79,3.285,3.0,25.0,27.4,3.927,104.2,0.3,19.1,23.6,0.525,17.7,120.059,120.059,12:04:46.845
80,2.454,3.0,25.0,27.4,3.21,104.2,0.356,19.1,23.6,0.482,18.4,120.534,120.534,12:04:47.941
81,3.625,3.0,25.0,27.4,3.059,104.2,0.25,19.3,25.0,0.501,17.5,119.738,119.738,12:04:49.043
82,3.247,3.0,25.0,28.9,3.814,104.2,0.281,19.3,23.6,0.518,17.9,120.416,120.416,12:04:50.146
83,3.361,3.0,27.1,27.4,4.796,104.2,0.256,19.3,25.0,0.513,17.7,119.32,119.347,12:04:51.251
84,2.87,3.0,25.0,28.8,3.852,104.2,0.27,19.3,23.6,0.541,17.9,121.157,121.157,12:04:52.348
85,2.756,3.0,27.1,27.4,3.587,104.2,0.264,19.1,23.6,0.493,17.9,119.836,119.836,12:04:53.452
86,3.474,3.0,25.0,27.3,3.134,104.2,0.298,19.1,23.6,0.525,18.2,120.75,120.75,12:04:54.558
87,3.927,3.0,25.0,27.3,3.059,104.2,0.286,19.3,23.6,0.571,18.2,119.484,120.656,12:04:55.669
88,5.249,3.0,25.0,27.3,3.021,104.2,0.322,19.1,23.6,0.459,17.7,118.045,118.045,12:04:56.805
89,3.549,3.0,27.1,27.3,4.116,104.2,0.316,19.3,25.0,0.531,17.9,119.655,119.655,12:04:57.912
90,3.7,3.0,25.0,27.3,2.908,104.2,0.264,19.3,23.6,0.516,18.2,119.504,119.504,12:04:59.024
91,4.191,3.0,27.1,27.3,5.022,104.2,0.232,19.5,23.6,0.498,17.9,119.305,119.305,12:05:00.126
92,3.663,3.0,25.0,27.3,3.814,104.2,0.28,19.5,23.6,0.491,17.9,119.899,119.899,12:05:01.226
93,3.361,3.0,25.0,27.3,2.983,104.2,0.266,19.3,23.6,0.533,17.9,119.45,119.45,12:05:02.330
94,2.908,3.0,25.0,27.3,3.814,104.2,0.288,19.3,25.0,0.511,18.2,120.36,120.36,12:05:03.438
95,3.549,3.0,25.0,28.7,3.625,104.2,0.236,19.5,23.6,0.565,18.2,119.668,119.668,12:05:04.546
96,3.889,3.0,27.1,27.3,4.833,104.2,0.222,19.8,23.6,0.521,18.2,120.342,120.342,12:05:05.658
97,4.04,3.0,25.0,27.3,3.587,104.2,0.247,19.3,23.6,0.468,17.5,119.961,119.961,12:05:06.762
98,3.21,3.0,25.0,28.7,3.323,104.2,0.319,19.3,23.6,0.573,18.2,120.857,120.857,12:05:07.872
99,3.059,3.0,27.1,27.2,3.21,104.2,0.322,19.5,25.0,0.468,18.4,119.538,119.538,12:05:08.973
100,3.247,3.0,25.0,28.7,2.681,104.2,0.261,19.5,23.6,0.544,18.2,120.416,120.416,12:05:10.079
101,3.549,3.0,25.0,27.2,4.758,104.2,0.275,19.3,23.6,0.511,17.9,119.83,119.83,12:05:11.185
102,3.512,3.0,25.0,27.2,4.154,104.2,0.237,19.3,23.6,0.479,17.9,119.782,119.782,12:05:12.291
103,3.247,3.0,25.0,27.2,3.549,104.2,0.308,19.3,23.6,0.541,18.4,120.125,120.125,12:05:13.396
104,2.87,3.0,27.1,27.2,3.398,104.2,0.303,19.3,25.0,0.564,17.9,120.859,120.859,12:05:14.506
105,3.625,3.0,25.0,27.2,3.172,104.2,0.271,19.5,23.6,0.52,17.9,120.981,120.981,12:05:15.614
106,2.832,3.0,25.0,27.2,4.305,104.2,0.228,19.1,23.6,0.511,18.4,120.123,120.123,12:05:16.718
107,3.549,3.0,27.1,27.2,3.738,104.2,0.276,19.3,23.6,0.513,18.4,120.035,120.035,12:05:17.828
108,2.681,3.0,25.0,28.6,3.814,104.2,0.278,19.5,23.6,0.541,17.9,119.569,119.569,12:05:18.937
109,3.436,3.0,25.0,27.1,3.059,104.2,0.289,19.3,25.1,0.607,18.4,120.354,120.354,12:05:20.046
110,3.474,3.0,25.0,27.1,3.927,104.2,0.237,19.1,23.6,0.487,17.9,119.758,119.758,12:05:21.155
111,3.172,3.0,25.0,28.6,4.116,104.2,0.25,19.5,23.6,0.503,18.2,120.859,120.859,12:05:22.263
112,4.078,3.0,27.1,27.1,3.172,104.2,0.295,19.8,25.1,0.549,17.9,119.744,119.744,12:05:23.366
113,3.927,3.0,25.0,27.1,3.738,104.2,0.3,19.3,23.6,0.538,17.9,119.355,119.355,12:05:24.489
114,3.512,3.0,25.0,27.1,3.436,104.2,0.254,19.5,23.6,0.579,18.4,119.806,119.806,12:05:25.614
115,4.267,3.0,25.0,27.1,3.965,104.2,0.256,19.8,23.6,0.507,17.9,119.544,119.544,12:05:26.723
116,3.247,3.0,27.1,27.0,3.436,104.2,0.276,19.8,23.6,0.549,18.6,120.191,120.191,12:05:27.828
117,2.794,3.0,25.0,28.5,3.361,104.2,0.26,19.5,23.6,0.586,17.9,120.047,120.047,12:05:28.936
118,3.738,3.0,25.0,27.0,2.87,104.2,0.201,19.5,23.7,0.501,18.2,119.915,119.915,12:05:30.058
119,3.625,3.0,25.0,27.0,3.852,104.2,0.276,19.3,25.1,0.586,17.9,120.074,120.074,12:05:31.184
120,3.965,3.0,25.0,27.0,3.625,104.2,0.281,19.8,23.7,0.515,18.2,120.25,120.25,12:05:32.291
121,3.247,3.0,25.0,27.0,5.098,104.2,0.308,19.5,23.7,0.449,18.2,120.112,120.112,12:05:33.400
122,3.663,3.0,27.1,27.0,3.398,104.2,0.27,19.8,23.7,0.549,18.4,119.648,119.648,12:05:34.496
123,3.549,3.0,25.0,28.4,3.738,104.2,0.269,20.0,23.7,0.477,18.2,120.277,120.277,12:05:35.605
124,3.776,3.0,25.0,27.0,4.342,104.2,0.265,19.5,23.7,0.531,18.4,120.402,120.402,12:05:36.715
125,3.21,3.0,27.1,26.9,3.814,104.2,0.293,20.0,25.1,0.531,18.2,120.283,120.283,12:05:37.838
126,3.172,3.0,25.0,28.4,3.285,104.2,0.216,20.2,23.7,0.555,18.4,119.463,119.463,12:05:38.945
127,4.078,3.0,25.0,26.9,3.965,104.2,0.251,19.8,25.1,0.529,18.4,119.705,119.705,12:05:40.043
128,3.361,3.0,27.1,26.9,4.418,104.2,0.269,19.8,23.7,0.598,18.4,119.797,119.797,12:05:41.162
129,3.663,3.0,25.0,26.9,4.644,104.2,0.305,19.8,23.7,0.446,18.4,119.859,119.859,12:05:42.267
130,3.134,3.0,25.0,26.9,4.229,104.2,0.251,19.5,25.1,0.518,18.2,120.444,120.444,12:05:43.390
131,3.7,3.0,27.1,26.9,3.172,104.2,0.281,20.0,23.7,0.536,18.8,119.583,119.583,12:05:44.493
132,3.663,3.0,25.0,28.3,3.512,104.2,0.295,19.5,23.7,0.486,18.4,119.468,119.468,12:05:45.601
133,4.154,3.0,27.1,26.8,4.003,104.2,0.261,19.8,25.1,0.551,18.4,119.46,119.46,12:05:46.710
134,3.474,3.0,27.1,26.8,3.059,104.2,0.278,19.5,23.7,0.551,18.4,120.785,120.785,12:05:47.829
135,4.305,3.0,25.0,26.8,4.456,104.2,0.284,19.8,23.7,0.531,18.4,119.602,119.602,12:05:48.930
136,3.398,3.0,25.0,26.8,3.21,104.2,0.251,20.2,25.2,0.543,18.6,119.989,119.989,12:05:50.044
137,3.814,3.0,27.1,26.8,4.531,104.2,0.293,20.0,23.7,0.503,18.4,119.742,119.742,12:05:51.163
138,3.285,3.0,25.0,26.8,6.684,104.2,0.299,19.5,23.7,0.592,18.4,120.339,120.339,12:05:52.271
139,3.323,3.0,25.0,26.8,4.154,104.2,0.254,20.0,25.2,0.533,18.2,120.407,120.407,12:05:53.373
140,3.738,3.0,25.0,28.3,3.965,104.2,0.265,20.0,23.7,0.526,17.9,119.687,119.687,12:05:54.483
141,3.965,3.0,25.0,26.8,3.927,104.2,0.243,20.0,23.7,0.544,18.4,119.545,119.545,12:05:55.606
142,4.003,3.0,27.1,26.8,4.116,104.2,0.256,20.2,25.2,0.564,17.9,119.392,119.392,12:05:56.711
143,3.247,3.0,27.1,26.7,3.587,104.2,0.28,20.2,23.7,0.492,17.9,121.068,121.068,12:05:57.830
144,2.87,3.0,25.0,26.7,3.549,104.2,0.266,20.0,23.7,0.558,18.2,120.492,120.492,12:05:58.941
145,3.965,3.0,25.0,26.7,3.285,104.2,0.248,20.2,25.2,0.513,18.2,119.388,119.388,12:06:00.045
146,3.889,3.0,27.1,26.7,3.965,104.2,0.255,20.0,23.7,0.577,17.9,120.388,120.388,12:06:01.169
147,3.776,3.0,25.0,26.7,4.154,104.2,0.281,19.8,23.7,0.531,18.4,120.366,120.366,12:06:02.273
148,3.21,3.0,25.0,26.7,5.324,104.2,0.236,19.8,25.2,0.546,18.4,119.719,119.719,12:06:03.393
149,3.738,3.0,27.1,26.7,3.285,104.2,0.3,19.8,23.8,0.541,18.6,119.536,119.536,12:06:04.498
150,3.965,3.0,25.0,26.7,3.549,104.2,0.265,20.0,23.8,0.574,18.6,119.882,119.882,12:06:05.605
151,4.796,3.0,25.0,26.7,3.436,104.2,0.265,19.8,23.8,0.543,18.4,119.403,119.403,12:06:06.744
152,3.7,3.0,27.1,26.7,3.852,104.2,0.248,20.2,23.8,0.593,18.4,120.636,120.636,12:06:07.846
153,2.983,3.0,25.0,28.1,5.098,104.2,0.26,20.2,23.8,0.581,18.6,119.677,119.677,12:06:08.952
154,3.738,3.0,25.0,26.6,3.021,104.2,0.247,20.0,25.2,0.53,18.4,120.114,120.114,12:06:10.058
155,3.965,3.0,27.1,26.6,4.758,104.2,0.355,20.0,23.8,0.508,18.8,119.919,119.919,12:06:11.168
156,4.078,3.0,25.0,26.6,4.229,104.2,0.321,20.2,23.8,0.54,18.6,120.223,120.223,12:06:12.280
157,3.361,3.0,25.0,26.6,3.965,104.2,0.281,20.2,23.8,0.551,18.8,120.47,120.47,12:06:13.399
158,3.738,3.0,25.0,26.6,3.021,104.2,0.222,20.2,23.8,0.544,18.4,119.653,119.653,12:06:14.519
159,3.814,3.0,25.0,28.1,3.398,104.2,0.248,20.0,23.8,0.525,18.4,119.817,119.817,12:06:15.628
160,4.04,3.0,25.0,26.6,4.003,104.2,0.265,20.2,23.8,0.576,17.9,120.399,120.399,12:06:16.744
161,4.871,3.0,27.1,26.6,3.965,104.2,0.221,20.2,23.8,0.52,18.6,119.194,119.194,12:06:17.850
162,3.814,3.0,27.1,26.6,4.04,104.2,0.233,19.8,23.8,0.54,18.8,119.462,119.462,12:06:18.971
163,3.285,3.0,25.0,26.6,2.945,104.2,0.271,20.2,23.8,0.549,19.3,119.859,119.859,12:06:20.076
164,3.549,3.0,27.1,26.5,3.436,104.2,0.27,20.2,23.8,0.526,18.4,120.054,120.054,12:06:21.177
165,4.342,3.0,27.1,28.0,4.078,104.2,0.271,20.2,23.8,0.588,19.1,119.48,119.48,12:06:22.298
166,2.719,3.0,25.0,26.5,5.249,104.2,0.27,20.4,25.2,0.573,18.4,120.096,120.096,12:06:23.407
167,3.474,3.0,25.0,26.5,3.474,104.2,0.242,20.2,23.8,0.526,18.2,119.965,119.965,12:06:24.514
168,4.078,3.0,25.0,28.0,3.549,104.2,0.261,20.2,23.8,0.565,18.6,119.464,119.464,12:06:25.627
169,4.116,3.0,25.0,26.5,3.889,104.2,0.291,20.7,23.8,0.558,18.8,119.616,119.616,12:06:26.747
170,3.323,3.0,25.0,26.5,4.267,104.2,0.294,20.2,23.8,0.593,18.6,120.741,120.741,12:06:27.854
171,3.21,3.0,27.1,28.0,3.814,104.2,0.251,20.4,23.8,0.553,19.1,119.51,119.51,12:06:28.973
172,4.04,3.0,25.0,26.5,3.587,104.2,0.281,20.0,23.8,0.52,19.1,119.306,119.306,12:06:30.096
173,3.398,3.0,25.0,26.5,4.38,104.2,0.264,20.4,25.3,0.586,19.3,120.137,120.137,12:06:31.201
174,4.078,3.0,27.1,26.5,3.398,104.2,0.283,20.0,23.8,0.619,18.4,119.89,119.89,12:06:32.312
175,3.172,3.0,25.0,26.5,4.342,104.2,0.242,20.4,23.8,0.571,18.6,120.317,120.317,12:06:33.429
176,4.116,3.0,25.0,26.5,3.398,104.2,0.273,20.4,25.3,0.588,18.8,119.476,119.476,12:06:34.549
177,3.776,3.0,25.0,26.4,5.286,104.2,0.278,20.2,23.8,0.576,18.8,120.253,120.253,12:06:35.660
178,3.927,3.0,27.1,27.9,4.229,104.2,0.327,20.7,23.8,0.505,18.6,119.743,119.743,12:06:36.780
179,3.436,3.0,25.0,26.5,3.625,104.2,0.278,20.2,25.3,0.596,19.3,120.284,120.284,12:06:37.886
180,3.889,3.0,25.0,26.4,2.87,104.2,0.273,20.7,23.8,0.564,18.4,119.783,119.783,12:06:38.996
181,4.04,3.0,27.1,27.9,4.644,104.2,0.265,20.4,23.8,0.536,18.8,119.937,119.937,12:06:40.101
182,3.247,3.0,25.0,26.4,4.531,104.2,0.28,20.2,25.3,0.565,19.1,120.642,120.642,12:06:41.217
183,3.852,3.0,25.0,26.4,4.003,104.2,0.327,20.4,25.3,0.54,18.8,121.316,121.316,12:06:42.336
184,3.625,3.0,27.1,27.9,3.776,104.2,0.231,20.7,23.8,0.641,18.4,119.195,119.195,12:06:43.442
185,3.587,3.0,25.0,26.4,3.21,104.2,0.276,20.4,23.8,0.564,19.1,120.651,120.651,12:06:44.560
186,3.436,3.0,25.0,26.4,4.909,104.2,0.283,20.4,23.9,0.559,18.8,120.543,120.543,12:06:45.663
187,4.909,3.0,27.1,27.9,3.738,104.2,0.266,20.2,23.9,0.579,18.6,119.12,119.12,12:06:46.776
188,3.172,3.0,25.0,26.4,5.4,104.2,0.288,20.2,25.3,0.571,19.1,121.113,121.113,12:06:47.886
189,3.852,3.0,25.0,26.4,3.361,104.2,0.286,20.2,23.9,0.612,19.3,119.509,119.509,12:06:48.992
190,4.531,3.0,25.0,26.4,3.738,104.2,0.304,20.2,23.9,0.553,18.4,119.853,119.853,12:06:50.099
191,3.512,3.0,25.1,26.4,4.305,104.2,0.26,20.7,25.3,0.56,18.4,119.916,119.916,12:06:51.220
192,4.342,3.0,25.0,26.4,4.305,104.2,0.265,20.7,25.3,0.605,18.8,120.42,120.42,12:06:52.342
193,2.341,3.0,27.1,27.8,3.361,104.2,0.291,20.9,23.9,0.605,18.8,120.536,120.536,12:06:53.450
194,3.059,3.0,27.1,26.4,2.794,104.2,0.242,20.2,23.9,0.593,18.8,120.515,120.515,12:06:54.571
195,3.852,3.0,25.1,26.4,4.947,104.2,0.254,20.4,25.3,0.582,18.8,119.795,119.795,12:06:55.676
196,5.551,3.0,27.1,27.8,5.551,104.2,0.271,20.7,23.9,0.551,19.1,118.946,118.946,12:06:56.780
197,2.945,3.0,27.1,26.4,4.342,104.2,0.343,20.4,23.9,0.526,18.8,120.115,120.115,12:06:57.909
198,4.04,3.0,25.0,26.4,3.361,104.2,0.261,20.7,25.3,0.597,18.4,120.293,120.293,12:06:59.029
199,3.285,3.0,25.0,26.4,4.191,104.2,0.288,20.4,23.9,0.465,18.6,120.24,120.24,12:07:00.140
200,3.398,3.0,27.1,26.4,4.078,104.2,0.281,20.2,23.9,0.563,18.4,120.333,120.333,12:07:01.249
201,3.172,3.0,25.1,26.4,3.852,104.2,0.269,20.7,25.3,0.548,18.8,120.151,120.151,12:07:02.351
202,2.983,3.0,27.1,27.8,3.512,104.2,0.331,20.4,23.9,0.511,19.5,119.762,119.762,12:07:03.457
203,4.003,3.0,25.1,26.4,2.983,104.2,0.293,20.9,25.3,0.565,19.3,120.174,120.174,12:07:04.560
204,3.7,3.0,25.1,26.3,3.776,104.2,0.259,21.1,23.9,0.554,18.8,119.837,119.837,12:07:05.680
205,4.305,3.0,25.0,26.4,3.549,104.2,0.322,20.7,23.9,0.576,18.8,120.818,120.818,12:07:06.802
206,3.21,3.0,27.1,27.8,4.569,104.2,0.264,20.9,23.9,0.61,18.8,119.961,119.961,12:07:07.921
207,4.04,3.0,27.1,26.3,3.134,104.2,0.261,21.1,23.9,0.51,18.4,119.815,119.815,12:07:09.041
208,3.247,3.0,25.1,26.3,6.042,104.2,0.266,20.7,23.9,0.597,19.5,120.126,120.126,12:07:10.145
209,3.587,3.0,27.1,27.8,4.154,104.2,0.259,20.7,23.9,0.603,18.4,120.04,120.04,12:07:11.259
210,3.172,3.0,27.1,26.3,4.229,104.2,0.284,21.1,23.9,0.563,19.8,120.034,120.034,12:07:12.379
211,3.021,3.0,25.1,26.3,3.021,104.2,0.265,20.7,25.3,0.581,19.5,120.017,120.017,12:07:13.504
212,4.342,3.0,25.1,26.3,3.663,104.2,0.269,20.7,23.9,0.616,18.8,119.945,119.945,12:07:14.623
213,4.305,3.0,25.1,27.8,3.7,104.2,0.303,20.9,23.9,0.565,19.8,120.476,120.476,12:07:15.746
214,3.776,3.0,27.1,27.8,3.7,104.2,0.293,20.7,23.9,0.638,18.8,119.822,119.822,12:07:16.874
215,4.154,3.0,27.2,26.3,2.983,104.2,0.192,20.7,23.9,0.574,19.1,119.087,119.087,12:07:17.995
216,3.965,3.0,25.1,26.3,4.38,104.2,0.255,21.1,25.3,0.574,18.8,120.25,120.25,12:07:19.120
217,4.04,3.0,25.1,26.3,4.116,104.2,0.251,20.7,25.3,0.573,18.8,119.606,119.606,12:07:20.243
218,3.776,3.0,25.1,26.3,4.342,104.2,0.299,20.7,23.9,0.541,19.1,119.998,119.998,12:07:21.362
219,4.305,3.0,27.2,27.8,4.267,104.2,0.313,21.1,23.9,0.602,19.8,119.574,119.574,12:07:22.487
220,3.776,3.0,25.1,26.3,3.889,104.2,0.243,21.1,25.3,0.551,18.8,120.235,120.235,12:07:23.608
221,4.833,3.0,25.1,26.3,4.38,104.2,0.293,20.9,25.3,0.577,18.4,119.252,119.252,12:07:24.730
