Log,ac_flowrate,cp_temperature,mixer_torque_M2,mixer_temperature_Funnel_plate,cp_pressure,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_speed_M2,mixer_temperature_Funnel,cp_flowrate,mixer_torque_M1,mixer_speed_M1,Time
31,112.2,0.0,3.172,27.1,0.576,21.1,19.3,0.303,26.3,30.029,25.4,3.0,2.303,30.029,10:57:13.347
32,112.2,0.0,3.172,25.6,0.62,21.6,20.2,0.278,26.3,29.727,25.4,3.0,4.154,29.727,10:57:14.463
33,112.2,0.0,2.228,25.6,0.63,21.6,19.3,0.289,28.4,30.6,25.4,3.0,2.756,30.6,10:57:15.569
34,112.2,0.0,3.134,27.1,0.613,21.1,19.3,0.341,26.3,29.713,25.4,3.0,2.756,29.713,10:57:16.676
35,112.2,0.0,2.756,25.6,0.597,21.1,19.3,0.271,26.3,30.301,26.8,3.0,2.266,30.301,10:57:17.782
36,112.2,0.0,2.719,27.1,0.592,21.6,20.2,0.338,26.3,30.129,25.4,3.0,2.908,30.129,10:57:18.883
37,112.2,0.0,3.549,25.6,0.636,21.6,19.8,0.223,26.3,30.187,26.8,3.0,2.605,30.187,10:57:19.987
38,112.2,0.0,2.492,27.1,0.645,21.6,19.5,0.314,28.4,30.15,25.3,3.0,2.794,30.15,10:57:21.089
39,112.2,0.0,2.983,27.1,0.605,21.6,18.8,0.309,26.3,29.866,25.4,3.0,2.681,29.866,10:57:22.205
40,112.2,0.0,2.228,25.6,0.638,21.1,19.8,0.299,26.3,29.813,26.8,3.0,2.945,29.813,10:57:23.311
41,112.2,0.0,2.794,27.1,0.559,21.6,19.8,0.255,28.4,29.382,25.4,3.0,3.134,29.382,10:57:24.415
42,112.2,0.0,2.681,25.6,0.645,21.6,20.2,0.294,26.3,30.231,25.4,3.0,3.285,30.231,10:57:25.523
43,112.2,0.0,2.908,25.6,0.603,21.6,19.5,0.24,26.3,29.58,26.8,3.0,2.87,29.58,10:57:26.642
44,112.2,0.0,3.663,27.1,0.645,21.6,19.8,0.298,26.3,29.903,25.4,3.0,2.832,29.903,10:57:27.747
45,112.2,0.0,2.605,25.6,0.625,21.6,19.1,0.266,26.3,29.895,25.4,3.0,2.115,29.895,10:57:28.855
46,112.2,0.0,2.983,25.6,0.624,21.6,19.8,0.299,26.3,30.096,25.4,3.0,2.568,30.096,10:57:29.961
47,112.2,0.0,2.794,25.6,0.596,21.1,19.8,0.342,26.3,29.835,26.8,3.0,2.756,29.835,10:57:31.050
48,112.2,0.0,2.983,27.1,0.643,21.8,19.1,0.295,28.4,30.045,25.4,3.0,2.077,30.045,10:57:32.149
49,112.2,0.0,2.719,25.6,0.602,21.6,19.8,0.294,26.3,30.012,25.4,3.0,3.021,30.012,10:57:33.257
50,112.2,0.0,2.794,25.6,0.586,21.1,20.0,0.245,26.3,29.488,25.4,3.0,2.756,29.488,10:57:34.359
51,112.2,0.0,3.21,27.1,0.626,21.6,18.8,0.281,28.4,29.416,25.4,3.0,4.682,29.416,10:57:35.465
52,112.2,0.0,2.303,25.6,0.565,21.6,19.1,0.278,26.3,30.79,26.8,3.0,3.323,30.79,10:57:36.572
53,112.2,0.0,3.549,27.1,0.616,21.6,19.8,0.328,28.4,29.718,25.4,3.0,2.87,29.718,10:57:37.678
54,112.2,0.0,2.341,25.6,0.573,21.3,19.3,0.283,26.3,29.942,25.4,3.0,2.719,29.942,10:57:38.784
55,112.2,0.0,3.021,25.6,0.61,21.8,19.3,0.281,26.3,29.785,25.4,3.0,2.379,29.785,10:57:39.882
56,112.2,0.0,2.832,27.1,0.625,21.3,19.5,0.271,28.4,30.151,25.4,3.0,3.059,30.151,10:57:41.009
57,112.2,0.0,2.87,25.6,0.592,21.6,18.8,0.255,26.3,29.772,25.4,3.0,2.266,29.772,10:57:42.111
58,112.2,0.0,3.436,25.6,0.641,21.6,19.5,0.295,26.3,29.534,25.4,3.0,3.474,29.534,10:57:43.216
59,112.2,0.0,2.266,25.6,0.658,21.6,19.8,0.294,26.3,29.955,25.4,3.0,3.512,29.955,10:57:44.317
60,112.2,0.0,2.87,25.6,0.555,21.1,20.2,0.305,26.3,30.863,25.4,3.0,2.983,30.863,10:57:45.421
61,112.2,0.0,2.303,27.1,0.554,21.3,19.3,0.276,28.4,29.846,25.4,3.0,2.756,29.846,10:57:46.525
62,112.2,0.0,2.379,25.6,0.615,21.3,18.8,0.269,26.3,30.317,25.4,3.0,2.19,30.317,10:57:47.627
63,112.2,0.0,3.172,27.1,0.577,21.6,19.8,0.273,26.3,29.708,25.4,3.0,3.587,29.708,10:57:48.733
64,112.2,0.0,2.454,25.6,0.619,21.6,18.8,0.27,26.3,30.746,26.8,3.0,2.492,30.746,10:57:49.839
65,112.2,0.0,2.832,25.6,0.558,21.8,19.3,0.243,26.3,30.21,25.4,3.0,3.134,30.21,10:57:50.943
66,112.2,0.0,2.605,25.7,0.64,21.6,19.8,0.283,28.4,29.933,25.4,3.0,2.417,29.933,10:57:52.049
67,112.2,0.0,3.285,25.7,0.654,21.6,19.5,0.266,26.3,29.74,25.4,3.0,3.021,29.74,10:57:53.158
68,112.2,0.0,3.927,27.1,0.636,21.1,19.8,0.271,26.4,30.076,25.4,3.0,2.605,30.076,10:57:54.277
69,112.2,0.0,2.379,25.7,0.596,21.1,19.3,0.276,28.4,30.165,25.4,3.0,3.134,30.165,10:57:55.381
70,112.2,0.0,3.738,25.7,0.607,21.6,19.5,0.3,26.3,29.916,25.4,3.0,3.285,29.916,10:57:56.487
71,112.2,0.0,3.285,27.1,0.554,21.3,19.3,0.309,26.3,30.364,25.4,3.0,2.19,30.364,10:57:57.595
72,112.2,0.0,3.059,25.7,0.584,21.8,19.8,0.35,28.4,29.956,25.4,3.0,3.247,29.956,10:57:58.714
73,112.2,0.0,2.832,25.7,0.629,21.3,20.4,0.271,26.4,30.032,25.4,3.0,2.266,30.032,10:57:59.820
74,112.2,0.0,3.021,25.7,0.634,21.6,19.3,0.27,28.4,29.602,25.4,3.0,2.568,29.602,10:58:00.922
75,112.2,0.0,2.492,25.7,0.588,21.3,18.8,0.28,28.4,30.129,26.9,3.0,2.115,30.129,10:58:02.042
76,112.2,0.0,3.512,27.1,0.608,21.1,18.8,0.295,26.3,30.21,25.4,3.0,2.681,30.21,10:58:03.143
77,112.2,0.0,2.454,25.7,0.602,21.8,19.8,0.326,28.4,29.812,25.4,3.0,2.756,29.812,10:58:04.254
78,112.2,0.0,2.983,25.7,0.621,21.1,19.5,0.28,26.3,30.049,25.4,3.0,2.53,30.049,10:58:05.359
79,112.2,0.0,2.756,27.1,0.593,21.3,19.8,0.275,26.4,30.208,25.4,3.0,3.021,30.208,10:58:06.465
80,112.2,0.0,2.19,25.7,0.619,22.0,20.2,0.259,26.3,30.817,26.9,3.0,2.417,30.817,10:58:07.565
81,112.2,0.0,3.096,27.1,0.588,21.3,20.0,0.295,26.4,30.204,25.4,3.0,3.134,30.204,10:58:08.668
82,112.2,0.0,2.605,25.7,0.608,21.8,19.3,0.26,28.4,29.787,26.9,3.0,3.247,29.787,10:58:09.772
83,112.2,0.0,3.889,25.7,0.608,21.8,20.2,0.314,26.4,29.974,25.4,3.0,2.379,29.974,10:58:10.884
84,112.2,0.0,2.945,27.1,0.615,21.3,19.8,0.273,26.3,29.888,25.4,3.0,2.719,29.888,10:58:11.993
85,112.2,0.0,2.605,25.7,0.574,21.6,20.0,0.341,28.4,30.912,26.9,3.0,2.756,30.912,10:58:13.100
86,112.2,0.0,3.096,27.1,0.598,21.8,19.8,0.372,26.4,30.643,25.4,3.0,2.341,30.643,10:58:14.193
87,112.2,0.0,2.643,25.7,0.615,22.0,20.2,0.261,28.4,30.012,26.9,3.0,2.832,30.012,10:58:15.297
88,112.2,0.0,3.361,27.1,0.516,21.6,19.8,0.278,26.4,30.023,25.4,3.0,3.059,30.023,10:58:16.401
89,112.2,0.0,2.492,25.7,0.601,21.8,19.8,0.295,26.4,29.661,25.4,3.0,3.625,29.661,10:58:17.509
90,112.2,0.0,2.341,25.7,0.588,21.3,19.5,0.245,26.4,29.738,25.4,3.0,3.134,29.738,10:58:18.618
91,112.2,0.0,2.87,27.1,0.621,21.6,20.7,0.28,26.4,30.026,25.4,3.0,3.096,30.026,10:58:19.731
92,112.2,0.0,2.719,25.7,0.607,21.6,19.8,0.25,28.4,30.049,26.9,3.0,2.756,30.049,10:58:20.838
93,112.2,0.0,2.756,27.1,0.638,21.6,20.0,0.273,26.4,30.283,25.4,3.0,2.417,30.283,10:58:21.939
94,112.2,0.0,2.756,25.7,0.646,21.6,19.3,0.3,26.4,29.96,25.4,3.0,2.643,29.96,10:58:23.057
95,112.2,0.0,3.549,25.7,0.593,22.3,20.0,0.293,28.4,29.936,26.9,3.0,2.152,29.936,10:58:24.160
96,112.2,0.0,3.172,27.1,0.626,21.6,19.8,0.299,26.4,30.232,25.4,3.0,2.908,30.232,10:58:25.275
97,112.2,0.0,2.379,25.7,0.621,21.6,19.8,0.261,26.4,30.01,25.4,3.0,3.474,29.683,10:58:26.381
98,112.2,0.0,2.719,25.7,0.621,21.6,19.3,0.305,28.4,29.809,25.4,3.0,3.21,29.809,10:58:27.486
99,112.2,0.0,2.454,27.1,0.641,21.6,19.8,0.298,26.4,29.671,25.4,3.0,2.643,29.671,10:58:28.608
100,112.2,0.0,3.096,27.1,0.533,21.6,20.0,0.336,26.4,29.872,25.4,3.0,4.003,29.872,10:58:29.716
101,112.2,0.0,2.794,25.7,0.564,21.8,19.8,0.295,28.5,29.907,26.9,3.0,2.417,29.907,10:58:30.833
102,112.2,0.0,2.908,27.2,0.63,21.6,19.1,0.289,26.4,29.951,25.4,3.0,2.53,29.951,10:58:31.938
103,112.2,0.0,3.323,25.7,0.61,21.3,20.0,0.288,26.4,29.979,26.9,3.0,3.587,29.979,10:58:33.048
104,112.2,0.0,3.7,25.7,0.587,21.3,19.8,0.289,28.4,29.93,25.4,3.0,1.926,29.93,10:58:34.154
105,112.2,0.0,2.87,27.2,0.64,21.6,19.8,0.31,26.4,30.313,25.4,3.0,2.87,30.313,10:58:35.277
106,112.2,0.0,3.663,25.7,0.579,21.8,19.3,0.288,26.4,30.089,25.4,3.0,2.341,30.089,10:58:36.385
107,112.2,0.0,3.172,25.7,0.654,21.6,19.8,0.295,26.4,29.758,26.9,3.0,3.814,29.758,10:58:37.497
108,112.2,0.0,3.398,27.2,0.598,21.8,19.3,0.264,26.4,29.673,25.4,3.0,3.134,29.673,10:58:38.614
109,112.2,0.0,3.776,25.7,0.607,22.3,19.3,0.269,26.4,30.022,26.9,3.0,2.605,30.022,10:58:39.721
110,112.2,0.0,2.794,25.7,0.624,21.6,19.8,0.26,26.4,29.709,25.4,3.0,2.794,29.709,10:58:40.837
111,112.2,0.0,2.908,27.2,0.62,21.6,19.8,0.347,26.4,30.014,25.4,3.0,2.341,30.014,10:58:41.944
112,112.2,0.0,2.417,25.7,0.61,21.8,20.2,0.237,26.4,30.13,25.4,3.0,2.492,30.13,10:58:43.065
113,112.2,0.0,3.738,25.7,0.576,21.3,20.2,0.337,28.4,29.933,25.4,3.0,2.266,29.933,10:58:44.169
114,112.2,0.0,3.361,27.2,0.54,21.6,20.2,0.247,26.4,29.618,25.4,3.0,3.587,29.618,10:58:45.276
115,112.2,0.0,2.228,25.8,0.63,21.6,20.4,0.283,26.4,29.889,26.9,3.0,2.115,29.889,10:58:46.379
116,112.2,0.0,2.945,27.2,0.569,21.3,20.0,0.313,28.5,29.796,25.4,3.0,3.134,29.796,10:58:47.478
117,112.2,0.0,2.379,25.7,0.593,22.3,19.8,0.314,26.4,29.937,25.5,3.0,2.152,29.937,10:58:48.598
118,112.2,0.0,2.945,25.7,0.656,22.0,20.2,0.264,26.4,30.034,25.4,3.0,3.247,30.034,10:58:49.702
119,112.2,0.0,2.266,27.2,0.613,21.8,20.4,0.289,28.5,29.855,25.5,3.0,3.134,29.855,10:58:50.821
120,112.2,0.0,3.134,25.8,0.573,21.6,20.2,0.276,26.4,30.136,26.9,3.0,3.323,30.136,10:58:51.929
121,112.2,0.0,2.681,25.7,0.61,21.6,19.5,0.293,26.4,29.995,25.5,3.0,2.568,29.995,10:58:53.036
122,112.2,0.0,3.738,27.2,0.597,21.8,20.2,0.298,28.5,30.047,25.5,3.0,2.605,30.047,10:58:54.158
123,112.2,0.0,2.908,25.7,0.579,22.3,20.9,0.251,26.4,29.779,25.5,3.0,2.832,29.779,10:58:55.265
124,112.2,0.0,2.341,25.8,0.656,21.8,20.4,0.289,26.4,29.447,26.9,3.0,3.738,29.447,10:58:56.383
125,112.2,0.0,2.908,25.8,0.601,21.6,20.4,0.261,26.4,29.821,25.5,3.0,2.908,29.821,10:58:57.518
126,112.2,0.0,2.266,27.2,0.61,21.8,19.3,0.266,28.5,29.515,25.5,3.0,3.134,29.515,10:58:58.624
127,112.2,0.0,3.059,25.8,0.682,22.0,19.5,0.283,26.4,29.886,27.0,3.0,3.059,29.886,10:58:59.732
128,112.2,0.0,2.908,25.8,0.551,21.8,19.8,0.316,26.4,29.981,25.5,3.0,2.417,29.981,10:59:00.850
129,112.2,0.0,2.87,25.8,0.593,21.8,18.8,0.293,28.5,29.979,25.5,3.0,2.568,29.979,10:59:01.959
130,112.2,0.0,2.908,25.8,0.619,22.0,19.8,0.336,26.4,29.603,25.5,3.0,3.625,29.603,10:59:03.082
131,112.2,0.0,2.908,25.8,0.586,21.6,19.3,0.28,26.4,29.66,25.5,3.0,3.172,29.66,10:59:04.190
132,112.2,0.0,1.964,27.2,0.651,21.8,19.5,0.27,26.4,29.544,25.5,3.0,3.134,29.544,10:59:05.311
133,112.2,0.0,3.625,25.8,0.588,21.6,19.8,0.281,26.4,30.524,25.5,3.0,2.266,30.524,10:59:06.416
134,112.2,0.0,2.303,25.8,0.616,21.6,20.2,0.289,26.4,29.835,27.0,3.0,3.059,29.835,10:59:07.538
135,112.2,0.0,2.53,27.2,0.616,21.8,19.8,0.293,26.4,30.459,25.5,3.0,2.643,30.459,10:59:08.646
136,112.2,0.0,2.983,25.8,0.636,21.8,20.2,0.271,26.4,30.18,27.0,3.0,3.398,30.18,10:59:09.745
137,112.2,0.0,2.643,27.2,0.64,21.6,20.2,0.304,26.4,30.167,25.5,3.0,2.303,30.167,10:59:10.847
138,112.2,0.0,3.361,25.8,0.577,22.0,20.0,0.295,28.5,30.148,25.5,3.0,3.323,30.148,10:59:11.966
139,112.2,0.0,2.756,25.8,0.586,22.3,20.2,0.275,26.4,29.852,27.0,3.0,2.643,29.852,10:59:13.088
140,112.2,0.0,3.21,27.3,0.613,21.8,19.8,0.286,26.4,29.975,25.5,3.0,2.152,29.975,10:59:14.192
141,112.2,0.0,2.303,27.3,0.593,21.8,20.2,0.286,26.4,30.183,25.5,3.0,2.492,30.183,10:59:15.310
142,112.2,0.0,3.059,25.8,0.597,21.6,19.8,0.269,26.4,30.073,27.0,3.0,2.605,30.073,10:59:16.411
143,112.2,0.0,2.681,27.3,0.646,21.6,19.5,0.264,26.4,29.91,25.5,3.0,2.832,29.91,10:59:17.516
144,112.2,0.0,2.152,25.8,0.605,21.6,19.3,0.284,28.5,29.589,25.5,3.0,2.945,29.589,10:59:18.623
145,112.2,0.0,2.832,25.8,0.634,21.8,20.4,0.31,26.4,30.133,25.5,3.0,2.87,30.133,10:59:19.732
146,112.2,0.0,2.53,27.3,0.507,21.6,20.0,0.316,26.4,29.752,25.5,3.0,2.53,29.752,10:59:20.854
147,112.2,0.0,2.983,25.8,0.558,22.0,20.0,0.255,28.5,29.961,25.5,3.0,2.719,29.961,10:59:21.961
148,112.2,0.0,2.115,25.8,0.619,21.6,20.0,0.291,26.4,30.058,25.5,3.0,2.643,30.058,10:59:23.065
149,112.2,0.0,3.096,27.3,0.641,21.6,20.2,0.261,26.4,29.543,25.5,3.0,3.436,29.543,10:59:24.185
150,112.2,0.0,2.379,25.9,0.549,21.6,19.8,0.332,26.4,29.762,25.5,3.0,3.096,29.762,10:59:25.291
151,112.2,0.0,2.417,25.9,0.625,22.0,19.5,0.273,26.4,30.382,25.5,3.0,2.605,30.382,10:59:26.396
152,112.2,0.0,2.643,25.9,0.626,22.0,20.0,0.293,28.5,30.145,25.5,3.0,3.361,30.145,10:59:27.495
153,112.2,0.0,2.492,25.9,0.577,21.8,20.4,0.26,28.5,29.854,27.0,3.0,3.172,29.854,10:59:28.612
154,112.2,0.0,2.87,27.3,0.559,21.6,19.8,0.303,26.4,29.747,25.5,3.0,2.983,29.747,10:59:29.718
155,112.2,0.0,2.945,25.9,0.613,22.3,19.3,0.288,26.4,30.046,25.5,3.0,2.53,30.046,10:59:30.833
156,112.2,0.0,2.719,25.9,0.625,21.6,20.0,0.254,26.4,29.762,25.5,3.0,2.303,29.762,10:59:31.933
157,112.2,0.0,2.379,27.3,0.608,21.8,19.8,0.281,26.4,29.637,25.5,3.0,2.794,29.637,10:59:33.056
158,112.2,0.0,3.172,25.9,0.613,21.6,20.0,0.269,26.4,30.397,25.6,3.0,1.964,30.397,10:59:34.162
159,112.2,0.0,3.247,25.9,0.64,21.8,19.3,0.227,26.4,29.691,25.5,3.0,3.172,29.691,10:59:35.265
160,112.2,0.0,2.417,27.3,0.592,22.3,20.9,0.298,26.4,29.98,25.6,3.0,2.417,29.98,10:59:36.376
161,112.2,0.0,2.53,25.9,0.61,22.0,19.8,0.284,28.5,30.026,25.6,3.0,3.096,30.026,10:59:37.496
162,112.2,0.0,2.379,25.9,0.568,21.6,20.2,0.348,26.4,30.187,25.6,3.0,2.454,30.187,10:59:38.604
163,112.2,0.0,2.908,27.3,0.579,21.6,19.3,0.338,26.4,29.358,25.6,3.0,4.003,29.358,10:59:39.711
164,112.2,0.0,2.681,25.9,0.612,21.6,20.4,0.265,26.4,29.934,25.6,3.0,3.549,29.934,10:59:40.834
165,112.2,0.0,3.21,25.9,0.608,22.0,19.3,0.238,26.4,29.905,25.6,3.0,2.341,29.905,10:59:41.940
166,112.2,0.0,2.417,25.9,0.555,21.6,20.2,0.275,26.4,30.372,25.6,3.0,2.832,30.372,10:59:43.045
167,112.2,0.0,4.72,25.9,0.597,21.6,19.8,0.28,28.5,30.021,25.6,3.0,2.266,30.021,10:59:44.147
168,112.2,0.0,3.172,27.3,0.615,21.6,20.0,0.308,28.5,29.067,25.6,3.0,4.305,28.907,10:59:45.270
169,112.2,0.0,2.379,25.9,0.568,21.6,19.8,0.269,26.4,29.539,25.6,3.0,2.908,29.539,10:59:46.378
170,112.2,0.0,2.681,25.9,0.643,22.3,20.2,0.316,26.4,29.84,27.0,3.0,3.096,29.84,10:59:47.502
171,112.2,0.0,2.454,25.9,0.576,21.8,20.4,0.265,28.5,31.096,25.6,3.0,2.454,31.096,10:59:48.611
172,112.2,0.0,2.945,27.3,0.62,21.8,19.8,0.281,26.4,29.97,25.6,3.0,3.021,29.97,10:59:49.735
173,112.2,0.0,2.832,25.9,0.597,21.8,19.5,0.303,26.4,29.748,25.6,3.0,3.059,29.748,10:59:50.856
174,112.2,0.0,2.794,25.9,0.616,22.3,20.0,0.261,26.4,30.091,27.0,3.0,2.417,30.091,10:59:51.979
175,112.2,0.0,2.454,25.9,0.592,21.8,20.0,0.314,28.5,30.168,25.6,3.0,2.681,30.168,10:59:53.083
176,112.2,0.0,2.945,27.3,0.603,22.0,19.3,0.276,26.4,30.032,25.6,3.0,3.21,30.032,10:59:54.205
177,112.2,0.0,2.492,25.9,0.574,21.6,20.4,0.304,26.4,29.447,27.1,3.0,3.927,29.447,10:59:55.310
178,112.2,0.0,2.908,27.3,0.612,21.6,20.7,0.299,26.4,31.563,25.6,3.0,2.303,31.563,10:59:56.409
179,112.2,0.0,3.323,25.9,0.593,21.6,20.0,0.254,26.4,29.259,27.1,3.0,4.682,29.259,10:59:57.519
180,112.2,0.0,2.115,25.9,0.612,21.6,19.8,0.255,28.5,30.321,25.6,3.0,2.53,30.321,10:59:58.625
181,112.2,0.0,2.568,27.3,0.635,21.6,19.8,0.308,26.4,30.428,25.6,3.0,3.096,30.428,10:59:59.742
182,112.2,0.0,2.53,25.9,0.598,22.0,20.0,0.276,26.4,30.122,25.6,3.0,2.643,30.122,11:00:00.870
183,112.2,0.0,3.7,25.9,0.598,21.6,20.0,0.284,26.5,29.745,27.1,3.0,2.756,29.745,11:00:01.988
184,112.2,0.0,2.681,25.9,0.597,21.8,19.3,0.371,28.5,30.471,25.6,3.0,2.643,30.471,11:00:03.105
185,112.2,0.0,3.096,25.9,0.502,21.6,20.4,0.283,26.4,29.875,25.6,3.0,2.681,29.875,11:00:04.207
186,112.2,0.0,2.605,25.9,0.543,22.0,20.4,0.255,26.5,29.956,27.1,3.0,2.643,29.956,11:00:05.330
187,112.2,0.0,2.266,25.9,0.635,21.8,19.8,0.281,26.4,29.814,25.6,3.0,2.983,29.814,11:00:06.447
188,112.2,0.0,1.812,27.4,0.533,22.3,20.2,0.308,28.5,29.72,25.6,3.0,3.096,29.72,11:00:07.562
189,112.2,0.0,2.492,27.4,0.598,21.6,19.8,0.294,26.4,29.889,25.6,3.0,2.681,29.889,11:00:08.683
190,112.2,0.0,2.681,25.9,0.631,21.6,20.4,0.278,26.5,30.052,27.1,3.0,2.568,30.052,11:00:09.781
191,112.2,0.0,3.398,25.9,0.588,21.8,19.8,0.276,26.4,30.073,25.6,3.0,2.756,30.073,11:00:10.918
192,112.2,0.0,2.454,27.4,0.612,22.3,20.4,0.317,28.5,30.019,25.6,3.0,2.19,30.019,11:00:12.037
193,112.2,0.0,3.852,25.9,0.612,21.6,19.3,0.295,26.5,30.248,25.6,3.0,2.228,30.248,11:00:13.155
194,112.2,0.0,2.568,25.9,0.591,21.8,20.4,0.336,26.5,30.283,25.6,3.0,2.605,30.283,11:00:14.258
195,112.2,0.0,3.398,25.9,0.612,21.8,19.5,0.238,26.4,29.844,25.6,3.0,2.643,29.844,11:00:15.383
196,112.2,0.0,2.341,27.4,0.593,21.6,20.4,0.255,28.5,29.51,25.6,3.0,4.078,29.51,11:00:16.517
197,112.2,0.0,3.21,25.9,0.619,21.6,20.4,0.352,26.5,29.596,25.6,3.0,2.908,29.596,11:00:17.638
198,112.2,0.0,2.417,25.9,0.553,21.8,20.0,0.245,26.5,29.862,27.1,3.0,2.756,29.862,11:00:18.759
199,112.2,0.0,2.643,25.9,0.536,22.3,20.4,0.283,26.5,29.971,27.1,3.0,2.266,29.971,11:00:19.880
200,112.2,0.0,2.417,25.9,0.601,21.8,19.8,0.264,26.5,29.939,25.6,3.0,2.681,29.939,11:00:21.001
201,112.2,0.0,2.719,26.0,0.564,21.6,20.4,0.304,26.5,30.341,25.6,3.0,2.077,30.341,11:00:22.107
202,112.2,0.0,3.247,25.9,0.654,22.0,19.8,0.319,26.5,29.853,27.1,3.0,3.663,29.853,11:00:23.227
203,112.2,0.0,2.643,25.9,0.596,21.8,20.2,0.308,26.5,30.177,25.6,3.0,2.19,30.177,11:00:24.356
204,112.2,0.0,2.908,25.9,0.616,21.6,20.0,0.265,26.5,29.907,25.6,3.0,3.361,29.907,11:00:25.488
205,112.2,0.0,2.077,26.0,0.52,21.6,19.8,0.309,26.5,29.926,25.6,3.0,3.021,29.926,11:00:26.589
206,112.2,0.0,3.059,25.9,0.584,21.8,20.0,0.299,26.5,29.485,27.1,3.0,3.587,29.485,11:00:27.708
207,112.2,0.0,3.323,26.0,0.635,22.5,20.4,0.304,26.5,29.644,25.6,3.0,3.059,29.644,11:00:28.814
