Log,ac_flowrate,cp_temperature,mixer_torque_M2,mixer_temperature_Funnel_plate,cp_pressure,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_speed_M2,mixer_temperature_Funnel,cp_flowrate,mixer_torque_M1,mixer_speed_M1,Time
1,112.2,0.0,3.814,25.6,0.551,21.8,19.5,0.309,26.3,29.807,25.3,3.0,2.454,29.807,10:56:40.155
2,112.2,0.0,4.003,25.6,0.565,21.1,19.3,0.305,26.3,29.898,26.8,3.0,2.605,29.898,10:56:41.260
3,112.2,0.0,2.794,27.0,0.515,21.6,19.5,0.293,26.3,29.958,25.3,3.0,3.927,29.958,10:56:42.369
4,112.2,0.0,3.512,25.6,0.535,21.1,19.3,0.28,26.3,29.877,25.3,3.0,3.852,29.877,10:56:43.477
5,112.2,0.0,2.643,25.6,0.645,21.3,19.8,0.265,26.3,30.108,25.3,3.0,1.926,30.108,10:56:44.583
6,112.2,0.0,3.474,27.0,0.608,21.6,19.5,0.278,26.3,30.648,25.3,3.0,2.832,30.648,10:56:45.691
7,112.2,0.0,2.341,25.6,0.654,21.6,19.8,0.259,28.4,29.94,26.8,3.0,2.303,29.94,10:56:46.793
8,112.2,0.0,4.003,27.0,0.51,21.1,19.5,0.288,26.3,30.42,25.3,3.0,2.681,30.42,10:56:47.897
9,112.2,0.0,3.323,25.6,0.615,21.6,19.1,0.313,28.4,29.969,26.8,3.0,2.832,29.969,10:56:49.000
10,112.2,0.0,3.134,25.6,0.61,21.1,20.0,0.283,26.3,29.961,25.3,3.0,2.228,29.961,10:56:50.116
11,112.2,0.0,3.059,27.0,0.568,21.1,20.4,0.271,26.3,29.861,25.3,3.0,3.323,29.861,10:56:51.221
12,112.2,0.0,3.285,25.6,0.592,21.3,19.3,0.283,26.3,29.973,25.3,3.0,2.19,29.973,10:56:52.343
13,112.2,0.0,3.096,25.6,0.631,21.6,19.3,0.388,26.3,29.975,25.3,3.0,2.454,29.975,10:56:53.449
14,112.2,0.0,3.134,27.0,0.612,21.3,19.5,0.283,26.3,29.624,25.3,3.0,2.945,29.624,10:56:54.568
15,112.2,0.0,3.398,25.6,0.673,22.0,20.0,0.305,26.3,30.251,25.3,3.0,2.228,30.251,10:56:55.675
16,112.2,0.0,3.474,25.6,0.564,21.1,19.1,0.313,28.4,30.561,25.3,3.0,2.341,30.561,10:56:56.781
17,112.2,0.0,3.361,27.0,0.649,21.6,20.2,0.332,26.3,30.055,25.3,3.0,2.039,30.055,10:56:57.884
18,112.2,0.0,3.096,25.6,0.597,21.6,19.5,0.305,28.4,29.958,26.8,3.0,2.756,29.958,10:56:58.985
19,112.2,0.0,3.776,27.0,0.603,21.6,19.3,0.314,26.3,30.059,25.3,3.0,2.115,30.059,10:57:00.088
20,112.2,0.0,3.889,25.6,0.641,21.3,19.3,0.3,28.4,29.823,26.8,3.0,2.945,29.823,10:57:01.190
21,112.2,0.0,3.021,27.1,0.608,21.1,19.8,0.305,26.3,30.058,25.3,3.0,2.568,30.058,10:57:02.294
22,112.2,0.0,3.361,25.6,0.663,22.0,19.8,0.321,26.3,29.802,25.3,3.0,2.417,29.802,10:57:03.401
23,112.2,0.0,2.794,25.6,0.565,21.3,19.1,0.328,28.4,30.272,25.3,3.0,2.832,30.272,10:57:04.511
24,112.2,0.0,2.794,27.0,0.558,21.6,19.5,0.328,26.3,29.971,25.3,3.0,3.323,29.971,10:57:05.615
25,112.2,0.0,2.53,25.6,0.569,21.3,19.1,0.283,28.4,30.417,26.8,3.0,3.436,30.417,10:57:06.717
26,112.2,0.0,2.605,27.0,0.62,20.9,20.0,0.271,26.3,30.124,25.3,3.0,2.115,30.124,10:57:07.820
27,112.2,0.0,3.059,25.6,0.619,21.1,19.8,0.278,26.3,29.917,25.3,3.0,2.417,29.917,10:57:08.928
28,112.2,0.0,2.605,25.6,0.569,21.3,19.5,0.303,28.4,30.15,25.3,3.0,2.719,30.15,10:57:10.033
29,112.2,0.0,3.436,25.6,0.649,21.8,20.4,0.319,26.3,30.106,25.3,3.0,2.492,30.106,10:57:11.137
30,112.2,0.0,3.285,25.6,0.587,21.8,18.8,0.256,28.4,29.982,26.8,3.0,3.021,29.982,10:57:12.241
