Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,17.0,13.2,2.681,2.7565,20.3892,20.8671,08:57:16.329
2,16.6,13.2,2.7942,2.1523,20.3044,20.5024,08:57:17.272
3,16.6,13.4,2.681,2.2278,20.2226,20.6763,08:57:18.027
4,16.3,14.3,2.1901,2.1901,20.2589,20.429,08:57:18.788
5,16.3,14.5,2.681,1.9635,20.3176,20.344,08:57:19.540
6,16.8,13.2,2.983,1.8125,20.3219,20.194,08:57:20.296
7,16.6,13.6,2.2278,1.8125,20.484,20.4809,08:57:21.054
8,16.6,13.6,2.5299,1.5104,20.4406,20.636,08:57:21.818
9,16.6,13.2,2.7942,1.8502,20.3529,20.2355,08:57:22.575
10,16.6,13.4,2.4166,2.2656,20.3254,20.3271,08:57:23.332
11,16.3,13.4,2.9075,1.6237,20.5825,20.4701,08:57:24.092
12,16.6,13.6,2.9453,1.9258,20.5798,20.5321,08:57:24.852
13,17.0,13.4,2.7187,2.4544,19.9475,20.2776,08:57:25.614
14,16.8,13.2,2.7942,1.9258,20.3296,19.9637,08:57:26.382
15,16.8,12.7,2.6432,2.039,20.4866,20.3593,08:57:27.143
16,17.3,12.9,2.3789,2.4544,20.2135,20.2473,08:57:27.910
17,16.6,12.7,3.625,1.6992,20.4607,20.5196,08:57:28.674
18,16.6,14.1,3.0586,2.1146,20.643,20.2656,08:57:29.434
19,16.6,12.9,2.4922,2.039,20.2926,20.2485,08:57:30.212
20,16.6,13.8,2.6432,2.2278,20.3246,20.369,08:57:30.973
21,16.6,13.6,2.7942,2.0013,20.3994,20.341,08:57:31.750
22,17.0,13.6,2.9075,1.8502,20.5758,20.1614,08:57:32.507
23,16.6,13.6,2.1523,1.7747,20.3165,20.4953,08:57:33.271
24,16.3,13.2,2.7565,1.6237,20.417,20.452,08:57:34.028
25,16.6,12.7,2.7942,2.1523,20.2458,20.2526,08:57:34.806
26,17.0,13.2,2.832,1.5104,20.5447,20.5293,08:57:35.560
27,16.6,13.2,2.2656,2.3034,20.3849,20.444,08:57:36.318
28,16.3,13.6,2.3411,2.4922,20.3039,20.1981,08:57:37.097
29,16.6,13.4,2.7187,1.6614,20.355,20.2326,08:57:37.872
30,17.0,13.6,2.983,2.6432,20.4379,20.5126,08:57:38.629
31,17.0,13.2,2.5299,2.6054,20.1332,20.2878,08:57:39.401
32,16.6,14.1,2.7187,3.0963,20.4282,20.509,08:57:40.164
33,17.0,13.4,2.2278,3.5494,20.8723,20.2331,08:57:40.927
34,16.3,12.9,3.0208,1.8125,20.2357,20.2871,08:57:41.701
35,16.6,13.6,3.0208,1.737,20.1377,20.9398,08:57:42.477
36,16.6,13.2,3.2474,2.1523,20.6328,20.5239,08:57:43.236
37,16.6,13.6,2.9453,1.8502,20.0802,20.1773,08:57:43.998
38,16.6,13.2,2.7565,1.8125,20.2106,20.5022,08:57:44.760
39,17.0,13.8,2.8698,1.8502,20.1971,20.4371,08:57:45.519
40,16.8,13.4,3.7382,2.4544,20.2971,20.3615,08:57:46.279
41,16.8,12.7,3.0208,2.039,20.1803,20.383,08:57:47.044
42,17.0,13.6,2.0768,1.9635,20.3598,20.4612,08:57:47.806
43,16.3,13.6,2.832,2.3789,20.2594,20.2748,08:57:48.582
44,16.8,12.7,2.3411,2.3411,20.5065,20.2831,08:57:49.342
45,16.6,12.7,3.3606,1.6614,20.6835,20.449,08:57:50.103
46,16.6,13.6,2.5677,1.5482,20.4407,20.5803,08:57:50.862
47,17.0,13.2,5.0598,3.0963,39.764,39.6352,08:57:51.625
48,16.3,12.7,3.0963,2.5299,39.6373,39.6122,08:57:52.384
49,16.6,13.6,3.0963,2.9453,39.8941,39.4833,08:57:53.141
50,16.3,13.6,2.832,2.4166,39.6785,39.8471,08:57:53.895
51,16.1,13.8,2.7565,2.4922,39.7641,39.575,08:57:54.657
52,16.3,13.6,2.3789,1.9635,39.6002,39.6568,08:57:55.431
