Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,12.0,9.5,3.5494,3.2096,20.2548,20.2241,08:38:47.475
2,12.0,9.3,3.2851,2.3789,20.4331,20.4262,08:38:48.436
3,11.8,9.5,2.9075,2.681,20.9414,20.4371,08:38:49.208
4,11.8,8.8,2.7187,2.9075,20.3292,20.4166,08:38:49.967
5,11.8,10.0,3.4739,2.7942,20.4759,20.2982,08:38:50.728
6,11.8,9.5,3.6627,2.983,20.2979,20.1694,08:38:51.489
7,11.8,10.0,2.6432,2.3789,20.4962,20.5409,08:38:52.285
8,11.8,9.3,2.681,2.832,19.9367,21.1722,08:38:53.046
9,11.3,9.8,3.8893,2.5299,20.4404,20.5621,08:38:53.821
10,11.8,9.3,3.0586,2.4166,20.4414,20.7398,08:38:54.577
11,11.8,10.0,3.1718,2.2656,20.5365,20.3201,08:38:55.335
12,12.3,9.8,2.5677,2.9075,20.2054,20.2386,08:38:56.094
13,11.8,10.4,3.7005,2.4922,20.46,20.4336,08:38:56.855
14,11.8,9.5,2.9075,2.4166,21.1375,20.2146,08:38:57.619
15,11.8,9.3,2.681,2.4922,20.2112,20.1384,08:38:58.392
16,11.8,9.5,3.0586,2.2278,20.7034,20.3171,08:38:59.157
17,11.6,9.5,3.2851,3.0208,20.6785,20.4858,08:38:59.915
18,11.6,9.3,3.1718,2.5677,20.3244,20.7452,08:39:00.675
19,11.8,9.5,2.8698,2.3034,20.4399,20.4856,08:39:01.453
20,11.8,9.5,3.4362,2.3789,20.3261,20.4936,08:39:02.211
21,11.6,9.5,3.0208,3.7005,20.4144,20.3471,08:39:02.971
22,11.8,10.0,3.2851,2.983,20.3874,20.4432,08:39:03.747
23,11.8,9.5,3.0208,2.9075,20.5262,20.4392,08:39:04.508
24,11.8,9.5,3.1341,2.4922,20.3989,20.316,08:39:05.270
25,11.8,9.3,3.3229,2.2656,20.2137,20.4385,08:39:06.034
26,11.8,9.5,3.5872,2.6432,20.4197,20.2768,08:39:06.795
27,11.8,9.1,2.7565,2.7942,20.4168,20.4404,08:39:07.556
28,11.8,9.5,3.0963,2.6054,20.5575,20.3435,08:39:08.335
29,12.0,10.2,3.4362,2.7565,20.4763,20.236,08:39:09.096
30,12.0,9.3,3.5872,2.4922,20.2839,20.596,08:39:09.861
31,11.6,9.3,2.832,3.0586,20.2866,20.3445,08:39:10.626
32,12.3,9.1,3.3229,3.0586,20.5686,20.3866,08:39:11.386
33,12.3,10.0,3.2851,2.2656,20.4978,20.4432,08:39:12.148
34,11.8,10.4,3.1341,2.6432,20.1962,20.2142,08:39:12.908
35,12.3,9.5,2.4166,2.3034,20.3019,20.3611,08:39:13.668
36,11.8,10.2,3.8515,3.4739,20.4993,20.7955,08:39:14.428
37,12.3,9.3,2.983,3.3606,20.4296,20.3247,08:39:15.190
38,12.0,10.2,4.0026,2.1523,20.2681,20.3383,08:39:15.953
39,11.8,9.8,2.8698,2.6054,20.5452,20.6526,08:39:16.714
40,12.0,9.5,3.1718,2.7565,20.4852,20.4673,08:39:17.472
41,11.8,9.8,3.0963,2.3789,20.1637,20.4136,08:39:18.243
42,11.8,9.3,3.2851,2.4544,20.3575,20.3703,08:39:18.989
43,11.8,10.0,3.4362,2.6432,20.3012,20.5051,08:39:19.748
44,11.8,9.1,3.3606,2.9453,20.3972,20.7714,08:39:20.503
45,11.8,10.0,3.5494,2.9453,20.3368,20.3769,08:39:21.264
46,11.8,9.5,4.6067,2.983,20.3226,20.3826,08:39:22.022
47,11.8,10.0,4.9088,3.7005,39.705,39.6007,08:39:22.798
48,11.8,10.0,3.8138,3.776,39.536,39.6249,08:39:23.563
49,11.8,9.5,3.8893,3.5117,39.6018,39.5624,08:39:24.326
50,11.8,9.3,4.6445,2.7187,39.5506,39.4618,08:39:25.088
51,12.0,10.0,4.0781,4.2291,39.7357,39.5061,08:39:25.852
52,12.3,9.5,4.0781,3.2096,40.2794,39.5302,08:39:26.621
53,11.8,10.0,4.9466,3.7005,39.6585,39.7017,08:39:27.383
54,11.8,10.0,3.5872,2.832,39.4906,39.5118,08:39:28.142
55,11.8,9.5,4.3424,3.8893,39.7475,39.7351,08:39:28.903
56,11.8,9.5,3.776,3.625,39.582,39.5259,08:39:29.661
57,12.0,10.0,3.7382,3.2851,39.5447,39.4302,08:39:30.464
58,12.3,9.8,3.0963,3.4362,39.3669,39.3488,08:39:31.210
59,11.8,9.3,4.4934,3.5117,39.2845,39.4432,08:39:31.969
60,12.3,9.5,3.927,4.1914,39.3944,39.4357,08:39:32.733
61,11.8,9.1,4.4557,4.569,39.5756,39.5847,08:39:33.496
62,12.3,9.5,3.5494,3.6627,39.7937,39.5122,08:39:34.258
63,12.3,9.3,4.7578,4.4934,39.6522,39.5366,08:39:35.017
64,12.3,9.1,3.9648,3.2851,39.4615,39.8504,08:39:35.761
65,11.6,9.5,4.9843,3.8893,39.5314,40.0722,08:39:36.517
66,12.3,9.1,4.4557,5.0598,60.1496,56.9865,08:39:37.283
67,12.3,9.8,5.5507,3.3984,59.9877,59.975,08:39:38.046
68,11.8,9.8,5.9283,4.871,59.9596,60.0885,08:39:38.814
69,12.0,9.5,4.9466,4.3802,59.7817,60.1782,08:39:39.591
70,11.8,10.0,5.0598,3.927,60.1458,59.6271,08:39:40.353
71,11.6,9.5,4.0781,3.3229,60.0774,60.0351,08:39:41.113
72,12.0,9.5,4.6822,4.1536,60.2217,59.5387,08:39:41.873
73,12.3,10.0,4.9466,4.4557,59.8514,60.0746,08:39:42.638
74,12.3,8.8,6.0038,4.8333,60.5274,60.0088,08:39:43.398
75,12.3,10.0,4.1914,4.569,59.7712,60.2871,08:39:44.172
76,12.0,9.5,5.1731,4.569,59.951,60.2391,08:39:44.934
77,12.3,9.5,4.8333,4.8333,59.7214,60.1298,08:39:45.699
78,12.0,9.8,4.6445,4.6822,59.7585,60.1146,08:39:46.475
79,12.3,9.8,3.3984,3.776,59.7165,59.9408,08:39:47.239
80,12.0,10.0,5.4752,3.7005,59.8617,60.1423,08:39:48.002
81,11.8,9.8,5.9283,4.1158,60.0725,59.8086,08:39:48.763
82,11.8,10.0,5.7395,5.0221,60.2193,60.038,08:39:49.521
83,12.5,10.2,4.1536,4.2291,59.7142,59.9708,08:39:50.286
84,12.3,9.3,5.2864,3.5117,59.9131,59.9943,08:39:51.048
85,11.8,9.5,5.2864,4.6445,60.3211,60.0886,08:39:51.811
86,12.3,9.3,6.4192,5.2109,80.2523,80.3548,08:39:52.571
87,12.3,10.4,6.0794,4.871,80.5487,80.3282,08:39:53.347
88,12.3,9.8,6.0416,5.4374,80.8194,80.1057,08:39:54.106
89,12.3,9.5,5.664,4.9466,80.1983,80.6805,08:39:54.864
90,12.0,10.2,6.7968,5.4374,80.4977,80.3477,08:39:55.626
91,12.3,10.4,6.759,4.8333,80.5387,80.232,08:39:56.385
92,12.0,10.2,5.8906,4.9843,80.378,80.5203,08:39:57.146
93,12.3,9.5,5.5885,5.1731,80.5747,80.1231,08:39:57.905
94,12.7,9.5,5.815,5.2109,80.583,80.7303,08:39:58.669
95,12.0,10.2,5.664,5.1354,80.2149,80.9521,08:39:59.425
96,12.5,9.8,5.0598,4.2291,80.7431,80.1592,08:40:00.185
97,12.3,9.3,5.6262,4.5312,80.1915,80.6534,08:40:00.946
98,12.5,9.5,6.0038,3.927,79.6493,80.0878,08:40:01.706
99,12.3,9.3,5.3997,4.3424,80.5003,80.5453,08:40:02.466
100,12.5,10.0,4.9466,4.0026,80.5459,80.269,08:40:03.226
101,12.7,9.8,5.7773,3.776,80.3128,80.1959,08:40:03.984
102,12.7,10.4,4.9088,3.5117,80.2606,80.6016,08:40:04.746
103,12.5,10.7,5.7018,3.5117,80.7553,80.8689,08:40:05.500
104,12.3,10.0,4.7955,3.7382,80.9051,80.7258,08:40:06.276
105,12.3,9.8,4.8333,4.72,80.6648,80.1842,08:40:07.036
106,12.7,9.5,6.759,5.9661,100.022,99.1794,08:40:07.800
107,12.7,9.8,6.6458,5.7395,99.7204,99.7375,08:40:08.559
108,12.3,10.4,5.8528,5.2109,100.1842,100.0243,08:40:09.323
109,12.5,9.5,4.2669,5.2486,99.8498,99.5532,08:40:10.081
110,12.3,9.5,6.3437,6.0794,100.0211,99.1762,08:40:10.844
111,12.3,9.8,6.7968,6.3059,99.6537,99.4339,08:40:11.624
112,12.7,10.0,6.4192,4.5312,99.7186,99.7078,08:40:12.386
113,12.7,10.4,5.9661,4.8333,98.9004,99.9365,08:40:13.153
114,12.7,10.0,7.3632,6.3437,98.9299,99.2518,08:40:13.913
115,12.7,10.4,6.1549,5.9283,99.8057,99.5665,08:40:14.691
116,12.5,9.5,5.2109,4.569,99.8702,99.6037,08:40:15.469
117,12.5,9.8,6.3437,5.3619,99.7119,99.5335,08:40:16.230
118,12.7,10.4,6.457,5.815,99.6032,99.4722,08:40:16.988
119,12.5,10.0,5.6262,5.815,99.5302,99.7774,08:40:17.751
