Log,mixer_speed_M2,cp_temperature_fresh,mixer_motor_temperature_M1,mixer_temperature_Funnel_outlet,ac_flowrate,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,cp_pressure,mixer_torque_M2,mixer_torque_M1,cp_flowrate,mixer_speed_M1,Time
1,119.598,22.0,20.2,24.9,0.0,0.233,21.1,22.7,0.254,4.531,4.078,3.0,119.598,10:39:37.421
2,119.809,22.0,20.9,22.8,0.0,0.264,22.5,22.7,0.259,3.398,3.247,3.0,119.809,10:39:38.537
3,119.371,23.5,20.9,24.9,0.0,0.254,21.1,22.7,0.243,3.323,3.927,3.0,119.371,10:39:39.643
4,120.407,22.0,20.0,22.8,0.0,0.237,22.5,22.7,0.25,6.268,2.983,3.0,120.407,10:39:40.744
5,119.144,22.0,20.4,24.9,0.0,0.238,21.0,22.7,0.243,4.682,3.852,3.0,119.144,10:39:41.849
6,119.746,22.0,20.4,22.8,0.0,0.251,21.0,22.7,0.239,4.38,4.154,3.0,119.746,10:39:42.955
7,120.06,22.0,20.4,22.8,0.0,0.221,21.0,22.7,0.248,3.738,3.247,3.0,120.06,10:39:44.058
8,120.985,22.0,20.2,22.8,0.0,0.24,21.0,22.9,0.239,3.889,3.927,3.0,120.985,10:39:45.159
9,119.972,22.0,20.2,22.8,0.0,0.221,22.5,22.9,0.253,5.173,2.719,3.0,119.972,10:39:46.259
10,119.158,23.5,20.4,24.9,0.0,0.238,21.1,23.2,0.253,4.003,4.003,3.0,119.158,10:39:47.364
11,119.853,22.0,20.9,22.8,0.0,0.254,21.1,23.4,0.259,4.342,3.7,3.0,119.853,10:39:48.486
12,119.799,22.0,20.2,22.8,0.0,0.25,21.0,22.9,0.236,3.814,3.587,3.0,119.799,10:39:49.589
13,120.025,22.0,20.7,22.8,0.0,0.248,21.0,22.7,0.244,3.096,3.172,3.0,120.025,10:39:50.689
14,119.848,22.0,19.8,22.8,0.0,0.254,22.5,22.9,0.248,4.116,2.756,3.0,119.848,10:39:51.793
15,120.359,23.5,20.0,24.9,0.0,0.248,21.0,23.2,0.24,4.342,4.531,3.0,120.359,10:39:52.897
16,120.152,22.0,20.4,22.8,0.0,0.214,22.5,22.9,0.236,4.796,3.172,3.0,120.152,10:39:53.987
17,119.633,23.4,20.4,24.9,0.0,0.255,21.0,23.2,0.239,3.512,3.474,3.0,119.633,10:39:55.095
18,119.984,22.0,20.4,22.8,0.0,0.251,22.5,22.7,0.258,4.305,3.587,3.0,119.984,10:39:56.198
19,119.398,22.0,20.4,22.8,0.0,0.269,22.5,22.9,0.26,4.267,2.983,3.0,119.398,10:39:57.315
20,120.273,23.4,20.4,24.9,0.0,0.233,21.0,22.9,0.236,3.361,2.87,3.0,120.273,10:39:58.423
21,120.0,22.0,20.9,22.8,0.0,0.245,22.5,23.2,0.24,5.4,3.247,3.0,120.0,10:39:59.517
22,119.441,23.5,20.4,24.9,0.0,0.25,21.0,23.2,0.253,3.474,3.814,3.0,119.441,10:40:00.618
23,120.037,22.0,20.4,22.8,0.0,0.25,22.5,23.2,0.231,3.474,3.512,3.0,120.037,10:40:01.719
24,119.62,23.5,20.4,24.9,0.0,0.24,21.0,23.2,0.25,4.909,2.794,3.0,119.62,10:40:02.822
25,120.147,22.0,20.4,22.8,0.0,0.25,22.5,22.9,0.253,3.587,3.247,3.0,120.147,10:40:03.921
26,119.838,22.0,20.2,22.8,0.0,0.245,21.0,23.2,0.254,3.889,3.134,3.0,119.838,10:40:05.025
27,121.09,22.0,20.4,22.8,0.0,0.26,21.0,23.2,0.249,3.361,3.172,3.0,121.09,10:40:06.128
28,119.587,22.0,20.2,22.8,0.0,0.243,21.0,23.8,0.236,5.4,3.285,3.0,119.587,10:40:07.232
29,119.495,22.0,21.1,24.9,0.0,0.25,21.0,23.4,0.243,4.116,4.191,3.0,119.495,10:40:08.341
30,119.942,22.0,20.4,22.8,0.0,0.223,22.5,23.4,0.24,4.531,3.096,3.0,119.942,10:40:09.446
31,119.698,22.0,20.0,22.8,0.0,0.25,21.0,23.2,0.255,4.003,2.945,3.0,119.698,10:40:10.567
32,120.053,23.5,20.4,22.8,0.0,0.251,21.0,22.7,0.225,3.625,2.832,3.0,120.053,10:40:11.685
33,119.916,22.0,20.0,22.8,0.0,0.26,22.5,22.7,0.24,3.663,2.719,3.0,119.916,10:40:12.788
34,120.973,22.0,20.4,22.8,0.0,0.251,21.0,23.2,0.232,4.04,3.512,3.0,120.973,10:40:13.909
35,120.099,22.0,20.7,24.9,0.0,0.254,21.0,23.2,0.239,4.116,2.605,3.0,120.25,10:40:15.012
36,118.921,22.0,20.7,22.8,0.0,0.25,22.5,23.8,0.245,3.247,4.191,3.0,118.921,10:40:16.115
37,120.065,22.0,20.9,22.8,0.0,0.251,21.0,23.2,0.212,4.72,3.625,3.0,120.065,10:40:17.238
38,119.692,22.0,20.4,24.9,0.0,0.238,21.0,23.2,0.245,4.116,4.154,3.0,119.692,10:40:18.349
39,119.98,22.0,20.4,22.8,0.0,0.226,22.5,23.8,0.244,3.965,3.965,3.0,119.98,10:40:19.455
40,119.863,22.0,20.4,22.8,0.0,0.24,21.0,23.6,0.239,3.814,2.681,3.0,119.863,10:40:20.563
41,120.28,23.4,21.3,22.8,0.0,0.24,21.0,23.2,0.25,3.096,2.756,3.0,120.077,10:40:21.668
42,119.842,22.0,20.4,22.8,0.0,0.245,22.4,23.2,0.265,3.625,3.361,3.0,119.842,10:40:22.786
43,120.209,23.4,20.4,22.8,0.0,0.25,21.0,23.2,0.25,3.965,3.247,3.0,120.209,10:40:23.892
44,120.127,22.0,20.7,24.9,0.0,0.245,21.0,23.2,0.249,5.022,3.021,3.0,120.127,10:40:24.991
45,119.201,22.0,20.2,22.8,0.0,0.254,22.5,23.6,0.239,3.474,4.116,3.0,119.201,10:40:26.117
46,119.758,22.0,19.8,22.8,0.0,0.232,21.0,23.4,0.239,4.569,3.361,3.0,119.758,10:40:27.221
47,119.692,22.0,20.2,22.8,0.0,0.227,22.4,23.4,0.25,3.814,2.53,3.0,119.69,10:40:28.323
48,119.885,23.4,20.7,22.8,0.0,0.247,21.0,22.9,0.248,3.474,2.945,3.0,119.885,10:40:29.425
49,119.87,22.0,20.9,24.9,0.0,0.242,22.4,22.9,0.239,5.362,3.738,3.0,119.87,10:40:30.526
50,120.145,22.0,20.9,22.8,0.0,0.25,21.0,23.4,0.26,3.549,3.738,3.0,120.145,10:40:31.639
51,119.825,22.0,20.9,24.9,0.0,0.247,21.0,23.6,0.24,4.154,3.889,3.0,119.825,10:40:32.739
52,121.107,22.0,20.7,24.9,0.0,0.242,21.0,23.4,0.258,3.927,3.663,3.0,121.107,10:40:33.879
53,120.201,22.0,20.0,22.8,0.0,0.243,22.5,23.2,0.259,4.758,3.512,3.0,120.201,10:40:34.986
54,119.729,23.4,20.4,22.8,0.0,0.255,21.0,23.2,0.248,3.852,3.625,3.0,119.729,10:40:36.094
55,120.054,22.0,20.9,24.9,0.0,0.25,22.4,23.8,0.245,3.323,3.738,3.0,120.054,10:40:37.200
56,119.715,22.0,20.9,22.8,0.0,0.233,21.0,23.2,0.245,3.512,2.756,3.0,119.715,10:40:38.305
57,120.183,22.0,21.1,22.8,0.0,0.261,21.0,23.4,0.232,3.663,3.587,3.0,120.183,10:40:39.405
58,119.778,22.0,20.4,24.9,0.0,0.247,22.4,23.4,0.248,3.738,3.285,3.0,119.778,10:40:40.528
59,120.751,22.0,20.7,22.8,0.0,0.233,21.0,23.6,0.243,3.7,3.7,3.0,120.751,10:40:41.633
