Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,14.1,12.3,0.793,2.0768,20.4354,20.6014,09:14:14.190
2,14.3,12.9,0.944,1.9258,20.2152,20.4186,09:14:15.138
3,14.5,12.3,0.8307,2.2656,20.2191,20.255,09:14:15.930
4,14.1,12.5,0.9062,1.7747,20.4588,20.4452,09:14:16.702
5,14.3,12.0,1.0573,1.3971,20.4046,20.2415,09:14:17.465
6,14.1,12.3,1.1706,2.6432,20.3692,20.3635,09:14:18.226
7,14.1,12.7,1.095,1.5482,20.1356,20.6686,09:14:18.985
8,14.5,12.3,1.2838,3.3229,20.3245,20.8183,09:14:19.751
9,14.5,12.0,0.6419,2.983,20.3783,20.1785,09:14:20.511
10,14.5,13.4,1.737,3.3984,20.3819,20.3114,09:14:21.302
11,13.8,12.7,0.8307,1.9258,20.0338,20.5836,09:14:22.096
12,14.5,12.9,1.8125,4.1914,20.224,20.0939,09:14:22.832
13,14.1,13.2,1.0573,2.681,20.2578,19.9662,09:14:23.596
14,14.5,12.9,1.5104,2.6054,20.5628,20.7287,09:14:24.355
15,14.3,12.7,1.5104,1.737,20.2905,20.1856,09:14:25.115
16,14.1,12.0,1.2083,2.039,20.2934,20.2147,09:14:25.888
17,14.5,12.9,1.4349,1.5859,20.5148,20.4879,09:14:26.652
18,14.1,12.3,2.1523,1.5104,20.3732,20.4359,09:14:27.413
19,14.1,12.7,1.2461,2.0013,20.2397,20.4007,09:14:28.167
20,14.1,13.2,0.7174,2.7187,20.2297,20.369,09:14:28.945
21,14.3,12.3,1.0573,1.5859,20.338,20.3263,09:14:29.708
22,14.3,13.2,1.3594,2.5677,20.4301,20.5832,09:14:30.471
23,14.3,12.7,1.1328,1.6992,20.4241,20.4571,09:14:31.227
24,14.5,13.2,1.2838,1.7747,20.8066,20.4488,09:14:31.991
25,14.5,13.2,0.9818,2.6432,20.2522,20.4057,09:14:32.748
26,14.3,12.7,1.1706,1.888,20.3077,20.5747,09:14:33.505
27,14.1,12.7,1.0573,2.8698,20.1503,20.6705,09:14:34.271
28,14.5,12.7,1.3216,1.5104,20.2633,20.5444,09:14:35.036
29,14.5,12.3,1.5104,2.1146,20.318,20.4875,09:14:35.800
30,14.3,12.3,0.9818,1.888,20.3366,20.4944,09:14:36.579
31,14.1,12.3,0.9818,2.5299,20.2581,20.2937,09:14:37.340
32,14.1,12.9,0.8685,2.3789,20.4749,20.2975,09:14:38.101
33,14.5,12.7,1.3216,2.3789,20.4859,20.4947,09:14:38.862
