Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,13.2,10.4,2.4544,2.1146,20.377,20.3861,10:46:32.285
2,13.2,10.0,2.3789,2.4922,20.1461,20.3023,10:46:33.236
3,13.2,10.0,2.9453,2.7187,20.2446,20.308,10:46:33.990
4,12.9,10.0,2.4544,2.039,20.4311,20.3438,10:46:34.742
5,12.7,10.2,3.0208,1.8125,21.1151,20.3607,10:46:35.492
6,12.7,10.9,2.7942,1.8502,20.2093,20.2791,10:46:36.254
7,12.7,9.8,2.039,2.2656,20.5292,20.4357,10:46:37.013
8,13.2,10.7,2.4922,1.9258,20.3188,20.3714,10:46:37.771
9,13.2,9.5,3.2851,3.1341,20.4446,20.3497,10:46:38.532
10,12.7,10.0,2.3034,1.4726,20.7124,20.2553,10:46:39.292
11,13.4,10.4,2.0013,1.6614,20.5187,20.3761,10:46:40.072
12,12.9,9.8,2.8698,2.681,20.2696,20.3747,10:46:40.831
13,12.7,10.0,2.6432,2.3789,20.4172,20.3093,10:46:41.589
14,12.7,10.4,2.681,2.3034,20.3473,20.6163,10:46:42.354
15,12.7,10.0,2.3789,2.5677,19.9635,20.5246,10:46:43.114
16,12.7,11.1,2.3789,2.1901,20.6758,20.7513,10:46:43.892
17,13.2,10.2,2.3789,1.7747,20.3006,20.2566,10:46:44.654
18,12.7,10.0,2.7942,1.6992,20.3384,20.2638,10:46:45.411
19,12.9,9.8,2.0013,2.039,20.2008,20.5336,10:46:46.169
20,12.9,10.4,2.8698,1.9258,20.3085,20.8064,10:46:46.925
21,12.9,9.8,2.039,2.3789,20.6021,20.4925,10:46:47.700
22,12.9,10.2,2.4922,1.8502,20.4043,20.361,10:46:48.460
23,12.7,10.4,2.4166,2.1523,20.3896,20.3904,10:46:49.215
24,13.2,10.4,2.039,3.0963,20.4354,20.6586,10:46:49.968
25,12.7,10.9,2.0768,2.5299,19.9924,20.3421,10:46:50.728
26,12.9,10.9,2.5677,1.5859,20.3917,20.3624,10:46:51.486
27,13.2,10.0,2.4166,2.1523,20.4705,20.4184,10:46:52.239
28,12.9,10.9,3.1718,2.4166,20.3427,20.4654,10:46:52.995
29,13.2,10.0,2.3789,2.8698,20.3499,20.6646,10:46:53.757
30,13.2,10.0,2.039,2.0768,20.3303,20.8835,10:46:54.518
31,13.2,10.4,2.4166,1.6237,20.4036,20.3505,10:46:55.279
32,12.7,10.7,3.3606,3.1341,20.4369,20.3731,10:46:56.042
33,13.2,10.0,2.2656,1.6614,20.4138,20.1706,10:46:56.805
34,12.7,10.0,2.0013,2.2656,20.1243,20.3926,10:46:57.568
35,12.7,10.0,2.2278,2.2656,20.5677,20.4688,10:46:58.328
36,12.7,10.2,2.1523,2.9075,20.3722,20.3054,10:46:59.087
37,13.2,10.0,2.9453,2.3034,20.3752,20.3548,10:46:59.831
38,12.7,10.4,2.4166,2.6432,21.0687,20.2956,10:47:00.607
39,12.7,10.9,2.4166,2.5299,20.3042,20.3509,10:47:01.371
40,13.2,10.4,2.3411,2.7187,20.2139,20.4023,10:47:02.136
41,13.2,10.7,2.5677,1.888,20.319,20.5662,10:47:02.899
42,12.9,10.7,2.1523,1.8502,20.4648,20.4228,10:47:03.661
43,12.9,10.9,2.5299,2.5299,20.6976,20.4556,10:47:04.423
44,13.2,10.2,3.1341,2.3411,20.3445,20.2723,10:47:05.185
45,13.2,10.4,2.2656,1.2838,20.4554,20.4257,10:47:05.949
46,12.7,10.7,2.039,2.4922,20.4407,20.2313,10:47:06.710
47,12.7,10.0,3.8515,2.7942,39.6522,39.5335,10:47:07.471
48,13.2,10.0,2.4544,2.8698,39.4436,39.5357,10:47:08.230
49,12.9,10.0,2.832,2.4544,39.0548,39.6967,10:47:08.990
50,13.2,10.4,2.7565,2.8698,39.1045,39.594,10:47:09.750
