Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.6104,24.1,3.0,0.0,24.3,21.3,19.3,2.6432,3.7005,60.6492,60.5994,11:57:29.347
2,0.0,0.6079,24.1,3.0,0.022,24.2,21.6,19.3,3.0208,2.2278,59.9167,60.1729,11:57:29.653
3,0.0,0.6311,24.1,3.0,0.0684,24.3,21.1,18.6,2.681,3.2096,59.7689,60.144,11:57:29.918
4,0.0,0.6677,24.1,3.0,0.0501,24.2,21.3,18.6,4.6067,2.8698,59.0949,59.6657,11:57:30.168
5,0.0,0.6641,24.1,3.0,0.0171,25.7,21.6,18.8,4.8333,2.9453,59.8592,60.2645,11:57:30.397
6,0.0,0.6836,24.1,3.0,0.0,24.3,21.6,19.8,3.776,2.6054,60.1668,60.1325,11:57:30.631
7,0.0,0.6165,24.1,3.0,0.0684,24.3,21.6,18.8,2.2278,2.832,59.1501,59.2859,11:57:30.868
8,0.0,0.6067,24.1,3.0,0.0501,24.3,21.6,18.8,3.4739,3.1341,59.9555,59.808,11:57:31.115
9,0.0,0.5957,25.6,3.0,0.0305,24.2,21.6,19.3,2.9453,3.927,59.4453,59.023,11:57:31.362
10,0.0,0.6494,25.6,3.0,0.022,24.2,21.3,19.8,3.2474,2.983,59.9848,60.0639,11:57:31.619
11,0.0,0.6165,25.6,3.0,0.0537,25.7,21.8,18.8,2.039,2.8698,60.7311,59.6329,11:57:31.882
12,0.0,0.6262,25.6,3.0,0.0159,24.2,21.1,19.3,3.0208,2.4544,59.9356,60.2234,11:57:32.143
13,0.0,0.6018,25.6,3.0,0.061,24.3,21.1,19.3,2.7565,3.1718,59.8092,60.3082,11:57:32.407
14,0.0,0.6238,25.6,3.0,0.1062,25.7,21.3,19.3,3.2096,2.1523,59.816,60.0104,11:57:32.668
15,0.0,0.6189,25.6,3.0,0.0,25.7,21.1,19.3,2.9453,3.0586,60.1686,59.6628,11:57:32.929
16,0.0,0.6531,25.6,3.0,0.0012,25.7,21.1,19.3,4.0403,2.983,59.7013,59.2359,11:57:33.187
17,0.0,0.6262,24.1,3.0,0.1123,24.3,21.1,19.8,3.8515,2.6432,60.7694,60.2101,11:57:33.443
18,0.0,0.6128,24.1,3.0,0.0745,24.3,21.1,18.8,3.2851,2.3034,60.4088,60.3548,11:57:33.702
19,0.0,0.6104,24.1,3.0,0.0549,24.2,21.3,19.3,2.8698,3.0586,60.617,59.5297,11:57:33.932
20,0.0,0.5506,24.1,3.0,0.022,24.3,21.1,18.6,3.776,2.5677,59.7519,60.0412,11:57:34.157
21,0.0,0.5811,25.6,3.0,0.0452,24.3,21.1,19.3,2.832,3.2851,59.5579,60.2325,11:57:34.377
22,0.0,0.6165,24.1,3.0,0.0842,24.2,21.1,19.3,3.8515,2.4922,60.2835,59.7296,11:57:34.597
23,0.0,0.636,24.1,3.0,0.0,24.3,21.1,19.8,3.4362,2.832,59.9924,60.022,11:57:34.822
24,0.0,0.6384,24.1,3.0,0.0549,25.7,20.9,19.5,3.625,2.9453,59.9482,59.9952,11:57:35.045
25,0.0,0.6629,24.1,3.0,0.0513,24.2,21.3,19.3,3.0586,4.6822,59.1637,60.0633,11:57:35.266
26,0.0,0.6531,24.1,3.0,0.0269,25.7,21.1,18.8,3.1341,4.1536,59.7391,59.795,11:57:35.486
27,0.0,0.6336,24.1,3.0,0.011,24.2,21.1,19.3,4.4557,3.0963,59.7144,59.7842,11:57:35.704
28,0.0,0.6079,25.6,3.0,0.0244,25.7,21.3,19.3,2.4922,2.6054,60.0704,60.0172,11:57:35.927
29,0.0,0.6116,24.1,3.0,0.022,24.3,21.3,18.4,2.8698,2.681,60.0997,60.2686,11:57:36.150
30,0.0,0.6543,25.6,3.0,0.0635,25.7,21.1,20.4,2.983,3.5117,59.7255,59.5622,11:57:36.372
31,0.0,0.6165,24.1,3.0,0.0403,24.3,21.6,19.8,3.927,2.7942,60.179,59.9243,11:57:36.594
32,0.0,0.5554,24.1,3.0,0.0696,24.2,21.6,19.8,2.9453,2.4166,60.0502,60.1373,11:57:36.818
33,0.0,0.6714,25.6,3.0,0.0073,24.3,20.9,19.3,4.1536,3.0963,60.2035,59.7316,11:57:37.072
34,0.0,0.6397,25.6,3.0,0.0305,25.7,21.1,19.3,4.3046,3.0586,60.3889,60.3404,11:57:37.325
35,0.0,0.6104,24.2,3.0,0.0867,24.2,21.3,18.6,3.7005,1.8502,60.2594,60.413,11:57:37.564
36,0.0,0.6641,25.6,3.0,0.0073,24.2,21.6,19.1,2.7187,2.2656,60.0893,59.1162,11:57:37.789
37,0.0,0.6446,24.1,3.0,0.0732,24.2,21.1,20.0,3.6627,3.1718,60.0114,60.0929,11:57:38.018
38,0.0,0.6555,24.1,3.0,0.0,24.3,21.1,18.8,4.2669,3.4739,60.138,59.9062,11:57:38.238
39,0.0,0.6665,24.1,3.0,0.0439,24.3,21.1,19.1,3.4739,3.0586,60.365,61.2435,11:57:38.458
40,0.0,0.5835,24.1,3.0,0.0,24.3,21.6,18.8,3.0208,2.9075,59.2222,59.2222,11:57:38.679
41,0.0,0.6677,24.1,3.0,0.0293,24.2,21.6,20.0,1.9635,2.8698,59.9317,59.9317,11:57:38.899
42,0.0,0.6287,24.1,3.0,0.0488,24.2,21.6,19.3,2.5677,2.832,60.2219,60.1302,11:57:39.120
43,0.0,0.6543,24.1,3.0,0.0793,25.7,21.8,18.8,3.4362,3.3606,59.6691,59.9166,11:57:39.344
44,0.0,0.6494,24.1,3.0,0.011,24.3,21.6,19.5,3.6627,2.4166,60.776,60.1565,11:57:39.569
45,0.0,0.6189,24.2,3.0,0.0769,24.2,21.3,18.8,3.3229,2.6054,60.5961,60.8388,11:57:39.813
46,0.0,0.5908,24.1,3.0,0.0293,24.3,21.3,19.8,3.6627,3.0586,59.3514,59.7087,11:57:40.066
47,0.0,0.6067,24.1,3.0,0.1086,24.2,21.6,20.0,3.1341,4.4557,59.2238,60.1799,11:57:40.326
48,0.0,0.6592,24.1,3.0,0.0305,24.3,21.6,19.8,4.1536,2.5677,59.9038,59.7248,11:57:40.585
49,0.0,0.6397,25.6,3.0,0.0256,25.7,21.1,19.8,2.832,3.7005,59.676,60.3476,11:57:40.844
50,0.0,0.636,24.1,3.0,0.0439,24.3,21.6,19.3,3.776,2.4544,60.0255,60.1925,11:57:41.074
51,0.0,0.6836,25.6,3.0,0.0635,24.2,21.1,19.1,3.2096,2.5677,60.1937,60.0225,11:57:41.299
52,0.0,0.6714,24.1,3.0,0.0439,24.2,21.3,18.8,2.681,2.6054,60.4528,58.9598,11:57:41.525
53,0.0,0.6482,24.1,3.0,0.0012,24.3,21.3,19.5,3.5872,4.3046,58.7816,59.4892,11:57:41.753
54,0.0,0.6336,25.6,3.0,0.0317,25.7,21.1,19.1,3.5117,3.2851,60.9122,60.7565,11:57:41.986
55,0.0,0.6067,24.2,3.0,0.0244,24.3,21.8,20.0,4.569,3.2474,60.9895,61.0731,11:57:42.224
56,0.0,0.6384,24.1,3.0,0.0269,24.3,21.8,19.3,3.1341,2.9075,60.118,60.2519,11:57:42.461
57,0.0,0.6726,25.6,3.0,0.061,24.3,21.3,19.1,3.2096,2.2278,59.8884,60.0044,11:57:42.697
58,0.0,0.6287,24.1,3.0,0.0635,24.3,21.1,19.3,2.4544,3.0586,59.3832,59.9461,11:57:42.925
59,0.0,0.6116,24.2,3.0,0.0501,24.3,21.6,19.3,3.3606,2.6432,59.8662,59.9279,11:57:43.153
60,0.0,0.6726,25.6,3.0,0.0305,25.7,21.3,19.8,3.0963,3.1341,59.9877,59.9567,11:57:43.381
61,0.0,0.5737,24.1,3.0,0.0452,24.3,22.0,18.8,2.6054,2.8698,59.5082,59.8635,11:57:43.613
62,0.0,0.6287,25.6,3.0,0.0598,24.3,21.1,18.8,2.6054,3.1341,59.7598,59.6878,11:57:43.834
63,0.0,0.6507,25.6,3.0,0.0195,25.7,21.6,18.8,3.5494,3.5117,59.768,59.8124,11:57:44.063
64,0.0,0.6409,24.2,3.0,0.0391,25.7,21.1,19.1,3.0963,4.0781,59.9865,59.6874,11:57:44.323
65,0.0,0.6433,24.2,3.0,0.1025,24.3,21.3,19.3,3.776,3.0208,59.825,59.4087,11:57:44.584
66,0.0,0.5823,24.1,3.0,0.0061,24.3,21.3,19.5,2.7565,2.681,59.9147,59.7414,11:57:44.836
67,0.0,0.5982,24.2,3.0,0.0317,24.3,21.6,19.3,3.5117,3.0208,59.6916,59.7992,11:57:45.091
68,0.0,0.625,24.1,3.0,0.0342,24.3,21.3,19.3,3.625,3.5494,59.859,60.0929,11:57:45.355
69,0.0,0.5908,24.2,3.0,0.0366,24.3,21.6,19.3,3.6627,2.6054,59.8766,59.8448,11:57:45.617
70,0.0,0.5982,24.1,3.0,0.0,24.2,21.3,18.8,2.3789,3.3229,60.1625,59.7242,11:57:45.874
71,0.0,0.6079,25.6,3.0,0.0244,25.7,21.1,19.1,3.5872,3.0963,59.9647,59.7153,11:57:46.098
72,0.0,0.6214,24.1,3.0,0.0501,24.3,21.8,19.1,3.2851,4.871,60.4812,59.7744,11:57:46.350
73,0.0,0.6287,24.1,3.0,0.1807,24.3,21.3,19.3,3.3229,2.6432,59.8379,59.8942,11:57:46.597
74,0.0,0.6006,24.2,3.0,0.0208,24.2,21.1,19.5,2.1146,3.3606,59.0326,59.947,11:57:46.856
75,0.0,0.6201,24.1,3.0,0.1013,24.2,21.6,19.8,3.927,3.1341,59.9705,59.6268,11:57:47.096
76,0.0,0.5933,24.1,3.0,0.0208,24.3,21.3,19.8,3.8515,2.8698,60.327,60.6069,11:57:47.346
77,0.0,0.6494,25.6,3.0,0.0342,24.3,21.6,19.1,2.9453,2.7187,59.7699,59.9709,11:57:47.607
78,0.0,0.5835,24.1,3.0,0.0012,25.7,21.3,20.0,2.7187,3.0963,59.8337,59.9494,11:57:47.849
79,0.0,0.6238,24.1,3.0,0.0122,24.3,21.3,19.8,4.3424,2.983,60.072,60.0145,11:57:48.077
80,0.0,0.6189,25.6,3.0,0.0562,24.2,22.0,19.3,3.4362,4.3046,59.6212,60.1469,11:57:48.314
81,0.0,0.6201,24.1,3.0,0.0317,24.3,21.6,19.8,4.1158,2.9453,59.9495,59.4557,11:57:48.538
82,0.0,0.6116,24.1,3.0,0.0269,24.3,21.1,19.5,3.8138,3.2096,59.6817,59.8333,11:57:48.765
83,0.0,0.6079,24.1,3.0,0.0269,25.7,21.1,19.3,2.983,3.625,60.3297,60.2055,11:57:48.990
84,0.0,0.5774,24.2,3.0,0.0,25.7,21.1,20.2,3.3229,3.625,59.9111,59.8504,11:57:49.234
85,0.0,0.6507,24.1,3.0,0.0049,25.7,21.1,19.5,3.1341,2.9075,59.5892,59.6846,11:57:49.497
86,0.0,0.6397,24.2,3.0,0.0195,25.7,21.3,18.8,3.4362,5.4374,59.3722,57.4685,11:57:49.759
87,0.0,0.6165,24.2,3.0,0.0208,25.7,21.3,18.8,5.2109,3.4362,60.5501,59.7868,11:57:50.020
88,0.0,0.73,24.1,3.0,0.0317,25.7,21.1,19.1,4.6445,3.0586,60.3498,61.0857,11:57:50.287
89,0.0,0.6738,24.2,3.0,0.0024,25.7,21.1,19.8,3.5117,2.2656,59.9533,60.4219,11:57:50.546
90,0.0,0.625,24.2,3.0,0.0256,24.3,21.1,19.3,3.3229,2.3411,60.3479,60.3172,11:57:50.809
91,0.0,0.6433,24.2,3.0,0.0195,24.3,21.1,19.5,4.4934,3.625,59.5614,59.8134,11:57:51.070
92,0.0,0.5445,24.2,3.0,0.0891,24.2,21.1,20.0,3.2851,3.5872,60.2123,59.9327,11:57:51.332
93,0.0,0.6006,24.2,3.0,0.0122,24.3,21.1,19.5,3.3606,2.3034,59.6271,59.6972,11:57:51.594
94,0.0,0.6165,24.1,3.0,0.0342,24.3,21.3,19.3,2.3034,3.1341,59.8947,60.3263,11:57:51.857
95,0.0,0.6299,24.1,3.0,0.0537,24.3,21.6,20.2,3.2851,3.2851,60.2711,60.2022,11:57:52.118
96,0.0,0.6104,24.1,3.0,0.0317,24.3,21.3,20.0,2.8698,3.0208,59.8811,60.2923,11:57:52.380
97,0.0,0.5786,24.1,3.0,0.0537,24.2,21.3,19.3,3.625,1.8502,59.8876,59.9462,11:57:52.644
98,0.0,0.5933,24.2,3.0,0.0146,24.3,22.0,19.3,2.4922,2.8698,59.9038,60.3594,11:57:52.909
99,0.0,0.636,24.1,3.0,0.0305,24.3,21.1,18.8,3.7005,2.9453,59.9803,59.7153,11:57:53.171
100,0.0,0.6384,24.1,3.0,0.0305,24.3,21.3,18.8,3.4362,2.7187,59.8796,59.5464,11:57:53.430
101,0.0,0.5774,24.1,3.0,0.0073,24.2,21.6,19.8,3.8515,2.3034,59.876,60.0256,11:57:53.686
102,0.0,0.6775,24.1,3.0,0.0488,24.3,21.8,19.8,3.3606,2.832,59.7928,60.3253,11:57:53.944
103,0.0,0.636,24.1,3.0,0.0208,24.3,21.1,19.8,3.2474,3.1341,60.4846,59.6262,11:57:54.204
104,0.0,0.6507,24.2,3.0,0.0342,24.3,21.3,20.4,4.3046,3.5872,59.2544,59.7985,11:57:54.464
105,0.0,0.625,25.6,3.0,0.0317,24.3,21.8,19.8,3.2474,4.0403,59.1362,58.8463,11:57:54.714
106,0.0,0.5408,24.2,3.0,0.022,24.3,21.1,19.5,3.4362,3.5494,59.8796,60.1976,11:57:54.946
107,0.0,0.5921,24.2,3.0,0.1013,24.3,21.6,19.5,3.2096,3.2474,59.7295,59.9444,11:57:55.182
108,0.0,0.5969,24.2,3.0,0.0269,24.3,21.6,18.8,4.1914,2.4544,61.3358,61.0366,11:57:55.420
109,0.0,0.6531,24.2,3.0,0.0354,24.2,21.3,19.3,3.3984,2.2278,59.956,60.4282,11:57:55.678
110,0.0,0.6336,24.2,3.0,0.0,25.7,21.6,19.5,2.2656,2.681,59.8349,60.2457,11:57:55.928
111,0.0,0.5823,24.1,3.0,0.0,24.3,21.6,19.3,3.1718,2.9453,59.5825,59.604,11:57:56.154
112,0.0,0.6555,25.6,3.0,0.0464,24.3,21.3,20.0,3.2474,3.8893,59.7012,59.8934,11:57:56.383
113,0.0,0.6604,24.1,3.0,0.0549,24.3,21.6,19.5,3.2096,2.7187,59.6831,59.9835,11:57:56.617
114,0.0,0.6079,24.2,3.0,0.0171,24.2,21.8,20.0,2.7187,4.4179,59.7379,58.8346,11:57:56.841
115,0.0,0.6238,24.2,3.0,0.0256,25.7,21.6,19.8,3.5494,4.4179,60.4834,60.3381,11:57:57.066
116,0.0,0.6397,24.2,3.0,0.0354,24.2,21.8,18.4,3.3606,2.8698,59.737,59.8292,11:57:57.291
117,0.0,0.6494,25.6,3.0,0.072,24.2,21.6,19.3,2.983,3.0586,60.055,59.9216,11:57:57.524
118,0.0,0.6384,24.2,3.0,0.0586,25.7,21.6,18.6,2.6432,2.983,59.4517,59.0483,11:57:57.760
119,0.0,0.6214,24.2,3.0,0.0415,24.3,21.1,19.1,2.7565,3.5117,60.2119,60.6456,11:57:57.996
120,0.0,0.5737,24.2,3.0,0.0501,24.3,21.1,18.8,4.0403,3.3229,59.716,60.0598,11:57:58.233
121,0.0,0.5579,25.6,3.0,0.0818,25.7,21.3,19.5,4.0026,3.2851,59.6656,60.2814,11:57:58.469
122,0.0,0.6165,24.1,3.0,0.0269,25.7,21.1,18.8,4.1536,2.4544,59.7845,59.913,11:57:58.709
123,0.0,0.625,24.2,3.0,0.0208,25.7,21.1,19.1,3.4739,3.625,60.5422,60.4673,11:57:58.973
124,0.0,0.564,24.2,3.0,0.0061,25.7,21.1,18.6,3.9648,3.7382,59.8805,60.1918,11:57:59.236
125,0.0,0.6201,24.2,3.0,0.0647,25.7,21.8,18.8,2.2278,1.888,26.5376,28.6524,11:57:59.499
126,0.0,0.625,24.2,3.0,0.0549,24.3,21.1,19.3,3.2474,1.0573,20.2133,20.1525,11:57:59.753
127,0.0,0.6238,25.6,3.0,0.0061,24.2,21.3,18.8,1.737,1.5859,20.3425,20.3425,11:57:59.979
128,0.0,0.5982,24.1,3.0,0.0452,24.3,21.6,19.8,2.0013,2.1523,20.0892,20.1373,11:58:00.205
129,0.0,0.6311,25.6,3.0,0.0793,24.2,21.3,19.1,1.8125,1.6992,20.2368,20.2713,11:58:00.428
130,0.0,0.6775,24.2,3.0,0.0415,25.7,21.6,19.1,1.5859,2.1523,20.4565,20.2808,11:58:00.652
131,0.0,0.6482,24.2,3.0,0.0366,24.3,21.1,19.3,2.2656,1.4349,19.9874,20.0094,11:58:00.899
132,0.0,0.6018,24.1,3.0,0.0818,24.3,21.1,18.6,1.737,2.1146,20.2697,20.3776,11:58:01.151
133,0.0,0.5982,24.2,3.0,0.0464,24.3,21.6,19.8,1.6614,1.6614,20.4791,20.2683,11:58:01.411
134,0.0,0.6153,25.6,3.0,0.0501,24.3,21.1,20.0,1.3594,1.6237,20.3743,20.2794,11:58:01.646
135,0.0,0.6458,24.2,3.0,0.0562,24.2,21.6,20.0,1.9635,2.4166,20.2619,20.1186,11:58:01.881
136,0.0,0.6348,24.2,3.0,0.0256,24.2,21.1,19.8,1.095,1.6992,20.2849,20.5838,11:58:02.107
137,0.0,0.6165,24.2,3.0,0.0244,25.7,21.6,19.5,1.5482,1.6614,20.3449,20.3325,11:58:02.332
138,0.0,0.6446,24.2,3.0,0.0964,24.3,21.6,18.6,1.8502,1.4349,20.4783,20.4783,11:58:02.559
139,0.0,0.5921,25.6,3.0,0.0256,24.3,21.6,19.8,2.7187,1.3216,20.5267,20.7312,11:58:02.785
