Log,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.8362,24.3,3.0,0,24.3,23.8,21.8,3.8138,3.9648,39.1865,39.7063,12:51:10.248
2,0.7874,24.3,3.0,0,25.8,23.8,21.8,2.5677,2.983,39.4496,40.1319,12:51:11.818
3,0.8448,24.3,3.0,0,24.3,24.3,21.8,4.72,2.5677,39.1544,39.8959,12:51:13.048
4,0.8399,24.3,3.0,0,25.7,23.8,21.6,3.625,2.5677,39.7114,39.5164,12:51:14.294
5,0.846,24.3,3.0,0,25.8,23.8,22.7,2.9075,2.3411,39.5501,39.2137,12:51:15.496
6,0.7837,25.8,3.0,0,24.3,24.3,21.8,3.3606,2.0013,39.5056,39.7574,12:51:16.727
7,0.824,25.8,3.0,0,24.2,24.1,22.5,3.776,3.2474,39.5918,39.5352,12:51:17.983
8,0.8399,25.8,3.0,0,24.3,24.3,22.7,3.8515,2.681,39.1699,40.0157,12:51:19.210
9,0.7971,24.3,3.0,0,24.3,24.1,21.8,3.2474,2.832,39.1085,39.7128,12:51:20.435
10,0.8008,25.8,3.0,0,24.3,23.8,21.8,2.8698,3.776,39.1334,39.0506,12:51:21.661
11,0.8814,25.8,3.0,0,24.3,24.1,22.3,2.1146,2.1901,39.4724,39.4958,12:51:22.904
12,0.8203,25.8,3.0,0,24.3,24.3,22.0,2.6054,2.6054,39.5924,39.4403,12:51:24.131
13,0.8777,25.8,3.0,0,24.3,23.8,22.0,2.8698,2.832,38.9587,39.3532,12:51:25.356
14,0.8741,24.3,3.0,0,24.3,24.5,22.7,2.983,2.832,39.5699,39.8064,12:51:26.599
15,0.835,24.3,3.0,0,25.8,23.6,21.8,2.5299,3.776,39.4204,39.4806,12:51:27.857
16,0.8741,25.8,3.0,0,25.8,24.5,21.8,2.0013,3.4362,39.5259,39.3702,12:51:29.105
17,0.8313,25.8,3.0,0,24.3,23.8,22.3,2.832,3.0208,59.7939,59.9425,12:51:30.352
18,0.9217,25.8,3.0,0,24.3,24.3,22.0,3.2474,2.983,59.7306,59.9394,12:51:31.581
19,0.8289,24.4,3.0,0,24.3,24.3,22.7,2.9453,2.832,60.1595,59.5379,12:51:32.808
20,0.8545,24.4,3.0,0,24.3,24.3,21.8,3.625,3.0586,59.5045,61.1834,12:51:34.028
21,0.8863,24.4,3.0,0,25.7,24.1,22.0,2.9075,3.4739,60.3499,59.9601,12:51:35.242
22,0.8643,24.3,3.0,0,25.7,24.1,21.8,3.3984,3.5117,60.5715,59.8706,12:51:36.480
23,0.8972,24.4,3.0,0,24.3,24.3,21.6,3.2474,2.9453,60.2351,59.8406,12:51:37.705
24,0.9046,24.4,3.0,0,25.7,24.1,21.8,2.5299,2.983,59.8262,59.698,12:51:38.933
25,0.9058,25.8,3.0,0,25.8,24.3,22.3,3.3229,2.8698,60.3764,60.9158,12:51:40.161
26,0.8338,24.4,3.0,0,25.8,24.3,22.3,3.1341,3.3606,59.0662,60.1003,12:51:41.397
27,0.7825,24.4,3.0,0,25.7,24.3,21.6,3.9648,3.625,59.9012,59.8365,12:51:42.613
28,0.8728,24.4,3.0,0,25.8,24.3,21.8,3.9648,4.6822,60.0564,59.7513,12:51:43.833
29,0.7935,24.4,3.0,0,24.3,24.5,22.0,2.9453,2.6432,59.4525,60.9559,12:51:45.080
30,0.9363,24.4,3.0,0,25.8,23.8,22.9,2.681,2.3034,60.4208,60.1575,12:51:46.306
31,0.8631,24.4,3.0,0,25.7,24.1,21.3,3.625,3.1341,59.5842,59.6887,12:51:47.533
32,0.8448,24.4,3.0,0,25.7,23.8,22.3,4.3802,3.3229,59.8975,60.2403,12:51:48.756
33,0.9351,24.4,3.0,0,25.8,24.3,21.8,4.7955,3.4739,59.1571,60.6395,12:51:49.983
34,0.8435,24.4,3.0,0,24.3,24.1,22.5,4.7955,3.9648,80.3143,80.8852,12:51:51.208
35,0.9363,25.8,3.0,0,24.3,24.3,23.2,2.832,3.4739,80.38,78.958,12:51:52.451
36,0.8716,25.8,3.0,0,24.3,24.3,21.8,3.6627,3.5494,80.6816,79.8013,12:51:53.685
37,0.8057,25.8,3.0,0,24.3,24.3,21.6,4.2669,3.5117,80.6547,80.2036,12:51:54.912
38,0.9009,25.8,3.0,0,24.3,24.3,22.0,3.7382,2.7565,80.3445,80.5557,12:51:56.153
39,0.8936,24.4,3.0,0,25.7,24.3,22.3,3.5872,3.3229,80.7588,80.0774,12:51:57.376
40,0.8863,24.4,3.0,0,24.3,24.3,22.3,3.5494,3.5872,79.7908,79.8534,12:51:58.585
41,0.846,24.4,3.0,0,24.3,24.8,21.6,4.0403,2.681,80.804,80.4545,12:51:59.808
42,0.9143,24.4,3.0,0,25.7,24.5,22.9,4.0026,4.0781,80.6212,80.436,12:52:01.047
43,0.8741,24.4,3.0,0,25.7,24.3,22.0,3.3984,3.7382,79.9431,80.4803,12:52:02.275
44,0.8838,24.4,3.0,0,25.7,24.3,22.5,3.3229,4.0026,80.5843,80.3428,12:52:03.496
45,0.9107,25.8,3.0,0,25.7,24.3,21.8,4.569,4.72,80.7999,80.9186,12:52:04.721
46,0.9351,25.8,3.0,0,24.3,24.8,22.5,3.3984,3.3229,78.9868,80.3144,12:52:05.970
47,0.9387,24.4,3.0,0,24.3,24.3,22.3,3.776,3.0963,80.5382,80.0187,12:52:07.216
48,0.8997,24.4,3.0,0,24.3,24.8,21.8,4.2291,4.2291,80.9645,81.015,12:52:08.446
49,0.8728,24.4,3.0,0,24.3,24.3,21.8,4.4557,2.8698,80.0969,81.159,12:52:09.686
50,0.9009,24.4,3.0,0,24.3,24.3,22.3,3.8893,3.2096,99.4182,98.1092,12:52:10.913
51,0.8692,24.4,3.0,0,24.2,24.3,22.9,4.9843,3.6627,99.4262,99.6006,12:52:12.153
52,0.8777,24.4,3.0,0,24.3,24.3,21.8,5.815,3.7382,99.8262,99.4851,12:52:13.379
53,0.8789,24.4,3.0,0,24.2,24.5,23.4,4.7955,3.8893,99.6338,99.6163,12:52:14.605
54,0.8716,24.4,3.0,0,24.3,24.3,22.0,5.2486,3.7005,99.2743,99.862,12:52:15.829
55,0.9095,24.4,3.0,0,24.3,24.3,22.5,4.4179,4.3046,100.9923,99.1909,12:52:17.070
56,0.8814,24.4,3.0,0,24.2,24.3,22.9,4.7578,5.7773,99.6666,99.0349,12:52:18.294
57,0.9302,24.4,3.0,0,24.2,24.3,22.7,4.8333,4.569,101.3517,98.79,12:52:19.498
58,0.8863,25.8,3.0,0,24.3,24.3,21.8,3.9648,4.2291,101.0321,99.2998,12:52:20.727
59,0.8838,24.4,3.0,0,24.3,24.3,21.8,5.0598,4.2291,99.7283,99.4846,12:52:21.946
60,0.896,25.8,3.0,0,24.3,24.5,22.0,5.4374,3.8515,99.3533,99.3866,12:52:23.187
61,0.8887,24.4,3.0,0,24.2,24.3,22.3,4.0026,4.6822,98.8545,99.7832,12:52:24.415
