Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,13.4,10.9,4.871,2.9075,20.6152,20.0041,08:42:21.158
2,12.7,10.0,3.625,3.625,20.1682,20.7498,08:42:22.107
3,13.2,10.9,3.3984,2.3789,20.4597,20.3802,08:42:22.864
4,13.4,10.4,2.9075,2.3411,20.5424,20.0933,08:42:23.621
5,12.7,10.7,3.4362,3.0963,20.3217,20.3433,08:42:24.393
6,13.4,10.4,3.0963,2.7565,20.3574,20.1259,08:42:25.146
7,12.7,10.7,3.1718,2.2278,20.4138,20.3954,08:42:25.905
8,12.9,10.7,2.2278,2.9453,20.2612,20.2689,08:42:26.697
9,13.6,10.9,3.3606,2.4544,20.356,20.7797,08:42:27.458
10,13.2,10.9,3.5872,3.4739,20.6658,20.318,08:42:28.220
11,13.2,10.9,4.0403,2.3789,20.4801,20.3912,08:42:28.983
12,13.2,10.9,2.6432,3.2096,20.2551,20.2702,08:42:29.743
13,12.9,10.9,3.625,3.625,20.5944,20.4141,08:42:30.499
14,12.7,9.8,3.5494,2.9075,20.2666,20.872,08:42:31.279
15,13.6,10.7,2.681,2.3789,20.1579,20.3328,08:42:32.039
16,12.9,10.9,3.776,3.0586,20.8873,20.3234,08:42:32.813
17,12.7,10.2,3.625,2.4922,20.4096,20.3001,08:42:33.582
18,12.7,10.0,3.5872,3.2096,20.3549,20.6752,08:42:34.345
19,13.6,10.4,2.6432,3.1341,20.5533,20.4206,08:42:35.106
20,13.4,10.0,4.5312,2.9075,20.5839,20.0568,08:42:35.895
21,13.2,10.2,3.7005,2.6432,20.2142,20.2914,08:42:36.657
22,12.9,10.4,3.2096,2.6054,20.2278,20.3991,08:42:37.404
23,13.4,10.0,2.7565,2.1146,20.5449,20.4247,08:42:38.162
24,12.7,10.9,3.3229,3.0586,20.3998,20.2524,08:42:38.935
25,12.7,10.4,3.6627,2.4544,20.4861,20.4393,08:42:39.697
26,13.4,10.4,2.983,2.4166,20.3502,20.3288,08:42:40.459
27,12.9,10.4,2.2278,2.6432,20.0782,20.2632,08:42:41.219
28,13.4,10.2,3.8138,3.0586,20.5702,20.044,08:42:41.963
29,12.9,10.9,3.3229,2.5299,20.4035,20.5893,08:42:42.720
30,13.6,10.4,2.7187,2.4922,20.4359,20.333,08:42:43.482
31,13.2,10.4,2.832,2.3034,20.476,20.265,08:42:44.242
32,12.9,10.0,4.3802,2.8698,20.3217,20.3728,08:42:44.996
33,12.7,10.4,4.3802,2.3789,20.7033,20.5484,08:42:45.748
34,12.7,10.9,3.5872,2.6432,20.4207,20.4369,08:42:46.503
35,13.2,10.9,2.6432,2.1523,20.3839,20.5011,08:42:47.263
36,13.4,10.7,3.5872,3.0208,20.2823,20.3312,08:42:48.028
37,12.7,10.9,4.871,2.4166,20.3779,20.5692,08:42:48.782
38,12.9,10.2,3.3984,1.9258,20.6124,20.2121,08:42:49.542
39,12.9,10.9,2.5677,2.7187,20.4541,20.4602,08:42:50.304
40,13.2,10.9,3.4739,2.9453,20.3007,20.2473,08:42:51.064
41,13.2,10.9,3.4362,3.2096,20.5349,20.5107,08:42:51.828
42,13.2,10.9,2.7187,2.3034,20.5881,20.0353,08:42:52.607
43,13.2,10.2,3.8138,3.1718,20.2857,20.3638,08:42:53.369
44,13.2,10.2,4.2291,2.9075,20.185,20.1947,08:42:54.131
