Log,mixer_speed_M2,ac_flowrate,mixer_motor_temperature_M1,mixer_torque_M2,mixer_pressure,cp_temperature,cp_flowrate,mixer_temperature_Funnel,mixer_temperature_Funnel_outlet,cp_pressure,mixer_speed_M1,mixer_motor_temperature_M2,mixer_torque_M1,Time
1,70.699,103.2,24.1,2.832,0.259,24.8,3.0,25.1,26.1,0.19,70.699,27.0,2.643,11:52:07.344
2,119.952,103.2,24.1,2.756,0.31,24.8,3.0,26.5,26.1,0.211,119.952,27.3,2.492,11:52:08.449
3,119.704,103.2,24.3,3.21,0.281,26.2,3.0,25.1,26.1,0.226,119.704,27.0,2.303,11:52:09.553
4,119.974,103.2,23.6,2.568,0.248,24.8,3.0,25.1,26.1,0.208,119.974,26.8,2.832,11:52:10.659
5,119.758,103.2,23.4,2.983,0.24,24.8,3.0,26.5,28.2,0.221,119.758,27.0,2.756,11:52:11.771
