Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,12.3,9.5,2.5299,1.7747,20.3829,20.5164,10:42:31.431
2,12.0,9.5,2.6054,1.888,20.3595,20.3834,10:42:32.409
3,12.3,9.5,2.1146,1.6992,20.7833,20.112,10:42:33.182
4,12.5,9.3,2.7187,2.7565,20.4025,20.1092,10:42:33.940
5,11.8,10.4,2.3411,2.0013,20.2764,20.5712,10:42:34.712
6,12.3,9.8,2.5299,2.6432,20.6115,20.2481,10:42:35.469
7,12.3,10.0,2.2278,1.5859,20.3624,20.5781,10:42:36.228
8,11.8,10.4,3.1718,2.6054,20.595,20.308,10:42:36.985
9,12.7,10.4,2.1146,1.6614,20.5002,20.3303,10:42:37.747
10,12.3,9.3,2.5677,1.8502,20.3457,20.4101,10:42:38.504
11,12.3,10.0,1.9635,2.0013,20.0111,20.5702,10:42:39.264
12,12.5,8.8,2.7565,2.2656,20.3671,20.3635,10:42:40.023
13,12.0,9.8,2.0768,2.1901,20.2446,20.0913,10:42:40.781
14,12.0,10.0,2.3411,2.0013,20.3292,20.3562,10:42:41.538
15,12.0,9.1,2.6432,1.8125,20.2935,20.5689,10:42:42.300
16,12.0,10.0,2.1146,2.832,20.415,20.4172,10:42:43.062
17,12.3,9.1,2.1901,1.8502,20.3206,20.3377,10:42:43.823
18,12.0,9.3,2.4544,2.2278,20.6807,20.7073,10:42:44.579
19,12.3,9.3,2.1146,2.3411,20.3859,20.4317,10:42:45.342
20,11.8,9.8,4.4179,2.2656,20.4016,20.2843,10:42:46.105
21,12.0,10.0,2.1901,2.1523,20.4962,20.8084,10:42:46.865
22,12.3,10.2,2.039,1.8125,20.3225,20.5498,10:42:47.623
23,12.3,9.5,2.2278,3.2474,20.5902,20.2683,10:42:48.418
24,11.8,10.0,2.5677,2.0013,20.4839,20.2777,10:42:49.180
25,12.3,10.0,2.2278,2.1146,20.4556,20.1147,10:42:49.943
26,12.3,9.8,1.7747,1.7747,20.4174,20.281,10:42:50.721
27,12.3,8.8,3.4739,1.9635,20.5746,20.331,10:42:51.480
28,12.3,10.4,4.0026,2.0013,20.6356,20.1702,10:42:52.238
29,11.8,9.5,2.3789,2.3034,20.4537,20.3595,10:42:53.002
30,12.3,9.5,2.2656,1.8502,20.3553,20.1593,10:42:53.763
31,11.8,9.1,2.8698,2.3034,20.4944,20.3888,10:42:54.524
32,12.5,9.5,3.3606,2.2278,20.2842,20.153,10:42:55.281
33,12.3,10.0,2.7565,1.7747,20.6581,20.4683,10:42:56.041
34,12.7,10.4,2.2656,1.6992,20.5526,20.3997,10:42:56.788
35,12.0,9.8,3.8515,2.1523,20.9062,20.5877,10:42:57.552
36,12.0,9.8,3.0208,2.2656,20.7607,20.3378,10:42:58.318
37,12.3,10.7,1.7747,2.3411,20.7294,20.4727,10:42:59.080
38,12.0,10.4,2.039,1.9258,20.3584,20.4879,10:42:59.850
39,11.8,10.4,2.3034,3.2851,20.4453,20.2512,10:43:00.612
40,12.0,8.8,2.681,1.8502,20.3393,20.301,10:43:01.374
41,12.0,10.0,2.2278,2.3789,20.4384,20.3381,10:43:02.135
42,12.3,10.0,3.9648,1.8502,20.3968,20.3745,10:43:02.896
43,12.7,9.5,2.0013,2.5677,20.2234,20.5244,10:43:03.660
44,12.0,9.5,3.625,2.3034,20.2179,20.4161,10:43:04.439
45,11.8,9.1,3.2096,2.4544,20.333,20.3397,10:43:05.201
46,12.3,10.2,3.0963,2.4922,20.2573,20.7688,10:43:05.962
47,12.3,9.5,2.9453,2.9075,39.6157,39.4509,10:43:06.725
48,11.8,9.8,2.681,2.7942,39.9716,39.6466,10:43:07.469
49,12.5,9.3,3.0586,2.4544,39.4339,39.4794,10:43:08.229
50,12.0,10.4,3.2851,2.6054,39.5701,39.5688,10:43:08.971
51,12.0,9.1,3.5494,2.4922,39.0489,40.0614,10:43:09.737
52,12.3,8.6,2.7942,3.1718,39.8784,39.4338,10:43:10.500
53,12.3,9.3,3.0586,2.681,40.2261,39.5605,10:43:11.263
54,12.5,10.0,3.3984,2.5299,39.5239,40.1032,10:43:12.020
55,12.3,9.5,5.3242,2.7187,39.6873,39.9495,10:43:12.780
56,12.3,9.8,3.0963,3.2474,39.5569,39.258,10:43:13.543
57,12.3,9.5,3.7382,3.3229,40.6191,39.1323,10:43:14.300
58,12.3,9.5,2.832,2.9075,39.4739,39.7765,10:43:15.065
59,12.7,10.0,3.7005,2.3789,39.7249,39.3658,10:43:15.832
60,12.5,10.0,2.8698,3.2096,39.4686,39.8215,10:43:16.591
61,12.0,9.1,3.0208,2.681,39.617,39.652,10:43:17.336
62,12.3,10.2,4.9088,2.3034,39.4785,39.4561,10:43:18.101
63,12.5,9.5,3.3606,2.7565,39.9403,39.7269,10:43:18.866
64,12.3,10.4,2.5677,3.1341,39.5498,39.5361,10:43:19.625
65,11.8,9.3,3.6627,1.9635,41.0246,38.5679,10:43:20.393
66,12.3,9.5,3.3984,3.5117,58.4726,40.3867,10:43:21.154
67,12.3,10.0,2.7187,2.983,59.989,59.6085,10:43:21.914
68,12.0,9.5,3.2474,2.4922,59.9576,59.9487,10:43:22.678
69,12.3,9.1,3.4362,3.1718,60.143,59.96,10:43:23.443
70,11.8,9.3,3.8893,3.8893,59.8665,59.3504,10:43:24.204
71,12.3,9.1,3.7382,3.0963,60.4767,59.9271,10:43:24.969
72,12.3,9.8,3.8515,3.2474,59.9186,60.0706,10:43:25.736
73,12.7,10.2,3.6627,3.0963,60.129,60.3287,10:43:26.497
74,12.3,10.4,3.7382,3.0586,60.1545,60.0419,10:43:27.262
75,12.5,9.3,3.3984,3.0963,60.177,59.9286,10:43:28.008
76,11.8,9.8,2.8698,2.2278,59.9167,59.5507,10:43:28.765
77,12.3,10.0,3.8138,2.7565,60.0385,59.9596,10:43:29.554
78,12.5,10.7,3.2096,3.9648,60.0775,60.4283,10:43:30.311
79,11.8,9.5,3.927,3.1341,60.1195,60.5789,10:43:31.074
80,12.7,9.1,3.4739,3.7005,59.9725,60.0771,10:43:31.838
81,12.5,10.2,4.0026,3.2096,60.6416,60.0398,10:43:32.598
82,12.7,10.0,3.8893,3.4362,59.9643,59.9375,10:43:33.364
83,12.7,10.0,4.1914,2.7187,59.8999,59.9085,10:43:34.137
84,12.0,9.3,2.5677,2.8698,59.9864,59.7877,10:43:34.899
85,12.3,10.0,4.4934,2.1901,59.6375,60.5273,10:43:35.661
86,12.3,10.2,4.6445,4.1158,80.2174,80.3176,10:43:36.424
87,12.3,10.0,4.4557,4.3424,80.4937,80.0039,10:43:37.189
88,11.8,10.2,3.8893,3.0586,80.4558,80.6551,10:43:37.936
89,12.5,9.8,5.4374,3.3229,80.608,80.7627,10:43:38.694
90,12.0,9.8,3.4362,2.7187,81.2952,80.3055,10:43:39.455
91,12.5,9.8,3.4739,3.0586,80.3721,81.6316,10:43:40.224
92,12.3,9.5,3.2474,3.0208,80.4627,80.3224,10:43:40.989
93,12.3,10.2,4.1158,2.983,80.106,80.7273,10:43:41.750
94,12.0,9.5,3.927,3.3606,80.0801,80.5258,10:43:42.512
95,12.7,10.0,3.625,2.6054,81.0243,80.2902,10:43:43.274
96,12.3,9.3,3.4362,3.1341,80.7881,80.5479,10:43:44.039
97,12.5,9.1,3.625,3.4362,80.3754,80.6066,10:43:44.802
98,12.3,10.0,4.1158,3.2096,80.3376,80.3609,10:43:45.562
99,12.7,9.3,2.9075,3.625,80.3025,80.5043,10:43:46.328
100,12.3,9.5,2.832,3.8893,80.1854,80.8246,10:43:47.104
101,12.3,9.3,3.1718,3.5494,80.209,80.6293,10:43:47.871
102,12.0,9.5,3.7005,3.8893,80.1773,80.3218,10:43:48.631
103,12.3,10.0,4.569,3.2096,80.1559,80.1819,10:43:49.406
104,12.0,10.2,4.7578,3.2474,80.5504,80.1346,10:43:50.169
105,12.5,9.5,4.2291,3.7382,80.4148,80.5042,10:43:50.932
106,12.3,9.5,5.1354,4.8333,99.615,99.5556,10:43:51.697
107,12.9,10.0,4.6067,4.8333,100.6678,99.7092,10:43:52.456
108,12.5,10.4,4.0026,3.5494,100.0969,99.738,10:43:53.221
109,12.3,9.8,6.0416,3.7382,100.9781,99.1797,10:43:53.979
110,12.3,10.0,4.3046,4.871,100.4038,99.2891,10:43:54.744
111,12.3,9.5,4.4557,4.6067,100.0003,99.7834,10:43:55.507
112,12.7,10.0,3.9648,3.6627,99.6871,100.0483,10:43:56.270
113,12.3,9.3,4.569,4.3424,100.0779,99.3069,10:43:57.034
114,12.3,9.8,4.0781,4.3046,99.6348,99.841,10:43:57.791
115,12.3,9.5,4.9466,3.4362,99.4541,100.4115,10:43:58.558
116,12.9,9.8,4.3046,3.5494,99.3153,99.8694,10:43:59.324
117,12.3,9.1,4.3802,4.1158,99.7139,99.2264,10:44:00.085
118,12.7,9.5,4.5312,4.0781,99.8747,99.6243,10:44:00.847
119,12.7,9.3,4.5312,2.9453,99.7973,100.0503,10:44:01.613
120,12.7,10.0,4.871,3.5872,99.1205,100.2148,10:44:02.373
121,12.7,10.0,4.3802,4.0403,99.5653,99.5495,10:44:03.137
122,12.3,9.8,4.4179,3.776,99.6091,99.5576,10:44:03.898
123,12.7,10.2,4.1914,3.1718,100.4319,99.4144,10:44:04.665
124,12.7,9.5,4.2291,3.7382,99.5183,99.4512,10:44:05.422
125,12.5,10.0,6.3437,4.0026,116.837,100.5109,10:44:06.181
126,12.9,10.2,4.3424,4.5312,120.1147,120.2637,10:44:06.944
127,12.7,10.2,5.4752,4.569,120.1386,119.8492,10:44:07.714
128,12.9,9.5,4.9843,4.2669,119.5026,120.0391,10:44:08.478
129,12.9,10.4,4.9843,4.6445,120.9884,120.0109,10:44:09.237
130,12.7,10.2,5.513,3.776,119.5837,119.9601,10:44:09.991
131,12.9,10.0,5.3242,4.0026,120.0906,119.6633,10:44:10.748
132,12.9,10.0,4.3424,4.1536,119.4599,119.9571,10:44:11.512
133,12.7,10.4,5.0598,3.927,120.0162,120.1797,10:44:12.271
134,12.7,10.0,5.0976,4.6822,119.4579,120.0899,10:44:13.028
135,12.5,9.5,4.7578,3.8515,120.4462,119.9712,10:44:13.800
136,12.7,10.4,4.9088,3.9648,120.9186,119.6519,10:44:14.578
137,12.5,9.5,4.0026,3.3229,120.4862,119.9959,10:44:15.338
138,12.7,9.8,5.2486,4.2669,120.2445,119.4063,10:44:16.100
139,12.7,9.5,4.3802,3.5872,120.0515,120.073,10:44:16.862
140,12.7,10.0,4.4557,4.72,119.7441,119.9046,10:44:17.626
141,12.5,10.0,3.7382,2.983,119.3168,120.1113,10:44:18.388
