Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,37.0,0.5249,24.4,1.5,0.0696,25.6,26.6,24.3,4.0403,2.4544,60.0189,60.1424,12:52:21.937
2,37.0,0.5396,24.4,1.5,0.0867,25.5,27.0,25.0,3.1341,2.2656,59.5455,59.6969,12:52:22.244
3,37.0,0.5103,24.4,1.5,0.011,25.6,27.0,25.0,3.3606,1.8502,59.9746,59.7564,12:52:22.501
4,37.0,0.481,24.4,1.5,0.0256,25.6,26.6,24.5,3.625,2.832,59.4919,60.3117,12:52:22.759
5,37.0,0.5957,24.4,1.5,0.022,25.6,26.8,25.0,3.5117,2.2278,60.0676,60.3982,12:52:23.017
6,37.0,0.4785,24.4,1.5,0.0439,25.5,27.5,25.0,2.681,2.7187,59.8292,61.4092,12:52:23.277
7,37.0,0.5249,24.4,1.5,0.0403,25.5,27.0,25.0,2.983,2.039,59.8836,60.0403,12:52:23.533
8,37.0,0.4651,24.4,1.5,0.0415,25.5,27.0,25.0,2.039,3.3984,59.0686,60.0762,12:52:23.791
9,37.0,0.481,24.4,1.5,0.0159,27.1,26.8,24.3,3.1341,2.1901,60.1222,59.8633,12:52:24.033
10,37.0,0.4773,24.4,1.5,0.0549,25.5,27.5,25.0,3.9648,2.039,59.7593,59.7593,12:52:24.251
11,37.0,0.4883,24.4,1.5,0.0745,25.5,27.3,25.0,2.5299,1.8502,60.2775,59.9075,12:52:24.475
12,37.0,0.4724,25.9,1.5,0.0146,25.5,27.0,24.3,2.7565,1.9635,59.4579,59.8499,12:52:24.732
13,37.0,0.4675,25.9,1.5,0.0439,25.6,27.0,24.8,3.8515,2.2656,60.8492,61.1509,12:52:24.996
14,37.0,0.4126,25.9,1.5,0.0391,27.0,27.0,24.8,4.4179,1.9258,59.9833,60.0745,12:52:25.246
