Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,8.2,5.2,2.7565,1.5859,20.4099,20.3159,08:33:18.527
2,7.7,5.7,3.2474,2.1146,20.4982,20.3823,08:33:19.507
3,8.2,6.1,3.2474,2.039,20.7505,20.5204,08:33:20.273
4,7.5,6.6,2.5299,2.0768,20.3581,20.3635,08:33:21.025
5,7.9,5.9,3.3229,2.4922,20.1476,20.3259,08:33:21.784
6,7.9,6.1,3.4362,2.0013,20.315,20.6594,08:33:22.555
7,7.9,5.9,2.6432,2.3789,20.2428,20.2444,08:33:23.329
8,7.9,6.1,3.7382,1.5104,20.4248,20.372,08:33:24.089
9,7.7,5.7,2.832,2.1146,20.5386,20.1389,08:33:24.849
10,7.7,6.1,3.4362,2.4922,20.4429,20.3356,08:33:25.593
11,8.2,5.9,2.7565,2.039,20.3853,20.3158,08:33:26.335
12,8.2,5.4,2.8698,1.9258,20.6564,20.1497,08:33:27.111
13,8.2,6.1,2.832,2.3411,20.7306,20.1299,08:33:27.871
14,7.7,5.7,2.7942,3.2851,20.4582,20.3173,08:33:28.632
15,7.7,5.7,3.1718,2.7565,20.2071,20.3532,08:33:29.398
16,7.5,5.7,2.8698,2.0768,20.3479,20.3093,08:33:30.158
17,8.2,6.1,2.9075,1.6237,20.3539,20.408,08:33:30.948
18,8.4,5.0,2.7565,1.6614,20.2942,20.7554,08:33:31.715
19,7.5,5.9,3.3984,2.3411,20.5414,20.1809,08:33:32.478
20,7.7,6.6,3.0586,2.5299,20.4616,20.4281,08:33:33.237
21,7.7,6.3,3.8138,2.0768,20.2504,20.1793,08:33:34.003
22,8.2,6.1,2.983,2.4544,20.7542,20.3152,08:33:34.764
23,8.2,5.4,3.1341,3.3606,20.3408,20.4693,08:33:35.528
24,7.7,5.7,2.7942,2.1146,20.2755,20.2631,08:33:36.294
25,8.2,5.9,4.1536,2.3034,20.3766,20.3824,08:33:37.058
26,8.4,6.1,2.9453,3.0586,20.1211,20.5348,08:33:37.816
27,7.7,5.7,3.2096,2.2278,20.7143,19.9442,08:33:38.593
28,7.7,6.1,3.2096,1.7747,20.3516,20.3912,08:33:39.361
29,7.9,5.9,3.3606,2.4166,20.4327,20.4225,08:33:40.123
30,7.9,5.4,3.2851,2.5677,20.3399,20.4169,08:33:40.889
31,8.2,5.2,2.9453,1.737,20.3957,20.3908,08:33:41.652
32,7.9,6.1,2.832,2.3411,20.4355,20.3651,08:33:42.414
33,7.9,6.1,3.9648,2.3789,20.3077,20.313,08:33:43.181
34,8.2,6.1,3.0586,2.8698,20.5048,20.4045,08:33:43.945
35,7.7,6.3,2.832,1.6614,20.3554,20.3631,08:33:44.707
36,8.2,5.2,3.3606,2.039,20.0498,21.4091,08:33:45.496
37,7.5,6.1,3.4362,2.681,20.3634,20.2216,08:33:46.257
38,8.2,6.1,2.7565,1.888,20.3857,20.3112,08:33:47.020
39,8.4,5.7,3.2096,1.737,20.1458,20.435,08:33:47.794
40,8.4,5.7,2.6432,2.039,20.5342,20.2996,08:33:48.539
41,7.7,5.7,3.0208,2.3789,20.5083,20.4979,08:33:49.317
42,7.9,5.7,3.0963,2.2278,20.5569,20.3478,08:33:50.078
43,8.2,6.1,3.2096,2.3411,20.2832,20.8398,08:33:50.845
