Log,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_temperature_Funnel_plate,mixer_speed_M2,ac_flowrate,cp_flowrate,mixer_torque_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_speed_M1,Time
67,25.4,24.8,0.317,0.565,0.0,19.8,26.3,9.4,112.2,3.0,1.359,1.85,20.2,9.4,10:47:55.965
68,25.4,24.7,0.237,0.576,0.0,18.8,24.9,9.637,112.2,3.0,1.737,1.51,20.7,9.637,10:47:57.085
69,27.5,24.7,0.276,0.535,0.0,18.6,26.3,9.749,112.2,3.0,1.322,1.246,20.7,9.749,10:47:58.191
70,27.4,24.8,0.309,0.635,0.0,19.3,26.3,9.534,112.2,3.0,2.039,1.51,21.1,9.534,10:47:59.304
71,25.4,26.2,0.264,0.615,0.0,19.1,24.9,9.608,112.2,3.0,1.85,1.397,20.9,9.608,10:48:00.410
72,27.5,24.7,0.227,0.474,0.0,18.8,24.9,9.6,112.2,3.0,1.359,1.208,20.4,9.6,10:48:01.517
73,25.4,24.7,0.343,0.563,0.0,18.8,24.9,9.382,112.2,3.0,2.794,1.586,20.7,9.382,10:48:02.625
74,25.4,24.8,0.278,0.597,0.0,18.6,24.9,9.562,112.2,3.0,1.322,1.473,20.7,9.562,10:48:03.733
75,27.5,24.8,0.254,0.558,0.0,19.1,26.3,9.587,112.2,3.0,1.775,1.359,21.1,9.587,10:48:04.837
76,25.4,24.7,0.255,0.521,0.0,18.8,24.9,9.549,112.2,3.0,2.039,1.548,21.1,9.549,10:48:05.946
77,27.5,24.8,0.24,0.554,0.0,19.5,24.9,9.582,112.2,3.0,1.284,1.473,20.9,9.582,10:48:07.045
78,25.4,24.8,0.219,0.603,0.0,19.3,24.9,9.545,112.2,3.0,1.699,1.699,21.1,9.545,10:48:08.150
79,25.4,24.8,0.259,0.529,0.0,18.6,24.9,9.353,112.2,3.0,1.51,1.85,20.9,9.353,10:48:09.252
80,27.5,24.8,0.275,0.565,0.0,18.8,26.3,9.49,112.2,3.0,2.303,1.964,21.1,9.49,10:48:10.357
81,25.4,26.2,0.248,0.615,0.0,19.3,24.9,9.608,112.2,3.0,2.379,2.152,20.7,9.608,10:48:11.456
82,27.5,24.7,0.256,0.559,0.0,19.3,26.3,9.695,112.2,3.0,1.699,1.888,20.7,9.695,10:48:12.563
83,25.4,24.8,0.283,0.591,0.0,18.6,24.9,9.629,112.2,3.0,2.077,1.661,20.7,9.629,10:48:13.664
84,25.4,24.8,0.288,0.564,0.0,18.6,24.9,9.6,112.2,3.0,1.964,1.359,20.9,9.6,10:48:14.769
85,25.4,24.8,0.242,0.551,0.0,18.8,24.9,9.27,112.2,3.0,1.699,2.115,21.1,9.27,10:48:15.874
86,25.4,26.2,0.337,0.638,0.0,19.5,24.9,9.567,112.2,3.0,2.568,2.794,21.1,9.567,10:48:16.989
87,27.4,24.8,0.356,0.548,0.0,19.1,26.3,9.689,112.2,3.0,2.19,1.661,20.4,9.689,10:48:18.099
88,27.5,24.8,0.288,0.554,0.0,20.0,26.3,9.651,112.2,3.0,1.057,1.624,20.9,9.651,10:48:19.217
89,25.4,24.8,0.343,0.73,0.0,18.8,24.9,9.388,112.2,3.0,2.454,1.812,20.7,9.388,10:48:20.336
90,25.4,24.8,0.398,0.598,0.0,19.5,24.9,9.74,112.2,3.0,1.812,1.02,20.7,9.74,10:48:21.439
91,25.4,24.8,0.348,0.52,0.0,18.4,24.9,9.544,112.2,3.0,1.397,2.228,20.7,9.544,10:48:22.540
92,25.4,26.2,0.243,0.673,0.0,18.8,24.9,9.623,112.2,3.0,1.624,1.473,21.1,9.623,10:48:23.649
93,27.5,24.8,0.293,0.563,0.0,19.3,26.3,9.541,112.2,3.0,1.359,1.435,20.7,9.541,10:48:24.753
94,25.4,26.2,0.376,0.564,0.0,18.8,24.9,9.512,112.2,3.0,1.171,2.228,21.1,9.512,10:48:25.859
95,25.4,24.8,0.264,0.598,0.0,18.8,24.9,9.681,112.2,3.0,1.926,1.51,20.9,9.681,10:48:26.978
96,27.5,24.8,0.247,0.581,0.0,19.1,26.3,9.629,112.2,3.0,2.568,1.586,21.1,9.629,10:48:28.102
