Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,15.7,14.1,1.3594,1.7747,20.4013,20.3632,09:22:02.290
2,15.7,14.1,1.2083,2.7187,20.4259,20.6503,09:22:03.232
3,15.2,14.1,1.1328,1.7747,20.8068,20.5272,09:22:03.991
4,15.7,13.8,1.1706,1.5482,20.6444,20.4354,09:22:04.756
5,15.4,13.6,1.4349,1.4349,20.2619,20.273,09:22:05.524
6,15.7,14.1,1.2461,2.1901,20.3405,20.3934,09:22:06.285
7,15.4,14.1,2.3034,1.3594,20.4742,20.8751,09:22:07.062
8,15.7,14.1,1.737,1.8125,20.3145,20.4268,09:22:07.828
9,15.7,14.5,1.5482,1.737,20.2997,20.3863,09:22:08.590
10,16.1,14.1,0.944,2.6054,20.4669,20.4094,09:22:09.350
11,15.7,13.4,1.4726,2.1901,20.3628,20.382,09:22:10.127
12,15.7,14.1,0.9818,1.5859,20.2181,20.3412,09:22:10.876
13,15.7,13.8,1.5104,2.3789,20.3803,20.4089,09:22:11.655
14,15.7,13.8,0.8685,1.9258,20.8641,20.2897,09:22:12.419
15,15.2,13.8,1.3594,1.3971,20.2435,20.3549,09:22:13.184
16,15.7,13.2,1.095,1.3216,20.4144,20.479,09:22:13.940
17,15.9,14.1,1.2461,1.6614,20.318,20.3618,09:22:14.703
18,15.7,13.4,1.8125,1.4726,20.428,20.2815,09:22:15.467
19,15.4,13.6,0.8685,2.2656,20.4074,20.5316,09:22:16.228
20,15.7,13.6,1.2083,1.5859,20.4634,20.4361,09:22:16.992
21,15.9,13.2,1.2838,2.039,20.1274,20.3695,09:22:17.764
22,16.1,14.3,1.095,2.3411,20.4639,20.3588,09:22:18.524
23,15.9,13.8,1.2838,1.9635,20.3059,20.1875,09:22:19.286
24,15.7,13.6,1.2083,1.5859,20.4758,20.4105,09:22:20.049
25,15.2,13.6,1.2461,2.2278,20.6153,20.0999,09:22:20.809
26,15.7,14.1,0.944,1.7747,20.4602,20.3506,09:22:21.565
27,15.9,14.1,1.0195,2.3411,20.5215,20.2807,09:22:22.330
28,15.4,14.1,1.1328,1.6237,20.4478,20.3711,09:22:23.094
29,15.7,13.8,1.2083,1.0195,20.2159,20.0074,09:22:23.876
30,15.7,13.8,1.3594,2.5299,20.2395,20.2443,09:22:24.635
31,15.7,13.2,1.1706,2.0013,20.5554,20.3334,09:22:25.403
32,15.7,13.6,1.095,1.3594,20.4314,20.4393,09:22:26.181
33,15.4,14.5,0.9062,2.6432,20.0689,19.92,09:22:26.946
34,15.9,14.1,1.4726,1.4349,20.3438,20.9892,09:22:27.708
35,15.4,13.4,0.9062,1.7747,20.3259,20.1963,09:22:28.471
36,15.4,12.7,1.4349,2.3789,20.4773,20.4386,09:22:29.266
37,15.7,14.8,0.793,1.9258,20.4526,20.5051,09:22:30.030
38,16.1,13.8,1.3216,2.0013,20.2099,20.3204,09:22:30.792
39,15.7,13.2,1.1328,1.6614,20.418,20.6533,09:22:31.561
40,15.9,13.4,1.6237,1.7747,20.4669,20.4132,09:22:32.308
41,15.9,14.1,1.1706,1.6992,20.4917,20.5845,09:22:33.066
42,15.4,13.2,0.9062,2.3034,20.1062,20.3495,09:22:33.826
43,15.7,13.4,1.3594,1.4726,20.4254,20.3673,09:22:34.590
44,15.2,13.6,1.0195,1.9258,20.4121,20.189,09:22:35.354
45,15.2,14.1,1.4726,1.737,20.2314,20.8876,09:22:36.130
46,15.7,13.6,1.9635,2.3789,22.2573,20.1145,09:22:36.906
47,15.7,14.1,1.6237,2.5677,39.7678,39.5894,09:22:37.665
48,15.2,14.1,1.6614,2.9075,39.2705,39.39,09:22:38.430
49,15.7,14.1,1.737,2.1901,39.4776,39.297,09:22:39.178
50,15.7,13.2,1.5104,1.8125,39.7538,39.5662,09:22:39.970
51,15.9,13.2,1.0573,2.6432,39.8736,39.4765,09:22:40.732
52,15.7,13.4,0.944,2.2656,39.5935,39.3793,09:22:41.490
53,15.7,13.6,1.5859,2.3789,40.9169,39.9505,09:22:42.254
54,15.9,13.8,1.1706,2.3411,39.3154,39.5807,09:22:43.018
55,15.7,13.6,1.6237,2.0013,39.5826,39.4304,09:22:43.787
56,15.7,14.1,1.3971,3.3229,39.4409,39.6533,09:22:44.553
57,15.4,14.1,1.3216,2.2278,39.5032,39.9883,09:22:45.315
58,15.7,13.6,1.4349,3.4362,39.9789,39.3682,09:22:46.081
59,15.9,13.6,0.7552,2.6054,39.9317,39.5343,09:22:46.861
60,15.4,13.2,1.6237,2.3789,39.1338,39.3691,09:22:47.655
61,15.7,13.8,0.8685,2.3034,39.6254,39.3841,09:22:48.414
62,15.7,13.2,1.3971,2.3034,39.3301,39.4427,09:22:49.179
63,15.2,14.1,1.1328,2.2656,39.5314,39.6851,09:22:49.940
