Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.3772,25.4,1.5,0.238,25.8,17.3,16.3,0.0,0.0,0.0,0.0,12:42:03.432
2,0.0,0.4212,25.4,1.5,0.2368,25.8,18.2,15.9,0.0,0.0,0.0,0.0,12:42:05.151
3,0.0,0.4114,25.4,1.5,0.2356,27.3,17.9,16.1,0.0,0.0,0.0,0.0,12:42:06.479
4,0.0,0.4175,25.4,1.5,0.2222,27.3,17.9,16.3,0.0,0.0,0.0,0.0,12:42:07.823
5,0.0,0.4199,25.4,1.5,0.2454,27.3,17.7,15.9,0.0,0.0,0.0,0.0,12:42:09.142
6,0.0,0.4297,26.9,1.5,0.2405,25.8,17.3,16.3,0.0,0.0,0.0,0.0,12:42:10.473
7,0.0,0.4883,26.9,1.5,0.1917,25.8,17.9,16.1,0.0,0.0,0.0,0.0,12:42:11.793
8,0.0,0.3906,26.9,1.5,0.2356,25.8,17.5,15.9,1.4349,0.1133,0.0013,0.0,12:42:13.128
9,0.0,0.4151,25.4,1.5,0.3125,25.8,17.5,15.9,5.7395,2.9453,0.0021,0.0,12:42:14.445
10,0.0,0.4102,25.4,1.5,0.2808,25.8,18.2,15.9,17.0298,11.7811,0.0004,0.0,12:42:15.794
11,0.0,0.4297,25.4,1.5,0.2356,25.8,17.5,15.4,18.8422,15.255,0.0067,0.0,12:42:17.138
12,0.0,0.3919,25.4,1.5,0.2783,25.8,17.7,16.6,18.0115,14.8397,0.0106,0.0,12:42:18.487
13,0.0,0.4102,26.9,1.5,0.2429,25.8,17.5,16.8,11.0259,13.4803,0.0008,0.0,12:42:19.808
14,0.0,0.4297,26.9,1.5,0.2014,25.8,18.2,16.8,3.7382,4.2291,0.0016,0.0,12:42:21.113
15,0.0,0.4346,25.4,1.5,0.2222,25.8,18.6,16.3,1.095,1.2461,0.0003,0.0,12:42:22.429
16,0.0,0.3699,25.4,1.5,0.2783,25.8,18.2,16.1,0.944,0.4531,0.001,0.0,12:42:23.757
17,0.0,0.1917,25.4,1.5,0.1685,25.8,18.8,17.0,0.8685,0.3776,0.0028,0.0,12:42:25.077
18,0.0,0.2149,25.5,1.5,0.2161,27.3,18.6,17.3,1.7747,2.0768,59.9424,53.7358,12:42:26.403
19,0.0,0.2307,25.4,1.5,0.2686,27.3,19.1,17.0,2.832,2.4922,60.2432,59.7942,12:42:27.740
20,0.0,0.221,25.4,1.5,0.2075,25.8,18.8,16.3,1.5859,1.3971,59.9613,59.8644,12:42:29.053
21,0.0,0.2197,25.5,1.5,0.2258,25.8,18.8,17.5,1.6992,1.4349,60.5254,59.9757,12:42:30.397
22,0.0,0.2344,25.4,1.5,0.2234,27.3,18.8,17.0,1.888,2.0768,60.4912,59.938,12:42:31.744
23,0.0,0.459,25.4,1.5,0.2539,27.3,19.1,17.0,1.9635,1.7747,59.9706,59.9372,12:42:33.086
24,0.0,0.3381,25.4,1.5,0.2271,25.8,19.1,17.5,2.7565,1.6237,60.968,59.96,12:42:34.401
25,0.0,0.3931,25.4,1.5,0.2319,27.3,19.5,17.5,2.3034,1.9258,59.8494,60.0363,12:42:35.732
26,0.0,0.4346,25.4,1.5,0.2039,25.9,18.6,17.3,1.737,1.3216,60.0337,59.8361,12:42:37.050
27,0.0,0.387,25.4,1.5,0.2454,27.3,19.3,17.5,1.8125,1.9635,59.6747,59.9097,12:42:38.343
28,0.0,0.3919,25.4,1.5,0.2661,25.8,18.6,17.0,2.681,1.9258,60.0346,60.7126,12:42:39.688
29,0.0,0.4297,26.9,1.5,0.2283,25.8,19.1,16.8,2.7942,2.0013,59.8802,59.983,12:42:41.036
30,0.0,0.3723,25.4,1.5,0.2808,25.8,19.1,17.3,1.7747,2.1523,60.2022,59.9772,12:42:42.353
