Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.45,26.1,1.5,0.26,24.2,23.6,21.8,2.64,1.7,59.98,59.68,13:24:32.440
2,0.0,0.45,24.6,1.5,0.28,25.6,23.2,21.3,1.81,2.08,59.77,60.27,13:24:34.030
3,0.0,0.42,24.6,1.5,0.19,24.2,23.2,21.6,2.3,3.13,60.02,59.99,13:24:35.234
4,0.0,0.44,26.1,1.5,0.28,24.2,23.2,21.3,2.15,2.42,59.79,59.77,13:24:36.444
5,0.0,0.38,26.1,1.5,0.19,24.2,23.8,20.9,2.3,1.66,60.03,59.64,13:24:37.651
6,0.0,0.45,24.7,1.5,0.25,25.7,23.8,21.6,2.3,2.49,59.9,59.97,13:24:38.855
7,0.0,0.44,24.7,1.5,0.26,24.2,23.8,21.3,2.34,1.93,60.65,60.01,13:24:40.062
8,0.0,0.44,26.1,1.5,0.24,24.2,23.8,21.8,2.49,1.96,60.4,60.61,13:24:41.271
9,0.0,0.49,24.7,1.5,0.22,25.6,23.8,21.6,2.76,2.68,60.03,60.08,13:24:42.463
10,0.0,0.47,24.7,1.5,0.29,24.2,23.4,22.3,1.7,2.08,59.1,59.99,13:24:43.670
11,0.0,0.49,24.7,1.5,0.31,25.6,23.4,21.8,2.3,2.23,59.99,60.04,13:24:44.866
12,0.0,0.47,24.7,1.5,0.3,24.2,23.6,21.6,2.34,1.89,60.04,59.9,13:24:46.120
13,0.0,0.49,26.1,1.5,0.28,24.2,24.3,21.8,2.42,2.3,59.89,60.03,13:24:47.326
14,0.0,0.45,26.1,1.5,0.24,24.1,23.6,21.8,1.74,1.66,59.9,60.59,13:24:48.548
15,0.0,0.44,24.7,1.5,0.26,24.2,24.1,21.6,1.89,2.15,59.66,59.84,13:24:49.754
16,0.0,0.39,24.7,1.5,0.26,25.6,23.8,21.8,2.38,2.72,59.82,61.01,13:24:50.960
17,0.0,0.44,24.7,1.5,0.27,24.2,23.6,21.3,1.77,2.08,59.85,59.95,13:24:52.168
18,0.0,0.43,26.1,1.5,0.27,24.2,23.4,21.3,2.49,2.19,60.01,61.1,13:24:53.376
19,0.0,0.47,26.2,1.5,0.35,24.2,24.3,21.8,2.42,2.42,60.35,60.0,13:24:54.578
20,0.0,0.48,24.7,1.5,0.27,25.7,23.8,21.8,2.15,1.93,60.23,59.89,13:24:55.791
21,0.0,0.44,24.7,1.5,0.28,25.6,23.4,22.5,2.19,3.78,60.09,59.22,13:24:56.996
22,0.0,0.49,24.7,1.5,0.24,24.2,23.6,21.3,2.45,2.87,59.92,60.4,13:24:58.231
23,0.0,0.42,26.2,1.5,0.26,24.2,23.8,22.0,2.57,2.34,59.94,60.33,13:24:59.415
24,0.0,0.48,24.7,1.5,0.24,25.7,23.4,21.3,3.1,2.27,59.96,60.01,13:25:00.613
25,0.0,0.47,24.7,1.5,0.27,24.2,23.6,21.6,2.61,2.64,59.6,59.9,13:25:01.830
26,0.0,0.47,24.7,1.5,0.27,24.2,23.8,21.3,0.98,1.51,20.43,20.43,13:25:03.037
27,0.0,0.45,26.2,1.5,0.32,24.2,23.8,21.8,0.94,2.34,20.45,20.33,13:25:04.248
28,0.0,0.46,24.7,1.5,0.31,24.2,23.8,21.6,1.85,1.59,20.22,20.38,13:25:05.452
29,0.0,0.45,24.7,1.5,0.27,24.2,23.4,21.3,0.94,1.85,20.41,20.42,13:25:06.640
30,0.0,0.4,24.7,1.5,0.24,24.2,23.6,21.8,1.21,1.77,20.94,20.43,13:25:07.849
31,0.0,0.48,24.7,1.5,0.26,24.2,23.4,21.8,1.85,1.43,20.46,20.47,13:25:09.054
32,0.0,0.46,24.7,1.5,0.25,25.7,23.8,21.6,2.76,1.62,20.43,20.41,13:25:10.261
33,0.0,0.46,24.7,1.5,0.25,24.2,23.8,22.3,1.66,1.51,20.45,20.32,13:25:11.467
34,0.0,0.52,24.8,1.5,0.26,24.2,24.1,21.6,1.55,2.0,20.72,20.45,13:25:12.675
35,0.0,0.46,26.2,1.5,0.27,24.2,23.4,21.8,1.43,1.89,20.38,20.39,13:25:13.888
36,0.0,0.45,24.7,1.5,0.26,25.7,23.6,21.8,1.85,1.47,20.5,20.46,13:25:15.103
37,0.0,0.43,24.8,1.5,0.2,24.2,24.1,21.6,1.96,1.66,20.73,20.59,13:25:16.304
38,0.0,0.48,26.2,1.5,0.32,24.2,23.8,21.6,2.38,1.7,20.39,20.46,13:25:17.506
39,0.0,0.44,24.7,1.5,0.26,25.7,23.6,21.8,2.04,1.59,20.09,20.05,13:25:18.702
40,0.0,0.5,24.8,1.5,0.31,24.2,23.8,21.6,1.25,2.91,20.43,20.38,13:25:19.891
41,0.0,0.47,26.2,1.5,0.23,24.2,23.8,21.8,1.89,1.43,20.44,20.48,13:25:21.092
42,0.0,0.46,26.2,1.5,0.25,24.2,23.6,22.0,2.79,1.89,31.39,20.75,13:25:22.299
43,0.0,0.45,24.8,1.5,0.26,25.7,23.4,21.8,2.23,2.11,39.5,39.88,13:25:23.512
44,0.0,0.47,24.8,1.5,0.28,24.2,23.6,21.3,1.47,2.49,39.65,40.03,13:25:24.735
45,0.0,0.44,24.8,1.5,0.3,24.2,24.1,22.3,2.38,2.11,39.5,39.23,13:25:25.948
46,0.0,0.45,24.8,1.5,0.22,24.2,23.8,21.8,2.15,1.43,39.63,39.61,13:25:27.158
47,0.0,0.43,26.2,1.5,0.31,24.2,23.8,21.8,2.38,1.62,39.55,39.62,13:25:28.373
48,0.0,0.46,24.8,1.5,0.29,24.2,23.6,22.3,2.3,2.19,39.6,39.51,13:25:29.584
