Log,ac_flowrate,cp_pressure,mixer_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,cp_temperature_fresh,mixer_speed_M2,mixer_torque_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,cp_temperature,mixer_speed_M1,Time
53,142.0,0.649,0.269,3.0,24.8,23.1,120.383,2.832,29.5,27.0,3.776,20.5,120.383,12:05:15.979
54,142.0,0.673,0.293,3.0,26.9,21.7,119.908,5.513,29.5,26.8,2.53,21.9,119.908,12:05:17.084
55,142.0,0.676,0.27,3.0,24.9,23.1,119.112,5.135,29.8,26.6,4.456,20.5,119.112,12:05:18.190
56,142.0,0.645,0.283,3.0,24.9,21.7,119.817,4.116,30.2,26.8,3.587,21.9,119.817,12:05:19.293
57,142.0,0.634,0.313,3.0,27.0,21.7,119.888,4.003,30.0,26.6,3.889,20.5,119.888,12:05:20.405
58,142.0,0.656,0.26,3.0,25.0,21.7,120.041,3.512,29.8,26.8,2.605,20.5,120.041,12:05:21.505
59,142.0,0.663,0.286,3.0,27.1,21.7,119.901,3.965,30.0,26.6,3.059,21.9,119.901,12:05:22.606
60,142.0,0.679,0.255,3.0,25.0,23.1,119.509,4.38,29.8,27.3,4.871,20.5,119.509,12:05:23.713
61,142.0,0.646,0.3,3.0,25.1,21.7,120.048,4.569,30.0,26.6,3.361,21.9,120.048,12:05:24.817
62,142.0,0.648,0.291,3.0,25.1,23.2,119.8,3.587,29.8,26.6,3.663,20.5,119.8,12:05:25.920
63,142.0,0.625,0.265,3.0,25.1,21.7,119.85,3.361,30.4,26.6,3.625,20.5,119.85,12:05:27.027
64,142.0,0.631,0.304,3.0,27.2,21.7,119.611,4.871,30.0,27.0,3.285,21.9,119.611,12:05:28.136
65,142.0,0.651,0.289,3.0,25.1,21.7,120.012,3.625,30.0,26.3,4.116,20.5,120.012,12:05:29.234
66,142.0,0.674,0.266,3.0,25.2,21.7,120.141,4.833,30.0,26.6,3.172,21.9,120.141,12:05:30.342
67,142.0,0.634,0.265,3.0,25.2,23.1,118.913,3.927,30.0,27.0,3.965,20.5,118.913,12:05:31.446
68,142.0,0.629,0.284,3.0,25.2,21.7,119.952,3.247,29.8,26.3,3.172,22.0,119.952,12:05:32.555
69,142.0,0.646,0.251,3.0,27.3,21.7,119.509,3.852,30.0,26.6,3.361,20.5,119.509,12:05:33.658
70,142.0,0.612,0.288,3.0,25.2,21.7,122.471,3.965,30.0,26.6,2.832,20.5,122.471,12:05:34.767
71,142.0,0.641,0.275,3.0,25.2,21.7,119.897,4.04,30.2,27.0,3.096,22.0,119.897,12:05:35.865
72,142.0,0.679,0.284,3.0,25.2,23.1,120.59,3.474,30.0,27.0,4.569,20.5,120.59,12:05:36.975
73,142.0,0.621,0.266,3.0,25.2,21.7,120.4,4.833,30.0,26.6,2.794,22.0,120.4,12:05:38.075
74,142.0,0.629,0.278,3.0,27.3,23.2,119.291,3.889,29.8,26.6,3.965,20.5,119.291,12:05:39.182
75,142.0,0.64,0.269,3.0,25.2,21.7,120.406,4.154,30.4,27.5,4.04,20.5,120.406,12:05:40.290
76,142.0,0.608,0.269,3.0,25.2,21.7,119.965,4.267,29.8,27.0,3.134,20.5,119.965,12:05:41.394
77,142.0,0.673,0.271,3.0,25.2,21.7,120.483,2.756,29.8,26.6,3.776,20.6,120.483,12:05:42.493
78,142.0,0.654,0.271,3.0,25.2,21.7,120.031,4.078,30.0,26.3,3.587,22.0,120.031,12:05:43.595
79,142.0,0.626,0.305,3.0,27.3,23.1,117.739,4.531,30.0,26.8,6.079,20.6,117.739,12:05:44.703
80,142.0,0.674,0.295,3.0,25.2,21.7,119.65,3.512,30.2,26.8,3.247,22.0,119.65,12:05:45.811
81,142.0,0.638,0.293,3.0,25.2,21.7,119.859,3.361,30.2,26.8,3.776,20.6,119.859,12:05:46.922
82,142.0,0.603,0.304,3.0,27.3,23.1,119.579,3.323,29.8,26.6,3.285,20.6,119.579,12:05:48.055
83,142.0,0.653,0.27,3.0,25.2,21.7,119.196,4.229,30.4,26.6,3.852,20.6,119.196,12:05:49.157
84,142.0,0.659,0.273,3.0,25.2,21.7,120.983,4.003,30.4,27.0,3.21,20.6,120.983,12:05:50.262
85,142.0,0.607,0.271,3.0,27.3,23.1,120.105,3.361,30.2,26.3,3.323,20.6,120.105,12:05:51.369
86,142.0,0.645,0.289,3.0,25.2,21.7,120.729,3.059,30.0,26.8,3.889,20.6,120.729,12:05:52.490
87,142.0,0.649,0.273,3.0,25.2,21.7,120.201,5.928,29.8,27.3,3.096,20.6,120.201,12:05:53.592
88,142.0,0.687,0.299,3.0,27.3,21.7,118.888,4.607,30.2,27.0,4.191,20.6,118.888,12:05:54.694
89,142.0,0.654,0.28,3.0,25.2,21.7,119.705,3.587,30.2,27.0,3.625,22.0,119.705,12:05:55.804
90,142.0,0.64,0.28,3.0,27.2,23.2,120.236,4.305,29.8,26.8,3.436,20.6,120.236,12:05:56.911
91,142.0,0.607,0.281,3.0,25.2,21.7,119.994,3.927,30.0,27.5,3.738,22.1,119.994,12:05:58.017
92,142.0,0.649,0.259,3.0,25.2,21.7,119.926,3.512,30.2,26.6,2.568,20.6,119.926,12:05:59.123
93,142.0,0.645,0.266,3.0,25.2,21.7,120.599,4.833,30.2,26.6,3.738,20.6,120.599,12:06:00.225
94,142.0,0.656,0.286,3.0,25.1,21.7,120.206,5.928,30.2,27.3,3.059,20.6,120.206,12:06:01.326
95,142.0,0.64,0.283,3.0,25.1,23.1,119.623,3.776,30.2,26.6,3.361,20.6,119.623,12:06:02.435
96,142.0,0.619,0.289,3.0,25.1,21.7,120.097,3.512,30.0,27.0,2.908,22.1,120.097,12:06:03.548
97,142.0,0.63,0.26,3.0,25.1,21.7,119.599,4.305,30.4,27.7,2.945,20.7,119.599,12:06:04.652
98,142.0,0.643,0.283,3.0,27.1,21.7,120.148,4.493,30.0,26.6,2.756,20.7,120.148,12:06:05.759
99,142.0,0.588,0.288,3.0,25.1,21.7,119.992,3.776,30.4,27.7,2.832,22.1,119.992,12:06:06.868
100,142.0,0.651,0.265,3.0,25.1,23.2,120.403,3.172,30.0,26.8,4.682,20.7,120.403,12:06:07.975
101,142.0,0.671,0.28,3.0,27.1,21.7,121.547,4.758,30.0,27.0,2.756,22.1,121.547,12:06:09.081
102,142.0,0.613,0.278,3.0,25.0,21.7,119.81,5.324,30.0,27.7,3.436,20.7,119.81,12:06:10.193
103,142.0,0.62,0.281,3.0,25.0,21.7,119.804,3.625,30.4,27.3,3.059,20.7,119.804,12:06:11.297
104,142.0,0.612,0.298,3.0,25.0,21.7,119.532,4.267,30.0,27.5,3.398,22.1,119.532,12:06:12.404
105,142.0,0.629,0.261,3.0,25.0,21.7,120.028,3.512,30.2,26.8,3.134,20.7,120.028,12:06:13.504
106,142.0,0.654,0.276,3.0,27.0,21.7,120.024,3.7,30.2,27.3,2.832,22.1,120.024,12:06:14.607
107,142.0,0.625,0.275,3.0,24.9,23.2,120.944,4.531,30.4,27.0,3.927,20.7,120.944,12:06:15.711
108,142.0,0.607,0.254,3.0,27.0,21.7,120.058,4.493,30.4,26.8,3.172,20.7,120.058,12:06:16.815
109,142.0,0.624,0.313,3.0,24.9,21.7,119.709,3.7,30.0,27.3,3.965,20.7,119.709,12:06:17.921
110,142.0,0.621,0.275,3.0,24.9,23.2,119.89,3.512,30.2,26.6,3.549,20.7,119.89,12:06:19.025
111,142.0,0.653,0.278,3.0,24.8,21.7,119.985,4.116,30.4,27.0,3.021,22.1,119.985,12:06:20.132
112,142.0,0.651,0.276,3.0,24.8,23.2,120.953,3.625,30.2,27.0,4.04,20.7,120.953,12:06:21.234
113,142.0,0.645,0.283,3.0,26.9,21.7,120.582,4.682,30.4,27.0,3.172,22.1,120.582,12:06:22.332
114,142.0,0.634,0.295,3.0,24.8,21.7,119.665,4.003,30.2,27.0,3.096,20.7,119.665,12:06:23.439
115,142.0,0.648,0.281,3.0,26.9,21.7,120.045,3.663,30.4,26.8,3.7,20.7,120.045,12:06:24.544
116,142.0,0.636,0.278,3.0,24.7,21.7,119.99,4.229,30.2,27.3,3.172,20.7,119.99,12:06:25.651
117,142.0,0.636,0.298,3.0,24.7,23.2,120.316,4.493,30.4,26.8,2.945,20.8,120.316,12:06:26.758
118,142.0,0.638,0.281,3.0,26.8,21.7,120.038,3.625,30.4,27.5,2.719,22.2,120.038,12:06:27.866
119,142.0,0.621,0.289,3.0,24.7,21.7,120.762,3.323,30.4,27.3,3.965,20.8,120.762,12:06:28.975
120,142.0,0.608,0.276,3.0,24.7,23.2,120.185,4.833,30.2,27.0,4.04,20.7,120.185,12:06:30.099
121,142.0,0.634,0.283,3.0,26.7,21.7,119.088,5.211,30.2,27.7,4.644,22.2,119.088,12:06:31.196
122,142.0,0.591,0.3,3.0,24.6,23.2,119.9,4.078,30.4,27.0,4.644,20.8,119.9,12:06:32.300
123,142.0,0.64,0.275,3.0,24.6,21.7,119.891,3.889,30.4,27.5,3.965,20.8,119.891,12:06:33.409
124,142.0,0.659,0.278,3.0,26.7,21.7,120.096,3.587,30.2,27.0,3.512,22.2,120.096,12:06:34.526
125,142.0,0.607,0.278,3.0,24.6,23.2,119.903,4.531,30.4,27.0,2.756,20.8,119.903,12:06:35.624
126,142.0,0.634,0.275,3.0,26.6,21.7,120.307,4.116,30.7,27.0,3.663,22.2,120.307,12:06:36.728
127,142.0,0.608,0.289,3.0,24.5,21.7,120.186,4.984,30.4,27.7,2.794,20.8,120.186,12:06:37.827
128,142.0,0.603,0.278,3.0,24.5,21.7,119.808,4.569,30.9,27.5,4.003,20.8,119.808,12:06:38.928
129,142.0,0.649,0.283,3.0,24.5,21.7,120.0,3.549,30.7,27.0,3.776,20.8,120.0,12:06:40.042
130,142.0,0.64,0.275,3.0,24.4,21.7,119.865,4.72,30.7,27.0,3.21,20.8,119.865,12:06:41.144
131,142.0,0.579,0.283,3.0,26.5,21.7,120.968,4.342,30.7,27.0,3.285,22.2,120.968,12:06:42.258
132,142.0,0.624,0.288,3.0,24.4,21.7,119.986,4.342,30.4,27.0,3.21,20.8,119.986,12:06:43.368
133,142.0,0.619,0.273,3.0,24.4,21.7,120.554,3.625,30.4,27.3,3.965,20.8,120.554,12:06:44.475
134,142.0,0.592,0.28,3.0,26.5,21.7,120.114,5.362,30.4,27.3,3.172,22.2,120.114,12:06:45.582
135,142.0,0.658,0.294,3.0,24.4,23.2,119.31,5.098,30.4,27.5,4.003,20.8,119.31,12:06:46.684
136,142.0,0.624,0.288,3.0,24.3,21.7,119.847,4.078,30.4,27.0,3.549,20.8,119.847,12:06:47.806
137,142.0,0.597,0.284,3.0,26.4,21.7,119.85,3.852,30.4,27.7,3.776,20.8,119.85,12:06:48.911
138,142.0,0.641,0.273,3.0,24.3,21.7,120.218,3.436,30.4,27.5,3.247,20.8,120.218,12:06:50.036
139,142.0,0.591,0.299,3.0,24.3,21.7,119.584,4.833,30.7,27.0,3.738,20.8,119.584,12:06:51.155
140,142.0,0.631,0.284,3.0,26.3,21.7,120.352,4.267,30.2,27.7,3.436,22.3,120.352,12:06:52.255
141,142.0,0.621,0.284,3.0,24.2,23.2,119.921,3.889,31.1,27.3,2.87,20.8,119.921,12:06:53.374
142,142.0,0.629,0.281,3.0,24.2,21.7,120.187,2.908,30.2,27.7,3.965,20.9,120.187,12:06:54.480
143,142.0,0.63,0.271,3.0,26.3,21.7,119.943,5.966,30.7,27.3,3.134,20.8,119.943,12:06:55.581
144,142.0,0.613,0.275,3.0,24.2,21.7,119.588,4.796,30.7,27.3,3.776,20.9,119.588,12:06:56.678
145,142.0,0.601,0.269,3.0,26.2,21.7,119.848,4.644,31.1,27.7,4.456,20.9,119.848,12:06:57.784
146,142.0,0.651,0.293,3.0,24.1,23.2,119.781,4.342,30.7,27.3,3.512,20.9,119.781,12:06:58.906
147,142.0,0.629,0.275,3.0,24.1,21.7,120.991,3.587,30.4,27.0,3.398,20.9,120.991,12:07:00.011
148,142.0,0.601,0.264,3.0,24.1,21.7,119.559,4.116,31.1,27.5,2.832,22.3,119.559,12:07:01.124
149,142.0,0.603,0.275,3.0,24.1,23.2,121.615,3.738,30.9,27.0,3.889,20.9,121.615,12:07:02.231
150,142.0,0.605,0.295,3.0,24.1,21.7,120.404,4.078,30.9,27.0,3.247,20.9,120.404,12:07:03.336
151,142.0,0.625,0.281,3.0,26.1,21.7,119.695,4.229,30.9,27.0,2.945,20.9,119.695,12:07:04.444
152,142.0,0.631,0.28,3.0,24.0,21.7,119.997,3.549,30.4,27.7,3.927,20.9,119.997,12:07:05.549
153,142.0,0.659,0.255,3.0,24.0,21.7,119.677,3.889,30.2,26.8,3.852,22.3,119.677,12:07:06.670
154,142.0,0.593,0.28,3.0,26.0,23.2,120.068,5.06,30.4,27.5,3.21,20.9,120.068,12:07:07.774
155,142.0,0.597,0.28,3.0,24.0,21.7,120.218,5.437,30.4,27.5,3.021,20.9,120.218,12:07:08.879
156,142.0,0.602,0.281,3.0,23.9,21.7,120.732,3.172,30.4,27.5,3.625,22.4,120.732,12:07:10.002
157,142.0,0.587,0.28,3.0,26.0,23.2,120.166,4.493,30.7,27.5,3.398,20.9,120.166,12:07:11.103
158,142.0,0.625,0.271,3.0,23.9,21.7,119.919,4.909,30.7,26.8,4.229,20.9,119.919,12:07:12.206
159,142.0,0.612,0.304,3.0,23.9,21.7,119.968,4.607,30.7,27.5,3.927,20.9,119.968,12:07:13.325
160,142.0,0.577,0.27,3.0,25.9,23.2,119.848,3.549,30.9,27.0,3.361,20.9,119.848,12:07:14.432
161,142.0,0.616,0.286,3.0,23.9,21.7,120.734,3.398,31.1,27.3,3.323,22.4,120.734,12:07:15.543
162,142.0,0.615,0.271,3.0,23.8,21.7,119.808,5.324,30.4,27.7,3.172,21.0,119.808,12:07:16.649
163,142.0,0.597,0.284,3.0,23.8,21.7,120.026,3.889,30.4,26.8,3.474,20.9,120.026,12:07:17.755
164,142.0,0.635,0.288,3.0,23.8,21.7,120.142,4.38,31.1,27.3,3.323,22.4,120.142,12:07:18.870
165,142.0,0.615,0.3,3.0,23.8,21.8,121.29,2.983,30.4,27.7,3.398,20.9,121.29,12:07:19.977
166,142.0,0.615,0.271,3.0,23.8,21.8,121.157,5.211,31.4,27.3,2.568,21.0,121.157,12:07:21.076
167,142.0,0.621,0.276,3.0,23.8,21.8,119.428,4.418,30.4,27.0,4.456,22.4,119.428,12:07:22.204
168,142.0,0.597,0.27,3.0,23.7,21.7,119.969,4.607,30.4,27.9,3.398,21.0,119.969,12:07:23.322
169,142.0,0.624,0.284,3.0,25.8,23.2,119.833,3.965,30.7,27.7,2.87,21.0,119.833,12:07:24.442
170,142.0,0.593,0.286,3.0,23.7,21.7,119.702,3.625,30.7,27.5,3.927,22.4,119.702,12:07:25.543
171,142.0,0.588,0.28,3.0,23.7,21.7,119.459,4.38,30.7,28.2,3.21,21.0,119.459,12:07:26.660
172,142.0,0.582,0.288,3.0,25.8,21.8,120.098,4.456,31.1,27.3,3.247,21.0,120.098,12:07:27.769
173,142.0,0.613,0.276,3.0,23.7,21.8,119.989,4.229,30.4,26.8,3.474,22.4,119.989,12:07:28.872
174,142.0,0.591,0.281,3.0,23.7,23.2,120.499,3.21,30.4,27.7,4.116,21.0,120.499,12:07:29.976
175,142.0,0.63,0.28,3.0,23.6,21.7,120.052,4.191,31.1,27.3,2.719,21.0,120.052,12:07:31.093
176,142.0,0.607,0.269,3.0,23.6,21.8,119.158,4.72,30.9,27.3,4.342,21.0,119.158,12:07:32.198
177,142.0,0.62,0.281,3.0,25.7,21.8,119.898,4.267,30.4,27.7,3.852,21.0,119.898,12:07:33.295
178,142.0,0.624,0.28,3.0,23.6,21.8,119.767,4.191,31.1,27.0,3.247,22.4,119.767,12:07:34.401
179,142.0,0.602,0.281,3.0,23.6,21.8,120.154,3.587,30.7,27.7,3.398,21.0,120.154,12:07:35.521
180,142.0,0.603,0.289,3.0,25.7,23.2,119.852,4.078,31.1,27.3,2.945,21.0,119.852,12:07:36.644
181,142.0,0.616,0.283,3.0,25.6,21.8,120.376,4.116,30.7,27.5,3.21,21.0,120.376,12:07:37.767
182,142.0,0.629,0.284,3.0,23.6,21.8,119.877,4.569,30.7,27.5,2.908,22.5,119.877,12:07:38.885
183,142.0,0.602,0.248,3.0,23.5,23.2,119.961,2.908,30.9,27.3,3.512,21.0,119.961,12:07:39.984
184,142.0,0.592,0.299,3.0,25.6,21.8,119.599,3.889,30.9,27.0,3.738,21.0,119.599,12:07:41.106
185,142.0,0.601,0.259,3.0,25.6,21.8,119.979,3.7,31.4,27.3,4.267,22.5,119.979,12:07:42.233
186,142.0,0.564,0.269,3.0,23.5,23.2,119.966,6.344,30.9,27.0,3.474,21.0,119.966,12:07:43.332
187,142.0,0.61,0.291,3.0,23.5,23.2,120.148,3.965,30.9,27.5,3.965,21.0,120.148,12:07:44.456
188,142.0,0.593,0.275,3.0,25.6,21.8,120.126,5.626,31.1,27.5,2.605,21.1,120.126,12:07:45.577
189,142.0,0.592,0.275,3.0,23.5,21.8,118.556,4.078,30.4,27.5,5.211,22.5,118.556,12:07:46.699
190,142.0,0.626,0.298,3.0,23.5,23.2,119.707,3.738,30.7,27.0,3.776,21.1,119.707,12:07:47.802
191,142.0,0.582,0.283,3.0,23.4,21.8,119.795,3.663,31.1,27.3,4.003,21.1,119.795,12:07:48.928
192,142.0,0.592,0.273,3.0,23.4,21.8,120.171,3.474,30.7,27.0,3.172,21.1,120.171,12:07:50.025
193,142.0,0.61,0.271,3.0,23.4,23.2,120.027,4.003,30.7,27.7,2.794,21.1,120.027,12:07:51.132
194,142.0,0.598,0.3,3.0,23.4,21.8,120.594,4.191,30.7,27.3,3.474,21.1,120.594,12:07:52.255
195,142.0,0.581,0.278,3.0,23.4,21.8,120.106,4.191,30.4,28.2,3.436,21.1,120.106,12:07:53.358
196,142.0,0.597,0.288,3.0,23.4,23.2,120.081,3.889,31.1,27.3,4.04,21.1,120.081,12:07:54.464
197,142.0,0.587,0.278,3.0,25.5,21.8,120.701,5.664,30.9,27.5,2.983,22.5,120.701,12:07:55.568
198,142.0,0.629,0.276,3.0,23.4,23.2,119.371,4.493,30.7,28.2,4.267,21.1,119.371,12:07:56.671
199,142.0,0.596,0.281,3.0,23.4,21.8,119.683,4.456,31.1,27.7,3.965,21.1,119.683,12:07:57.792
200,142.0,0.62,0.284,3.0,25.4,21.8,119.861,4.456,31.1,27.5,3.398,22.5,119.861,12:07:58.910
201,142.0,0.613,0.278,3.0,23.4,21.8,120.002,3.587,30.9,27.7,3.436,21.1,120.002,12:08:00.030
202,142.0,0.626,0.264,3.0,23.4,23.2,119.787,4.191,30.9,27.7,2.794,21.1,119.787,12:08:01.137
203,142.0,0.602,0.281,3.0,25.4,21.8,121.49,4.267,31.1,27.7,3.398,22.6,121.49,12:08:02.250
204,142.0,0.62,0.289,3.0,25.4,21.8,120.155,4.305,30.7,27.9,2.832,22.5,120.155,12:08:03.377
205,142.0,0.631,0.266,3.0,23.3,21.8,120.538,2.832,30.7,27.7,3.285,21.1,120.538,12:08:04.497
206,142.0,0.553,0.284,3.0,23.3,21.8,119.835,4.38,30.9,28.2,2.417,21.1,119.835,12:08:05.624
207,142.0,0.605,0.284,3.0,23.3,23.2,120.633,4.003,30.9,28.2,3.398,21.1,120.633,12:08:06.749
208,142.0,0.576,0.273,3.0,25.4,21.8,119.997,3.625,31.4,27.7,3.663,21.1,119.997,12:08:07.870
209,142.0,0.564,0.26,3.0,25.4,21.8,120.502,3.549,30.4,28.2,3.323,22.6,120.502,12:08:08.992
210,142.0,0.615,0.27,3.0,23.3,21.8,120.176,3.738,31.1,27.7,3.285,21.2,120.176,12:08:10.114
211,142.0,0.565,0.303,3.0,23.3,23.3,119.597,4.04,31.1,27.7,4.267,21.1,119.597,12:08:11.235
212,142.0,0.596,0.291,3.0,23.3,21.8,119.933,3.587,31.6,27.9,3.549,21.2,119.933,12:08:12.357
213,142.0,0.61,0.286,3.0,25.3,21.8,119.341,4.38,31.1,27.7,4.003,21.1,119.341,12:08:13.465
214,142.0,0.584,0.271,3.0,23.3,21.8,120.057,4.569,30.7,27.3,3.323,21.1,120.057,12:08:14.587
215,142.0,0.625,0.283,3.0,23.2,23.3,120.043,4.456,30.7,27.7,3.549,21.2,120.043,12:08:15.699
216,142.0,0.597,0.293,3.0,23.2,21.8,119.951,5.475,30.9,27.7,2.983,22.6,119.951,12:08:16.816
217,142.0,0.61,0.27,3.0,23.2,21.8,119.958,4.003,31.4,28.2,3.549,21.2,119.958,12:08:17.931
218,142.0,0.605,0.261,3.0,23.2,23.3,119.744,3.172,31.1,27.3,3.776,21.2,119.744,12:08:19.053
219,142.0,0.619,0.236,3.0,23.2,21.8,119.638,4.191,30.9,27.7,3.625,21.2,119.638,12:08:20.177
220,142.0,0.577,0.28,3.0,23.2,21.8,119.852,3.474,31.4,27.7,3.474,22.6,119.852,12:08:21.295
221,142.0,0.62,0.289,3.0,25.3,21.8,119.81,3.738,31.1,27.3,3.512,22.6,119.81,12:08:22.416
