Log,ac_flowrate,cp_pressure,mixer_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,cp_temperature_fresh,mixer_speed_M2,mixer_torque_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,cp_temperature,mixer_speed_M1,Time
1,142.0,0.846,0.31,3.0,20.7,21.7,120.778,2.945,28.8,26.1,3.7,20.3,120.778,12:04:18.474
2,142.0,0.869,0.278,3.0,20.8,21.7,120.512,4.607,29.1,26.6,3.096,21.8,120.512,12:04:19.575
3,142.0,0.844,0.309,3.0,22.9,21.7,119.342,4.909,29.1,26.3,3.625,20.3,119.342,12:04:20.678
4,142.0,0.802,0.291,3.0,20.9,21.7,119.914,4.04,29.3,25.4,3.7,20.3,119.914,12:04:21.794
5,142.0,0.822,0.304,3.0,21.0,21.7,119.904,3.927,29.3,25.9,3.096,20.3,119.904,12:04:22.893
6,142.0,0.807,0.289,3.0,23.2,23.1,121.508,3.021,29.3,26.6,3.738,20.3,121.508,12:04:24.000
7,142.0,0.782,0.313,3.0,21.2,21.7,119.785,4.342,28.8,25.7,3.436,20.3,119.785,12:04:25.116
8,142.0,0.804,0.284,3.0,21.3,21.7,120.895,3.814,29.3,26.8,3.587,20.3,120.895,12:04:26.224
9,142.0,0.698,0.305,3.0,21.4,23.1,120.406,4.984,29.5,25.4,3.512,20.4,120.406,12:04:27.330
10,142.0,0.757,0.298,3.0,21.5,21.7,119.612,3.549,29.8,25.4,3.398,21.8,119.612,12:04:28.434
11,142.0,0.754,0.295,3.0,23.7,23.1,120.08,3.134,29.5,26.3,3.625,20.3,120.08,12:04:29.546
12,142.0,0.686,0.293,3.0,21.7,21.7,119.644,4.38,29.1,25.9,3.247,20.3,119.644,12:04:30.647
13,142.0,0.758,0.293,3.0,21.8,21.7,121.141,3.512,29.5,25.9,3.134,20.3,121.141,12:04:31.756
14,142.0,0.734,0.303,3.0,24.0,23.1,119.979,3.398,29.3,25.9,2.643,20.3,119.979,12:04:32.866
15,142.0,0.664,0.295,3.0,22.0,21.7,120.335,3.512,28.8,26.3,3.7,21.8,120.335,12:04:33.973
16,142.0,0.73,0.309,3.0,24.2,23.1,119.676,4.267,29.5,25.9,3.587,20.3,119.676,12:04:35.071
17,142.0,0.759,0.284,3.0,22.2,21.7,119.169,4.682,29.3,26.6,4.04,20.4,119.169,12:04:36.180
18,142.0,0.709,0.291,3.0,22.3,21.7,119.576,4.04,30.0,26.3,3.738,20.3,119.576,12:04:37.289
19,142.0,0.743,0.294,3.0,24.5,23.1,119.776,4.116,29.3,25.9,3.172,20.4,119.776,12:04:38.399
20,142.0,0.72,0.293,3.0,22.5,21.7,120.909,3.549,29.5,25.9,3.663,21.8,120.909,12:04:39.506
21,142.0,0.687,0.278,3.0,22.6,23.1,119.853,3.625,29.5,26.8,3.323,20.4,119.853,12:04:40.608
22,142.0,0.706,0.283,3.0,22.7,21.7,120.027,4.078,29.8,26.6,3.852,21.8,120.027,12:04:41.710
23,142.0,0.717,0.291,3.0,22.8,21.7,120.099,4.38,30.0,26.8,3.436,20.3,120.099,12:04:42.818
24,142.0,0.72,0.298,3.0,25.0,21.7,119.555,4.154,29.3,26.8,3.398,20.4,119.555,12:04:43.914
25,142.0,0.715,0.293,3.0,23.0,21.7,120.103,2.794,29.5,26.3,3.172,20.4,120.103,12:04:45.011
26,142.0,0.692,0.291,3.0,25.2,21.7,119.993,4.38,29.3,25.9,2.908,20.4,119.993,12:04:46.118
27,142.0,0.63,0.288,3.0,23.2,21.7,121.123,4.418,29.8,26.1,3.889,21.8,121.123,12:04:47.218
28,142.0,0.693,0.295,3.0,23.3,23.1,120.118,5.06,29.1,26.6,2.756,20.4,120.118,12:04:48.326
29,142.0,0.684,0.286,3.0,23.4,21.7,119.88,4.078,29.3,26.8,3.474,21.8,119.88,12:04:49.431
30,142.0,0.658,0.308,3.0,23.4,21.7,120.051,3.247,29.3,26.6,3.587,20.4,120.051,12:04:50.535
31,142.0,0.72,0.293,3.0,25.6,21.7,120.422,4.607,30.0,25.9,2.908,20.4,120.422,12:04:51.640
32,142.0,0.669,0.295,3.0,23.6,21.7,120.535,4.531,29.3,25.9,3.7,21.8,120.535,12:04:52.748
33,142.0,0.664,0.284,3.0,23.7,23.1,120.316,4.04,29.8,26.6,2.945,20.4,120.316,12:04:53.852
34,142.0,0.686,0.295,3.0,23.7,21.7,119.858,4.644,29.3,27.0,5.022,21.8,119.858,12:04:54.957
35,142.0,0.668,0.309,3.0,23.8,23.1,119.772,4.078,30.0,26.8,3.285,20.4,119.772,12:04:56.063
36,142.0,0.656,0.298,3.0,26.0,21.7,119.652,3.663,29.3,27.0,4.003,20.4,119.652,12:04:57.170
37,142.0,0.702,0.299,3.0,24.0,21.7,120.223,4.984,29.8,26.3,3.172,20.4,120.223,12:04:58.270
38,142.0,0.603,0.28,3.0,26.1,21.7,120.25,3.889,29.3,26.3,2.794,20.4,120.25,12:04:59.372
39,142.0,0.641,0.278,3.0,24.1,21.7,120.433,2.945,30.0,26.6,3.625,21.8,120.433,12:05:00.479
40,142.0,0.638,0.256,3.0,24.2,21.7,120.002,3.889,30.0,26.6,3.738,20.4,120.002,12:05:01.600
41,142.0,0.638,0.273,3.0,24.2,21.7,121.14,5.06,29.8,27.5,3.323,20.4,121.14,12:05:02.707
42,142.0,0.643,0.326,3.0,24.3,21.7,119.701,4.003,30.0,26.6,4.078,20.4,119.701,12:05:03.811
43,142.0,0.703,0.309,3.0,24.3,21.7,119.932,3.738,29.8,26.6,3.323,20.4,119.932,12:05:04.914
44,142.0,0.626,0.27,3.0,26.5,21.7,120.064,3.247,29.5,25.9,3.323,21.8,120.064,12:05:06.018
45,142.0,0.658,0.275,3.0,24.5,23.1,119.909,4.833,29.8,27.0,2.53,20.4,119.909,12:05:07.126
46,142.0,0.649,0.291,3.0,26.6,21.7,119.899,3.889,30.0,26.6,4.229,21.8,119.899,12:05:08.233
47,142.0,0.621,0.309,3.0,24.6,21.7,120.511,4.871,29.8,26.6,3.889,20.4,120.511,12:05:09.343
48,142.0,0.681,0.286,3.0,24.6,21.7,119.615,3.549,30.0,26.6,3.398,20.4,119.615,12:05:10.445
49,142.0,0.681,0.316,3.0,26.7,21.7,119.969,3.549,30.0,26.3,4.003,21.9,119.969,12:05:11.557
50,142.0,0.635,0.286,3.0,24.7,23.1,119.641,4.833,30.0,26.6,3.625,20.5,119.641,12:05:12.658
51,142.0,0.676,0.295,3.0,24.7,21.7,120.214,4.191,30.0,26.3,3.247,20.4,120.214,12:05:13.767
52,142.0,0.621,0.275,3.0,24.8,21.7,119.869,3.814,29.8,26.6,2.832,20.5,119.869,12:05:14.872
