Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.4285,25.4,1.5,40.0,25.5,21.6,20.4,2.5299,2.2278,60.3891,59.9615,14:39:00.780
2,0.0,0.4724,25.4,1.5,40.0,25.5,22.0,20.4,2.3411,3.1718,60.1161,60.002,14:39:02.494
3,0.0,0.4163,25.4,1.5,40.0,25.5,21.6,20.0,2.1146,3.0208,59.9625,59.6646,14:39:03.817
4,0.0,0.4334,25.4,1.5,40.0,25.5,21.8,20.0,2.681,2.8698,60.1125,59.6524,14:39:05.152
5,0.0,0.5029,25.4,1.5,40.0,27.0,22.0,20.4,2.1523,1.888,59.8648,59.9705,14:39:06.473
6,0.0,0.4578,25.4,1.5,40.0,25.5,21.6,20.2,2.0768,1.9258,59.7086,59.9926,14:39:07.808
7,0.0,0.4675,25.4,1.5,40.0,25.5,21.6,20.2,2.9453,2.3034,60.533,60.3845,14:39:09.150
8,0.0,0.4395,25.4,1.5,40.0,25.5,21.8,20.7,2.1523,2.6054,59.9485,59.7326,14:39:10.482
9,0.0,0.481,25.5,1.5,40.0,27.0,21.6,20.4,2.1146,2.1523,59.8031,59.4281,14:39:11.818
10,0.0,0.4102,26.9,1.5,40.0,25.5,21.8,20.2,2.1523,2.1523,59.7956,59.5002,14:39:13.161
11,0.0,0.4773,25.5,1.5,40.0,25.5,22.0,19.8,2.681,2.4166,59.9273,59.922,14:39:14.509
12,0.0,0.459,25.5,1.5,40.0,25.5,21.6,20.2,3.2851,2.9075,61.1488,59.9613,14:39:15.849
13,0.0,0.4675,26.9,1.5,40.0,25.5,22.5,20.2,2.1146,1.6614,59.9689,60.4753,14:39:17.199
14,0.0,0.47,25.5,1.5,40.0,25.5,21.8,20.2,2.1146,1.8502,59.6683,59.6991,14:39:18.554
15,0.0,0.4688,25.5,1.5,40.0,27.0,22.0,20.0,2.681,2.2656,59.5238,60.3796,14:39:19.888
16,0.0,0.4456,26.9,1.5,40.0,25.5,21.6,20.4,3.2096,2.1146,58.8722,60.4759,14:39:21.238
17,0.0,0.47,25.5,1.5,40.0,25.5,21.8,20.4,2.8698,2.039,60.0641,59.9221,14:39:22.592
18,0.0,0.4688,26.9,1.5,40.0,27.0,21.6,20.2,2.4544,1.6237,59.8792,59.84,14:39:23.927
19,0.0,0.5054,26.9,1.5,40.0,25.5,21.8,19.8,2.0013,1.8125,60.0866,60.2037,14:39:25.293
20,0.0,0.4736,25.5,1.5,40.0,25.5,21.8,20.4,2.9453,1.9258,60.4305,61.0628,14:39:26.589
21,0.0,0.481,25.5,1.5,40.0,25.5,21.8,20.4,2.6054,1.5482,60.132,59.6503,14:39:27.959
22,0.0,0.4602,25.5,1.5,40.0,27.0,22.3,20.7,2.681,2.0013,59.8411,61.6054,14:39:29.296
23,0.0,0.4297,26.9,1.5,40.0,25.5,22.3,20.4,1.3971,1.1328,31.6532,59.6216,14:39:30.628
24,0.0,0.4407,26.9,1.5,40.0,25.5,22.0,20.0,1.3594,1.0573,20.3842,20.44,14:39:31.971
25,0.0,0.5103,27.0,1.5,40.0,25.5,21.6,20.0,1.7747,1.5859,20.6238,20.2096,14:39:33.287
26,0.0,0.4761,25.5,1.5,40.0,25.5,21.6,20.0,1.0573,1.4349,20.6081,20.4112,14:39:34.599
27,0.0,0.426,25.5,1.5,40.0,27.0,21.6,20.2,2.5677,1.6992,20.2228,20.1398,14:39:35.961
28,0.0,0.4675,25.5,1.5,40.0,27.0,21.8,20.2,1.737,1.5859,20.7275,20.2053,14:39:37.278
29,0.0,0.4761,27.0,1.5,40.0,25.5,21.6,20.0,1.9258,1.8502,20.3203,20.3662,14:39:38.625
30,0.0,0.4736,27.0,1.5,40.0,25.5,21.6,19.8,1.3216,1.5482,20.3218,20.133,14:39:39.947
31,0.0,0.4675,25.5,1.5,40.0,25.5,21.8,20.9,0.9818,1.5104,20.3368,20.3426,14:39:41.291
32,0.0,0.4822,25.5,1.5,40.0,25.5,21.8,20.0,2.681,1.5104,20.4087,20.3355,14:39:42.618
33,0.0,0.4627,27.0,1.5,40.0,25.5,22.0,20.4,1.2083,1.737,20.678,20.014,14:39:43.980
34,0.0,0.4736,27.0,1.5,40.0,25.5,22.3,20.2,1.4726,1.3216,20.4445,20.5117,14:39:45.304
35,0.0,0.4932,27.0,1.5,40.0,25.5,22.3,20.9,1.5482,1.3216,20.3083,19.8434,14:39:46.645
36,0.0,0.4688,27.0,1.5,40.0,25.5,22.3,20.0,1.5104,1.6992,20.3349,20.4157,14:39:48.011
