Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,7.7,6.1,2.039,2.2278,20.2473,20.4313,10:11:46.303
2,8.2,6.1,2.2656,2.0013,20.3731,20.3568,10:11:47.248
3,7.5,5.7,2.3411,2.5299,20.3719,20.242,10:11:48.004
4,7.5,5.7,1.9635,1.4349,20.5088,20.394,10:11:48.761
5,7.7,5.2,2.4544,1.737,20.4007,20.7087,10:11:49.535
6,7.7,5.0,3.0586,2.3411,20.2375,20.2448,10:11:50.307
7,7.5,5.7,2.8698,1.888,20.3961,20.383,10:11:51.064
8,7.5,5.7,1.888,1.8502,20.3655,20.41,10:11:51.827
9,7.7,5.7,1.9635,1.6992,20.4444,20.3373,10:11:52.587
10,7.5,6.1,3.3606,2.5299,20.4154,20.3366,10:11:53.350
11,7.5,5.4,2.3034,1.9258,20.7201,20.3697,10:11:54.108
12,7.3,6.1,2.3034,1.6614,20.638,20.3812,10:11:54.846
13,7.9,5.9,2.3411,2.5677,20.4325,20.2448,10:11:55.604
14,7.3,6.1,2.4544,2.2278,20.2291,20.242,10:11:56.359
15,7.5,5.7,1.8125,2.039,20.1221,20.0987,10:11:57.112
16,8.2,5.4,2.5677,1.6614,20.3416,20.4204,10:11:57.887
17,7.7,5.2,2.039,1.6614,20.8719,20.2258,10:11:58.641
18,7.5,6.1,2.6054,2.3789,20.3615,20.2848,10:11:59.402
19,7.9,5.7,2.5677,1.9635,20.8001,20.5553,10:12:00.165
20,7.9,5.4,2.6054,2.0768,20.3949,20.3435,10:12:00.922
21,7.7,5.4,1.888,2.4544,20.4759,20.2198,10:12:01.679
22,7.3,6.1,2.1523,2.3411,20.2976,20.2901,10:12:02.437
23,7.7,5.7,2.7565,2.2278,20.4614,20.4387,10:12:03.197
24,7.3,6.1,2.3411,2.3411,20.4466,20.5495,10:12:03.964
25,7.7,5.7,2.1901,2.6054,20.2973,20.2828,10:12:04.725
26,7.3,5.9,1.9635,2.0013,20.2322,20.148,10:12:05.489
27,7.7,5.9,2.2278,2.5299,20.5755,20.341,10:12:06.253
28,7.7,5.9,2.2278,1.9258,20.8802,20.1938,10:12:07.012
29,7.5,5.7,2.0768,2.1146,20.3654,20.3476,10:12:07.774
30,7.7,5.7,2.039,2.4544,20.5401,20.3742,10:12:08.538
31,7.5,5.0,2.2278,1.5104,20.4944,20.3162,10:12:09.296
32,7.5,5.7,2.1146,2.3411,20.1261,20.3225,10:12:10.057
33,7.7,5.4,2.0013,2.5299,20.3285,20.7954,10:12:10.834
34,7.3,5.2,2.7565,1.5482,19.9318,20.5409,10:12:11.597
35,7.3,5.9,2.6054,2.3789,20.3407,20.3112,10:12:12.359
36,7.3,6.1,1.888,1.5104,20.3603,20.16,10:12:13.120
37,7.3,5.4,2.4922,2.2278,20.4277,20.4974,10:12:13.879
38,7.9,5.7,2.0013,2.0768,20.826,20.3839,10:12:14.638
39,7.7,5.7,2.8698,1.6614,20.3496,20.2786,10:12:15.399
40,7.7,5.7,2.681,1.9635,20.2248,20.7493,10:12:16.157
41,8.2,5.2,2.039,1.8125,20.4313,20.5154,10:12:16.933
42,7.3,5.4,3.0208,2.681,19.96,19.9511,10:12:17.691
43,7.9,5.2,2.0013,1.5104,20.3196,20.3819,10:12:18.446
44,7.5,6.1,2.3789,2.1523,20.1084,20.4675,10:12:19.207
45,7.3,5.7,2.0013,2.0768,20.4366,20.5916,10:12:19.969
46,7.7,6.3,2.1146,1.9635,20.3376,20.7112,10:12:20.731
47,7.7,5.7,2.681,2.0768,39.6406,39.5853,10:12:21.477
48,7.7,5.4,3.3229,2.6054,39.6571,39.6645,10:12:22.241
49,7.7,6.3,2.3411,2.4922,39.731,39.9297,10:12:23.003
50,7.9,5.7,3.625,2.1523,39.6099,39.3274,10:12:23.766
51,7.7,6.1,2.9453,2.8698,39.5214,39.1792,10:12:24.526
52,7.7,5.2,2.8698,2.1523,39.5662,40.2744,10:12:25.293
53,7.7,5.7,2.9075,2.7565,39.8394,39.5782,10:12:26.056
54,7.7,6.1,4.1914,2.2656,39.9444,39.1617,10:12:26.822
55,7.5,6.1,2.7942,2.4166,39.4465,39.502,10:12:27.602
56,8.2,5.2,3.1718,2.2278,39.4908,39.3626,10:12:28.368
57,7.7,5.7,4.0026,2.7187,39.426,39.6471,10:12:29.131
58,7.7,5.7,2.1901,2.3411,39.6775,39.5211,10:12:29.895
59,7.9,5.7,3.1718,2.7187,39.3805,39.4535,10:12:30.658
60,7.3,5.9,2.7942,3.0208,39.6838,39.6596,10:12:31.421
61,7.5,5.7,2.6432,2.5299,39.6083,39.2327,10:12:32.179
62,7.7,6.3,3.3229,2.4544,40.2701,40.4198,10:12:32.942
63,7.7,5.7,3.2851,2.681,40.263,39.7386,10:12:33.705
64,7.3,5.2,2.7942,2.7942,38.9606,39.9132,10:12:34.484
65,7.3,5.4,3.1341,2.7565,39.6402,39.9727,10:12:35.245
66,7.5,5.7,3.2474,2.681,55.1268,39.9637,10:12:36.008
67,7.7,5.2,3.3606,3.1341,59.8959,60.4821,10:12:36.763
68,7.5,5.4,3.2474,2.7187,59.8673,59.8566,10:12:37.525
69,7.9,5.7,2.4922,2.6432,60.064,60.0323,10:12:38.279
70,7.9,5.9,2.7565,2.5299,59.9456,60.001,10:12:39.042
71,7.7,5.4,2.7187,2.681,60.1778,60.0374,10:12:39.801
72,7.7,5.2,3.2851,3.1341,59.996,60.1481,10:12:40.563
73,7.7,5.7,3.0208,2.3411,60.4347,59.632,10:12:41.321
74,7.9,5.2,4.0026,2.4544,60.159,59.7521,10:12:42.080
