Log,mixer_motor_temperature_M1,cp_flowrate,ac_flowrate,mixer_speed_M2,cp_pressure,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,cp_temperature,mixer_motor_temperature_M2,mixer_torque_M2,mixer_pressure,mixer_torque_M1,mixer_speed_M1,Time
123,19.8,1.5,51.6,120.201,0.772,24.1,23.3,24.3,21.6,3.663,0.305,3.512,120.201,11:50:09.113
124,19.8,1.5,51.6,120.114,0.812,24.1,24.7,24.2,21.3,4.078,0.298,3.549,120.114,11:50:10.220
125,19.3,1.5,51.6,119.58,0.724,26.2,23.3,24.3,21.6,3.474,0.291,3.096,119.58,11:50:11.343
126,19.8,1.5,51.6,118.944,0.703,24.1,23.3,24.2,21.6,2.945,0.338,3.889,118.944,11:50:12.446
127,19.3,1.5,51.6,119.938,0.703,26.2,23.3,24.3,21.6,3.814,0.261,3.852,119.938,11:50:13.547
128,19.3,1.5,51.6,120.353,0.746,24.1,23.3,24.2,22.0,3.738,0.309,3.398,120.353,11:50:14.649
129,19.3,1.5,51.6,119.858,0.768,24.2,24.8,24.3,21.8,3.814,0.305,2.832,119.858,11:50:15.750
130,19.8,1.5,51.6,119.659,0.715,24.2,23.3,25.7,21.8,3.134,0.305,3.247,119.659,11:50:16.860
131,19.5,1.5,51.6,120.877,0.696,24.1,23.3,24.3,21.3,3.247,0.305,3.927,120.877,11:50:17.968
132,19.3,1.5,51.6,119.355,0.714,24.2,24.8,24.3,21.3,4.305,0.278,4.38,119.355,11:50:19.086
133,19.8,1.5,51.6,120.502,0.746,26.2,23.3,25.7,22.0,3.21,0.245,3.285,120.502,11:50:20.192
134,20.4,1.5,51.6,120.065,0.729,24.2,23.3,24.3,21.6,2.643,0.288,2.643,120.077,11:50:21.300
135,19.3,1.5,51.6,120.479,0.762,26.3,23.3,24.3,21.6,3.247,0.289,3.512,120.479,11:50:22.410
136,19.5,1.5,51.6,120.941,0.726,24.2,23.3,25.7,21.6,3.587,0.291,2.719,120.941,11:50:23.514
137,19.1,1.5,51.6,120.245,0.692,24.2,24.8,24.3,21.6,3.474,0.269,3.021,120.245,11:50:24.625
138,18.8,1.5,51.6,120.561,0.719,26.3,23.3,25.7,21.1,3.361,0.275,3.474,120.561,11:50:25.721
139,19.3,1.5,51.6,119.186,0.769,24.2,23.3,24.3,22.0,3.549,0.293,3.247,119.186,11:50:26.843
140,19.8,1.5,51.6,120.068,0.824,24.2,24.8,24.3,21.3,3.096,0.266,3.285,120.068,11:50:27.950
141,19.5,1.5,51.6,119.445,0.72,26.3,23.3,25.7,22.3,3.738,0.264,3.096,119.445,11:50:29.053
142,19.8,1.5,51.6,120.78,0.663,24.2,23.3,24.3,21.8,3.096,0.314,3.512,120.78,11:50:30.178
143,19.5,1.5,51.6,119.962,0.743,24.2,24.8,24.3,22.0,3.172,0.256,2.983,119.962,11:50:31.298
144,19.8,1.5,51.6,120.101,0.781,26.3,23.3,24.3,21.6,3.852,0.27,3.398,120.101,11:50:32.401
145,19.8,1.5,51.6,120.267,0.743,26.3,23.3,25.7,21.6,3.398,0.294,3.059,120.267,11:50:33.523
146,20.2,1.5,51.6,120.39,0.719,24.2,23.3,24.3,21.6,3.247,0.264,3.436,120.39,11:50:34.633
147,19.8,1.5,51.6,120.188,0.726,24.2,24.8,24.3,21.6,5.098,0.294,2.681,120.188,11:50:35.752
148,19.3,1.5,51.6,119.263,0.739,26.3,23.3,25.7,21.8,3.398,0.278,3.549,119.263,11:50:36.858
149,20.0,1.5,51.6,119.926,0.715,24.2,24.8,24.3,22.3,3.247,0.275,3.474,119.926,11:50:37.961
150,19.5,1.5,51.6,119.987,0.781,26.3,23.3,25.7,22.3,3.398,0.273,3.323,119.987,11:50:39.067
151,20.0,1.5,51.6,120.257,0.757,24.2,23.3,24.3,22.3,3.059,0.273,3.814,120.257,11:50:40.172
152,20.4,1.5,51.6,119.959,0.764,24.2,24.8,24.3,21.1,3.474,0.284,2.87,119.959,11:50:41.292
153,19.8,1.5,51.6,120.251,0.707,26.3,23.4,24.3,21.3,3.285,0.236,3.512,120.251,11:50:42.399
154,20.0,1.5,51.6,119.919,0.692,24.2,23.3,24.3,22.0,3.587,0.248,2.983,119.919,11:50:43.520
155,19.8,1.5,51.6,119.88,0.72,24.3,24.8,24.3,21.8,4.531,0.271,3.398,119.88,11:50:44.623
156,20.0,1.5,51.6,120.11,0.75,26.3,23.3,25.8,21.6,3.285,0.28,3.361,120.11,11:50:45.731
157,19.3,1.5,51.6,119.673,0.748,26.3,23.3,25.7,22.3,3.134,0.275,3.247,119.673,11:50:46.851
158,19.3,1.5,51.6,119.897,0.779,24.3,24.8,24.3,22.0,3.134,0.276,2.756,119.897,11:50:47.955
159,20.4,1.5,51.6,119.639,0.724,26.3,23.4,25.8,22.3,3.247,0.298,3.361,119.639,11:50:49.062
160,19.3,1.5,51.6,120.503,0.754,24.3,23.4,25.7,22.3,2.983,0.291,3.398,120.503,11:50:50.182
161,20.4,1.5,51.6,119.773,0.781,24.3,24.8,24.3,22.0,3.587,0.26,3.512,119.773,11:50:51.285
162,20.0,1.5,51.6,119.821,0.739,26.4,23.4,25.8,22.0,3.587,0.319,3.361,119.821,11:50:52.391
163,20.4,1.5,51.6,119.798,0.671,24.3,24.8,24.3,22.0,2.794,0.219,3.285,119.798,11:50:53.496
164,20.4,1.5,51.6,119.953,0.736,24.3,23.4,24.3,22.0,3.625,0.26,3.625,119.953,11:50:54.606
165,19.8,1.5,51.6,119.564,0.674,26.4,23.4,25.8,22.3,3.436,0.286,3.247,119.564,11:50:55.710
166,19.8,1.5,51.6,119.829,0.751,24.3,24.8,24.3,21.8,2.983,0.269,2.454,119.829,11:50:56.815
167,19.8,1.5,51.6,119.776,0.778,26.4,23.4,25.8,22.0,2.719,0.269,3.134,119.776,11:50:57.919
168,20.4,1.5,51.6,120.396,0.719,24.3,24.8,24.3,21.6,3.625,0.276,3.134,120.396,11:50:59.026
169,20.2,1.5,51.6,120.531,0.759,24.3,23.4,24.3,22.0,3.7,0.332,2.794,120.531,11:51:00.130
170,19.8,1.5,51.6,120.395,0.719,24.3,23.4,24.3,22.3,3.247,0.273,3.059,120.395,11:51:01.237
171,20.2,1.5,51.6,119.759,0.767,24.3,23.4,24.3,22.3,3.549,0.26,2.719,119.759,11:51:02.337
172,19.8,1.5,51.6,120.096,0.807,26.4,23.4,25.8,22.0,3.059,0.237,2.832,120.096,11:51:03.460
173,19.8,1.5,51.6,119.773,0.801,26.4,23.4,25.8,22.3,3.436,0.305,3.285,119.773,11:51:04.578
174,20.2,1.5,51.6,120.346,0.684,24.3,23.4,24.3,22.0,3.398,0.286,2.756,120.346,11:51:05.699
175,20.0,1.5,51.6,119.941,0.74,24.3,23.4,24.3,21.8,3.21,0.309,2.417,119.941,11:51:06.807
176,19.8,1.5,51.6,120.144,0.712,26.4,23.4,25.8,22.3,2.681,0.27,3.021,120.144,11:51:07.912
177,20.2,1.5,51.6,119.976,0.784,24.3,23.4,24.3,22.3,3.512,0.308,3.474,119.976,11:51:09.034
178,20.4,1.5,51.6,120.035,0.772,24.3,24.8,24.3,22.3,3.361,0.288,3.436,120.035,11:51:10.157
179,20.2,1.5,51.6,121.453,0.739,24.3,23.4,25.8,22.3,4.569,0.256,2.19,121.453,11:51:11.267
180,19.8,1.5,51.6,119.897,0.702,24.4,23.4,25.8,22.5,3.285,0.269,3.436,119.897,11:51:12.402
181,20.7,1.5,51.6,120.042,0.741,24.3,23.4,24.4,22.0,4.456,0.294,2.908,120.042,11:51:13.509
182,20.4,1.5,51.6,120.048,0.814,24.3,23.4,24.3,22.3,3.549,0.273,3.323,120.048,11:51:14.614
183,19.3,1.5,51.6,119.924,0.809,24.4,23.4,24.3,22.3,3.436,0.271,2.87,119.924,11:51:15.750
184,20.4,1.5,51.6,119.482,0.717,26.4,23.4,24.3,22.0,3.096,0.28,3.814,119.482,11:51:16.853
185,20.2,1.5,51.6,119.671,0.717,24.4,24.8,24.4,22.3,3.096,0.326,3.285,119.671,11:51:17.974
186,19.8,1.5,51.6,119.875,0.753,24.4,23.4,24.3,22.3,3.436,0.28,3.323,119.875,11:51:19.084
187,19.8,1.5,51.6,120.058,0.676,26.5,23.4,25.8,22.0,4.04,0.293,2.87,120.058,11:51:20.206
188,19.8,1.5,51.6,119.828,0.74,26.5,23.4,24.4,22.7,3.134,0.322,2.303,119.828,11:51:21.327
189,20.7,1.5,51.6,120.151,0.796,24.4,23.4,24.4,22.3,3.889,0.269,2.794,120.151,11:51:22.450
190,19.5,1.5,51.6,120.083,0.763,24.4,23.4,24.4,21.8,3.361,0.347,3.361,120.083,11:51:23.569
191,20.4,1.5,51.6,118.975,0.697,26.5,23.4,25.8,21.8,2.945,0.342,4.04,118.975,11:51:24.677
192,20.9,1.5,51.6,120.01,0.72,24.4,24.9,24.4,22.0,3.474,0.254,2.53,120.01,11:51:25.778
193,20.0,1.5,51.6,119.728,0.781,24.4,23.4,24.4,22.3,3.436,0.212,3.247,119.728,11:51:26.896
194,19.5,1.5,51.6,119.87,0.846,26.5,23.4,25.8,22.0,3.323,0.278,2.719,119.87,11:51:28.017
195,20.4,1.5,51.6,119.7,0.729,26.5,23.4,24.4,21.8,3.172,0.24,3.587,119.7,11:51:29.137
196,20.7,1.5,51.6,119.852,0.758,24.4,23.4,24.4,21.8,4.984,0.269,2.341,119.852,11:51:30.263
197,20.0,1.5,51.6,119.983,0.71,24.4,23.4,24.4,22.3,3.134,0.247,3.134,119.983,11:51:31.400
198,20.4,1.5,51.6,120.172,0.807,24.4,23.4,24.4,22.3,4.116,0.248,2.681,120.172,11:51:32.509
199,20.0,1.5,51.6,119.956,0.753,26.5,23.4,25.8,22.3,3.021,0.333,3.474,119.956,11:51:33.617
200,20.2,1.5,51.6,120.278,0.75,24.4,24.9,24.4,21.8,3.172,0.293,3.927,120.278,11:51:34.720
201,19.8,1.5,51.6,120.474,0.754,24.4,24.9,24.4,22.5,3.814,0.27,2.568,120.474,11:51:35.861
202,20.2,1.5,51.6,120.454,0.729,24.5,23.4,24.4,22.7,2.794,0.284,3.21,120.454,11:51:36.988
203,19.8,1.5,51.6,118.98,0.815,24.4,23.4,25.8,22.5,3.134,0.276,3.814,118.98,11:51:38.112
204,19.8,1.5,51.6,120.372,0.776,26.5,23.4,25.8,22.0,3.474,0.273,3.323,120.372,11:51:39.239
205,20.4,1.5,51.6,118.91,0.768,24.4,23.4,24.4,22.0,3.021,0.251,3.852,118.91,11:51:40.342
206,20.2,1.5,51.6,120.057,0.697,24.5,23.4,24.4,22.5,3.172,0.283,3.096,120.057,11:51:41.463
207,20.4,1.5,51.6,120.339,0.715,26.5,23.4,25.8,22.3,3.285,0.227,2.87,120.339,11:51:42.564
208,19.8,1.5,51.6,119.786,0.736,24.5,23.4,24.4,22.3,2.945,0.291,3.474,119.786,11:51:43.683
209,20.4,1.5,51.6,120.171,0.784,24.5,23.4,24.4,22.3,3.436,0.281,2.756,120.171,11:51:44.791
210,20.2,1.5,51.6,120.242,0.786,24.5,23.4,24.4,22.0,2.417,0.281,3.021,120.242,11:51:45.932
211,20.7,1.5,51.6,120.128,0.686,24.5,23.4,25.8,22.3,2.681,0.347,2.87,120.128,11:51:47.057
212,20.2,1.5,51.6,120.191,0.759,26.6,23.4,24.4,22.0,2.719,0.28,3.7,120.191,11:51:48.177
213,20.2,1.5,51.6,119.984,0.774,24.5,24.9,24.4,21.8,3.21,0.256,2.87,119.984,11:51:49.297
214,20.4,1.5,51.6,120.805,0.735,24.5,23.4,24.4,22.7,2.379,0.321,3.021,120.805,11:51:50.418
215,20.2,1.5,51.6,120.565,0.758,26.5,23.4,25.8,22.3,3.512,0.261,2.417,120.565,11:51:51.518
216,20.2,1.5,51.6,119.358,0.763,26.6,23.4,24.4,22.3,3.512,0.27,3.927,119.358,11:51:52.642
217,19.8,1.5,51.6,120.025,0.693,24.5,24.9,24.4,22.5,3.512,0.31,2.417,120.025,11:51:53.761
218,19.8,1.5,51.6,119.495,0.73,24.5,23.4,24.4,22.3,4.003,0.261,3.134,119.495,11:51:54.879
219,20.4,1.5,51.6,120.529,0.692,24.5,23.4,25.8,22.7,2.794,0.269,2.908,120.529,11:51:56.000
220,20.2,1.5,51.6,120.611,0.731,26.6,23.5,24.4,22.3,3.7,0.261,3.323,120.611,11:51:57.119
221,20.7,1.5,51.6,119.981,0.754,24.5,24.9,24.4,22.3,2.87,0.289,3.285,119.981,11:51:58.241
