Log,mixer_motor_temperature_M1,cp_flowrate,ac_flowrate,mixer_speed_M2,cp_pressure,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,cp_temperature,mixer_motor_temperature_M2,mixer_torque_M2,mixer_pressure,mixer_torque_M1,mixer_speed_M1,Time
1,18.4,1.5,51.6,119.844,0.676,25.8,23.2,25.3,20.7,4.04,0.295,3.285,119.844,11:47:54.027
2,18.2,1.5,51.6,119.787,0.697,25.8,23.2,23.9,20.7,3.549,0.242,3.852,119.787,11:47:55.133
3,18.6,1.5,51.6,120.27,0.726,23.7,23.2,23.9,20.2,4.116,0.275,3.398,120.27,11:47:56.240
4,18.8,1.5,51.6,119.307,0.809,23.7,24.7,23.9,20.2,3.285,0.28,3.927,119.307,11:47:57.360
5,18.8,1.5,51.6,119.802,0.71,25.8,23.2,25.3,20.2,3.927,0.256,4.267,119.802,11:47:58.462
6,18.4,1.5,51.6,121.116,0.793,23.7,23.2,23.9,20.2,3.927,0.286,3.172,121.116,11:47:59.570
7,17.9,1.5,51.6,121.718,0.729,23.7,23.2,23.9,20.4,3.738,0.255,4.116,121.718,11:48:00.677
8,18.8,1.5,51.6,120.067,0.758,25.8,23.2,25.4,20.4,4.078,0.294,3.587,120.067,11:48:01.783
9,18.4,1.5,51.6,119.952,0.768,23.7,24.7,23.9,20.4,3.814,0.27,3.361,119.952,11:48:02.887
10,19.1,1.5,51.6,119.865,0.735,25.8,23.2,25.4,20.4,3.738,0.265,3.549,119.865,11:48:03.992
11,18.6,1.5,51.6,120.004,0.717,23.7,23.2,23.9,20.4,3.965,0.295,4.38,120.004,11:48:05.098
12,18.2,1.5,51.6,120.139,0.72,23.8,23.2,23.9,20.2,4.229,0.294,3.738,120.139,11:48:06.203
13,18.8,1.5,51.6,120.082,0.663,23.7,23.2,25.4,20.7,4.003,0.216,3.021,120.082,11:48:07.311
14,18.8,1.5,51.6,119.95,0.778,23.7,24.7,23.9,20.0,3.323,0.305,4.003,119.95,11:48:08.413
15,18.4,1.5,51.6,119.884,0.751,25.8,23.2,25.4,20.7,4.531,0.216,3.776,119.884,11:48:09.513
16,18.4,1.5,51.6,120.087,0.729,23.8,23.2,24.0,20.7,4.154,0.266,3.7,120.087,11:48:10.621
17,18.4,1.5,51.6,121.359,0.697,23.7,23.2,23.9,20.2,4.154,0.331,3.738,121.359,11:48:11.728
18,18.4,1.5,51.6,119.799,0.734,25.8,23.2,25.4,20.7,3.927,0.256,2.794,119.799,11:48:12.831
19,18.8,1.5,51.6,120.623,0.731,23.8,24.7,24.0,20.4,3.134,0.265,3.7,120.623,11:48:13.920
20,18.4,1.5,51.6,120.079,0.71,23.8,23.2,24.0,20.7,4.078,0.305,3.776,120.079,11:48:15.027
21,18.8,1.5,51.6,119.679,0.707,23.8,24.7,24.0,20.2,3.889,0.283,4.078,119.679,11:48:16.131
22,18.4,1.5,51.6,119.536,0.682,25.9,23.2,25.4,20.7,3.927,0.251,4.04,119.536,11:48:17.238
23,17.9,1.5,51.6,119.61,0.691,23.8,24.7,24.0,20.7,5.551,0.271,3.323,119.61,11:48:18.339
24,18.8,1.5,51.6,120.22,0.682,23.8,23.2,24.0,20.7,4.531,0.222,3.398,120.22,11:48:19.442
25,18.6,1.5,51.6,119.893,0.724,23.8,23.2,24.0,20.9,3.927,0.232,4.569,119.893,11:48:20.545
26,18.4,1.5,51.6,120.145,0.793,23.8,23.2,24.0,20.7,4.342,0.336,5.022,120.145,11:48:21.650
27,18.4,1.5,51.6,119.824,0.673,25.9,23.2,25.4,20.9,5.4,0.245,3.965,119.824,11:48:22.754
28,18.4,1.5,51.6,119.428,0.693,23.8,24.7,24.0,20.7,4.72,0.276,3.927,119.428,11:48:23.862
29,18.8,1.5,51.6,120.271,0.701,23.8,23.2,25.4,20.7,3.738,0.278,4.191,120.271,11:48:24.961
30,18.4,1.5,51.6,120.192,0.763,23.8,24.7,24.0,20.7,4.191,0.289,3.965,120.192,11:48:26.067
31,19.1,1.5,51.6,119.583,0.746,23.8,23.2,24.0,20.9,3.625,0.278,4.607,119.583,11:48:27.172
32,18.4,1.5,51.6,119.756,0.729,25.9,23.2,24.0,21.1,4.644,0.27,3.738,119.756,11:48:28.278
33,18.6,1.5,51.6,119.733,0.754,23.8,24.7,24.0,20.9,3.889,0.275,3.776,119.733,11:48:29.388
34,18.8,1.5,51.6,119.962,0.673,23.8,23.2,25.4,20.4,4.456,0.289,4.267,119.962,11:48:30.494
35,18.6,1.5,51.6,119.929,0.667,25.9,23.3,24.0,20.7,4.116,0.321,4.909,119.929,11:48:31.601
36,18.6,1.5,51.6,120.172,0.739,23.8,23.2,24.0,20.4,4.72,0.288,4.72,120.172,11:48:32.712
37,19.3,1.5,51.6,119.922,0.804,23.8,23.2,25.4,21.1,4.229,0.265,3.361,119.922,11:48:33.825
38,19.3,1.5,51.6,120.334,0.739,25.9,23.2,24.0,20.7,3.512,0.295,3.776,120.334,11:48:34.948
39,19.1,1.5,51.6,120.461,0.759,23.8,24.7,24.0,20.7,4.493,0.295,4.569,120.461,11:48:36.053
40,18.6,1.5,51.6,120.002,0.707,25.9,23.3,25.5,20.7,4.531,0.316,5.022,120.002,11:48:37.160
41,18.8,1.5,51.6,120.361,0.782,23.8,24.7,24.0,21.1,5.513,0.276,2.756,120.361,11:48:38.266
42,18.4,1.5,51.6,119.408,0.763,23.9,23.3,24.0,21.1,4.04,0.27,3.814,119.408,11:48:39.377
43,18.8,1.5,51.6,120.052,0.734,25.9,23.3,24.0,21.1,3.927,0.278,4.456,120.052,11:48:40.480
44,19.1,1.5,51.6,118.185,0.729,23.9,23.2,24.0,20.7,4.607,0.26,6.344,118.185,11:48:41.582
45,18.6,1.5,51.6,120.535,0.729,23.9,23.3,25.5,20.9,4.267,0.294,4.456,120.535,11:48:42.689
46,18.8,1.5,51.6,119.934,0.83,25.9,24.7,24.0,21.1,4.116,0.314,3.587,119.972,11:48:43.800
47,19.1,1.5,51.6,119.808,0.786,23.9,23.3,25.5,20.7,4.04,0.26,4.191,119.808,11:48:44.900
48,18.4,1.5,51.6,120.205,0.769,26.0,23.3,24.1,21.1,4.38,0.27,4.682,120.205,11:48:46.008
49,19.3,1.5,51.6,119.923,0.781,23.9,23.3,24.1,21.1,4.267,0.278,4.154,119.923,11:48:47.112
50,18.8,1.5,51.6,119.772,0.748,23.9,23.3,25.5,21.1,5.098,0.256,4.947,119.772,11:48:48.215
51,18.6,1.5,51.6,120.389,0.664,26.0,24.7,24.1,20.9,4.758,0.309,3.247,120.389,11:48:49.328
52,18.8,1.5,51.6,120.277,0.762,23.9,23.3,25.5,20.7,3.021,0.254,4.418,120.277,11:48:50.434
53,18.8,1.5,51.6,120.1,0.729,26.0,23.3,24.1,20.9,4.116,0.255,4.682,120.1,11:48:51.539
54,18.8,1.5,51.6,120.286,0.702,23.9,23.3,24.1,21.1,4.493,0.276,4.342,120.286,11:48:52.642
55,19.3,1.5,51.6,119.914,0.682,23.9,23.3,25.5,21.3,4.758,0.266,4.569,119.914,11:48:53.752
56,19.3,1.5,51.6,119.745,0.789,26.0,24.7,24.1,21.1,5.4,0.27,4.267,119.745,11:48:54.853
57,19.3,1.5,51.6,119.894,0.74,23.9,23.3,25.5,21.1,3.814,0.313,4.116,119.894,11:48:55.963
58,18.4,1.5,51.6,119.659,0.746,26.0,23.3,24.1,21.1,4.154,0.228,4.456,119.659,11:48:57.070
59,18.4,1.5,51.6,119.701,0.806,23.9,23.3,24.1,21.1,4.04,0.273,5.06,119.701,11:48:58.171
60,18.8,1.5,51.6,120.115,0.715,23.9,23.3,25.5,21.1,4.191,0.323,3.776,120.115,11:48:59.275
61,18.4,1.5,51.6,120.132,0.619,26.0,24.7,24.1,21.1,4.04,0.326,3.361,120.132,11:49:00.382
62,18.4,1.5,51.6,119.958,0.667,23.9,23.3,25.5,21.1,3.889,0.309,4.078,119.958,11:49:01.490
63,18.4,1.5,51.6,119.86,0.743,23.9,23.3,24.1,21.1,4.305,0.251,5.286,119.86,11:49:02.592
64,19.8,1.5,51.6,120.204,0.767,23.9,23.3,24.1,20.9,4.229,0.271,4.418,120.204,11:49:03.701
65,19.3,1.5,51.6,119.955,0.772,23.9,23.3,25.5,21.1,3.814,0.266,3.21,119.955,11:49:04.806
66,19.3,1.5,51.6,120.817,0.764,26.0,24.7,24.1,21.1,3.285,0.288,3.776,120.817,11:49:05.915
67,18.8,1.5,51.6,120.088,0.719,23.9,23.3,25.5,21.1,4.305,0.276,3.512,120.088,11:49:07.020
68,19.5,1.5,51.6,119.123,0.751,23.9,23.3,24.1,20.7,3.889,0.294,3.814,119.123,11:49:08.123
69,18.6,1.5,51.6,119.718,0.804,26.0,23.3,24.1,21.3,4.418,0.31,3.361,119.997,11:49:09.230
70,20.0,1.5,51.6,119.72,0.784,23.9,23.3,25.5,21.6,4.191,0.294,2.945,119.72,11:49:10.339
71,19.3,1.5,51.6,119.558,0.763,26.0,24.8,24.1,21.1,3.776,0.295,3.474,119.558,11:49:11.444
72,18.4,1.5,51.6,120.186,0.684,23.9,23.3,25.6,21.6,3.323,0.266,3.738,120.186,11:49:12.550
73,18.8,1.5,51.6,119.466,0.714,23.9,23.3,24.1,21.1,4.078,0.317,4.267,119.466,11:49:13.656
74,18.8,1.5,51.6,120.257,0.779,26.0,23.3,24.1,21.3,5.135,0.26,3.738,120.257,11:49:14.761
75,19.3,1.5,51.6,119.48,0.764,23.9,23.3,24.1,21.3,3.7,0.254,4.418,119.48,11:49:15.865
76,19.5,1.5,51.6,119.779,0.714,26.0,24.7,24.1,21.8,3.625,0.308,4.078,119.779,11:49:16.966
77,19.3,1.5,51.6,119.851,0.719,24.0,23.3,25.6,21.1,4.305,0.275,3.587,119.851,11:49:18.079
78,18.8,1.5,51.6,120.043,0.721,24.0,23.3,24.1,20.9,5.022,0.266,4.116,120.043,11:49:19.186
79,19.8,1.5,51.6,119.766,0.763,26.0,23.3,24.1,20.7,4.682,0.293,3.814,119.766,11:49:20.290
80,18.8,1.5,51.6,119.667,0.796,24.0,23.3,25.6,20.9,3.663,0.255,5.022,119.667,11:49:21.399
81,18.8,1.5,51.6,119.444,0.721,26.0,24.8,24.1,21.8,4.154,0.372,4.154,119.444,11:49:22.503
82,20.0,1.5,51.6,119.937,0.773,24.0,23.3,25.6,21.1,4.418,0.271,4.116,119.937,11:49:23.605
83,18.8,1.5,51.6,120.146,0.741,24.0,24.7,24.1,20.9,4.003,0.286,3.852,120.146,11:49:24.708
84,20.0,1.5,51.6,120.014,0.769,26.1,23.3,24.1,21.8,3.927,0.319,2.681,120.014,11:49:25.810
85,19.5,1.5,51.6,119.09,0.773,24.0,23.3,24.1,21.6,3.096,0.281,4.909,119.09,11:49:26.915
86,19.3,1.5,51.6,120.522,0.71,26.1,24.7,24.2,21.1,3.738,0.345,3.474,120.522,11:49:28.023
87,19.8,1.5,51.6,120.205,0.693,24.0,23.3,25.6,21.1,4.229,0.316,3.398,120.205,11:49:29.129
88,19.8,1.5,51.6,120.912,0.66,24.0,24.8,24.2,21.3,3.512,0.348,3.436,120.912,11:49:30.234
89,19.8,1.5,51.6,119.592,0.734,24.0,23.3,25.6,21.1,4.04,0.314,2.719,119.592,11:49:31.338
90,20.2,1.5,51.6,120.158,0.721,24.0,23.3,24.2,21.3,3.247,0.264,3.021,120.158,11:49:32.446
91,18.8,1.5,51.6,120.163,0.762,26.1,24.7,24.2,21.1,4.267,0.283,3.398,120.163,11:49:33.553
92,19.8,1.5,51.6,120.524,0.72,24.0,23.3,25.6,21.6,3.549,0.291,4.191,120.524,11:49:34.662
93,19.5,1.5,51.6,120.574,0.701,24.0,23.3,24.2,21.6,4.947,0.271,2.983,120.574,11:49:35.770
94,19.3,1.5,51.6,119.385,0.679,24.0,24.7,24.2,21.6,3.663,0.336,3.965,119.385,11:49:36.893
95,20.4,1.5,51.6,119.946,0.726,26.1,23.3,24.2,21.1,3.965,0.265,3.625,119.946,11:49:38.002
96,19.8,1.5,51.6,119.867,0.764,24.0,23.3,24.2,21.6,4.078,0.273,4.607,119.867,11:49:39.107
97,19.3,1.5,51.6,120.481,0.817,26.1,23.3,24.2,21.1,3.852,0.271,3.852,120.481,11:49:40.213
98,18.6,1.5,51.6,119.808,0.73,24.0,23.3,25.6,21.8,3.889,0.278,2.568,119.808,11:49:41.316
99,19.8,1.5,51.6,120.129,0.739,24.0,23.3,24.2,21.1,2.87,0.355,3.474,120.129,11:49:42.439
100,19.8,1.5,51.6,119.649,0.674,24.1,24.7,24.2,21.6,3.474,0.27,3.436,119.649,11:49:43.563
101,19.8,1.5,51.6,120.401,0.753,24.0,23.3,25.6,21.3,3.096,0.264,4.72,120.401,11:49:44.668
102,19.3,1.5,51.6,121.225,0.769,24.0,23.3,24.2,21.8,3.927,0.286,2.794,121.225,11:49:45.774
103,20.0,1.5,51.6,119.345,0.751,26.1,23.3,24.2,21.3,4.72,0.291,3.096,119.345,11:49:46.880
104,19.3,1.5,51.6,119.401,0.75,24.0,23.3,25.6,21.8,3.398,0.283,4.229,119.401,11:49:47.984
105,18.8,1.5,51.6,120.137,0.658,24.1,24.7,24.2,21.3,4.04,0.317,3.474,120.137,11:49:49.093
106,19.3,1.5,51.6,120.156,0.763,26.1,23.3,24.2,21.6,4.04,0.281,3.587,120.156,11:49:50.200
107,19.8,1.5,51.6,120.089,0.784,24.1,23.3,24.2,21.6,3.323,0.284,2.643,120.089,11:49:51.307
108,19.1,1.5,51.6,119.997,0.789,24.1,24.7,24.2,21.6,2.945,0.255,3.625,119.997,11:49:52.414
109,19.1,1.5,51.6,119.878,0.726,24.1,23.3,25.6,21.6,3.663,0.238,3.436,119.878,11:49:53.521
110,19.1,1.5,51.6,119.541,0.721,24.1,23.3,24.2,21.6,4.418,0.232,3.663,119.541,11:49:54.632
111,19.5,1.5,51.6,120.379,0.721,26.2,23.3,24.2,21.6,3.889,0.273,4.116,120.379,11:49:55.737
112,19.1,1.5,51.6,119.972,0.709,24.1,23.3,25.7,21.6,3.965,0.345,2.945,119.972,11:49:56.842
113,19.8,1.5,51.6,120.112,0.798,24.1,23.3,24.2,21.3,3.285,0.265,3.625,120.112,11:49:57.962
114,19.5,1.5,51.6,119.665,0.669,24.1,24.7,24.2,21.6,3.587,0.305,3.927,119.665,11:49:59.085
115,19.1,1.5,51.6,119.974,0.753,26.2,23.3,24.2,21.6,3.776,0.255,3.965,119.974,11:50:00.210
116,20.4,1.5,51.6,119.883,0.754,24.1,23.3,25.7,21.6,3.549,0.27,2.719,119.883,11:50:01.313
117,19.1,1.5,51.6,120.22,0.762,24.1,23.3,24.2,22.0,2.794,0.243,2.53,120.22,11:50:02.450
118,19.5,1.5,51.6,119.834,0.74,24.1,23.3,24.2,21.6,3.625,0.289,3.549,119.834,11:50:03.571
119,20.0,1.5,51.6,119.872,0.773,26.2,23.3,24.2,21.3,3.323,0.284,4.078,119.872,11:50:04.674
120,19.8,1.5,51.6,120.06,0.754,24.1,23.3,24.2,21.8,3.549,0.278,2.832,120.06,11:50:05.779
121,19.3,1.5,51.6,119.694,0.674,24.1,24.8,24.2,21.3,3.625,0.353,3.814,119.694,11:50:06.899
122,20.4,1.5,51.6,120.264,0.714,26.2,23.3,25.7,21.8,4.003,0.259,3.7,120.264,11:50:08.006
