Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,16.6,12.0,3.7382,1.888,20.4491,20.444,11:09:42.407
2,16.3,13.6,2.4166,1.5859,20.3736,20.4031,11:09:43.361
3,16.6,13.8,2.2278,2.4166,20.1731,19.9674,11:09:44.101
4,16.1,12.9,2.5299,2.7187,20.4341,20.1427,11:09:44.856
5,16.3,13.4,1.5482,2.1146,20.3515,20.4746,11:09:45.612
6,16.3,13.2,2.3034,1.8502,20.4996,20.3996,11:09:46.368
7,16.1,13.2,2.9075,1.888,20.3762,20.5625,11:09:47.124
8,16.6,13.6,3.0208,2.681,20.4805,20.3172,11:09:47.892
9,16.6,13.2,1.6992,2.5299,20.3359,19.9535,11:09:48.663
10,16.1,13.8,2.3411,1.4726,20.5121,20.388,11:09:49.421
11,16.6,12.7,2.6432,2.983,20.2385,20.3553,11:09:50.179
12,16.3,13.4,2.1146,2.5677,20.2873,20.3248,11:09:50.932
13,16.1,13.4,1.888,2.0768,20.3889,20.5133,11:09:51.688
14,16.6,14.1,2.8698,1.6992,20.3907,20.4388,11:09:52.449
15,16.3,14.1,2.0768,2.2278,20.387,20.2476,11:09:53.208
16,16.3,13.2,4.1536,1.9258,20.4349,20.6692,11:09:53.953
17,16.1,13.4,2.832,1.888,20.5809,20.3718,11:09:54.701
18,16.1,13.2,3.6627,2.4922,20.3248,20.3231,11:09:55.464
19,16.3,13.6,2.3411,2.1523,20.3396,20.2723,11:09:56.226
20,16.3,13.2,2.039,2.2278,20.392,20.3008,11:09:56.988
21,16.1,13.2,2.3789,1.9258,20.3834,20.208,11:09:57.747
22,16.6,13.2,1.888,2.8698,19.8514,20.5014,11:09:58.507
23,16.6,13.2,2.2278,2.7187,20.3946,20.3957,11:09:59.274
24,16.1,13.2,2.2278,3.2474,20.4264,20.4955,11:10:00.034
25,16.3,13.6,2.4922,2.1523,20.5853,20.3106,11:10:00.797
26,16.3,13.6,1.888,2.1523,20.1349,20.8046,11:10:01.561
27,16.3,12.7,2.9453,2.4922,20.3631,20.3925,11:10:02.321
28,16.6,13.2,1.9258,2.1901,20.0812,19.9672,11:10:03.083
29,16.6,13.6,2.5299,1.3594,20.3929,20.1944,11:10:03.845
30,16.6,13.6,2.5677,2.5299,20.3881,20.62,11:10:04.610
31,16.1,14.1,2.1146,2.1523,20.3084,20.4517,11:10:05.369
32,16.3,13.6,2.6432,2.832,20.3062,19.9312,11:10:06.130
33,16.8,12.3,2.2278,1.8502,20.4461,20.3935,11:10:06.892
34,16.1,13.6,2.3034,1.888,20.4643,20.5517,11:10:07.654
35,16.3,14.1,2.6054,2.3411,20.3044,20.3012,11:10:08.413
36,16.1,13.4,2.5299,3.1718,20.0027,20.2165,11:10:09.174
37,16.3,13.6,2.6054,1.4726,21.0416,20.3707,11:10:09.936
38,16.1,13.2,1.9635,1.6614,20.4113,20.4088,11:10:10.699
39,16.3,13.2,2.9453,2.681,20.4153,20.2593,11:10:11.458
40,16.1,12.9,2.0768,2.3034,20.2247,20.4142,11:10:12.217
41,16.1,13.4,2.3789,2.039,20.3942,20.3566,11:10:12.976
42,16.1,13.2,2.5299,2.832,20.5429,20.3811,11:10:13.740
