Log,cp_temperature,mixer_temperature_Funnel_outlet,mixer_motor_temperature_M2,mixer_speed_M2,cp_flowrate,ac_flowrate,cp_pressure,cp_temperature_fresh,mixer_pressure,mixer_torque_M1,mixer_speed_M1,mixer_motor_temperature_M1,mixer_torque_M2,Time
1,21.3,24.4,21.6,59.883,3.0,0.0,0.302,23.5,0.25,2.681,59.883,19.1,2.756,10:30:53.352
2,21.3,24.5,21.6,59.935,3.0,0.0,0.3,22.1,0.255,2.379,59.935,19.3,3.247,10:30:54.451
3,22.7,22.4,21.6,59.971,3.0,0.0,0.288,22.1,0.248,2.152,59.971,19.8,2.794,10:30:55.552
4,21.3,22.4,22.3,60.016,3.0,0.0,0.313,23.5,0.25,2.228,60.016,19.3,2.719,10:30:56.657
5,21.3,24.5,22.0,60.122,3.0,0.0,0.297,22.1,0.216,2.756,60.122,19.8,2.303,10:30:57.762
6,21.3,22.4,21.6,60.019,3.0,0.0,0.292,22.1,0.251,2.605,60.019,19.3,2.605,10:30:58.868
7,21.3,24.5,21.8,60.165,3.0,0.0,0.267,22.1,0.284,2.53,60.165,18.6,4.758,10:30:59.971
8,21.3,22.4,21.6,59.983,3.0,0.0,0.291,22.1,0.259,2.379,59.983,18.8,3.549,10:31:01.070
9,21.3,22.4,21.6,60.095,3.0,0.0,0.293,23.5,0.24,2.568,60.095,19.5,3.965,10:31:02.175
10,22.7,24.5,21.8,60.257,3.0,0.0,0.31,22.1,0.236,2.53,60.257,19.1,2.945,10:31:03.300
11,21.3,22.4,22.0,59.927,3.0,0.0,0.273,22.1,0.251,2.53,59.927,19.1,2.643,10:31:04.397
12,21.3,24.5,22.0,60.124,3.0,0.0,0.291,22.1,0.236,2.492,60.124,19.5,2.983,10:31:05.503
13,21.3,22.4,22.3,60.02,3.0,0.0,0.315,22.1,0.25,2.719,60.02,19.8,3.172,10:31:06.613
14,21.3,22.4,22.3,59.975,3.0,0.0,0.282,23.5,0.248,3.663,59.293,19.3,2.945,10:31:07.735
15,21.3,22.4,21.3,60.028,3.0,0.0,0.288,22.1,0.223,3.059,60.028,19.8,3.059,10:31:08.836
16,22.7,22.4,21.6,60.103,3.0,0.0,0.273,22.1,0.236,1.888,60.103,18.8,2.832,10:31:09.946
17,21.3,22.4,21.8,59.887,3.0,0.0,0.293,23.5,0.254,2.19,59.887,18.6,3.059,10:31:11.051
18,22.7,24.5,22.0,59.89,3.0,0.0,0.293,22.1,0.248,2.228,59.89,19.8,3.285,10:31:12.171
19,21.3,22.4,21.8,61.845,3.0,0.0,0.306,22.1,0.266,3.7,61.845,19.8,2.492,10:31:13.274
20,21.3,22.4,21.6,59.682,3.0,0.0,0.311,22.1,0.248,3.587,59.682,19.3,3.323,10:31:14.378
21,21.3,24.5,21.8,59.87,3.0,0.0,0.295,22.1,0.293,2.983,59.87,19.5,3.512,10:31:15.481
22,21.3,22.4,21.6,60.04,3.0,0.0,0.258,22.1,0.247,2.568,60.04,20.0,3.021,10:31:16.583
23,22.7,24.5,21.8,59.98,3.0,0.0,0.305,22.1,0.248,2.454,59.98,20.0,2.605,10:31:17.683
24,21.3,22.4,21.6,59.669,3.0,0.0,0.27,23.6,0.238,2.719,59.669,19.3,2.303,10:31:18.791
25,21.3,22.4,21.6,59.871,3.0,0.0,0.286,22.1,0.247,2.341,59.871,19.1,2.341,10:31:19.897
26,21.3,22.4,21.8,59.974,3.0,0.0,0.287,22.1,0.232,2.303,59.974,19.3,3.512,10:31:20.997
27,21.3,22.4,21.6,59.998,3.0,0.0,0.306,22.1,0.247,2.379,59.998,19.5,3.323,10:31:22.103
28,22.7,24.5,22.0,59.299,3.0,0.0,0.275,22.1,0.233,3.096,59.299,19.5,3.738,10:31:23.213
29,21.3,22.4,22.0,20.457,3.0,0.0,0.297,23.5,0.236,1.775,20.457,19.3,2.417,10:31:24.320
30,21.2,22.4,22.0,20.452,3.0,0.0,0.28,22.1,0.216,1.586,20.452,19.8,2.605,10:31:25.425
31,22.7,24.5,21.8,20.347,3.0,0.0,0.28,22.1,0.261,1.775,20.347,20.2,2.303,10:31:26.545
32,21.3,22.4,21.8,20.27,3.0,0.0,0.288,23.5,0.266,1.812,20.27,19.8,1.397,10:31:27.649
33,22.7,22.4,21.6,20.483,3.0,0.0,0.292,22.1,0.204,1.02,20.483,19.8,2.115,10:31:28.753
34,21.3,24.5,22.0,20.225,3.0,0.0,0.283,22.1,0.24,1.85,20.225,19.8,2.719,10:31:29.875
35,21.3,22.4,22.3,20.244,3.0,0.0,0.306,22.1,0.26,2.077,20.244,19.8,2.266,10:31:30.981
36,22.7,22.4,21.3,20.222,3.0,0.0,0.248,22.1,0.284,1.51,20.222,19.1,2.039,10:31:32.088
37,21.3,22.4,22.3,20.264,3.0,0.0,0.302,23.5,0.255,1.737,20.264,19.1,2.077,10:31:33.185
38,22.7,22.4,22.3,20.304,3.0,0.0,0.26,22.1,0.265,2.077,20.304,19.3,2.832,10:31:34.291
39,21.3,24.5,22.0,20.288,3.0,0.0,0.28,23.5,0.245,2.379,20.288,19.5,2.115,10:31:35.392
40,22.7,22.4,22.0,20.166,3.0,0.0,0.288,22.1,0.236,2.039,20.166,19.1,1.548,10:31:36.493
41,21.2,24.5,21.6,20.468,3.0,0.0,0.331,22.1,0.231,2.228,20.468,20.0,3.21,10:31:37.596
42,21.3,22.4,21.8,20.386,3.0,0.0,0.27,23.5,0.237,1.737,20.386,18.8,2.605,10:31:38.705
43,21.3,22.4,21.8,20.315,3.0,0.0,0.327,22.1,0.259,1.812,20.315,19.8,1.699,10:31:39.802
44,21.2,24.5,21.6,20.068,3.0,0.0,0.278,23.5,0.288,2.568,20.068,19.8,2.53,10:31:40.903
45,22.7,22.4,21.6,20.175,3.0,0.0,0.286,22.1,0.216,2.115,20.175,18.8,2.568,10:31:42.007
46,21.2,24.5,22.3,20.372,3.0,0.0,0.286,22.1,0.236,1.548,20.372,19.3,2.908,10:31:43.128
47,21.3,24.5,21.6,39.21,3.0,0.0,0.292,23.5,0.236,3.285,39.21,19.3,2.643,10:31:44.245
48,22.7,22.4,22.3,39.839,3.0,0.0,0.273,22.1,0.254,2.454,39.839,19.3,2.492,10:31:45.357
49,22.7,22.4,21.6,38.856,3.0,0.0,0.295,22.1,0.228,3.096,38.856,19.3,3.21,10:31:46.463
50,21.2,24.5,22.0,39.462,3.0,0.0,0.292,23.5,0.261,1.964,39.462,18.8,2.568,10:31:47.582
51,22.7,22.4,21.8,39.481,3.0,0.0,0.295,22.1,0.24,2.492,39.481,19.8,2.794,10:31:48.686
52,21.2,22.4,22.0,39.788,3.0,0.0,0.291,22.1,0.248,2.341,39.788,20.4,2.87,10:31:49.814
53,21.3,24.5,21.6,39.56,3.0,0.0,0.278,23.5,0.256,2.454,39.592,18.8,2.454,10:31:50.925
54,22.7,22.4,21.8,39.588,3.0,0.0,0.273,22.1,0.269,2.53,39.588,19.5,2.417,10:31:52.026
