Log,ac_flowrate,mixer_motor_temperature_M2,mixer_pressure,mixer_torque_M2,cp_flowrate,mixer_torque_M1,mixer_motor_temperature_M1,mixer_temperature_Funnel_outlet,mixer_speed_M2,cp_pressure,cp_temperature,mixer_speed_M1,mixer_temperature_Funnel,Time
1,111.0,16.3,0.178,2.568,3.0,1.812,15.0,22.0,119.934,0.636,22.6,119.934,21.5,09:39:12.378
2,111.0,16.3,0.192,2.568,3.0,2.228,15.4,22.0,120.028,0.616,24.0,120.028,21.5,09:39:13.497
3,111.0,16.3,0.189,2.454,3.0,2.53,15.0,22.0,120.033,0.676,24.0,120.033,21.5,09:39:14.611
4,111.0,16.8,0.227,2.228,3.0,2.719,14.5,24.0,119.963,0.646,22.6,119.963,23.0,09:39:15.717
5,111.0,16.1,0.226,2.001,3.0,2.53,14.5,22.0,119.994,0.598,24.0,119.994,21.5,09:39:16.823
6,111.0,16.6,0.288,2.379,3.0,2.228,14.5,24.0,119.982,0.667,22.6,119.982,23.0,09:39:17.924
7,111.0,16.6,0.232,2.115,3.0,2.077,15.0,22.0,119.96,0.66,22.6,119.96,21.5,09:39:19.029
8,111.0,16.3,0.303,2.077,3.0,2.417,14.5,22.0,119.994,0.619,22.6,119.994,21.5,09:39:20.132
9,111.0,16.8,0.264,2.379,3.0,2.039,14.1,24.0,120.03,0.679,22.6,120.03,21.5,09:39:21.234
10,111.0,16.3,0.289,2.341,3.0,1.85,14.8,22.0,119.954,0.64,24.0,119.954,21.5,09:39:22.338
11,111.0,16.8,0.199,2.152,3.0,2.605,15.2,24.0,119.987,0.663,22.6,119.987,23.0,09:39:23.445
12,111.0,16.6,0.221,2.53,3.0,2.53,14.5,22.0,119.953,0.71,24.0,119.953,21.5,09:39:24.550
13,111.0,16.1,0.232,2.454,3.0,2.756,14.5,22.0,119.795,0.645,22.6,119.795,23.0,09:39:25.654
14,111.0,16.8,0.232,2.341,3.0,2.605,14.5,22.0,120.053,0.66,24.0,120.053,21.5,09:39:26.755
15,111.0,16.8,0.242,2.832,3.0,2.756,14.3,22.0,120.012,0.693,22.6,120.012,21.5,09:39:27.865
16,111.0,16.6,0.24,2.454,3.0,2.53,15.2,24.0,120.178,0.636,22.6,120.178,21.5,09:39:28.971
17,111.0,16.8,0.254,2.454,3.0,2.303,13.8,24.0,120.001,0.664,24.0,120.001,21.5,09:39:30.069
18,111.0,16.8,0.237,2.643,3.0,3.134,14.8,22.0,120.268,0.714,22.6,120.268,23.0,09:39:31.182
19,111.0,16.6,0.255,3.927,3.0,2.681,14.5,22.0,119.04,0.697,24.0,119.04,21.5,09:39:32.283
20,111.0,16.1,0.256,2.077,3.0,2.605,14.5,22.0,119.906,0.631,22.6,119.906,21.5,09:39:33.394
21,111.0,16.3,0.248,2.152,3.0,2.228,15.0,22.0,120.026,0.707,22.6,120.026,23.0,09:39:34.505
