Log,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.6861,25.4,1.5,0,24.7,22.5,20.9,2.6432,2.4166,59.9439,59.7882,12:41:16.117
2,0.6262,23.9,1.5,0,26.1,22.5,20.9,3.0963,3.0963,59.7622,59.5968,12:41:17.699
3,0.7019,23.9,1.5,0,24.7,22.7,20.9,3.5872,3.2096,59.3127,60.4067,12:41:18.926
4,0.6885,25.4,1.5,0,26.1,22.7,20.9,3.1341,3.7005,60.0548,59.6724,12:41:20.169
5,0.6604,25.4,1.5,0,24.7,22.7,20.7,2.9075,3.2851,59.6224,59.6947,12:41:21.416
6,0.6555,25.4,1.5,0,24.7,22.7,20.4,2.983,4.1158,59.442,60.4347,12:41:22.659
7,0.6934,25.4,1.5,0,24.7,22.7,21.1,2.4922,4.3046,59.8371,60.2517,12:41:23.888
8,0.6555,25.4,1.5,0,24.7,22.5,20.9,2.7187,2.3789,59.8841,59.7081,12:41:25.111
9,0.6873,23.9,1.5,0,24.7,22.5,20.9,2.9075,3.2096,60.0254,59.9734,12:41:26.334
10,0.7007,23.9,1.5,0,24.7,22.5,20.4,3.3984,3.5494,60.1141,59.5533,12:41:27.560
11,0.625,23.9,1.5,0,24.7,22.5,21.1,4.1914,4.0026,60.5595,59.5165,12:41:28.798
12,0.6775,23.9,1.5,0,24.7,22.7,20.4,3.8893,3.4362,60.348,59.9903,12:41:30.041
13,0.7288,25.4,1.5,0,24.7,22.7,20.4,3.3606,2.3034,60.0624,59.8914,12:41:31.257
14,0.6934,25.4,1.5,0,24.7,22.7,21.3,3.5872,2.7942,59.9289,59.7211,12:41:32.478
15,0.6958,25.4,1.5,0,24.7,22.7,21.1,3.5117,3.7382,59.9536,59.2892,12:41:33.700
16,0.73,25.4,1.5,0,24.7,22.7,20.4,3.1341,3.5872,60.102,60.048,12:41:34.934
17,0.6885,25.4,1.5,0,24.7,22.5,21.3,3.2851,3.1341,59.5931,60.9132,12:41:36.162
18,0.6983,25.4,1.5,0,24.7,22.5,21.1,2.3411,3.1718,60.0034,60.1427,12:41:37.385
19,0.6507,24.0,1.5,0,26.2,22.5,21.3,3.3606,3.776,60.5133,59.9558,12:41:38.609
20,0.6482,24.0,1.5,0,26.2,22.3,21.3,3.3606,5.1731,59.9436,60.2546,12:41:39.820
21,0.7508,23.9,1.5,0,24.7,22.3,20.7,3.8138,2.9453,59.8174,60.0077,12:41:41.052
22,0.6885,23.9,1.5,0,24.7,22.7,20.9,2.9075,2.5299,59.849,60.0886,12:41:42.254
23,0.6726,24.0,1.5,0,24.7,23.2,21.6,3.3984,3.4739,60.49,59.9539,12:41:43.462
24,0.7019,25.4,1.5,0,24.7,22.7,21.1,3.7382,3.3984,60.8524,59.7941,12:41:44.683
25,0.6738,23.9,1.5,0,24.7,22.7,20.7,3.2851,3.927,61.0611,60.1446,12:41:45.910
26,0.7105,24.0,1.5,0,24.7,22.7,20.9,2.9453,2.7942,59.9702,59.8742,12:41:47.154
27,0.6543,23.9,1.5,0,24.7,22.7,20.9,2.5677,2.9453,59.8297,60.0905,12:41:48.381
28,0.7263,23.9,1.5,0,24.7,23.2,21.6,3.3229,3.5494,59.592,60.1331,12:41:49.621
29,0.7007,25.4,1.5,0,24.7,23.2,20.7,3.3984,3.3229,59.3033,59.6196,12:41:50.827
30,0.6787,25.4,1.5,0,24.7,22.9,20.9,3.2851,3.5494,59.8091,60.5566,12:41:52.052
31,0.6909,25.4,1.5,0,24.7,22.7,20.9,3.5872,2.5299,60.5198,59.8023,12:41:53.278
32,0.7019,25.4,1.5,0,24.7,22.7,20.9,3.2096,2.7187,59.633,59.9,12:41:54.507
33,0.7483,23.9,1.5,0,24.7,22.5,21.3,4.1158,2.681,60.0803,59.9711,12:41:55.750
34,0.73,24.0,1.5,0,24.7,22.7,21.1,3.0963,2.3789,60.7575,59.9107,12:41:56.980
35,0.7068,24.0,1.5,0,24.7,22.9,20.9,3.7382,2.1523,60.0163,60.0833,12:41:58.208
36,0.7031,23.9,1.5,0,24.7,22.9,21.3,2.9075,2.9453,59.1519,60.2168,12:41:59.433
37,0.73,23.9,1.5,0,24.7,22.7,20.9,4.2291,3.6627,60.2188,60.1343,12:42:00.664
38,0.9961,23.9,3.0,0,24.7,22.7,21.3,2.7565,2.7565,60.9948,60.0289,12:42:01.890
39,0.9156,23.9,3.0,0,24.7,23.2,20.7,2.832,2.3034,59.7184,59.9229,12:42:03.119
40,0.9217,23.9,3.0,0,24.7,22.7,20.9,2.5677,2.6054,59.9528,59.8831,12:42:04.346
41,0.8911,23.9,3.0,0,24.7,22.9,21.3,3.3606,3.2851,60.1421,60.0464,12:42:05.569
42,0.9534,23.9,3.0,0,24.7,22.7,21.1,3.3606,3.776,60.4056,59.6073,12:42:06.796
43,0.8924,23.9,3.0,0,24.7,22.7,20.9,3.3229,3.0208,60.5155,59.7715,12:42:08.036
44,0.8057,23.9,3.0,0,26.2,23.2,20.9,2.9453,3.2474,59.7861,60.0361,12:42:09.295
45,0.9387,23.9,3.0,0,24.7,22.7,20.9,3.0208,2.7565,60.0699,59.9419,12:42:10.511
46,0.8216,24.0,3.0,0,24.7,22.7,20.9,3.1718,2.9075,59.5903,59.5252,12:42:11.734
47,0.8618,24.0,3.0,0,24.7,22.5,20.4,3.7005,2.9453,59.971,59.7841,12:42:12.963
48,0.8631,23.9,3.0,0,24.7,22.5,21.3,3.2474,3.5494,60.1193,60.3848,12:42:14.203
49,0.8741,23.9,3.0,0,26.2,22.5,21.3,2.9453,3.3229,61.3307,59.9319,12:42:15.436
50,0.8826,24.0,3.0,0,24.7,23.2,20.7,4.1158,5.4752,60.5364,59.8229,12:42:16.664
51,0.8972,24.0,3.0,0,26.2,22.7,20.9,3.9648,3.4739,59.931,60.3315,12:42:17.911
52,0.8838,23.9,3.0,0,24.7,22.5,20.9,3.2474,2.4544,60.5295,60.1379,12:42:19.142
53,0.8618,24.0,3.0,0,24.7,22.9,20.4,2.2656,2.6054,60.6513,60.0027,12:42:20.372
54,0.8521,24.0,3.0,0,24.7,22.9,20.9,3.0963,3.0586,59.7804,59.4545,12:42:21.602
55,0.8765,23.9,3.0,0,26.2,23.2,20.9,4.3802,3.2474,60.0907,59.7763,12:42:22.825
56,0.8692,24.0,3.0,0,26.2,22.9,21.3,3.2851,4.1914,59.8744,60.1125,12:42:24.047
57,0.835,24.0,3.0,0,24.7,23.2,20.9,2.7187,2.832,60.2387,60.5372,12:42:25.272
58,0.8972,23.9,3.0,0,26.2,22.7,21.1,3.0963,3.1341,59.8039,59.822,12:42:26.507
59,0.9314,24.0,3.0,0,26.2,23.2,20.7,3.2851,2.7187,59.9915,60.0156,12:42:27.736
60,0.8716,24.0,3.0,0,26.2,22.7,20.9,3.6627,3.1718,59.5234,60.0655,12:42:28.961
61,0.8716,23.9,3.0,0,24.7,23.2,20.9,4.0781,3.2851,59.9246,59.9131,12:42:30.191
62,0.8679,25.4,3.0,0,24.7,22.7,21.3,3.1341,3.3229,59.8104,59.8405,12:42:31.432
63,0.8728,25.4,3.0,0,24.7,23.2,20.9,3.7382,3.7005,59.999,59.7413,12:42:32.661
64,0.8631,25.4,3.0,0,24.7,23.2,21.1,3.927,3.0208,59.4186,60.4492,12:42:33.900
65,0.8216,24.0,3.0,0,24.7,22.5,21.3,3.5872,2.5677,59.698,59.5998,12:42:35.149
66,0.8533,23.9,3.0,0,24.7,22.9,20.9,2.681,2.7942,59.5924,59.9905,12:42:36.391
67,0.8496,23.9,3.0,0,24.7,22.9,20.4,4.2291,3.2851,59.9557,60.2869,12:42:37.619
68,0.8289,24.0,3.0,0,24.7,22.5,21.3,3.0208,2.681,59.9932,59.9569,12:42:38.849
69,0.8667,23.9,3.0,0,24.7,23.2,20.9,4.4179,2.1523,60.7106,60.892,12:42:40.091
70,0.9095,24.0,3.0,0,24.7,22.9,21.6,2.9453,3.2096,59.4154,60.7242,12:42:41.306
71,0.8741,23.9,3.0,0,26.2,22.9,21.3,4.5312,2.9453,60.4683,59.8495,12:42:42.551
72,0.8448,25.4,3.0,0,24.7,23.2,20.9,3.4362,3.4362,60.1489,60.2299,12:42:43.795
73,0.7385,24.0,3.0,0,24.7,22.7,20.9,3.8515,2.7942,60.0687,59.8335,12:42:45.036
