Log,ac_flowrate,cp_pressure,mixer_pressure,cp_temperature,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_torque_M2,mixer_motor_temperature_M1,cp_flowrate,mixer_motor_temperature_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.0,0.176,24.6,23.8,23.4,1.548,13.6,0.0,15.7,1.812,48.841,48.841,11:11:39.214
2,0.0,0.0,0.175,23.2,25.8,24.8,1.661,13.4,0.0,15.2,1.435,59.943,59.943,11:11:40.327
3,0.0,0.016,0.192,24.6,23.8,23.4,1.359,14.1,0.0,15.4,1.699,60.035,60.035,11:11:41.428
4,0.0,0.0,0.193,23.2,23.8,23.4,1.624,13.4,0.0,15.2,2.001,59.976,59.976,11:11:42.526
5,0.0,0.0,0.154,24.7,23.8,23.3,2.077,13.8,0.0,15.7,1.926,59.992,59.992,11:11:43.625
6,0.0,0.016,0.192,23.2,25.8,24.8,2.152,13.6,0.0,15.7,1.284,60.039,60.039,11:11:44.724
7,0.0,0.0,0.236,23.2,23.8,23.3,1.926,14.1,0.0,15.4,1.548,60.017,60.017,11:11:45.842
8,0.0,0.0,0.161,23.2,23.8,23.3,1.737,14.1,0.0,15.7,1.548,59.998,59.998,11:11:46.951
9,0.0,0.0,0.247,23.2,25.9,24.8,1.586,13.6,0.0,15.2,1.624,59.996,59.996,11:11:48.057
10,0.0,0.016,0.189,24.6,23.8,23.3,1.661,14.1,0.0,15.2,1.548,60.019,60.019,11:11:49.160
11,0.0,0.011,0.17,23.2,25.8,24.8,2.001,13.8,0.0,15.9,2.115,59.964,59.964,11:11:50.261
12,0.0,0.0,0.178,24.6,23.8,23.4,2.039,13.2,0.0,15.2,2.039,59.998,59.998,11:11:51.367
13,0.0,0.006,0.189,23.2,23.8,23.4,2.039,13.6,0.0,15.9,1.246,60.041,60.041,11:11:52.468
