Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,6.3,4.8,4.4934,2.7187,20.4971,19.9851,08:27:48.776
2,6.8,4.5,3.1341,2.039,20.0497,20.5309,08:27:49.722
3,6.1,5.0,2.4922,2.6432,20.9282,20.4068,08:27:50.501
4,6.8,4.5,3.0586,2.8698,20.2166,19.9312,08:27:51.266
5,6.3,5.0,2.3789,2.5299,20.4218,20.8176,08:27:52.027
6,6.1,4.8,2.1901,2.6054,20.2049,20.4109,08:27:52.777
7,6.1,4.8,2.4166,2.681,20.4718,20.5619,08:27:53.548
8,6.3,5.0,2.7187,2.3411,20.2877,20.4105,08:27:54.313
9,6.6,4.5,2.1523,2.3411,20.082,20.5376,08:27:55.074
10,6.1,4.8,2.2656,2.3789,20.4492,20.3575,08:27:55.836
11,6.3,4.8,3.1718,2.7942,20.3018,20.3828,08:27:56.595
12,6.3,4.8,2.3411,2.9075,20.0417,20.5318,08:27:57.360
13,6.3,5.2,2.4166,2.0013,20.4452,20.3343,08:27:58.142
14,6.8,5.2,2.4922,2.4922,19.808,20.228,08:27:58.888
15,6.8,5.2,2.7942,2.039,20.3993,20.5278,08:27:59.647
16,6.3,4.3,1.9635,3.0208,20.778,20.2165,08:28:00.404
17,6.8,4.8,1.9258,2.1523,20.266,20.3861,08:28:01.164
18,6.1,4.8,2.6432,2.7565,20.3056,20.2478,08:28:01.922
19,6.3,5.2,2.7565,2.6054,21.12,20.5873,08:28:02.675
20,6.1,4.5,2.681,2.8698,20.1907,20.4898,08:28:03.428
21,6.3,5.0,4.2291,1.6237,20.4568,20.3722,08:28:04.191
22,6.3,4.8,2.4922,2.039,20.5282,20.3444,08:28:04.968
23,6.3,5.0,2.9075,4.4179,20.1785,20.2717,08:28:05.728
24,6.3,4.8,3.1718,3.1718,19.9883,20.5919,08:28:06.490
25,6.3,5.7,2.4166,2.4922,20.2808,20.4797,08:28:07.252
26,6.3,5.2,2.039,2.9075,22.1723,21.1288,08:28:08.044
27,6.6,5.0,3.5872,2.7187,20.0559,20.4254,08:28:08.797
28,6.8,4.8,3.7005,2.3789,20.2268,20.4591,08:28:09.558
29,6.3,5.2,2.9453,2.0768,20.3408,20.3449,08:28:10.318
30,6.1,4.8,2.1523,2.3034,20.4962,20.3763,08:28:11.095
31,6.3,4.5,3.1718,3.0963,20.7126,20.1626,08:28:11.871
32,6.3,4.8,2.0013,2.3034,20.3878,20.5735,08:28:12.645
33,6.3,4.8,3.3984,2.832,20.2944,20.2879,08:28:13.407
34,6.3,4.1,5.664,2.9453,20.1865,20.5284,08:28:14.167
35,6.3,4.5,2.4922,2.681,20.5095,20.4056,08:28:14.931
36,6.8,4.8,2.7942,2.3789,20.2805,20.5252,08:28:15.693
37,6.3,5.0,2.3034,3.0208,20.4062,20.3974,08:28:16.473
38,6.3,4.5,2.4922,2.039,20.3902,20.3256,08:28:17.236
39,6.8,4.5,3.8515,3.1718,20.3279,20.7775,08:28:17.999
40,6.3,5.4,2.4166,1.8125,20.3332,20.3773,08:28:18.760
41,6.8,4.8,2.0013,2.681,20.5325,20.0217,08:28:19.540
42,6.3,4.8,3.3606,3.3229,20.1844,20.2422,08:28:20.306
43,6.3,4.8,3.7005,3.2096,20.1478,21.1709,08:28:21.066
44,6.3,4.8,2.8698,2.1523,20.3882,20.2934,08:28:21.829
45,6.3,4.3,2.3411,2.5677,20.2403,21.3749,08:28:22.592
46,6.6,5.2,4.1536,3.9648,20.2621,20.0731,08:28:23.350
47,6.1,5.2,2.9075,2.1901,39.6559,40.1111,08:28:24.128
48,6.8,5.2,3.5494,3.3229,39.4286,39.414,08:28:24.871
49,6.3,5.2,3.2096,3.7382,39.3098,39.7494,08:28:25.632
50,6.1,4.8,3.5872,3.5494,39.3839,39.0801,08:28:26.392
51,6.3,4.8,4.0781,2.2656,39.6497,39.5461,08:28:27.166
52,6.8,4.5,4.0026,4.871,39.358,39.5336,08:28:27.928
53,6.8,5.2,3.1718,2.4166,39.3403,39.9871,08:28:28.691
54,6.3,5.2,4.0026,4.4557,39.46,39.3305,08:28:29.455
55,6.8,4.8,3.0963,2.6054,39.6142,39.9128,08:28:30.212
56,6.8,5.2,3.7005,4.3424,39.5887,40.328,08:28:30.986
57,6.3,5.2,2.7187,2.6432,39.6533,39.6226,08:28:31.754
58,6.1,4.8,3.3229,3.9648,40.7706,39.929,08:28:32.516
59,6.8,4.5,3.4362,2.9453,39.466,39.3657,08:28:33.283
60,6.3,4.8,3.7005,3.8515,39.5276,39.4519,08:28:34.042
61,6.6,5.2,3.2096,3.2096,39.5431,39.7724,08:28:34.820
62,6.3,4.8,2.7187,3.1718,39.4468,40.1535,08:28:35.580
63,6.8,4.8,3.625,2.7187,39.7197,39.5145,08:28:36.339
64,6.3,5.2,3.927,3.4739,39.4134,39.707,08:28:37.097
65,6.6,4.5,2.3034,2.983,39.3881,39.1838,08:28:37.855
66,6.8,4.8,3.4362,3.7382,59.8477,60.1314,08:28:38.630
67,6.8,5.2,3.6627,3.8893,59.5174,60.137,08:28:39.390
68,6.3,4.5,2.681,4.6822,59.6722,59.822,08:28:40.146
69,6.3,5.0,3.8515,3.0208,59.8837,60.3393,08:28:40.905
70,6.3,4.8,3.8515,3.625,60.2632,59.8155,08:28:41.664
71,6.8,4.8,3.7382,3.1718,59.8779,59.8672,08:28:42.430
72,6.6,4.8,3.6627,3.3229,60.1329,60.2614,08:28:43.188
73,6.6,4.8,4.1158,3.3229,61.7325,60.1081,08:28:43.952
74,6.8,5.0,4.0403,4.0781,60.205,61.4197,08:28:44.716
75,6.8,4.8,3.7382,3.5872,60.1664,59.852,08:28:45.477
76,6.8,5.0,4.0026,2.983,60.073,59.9249,08:28:46.258
77,6.8,5.2,3.2474,2.8698,59.9288,59.5028,08:28:47.020
78,7.0,5.0,3.3606,3.5117,59.8126,60.6029,08:28:47.786
79,6.6,4.5,4.0026,4.3424,59.458,59.6384,08:28:48.547
80,6.3,5.2,3.6627,3.1718,59.908,59.4389,08:28:49.305
81,6.6,5.0,3.4739,3.1718,59.8447,60.355,08:28:50.067
82,6.8,5.4,4.0781,4.0403,60.2949,59.9344,08:28:50.830
83,7.0,4.8,4.1158,5.2864,59.9998,59.8866,08:28:51.595
84,6.6,5.2,3.927,3.7382,60.0795,60.5878,08:28:52.355
85,6.3,4.8,3.2474,3.0963,59.8999,59.736,08:28:53.113
86,6.3,4.8,3.2851,3.7382,80.0985,80.3627,08:28:53.872
87,6.6,5.4,3.5117,3.927,80.5586,80.2396,08:28:54.635
88,6.8,5.4,3.7005,3.3984,80.2966,80.3924,08:28:55.395
89,7.0,4.8,3.625,3.2096,80.3541,80.5896,08:28:56.161
90,7.0,5.0,4.0026,3.927,80.2328,80.1815,08:28:56.923
91,6.8,4.8,4.1158,4.0403,80.2208,80.2665,08:28:57.684
92,6.6,4.8,3.6627,3.7005,80.1946,80.2292,08:28:58.452
93,6.3,5.0,4.3424,3.3606,80.3558,80.3071,08:28:59.215
94,6.8,5.4,4.1914,4.1158,80.5914,80.3532,08:28:59.974
95,6.3,5.2,6.6835,4.3802,81.0943,80.0349,08:29:00.751
96,6.8,4.8,5.664,3.7005,80.3715,80.174,08:29:01.512
97,7.0,5.2,4.7955,4.8333,80.6592,79.6434,08:29:02.275
98,6.8,5.4,4.6067,4.0403,80.35,80.4216,08:29:03.051
99,6.8,4.8,4.9843,3.4739,80.5803,80.4832,08:29:03.811
100,6.8,5.0,4.9088,3.5117,80.4814,80.4341,08:29:04.574
101,6.8,5.0,4.3802,4.4179,80.6603,80.4315,08:29:05.330
102,6.8,5.2,4.0781,3.8138,80.0882,80.3978,08:29:06.087
103,7.3,5.0,5.664,4.2291,79.8689,80.4743,08:29:06.846
104,6.8,5.4,4.8333,4.1914,80.4386,80.5568,08:29:07.620
105,7.3,5.0,4.0781,5.2486,80.6011,80.743,08:29:08.383
106,6.6,5.4,4.3046,3.7005,99.8106,99.7337,08:29:09.151
107,6.6,5.2,4.0781,3.0586,100.0214,99.2634,08:29:09.911
108,6.8,5.0,5.3619,4.0781,98.9912,99.237,08:29:10.673
109,7.0,5.0,4.1158,5.1354,99.5126,99.3927,08:29:11.443
110,6.8,5.4,4.6067,3.3229,99.4345,99.6527,08:29:12.198
111,6.8,4.5,4.2669,3.625,99.3892,99.6137,08:29:12.962
112,7.0,5.4,4.8333,4.6445,99.0495,98.7694,08:29:13.727
113,6.8,5.2,5.1731,4.6822,99.6368,99.2027,08:29:14.484
114,6.3,5.2,4.6822,4.0026,99.4773,99.556,08:29:15.263
115,6.8,5.0,4.871,3.776,99.3625,99.9522,08:29:16.024
116,7.0,5.2,4.4934,4.4934,99.3714,99.2436,08:29:16.788
117,7.0,5.2,4.871,4.569,99.5065,99.461,08:29:17.540
118,7.3,5.4,4.3802,3.1341,99.7672,101.0188,08:29:18.304
119,7.0,5.0,6.0416,3.8893,98.9679,99.851,08:29:19.070
120,6.8,5.7,4.4934,5.7018,99.0702,99.6468,08:29:19.833
121,6.8,5.2,4.6445,4.8333,99.6656,99.6988,08:29:20.596
122,6.8,5.2,3.9648,4.2669,99.7188,99.8877,08:29:21.359
123,6.8,5.0,4.2291,4.1158,99.6152,99.7325,08:29:22.118
124,7.3,5.2,4.4557,4.1914,99.6054,99.4707,08:29:22.895
125,7.0,5.2,4.569,3.625,120.0446,120.0206,08:29:23.658
126,7.0,5.7,4.871,5.1354,119.6282,119.6631,08:29:24.422
127,7.0,5.2,4.1158,4.4557,120.5264,121.2556,08:29:25.184
128,6.6,5.2,4.3802,5.2486,119.6169,120.191,08:29:25.943
129,6.8,5.2,3.8515,4.2291,120.6611,120.1037,08:29:26.703
130,6.8,5.2,4.9843,4.871,120.2177,120.283,08:29:27.462
131,6.8,5.2,4.6067,4.8333,120.1653,120.184,08:29:28.226
132,7.3,5.7,5.2864,4.7578,120.0968,120.033,08:29:28.988
133,6.8,5.4,5.1731,4.6822,120.0876,120.2952,08:29:29.743
134,7.3,5.2,5.513,4.6822,120.1072,119.9879,08:29:30.528
135,7.5,4.5,5.7018,3.8515,119.8143,119.7674,08:29:31.280
136,7.5,5.7,5.2864,4.4179,120.7462,119.5662,08:29:32.048
137,7.3,5.9,6.3059,3.927,119.333,121.4693,08:29:32.794
138,7.3,5.0,4.3424,4.5312,120.5306,120.2654,08:29:33.558
139,7.5,5.4,4.6445,4.9843,119.4294,120.4747,08:29:34.319
140,7.3,6.1,4.871,4.6445,120.236,119.715,08:29:35.081
141,7.7,5.2,4.9843,4.1158,120.3588,119.8259,08:29:35.844
142,6.8,6.1,4.4179,3.7382,120.319,120.0248,08:29:36.609
143,7.3,5.2,5.3619,4.569,119.6544,119.4608,08:29:37.378
144,7.3,5.9,5.4752,3.8515,120.0588,119.7675,08:29:38.154
145,7.3,5.9,4.3046,3.9648,99.3676,99.3316,08:29:38.917
146,7.3,5.2,4.9466,4.0403,99.8416,99.6433,08:29:39.680
147,7.5,5.7,3.8138,3.3229,100.4147,99.2128,08:29:40.447
148,7.3,5.0,4.2291,3.9648,99.5152,99.3689,08:29:41.228
149,7.3,5.7,4.6067,4.2669,98.925,98.5608,08:29:41.989
150,7.5,5.7,4.3046,4.8333,99.2971,98.7778,08:29:42.750
151,7.7,5.7,4.3046,2.8698,100.0555,99.3603,08:29:43.513
152,7.3,5.9,5.0221,3.8515,99.1826,101.7231,08:29:44.278
153,7.5,5.0,4.3046,4.6822,99.2055,99.637,08:29:45.024
154,7.5,6.1,5.5885,4.9466,99.5428,100.2301,08:29:45.789
155,7.3,4.5,3.8515,2.8698,98.8318,99.7334,08:29:46.553
156,7.3,5.7,5.513,2.832,99.2551,99.5718,08:29:47.317
157,7.3,5.7,4.6822,4.871,99.7063,98.5627,08:29:48.093
158,7.0,5.2,4.6067,4.5312,100.1421,99.9634,08:29:48.864
159,6.8,5.9,3.5117,4.1536,99.8134,99.7006,08:29:49.628
160,7.0,5.7,4.2669,3.8515,99.976,99.6744,08:29:50.393
161,7.3,5.2,4.7578,4.3046,99.569,99.4321,08:29:51.158
162,7.3,5.4,3.8138,3.0208,99.6552,100.248,08:29:51.938
