Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.4871,26.6,1.5,0.2661,26.6,26.6,24.5,2.2278,2.4922,59.7475,60.0316,14:00:36.613
2,0.0,0.4883,25.1,1.5,0.2454,28.1,25.9,25.2,2.7565,2.832,60.2761,59.8797,14:00:38.306
3,0.0,0.4773,25.2,1.5,0.2795,26.6,26.3,25.0,2.3411,2.9453,59.9782,60.011,14:00:39.624
4,0.0,0.4382,25.1,1.5,0.2661,28.1,26.6,24.5,2.5677,2.4166,59.9398,60.9908,14:00:40.953
5,0.0,0.4309,26.6,1.5,0.2637,26.6,26.1,24.3,3.0963,3.0963,59.8951,59.7529,14:00:42.264
6,0.0,0.448,25.1,1.5,0.3186,26.6,26.3,24.5,2.1523,3.1341,59.9083,59.9786,14:00:43.602
7,0.0,0.4529,26.6,1.5,0.2368,26.6,26.6,25.0,2.7187,2.832,60.0493,59.9834,14:00:44.930
8,0.0,0.4541,25.1,1.5,0.2588,26.6,26.1,24.5,2.3411,2.983,59.8205,59.3895,14:00:46.245
9,0.0,0.4199,25.1,1.5,0.2515,28.1,26.1,24.5,1.9258,2.1146,60.1483,60.0188,14:00:47.587
10,0.0,0.459,25.1,1.5,0.2478,26.6,26.6,24.8,3.5494,2.832,59.2927,60.0022,14:00:48.937
11,0.0,0.5005,26.6,1.5,0.2649,26.6,25.9,24.5,3.3984,3.0208,59.9161,60.0188,14:00:50.258
12,0.0,0.4199,26.6,1.5,0.2283,26.6,26.3,24.5,2.4166,1.888,59.943,59.8252,14:00:51.572
13,0.0,0.4553,25.1,1.5,0.2503,26.6,26.6,24.1,2.5299,2.2656,60.1936,60.0506,14:00:52.935
14,0.0,0.5152,25.1,1.5,0.2588,26.6,26.1,24.5,3.9648,3.776,59.069,59.717,14:00:54.256
15,0.0,0.4395,25.2,1.5,0.2747,28.1,26.6,24.5,2.1146,1.8502,59.9641,59.618,14:00:55.578
16,0.0,0.448,25.1,1.5,0.2783,28.1,26.6,24.5,2.681,3.0586,60.5599,59.6687,14:00:56.920
17,0.0,0.4553,25.1,1.5,0.2905,26.6,26.6,25.0,2.9453,2.681,60.0104,59.9372,14:00:58.250
18,0.0,0.4297,25.1,1.5,0.3052,28.1,26.6,25.0,2.7187,2.3034,60.0236,59.9734,14:00:59.613
19,0.0,0.4761,26.6,1.5,0.2661,26.6,26.3,24.3,2.4922,2.832,60.1604,59.7548,14:01:00.964
20,0.0,0.4883,25.1,1.5,0.2478,26.6,26.3,24.5,2.039,2.1901,60.2785,59.6377,14:01:02.292
21,0.0,0.426,25.2,1.5,0.238,26.6,26.3,24.5,3.5872,3.1341,59.8989,59.9743,14:01:03.646
22,0.0,0.3809,25.1,1.5,0.2832,26.6,26.1,24.5,2.1146,2.1523,60.1506,59.6772,14:01:04.970
23,0.0,0.4651,26.6,1.5,0.2637,26.6,26.6,25.0,2.7942,3.2096,60.2495,60.0733,14:01:06.313
24,0.0,0.5152,26.6,1.5,0.271,26.6,26.6,24.5,2.983,2.6054,59.7158,60.1212,14:01:07.642
25,0.0,0.4736,25.1,1.5,0.3137,26.6,26.3,24.8,2.832,2.2656,60.0027,59.237,14:01:08.975
26,0.0,0.4175,25.1,1.5,0.2857,26.6,26.1,25.0,2.1901,2.039,60.811,59.663,14:01:10.313
27,0.0,0.4578,25.1,1.5,0.293,28.1,26.3,24.5,2.2656,2.6054,60.2532,60.2071,14:01:11.633
28,0.0,0.4334,25.1,1.5,0.2087,28.1,26.6,25.0,2.983,2.4544,59.7456,59.1202,14:01:12.964
29,0.0,0.4529,25.2,1.5,0.2588,28.1,26.6,24.8,2.6432,3.0208,59.6397,60.1013,14:01:14.289
30,0.0,0.4407,25.1,1.5,0.2649,26.6,26.1,24.8,1.7747,2.5299,59.671,59.6027,14:01:15.590
31,0.0,0.4578,25.1,1.5,0.2075,28.1,26.6,24.5,2.9075,2.681,59.91,59.8937,14:01:16.922
32,0.0,0.5164,25.2,1.5,0.1831,26.6,26.3,25.2,2.4166,2.5299,60.0351,59.6477,14:01:18.267
33,0.0,0.4883,25.2,1.5,0.271,28.1,26.3,24.8,2.0768,2.681,59.8641,59.7561,14:01:19.628
34,0.0,0.5017,26.6,1.5,0.2832,28.1,26.6,25.4,3.0208,2.4544,60.4873,59.8639,14:01:20.947
35,0.0,0.4785,25.1,1.5,0.2612,26.6,25.9,24.8,2.1146,2.5299,59.9725,59.5909,14:01:22.299
36,0.0,0.4541,25.2,1.5,0.2588,26.6,26.6,25.0,2.3789,2.4922,59.8848,59.9051,14:01:23.678
