Log,mixer_torque_M2,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_temperature_Funnel_plate,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,ac_flowrate,mixer_speed_M2,mixer_speed_M1,Time
1,2.756,0.746,0.0,1.5,0.294,26.0,25.3,26.9,22.3,20.7,1.699,0.0,60.187,60.187,14:20:53.498
2,2.379,0.801,0.0,1.5,0.299,28.1,25.3,25.5,22.5,20.4,2.115,0.0,59.811,59.811,14:20:54.609
3,1.926,0.741,0.0,1.5,0.352,26.0,25.3,26.9,22.3,20.7,1.964,0.0,60.222,60.222,14:20:55.711
4,2.454,0.697,0.0,1.5,0.313,28.1,26.8,25.5,22.3,20.9,2.605,0.0,60.142,60.142,14:20:56.817
5,4.305,0.776,0.0,1.5,0.299,26.0,25.3,25.5,22.7,20.4,2.492,0.0,60.49,60.49,14:20:57.921
6,2.832,0.801,0.0,1.5,0.327,26.0,25.3,25.5,22.0,20.2,2.039,0.0,59.971,59.971,14:20:59.026
7,3.134,0.651,0.0,1.5,0.271,28.1,25.3,25.5,22.5,20.9,2.417,0.0,59.908,59.908,14:21:00.136
8,2.492,0.758,0.0,1.5,0.273,26.0,25.3,26.9,22.7,20.4,2.152,0.0,60.554,60.554,14:21:01.242
9,2.454,0.62,0.0,1.5,0.331,26.0,26.8,25.5,22.3,21.1,2.19,0.0,60.254,60.254,14:21:02.348
10,2.568,0.772,0.0,1.5,0.266,26.0,25.3,25.5,22.7,21.3,2.568,0.0,59.861,59.861,14:21:03.454
11,3.247,0.748,0.0,1.5,0.367,26.0,25.3,26.9,22.5,21.3,2.19,0.0,59.713,59.713,14:21:04.575
12,2.303,0.74,0.0,1.5,0.295,26.0,26.8,25.5,22.3,20.9,2.719,0.0,59.758,59.758,14:21:05.684
13,2.681,0.762,0.0,1.5,0.286,28.1,25.3,25.5,22.7,20.4,2.454,0.0,60.006,60.006,14:21:06.792
14,3.059,0.763,0.0,1.5,0.264,26.0,25.3,26.9,22.7,20.9,2.303,0.0,60.085,60.085,14:21:07.908
15,3.512,0.753,0.0,1.5,0.3,26.0,26.8,25.5,22.7,20.7,2.908,0.0,59.482,59.482,14:21:09.014
16,3.021,0.778,0.0,1.5,0.337,28.1,25.3,25.5,22.7,20.9,2.228,0.0,59.999,59.999,14:21:10.121
17,2.492,0.729,0.0,1.5,0.37,26.0,25.3,25.5,22.5,21.3,2.983,0.0,59.933,59.933,14:21:11.225
18,3.247,0.778,0.0,1.5,0.256,26.0,25.3,26.9,22.9,20.7,3.021,0.0,60.084,60.084,14:21:12.314
19,2.983,0.696,0.0,1.5,0.308,26.0,25.3,25.5,22.0,20.9,2.605,0.0,59.967,59.967,14:21:13.420
20,3.965,0.667,0.0,1.5,0.305,26.0,26.8,25.5,22.3,20.9,2.417,0.0,59.964,59.964,14:21:14.528
21,3.021,0.758,0.0,1.5,0.353,26.0,25.3,26.9,22.3,20.9,2.152,0.0,59.762,59.762,14:21:15.632
