Log,accLow_flowrate,mixer_motor_temperature_M1,cp_flowrate,cp_temperature_fresh,mixer_speed_M1,mixer_temperature_outlet,accHigh_flowrate,cp_temperature,mixer_motor_temperature_M2,cp_pressure,mixer_pressure,mixer_torque_M1,mixer_torque_M2,mixer_speed_M2,Time
1,90.0,21.6,3.0,21.8,119.677,24.8,171.6,20.8,23.4,0.648,0.275,2.719,3.738,119.677,10:38:52.378
2,90.0,21.8,3.0,23.3,117.826,26.8,171.6,19.4,23.4,0.688,0.271,5.286,3.587,117.826,10:38:53.503
3,90.0,21.8,3.0,21.8,120.028,24.7,171.6,20.8,23.2,0.625,0.276,3.474,4.418,120.028,10:38:54.607
4,90.0,21.3,3.0,21.8,119.067,24.6,171.6,19.4,23.6,0.663,0.284,5.4,3.927,119.067,10:38:55.713
5,90.0,21.1,3.0,23.3,120.125,26.6,171.6,19.4,23.8,0.696,0.27,2.417,4.267,120.125,10:38:56.818
6,90.0,21.8,3.0,21.8,119.606,24.5,171.6,20.9,23.2,0.621,0.3,3.587,3.814,119.606,10:38:57.923
7,90.0,21.3,3.0,23.3,120.367,26.5,171.6,19.4,23.4,0.664,0.283,3.738,4.644,120.367,10:38:59.026
8,90.0,21.6,3.0,21.8,120.201,24.4,171.6,20.9,23.4,0.696,0.283,3.361,4.871,120.201,10:39:00.130
9,90.0,21.8,3.0,23.3,119.777,26.5,171.6,19.4,23.6,0.667,0.284,3.889,3.587,119.777,10:39:01.231
10,90.0,21.1,3.0,21.8,120.386,24.3,171.6,19.4,23.4,0.659,0.269,2.756,4.342,120.386,10:39:02.339
11,90.0,22.3,3.0,21.8,119.744,24.3,171.6,19.4,23.4,0.687,0.259,3.323,3.927,119.744,10:39:03.443
12,90.0,22.0,3.0,23.3,119.999,26.4,171.6,19.4,23.6,0.629,0.298,3.852,3.398,119.719,10:39:04.550
13,90.0,21.3,3.0,21.8,119.948,24.2,171.6,20.9,23.2,0.678,0.294,3.134,4.38,119.948,10:39:05.658
14,90.0,21.8,3.0,21.8,119.719,24.2,171.6,19.4,23.6,0.714,0.273,4.154,3.474,119.719,10:39:06.770
15,90.0,21.8,3.0,21.8,120.226,24.2,171.6,19.4,23.6,0.676,0.271,2.87,3.512,120.226,10:39:07.878
16,90.0,21.3,3.0,21.8,120.274,24.1,171.6,19.4,24.3,0.673,0.293,3.549,4.38,120.274,10:39:08.981
17,90.0,21.6,3.0,23.3,119.813,26.2,171.6,19.4,23.8,0.649,0.275,3.285,4.305,119.813,10:39:10.085
18,90.0,21.3,3.0,21.8,119.983,24.1,171.6,20.9,23.8,0.648,0.291,3.361,4.04,119.983,10:39:11.191
19,90.0,21.6,3.0,21.8,120.182,24.0,171.6,19.4,23.2,0.664,0.281,3.21,3.398,120.182,10:39:12.312
20,90.0,21.6,3.0,21.9,119.806,26.1,171.6,19.4,23.8,0.688,0.276,3.398,3.738,119.806,10:39:13.417
21,90.0,21.6,3.0,21.8,120.134,24.0,171.6,20.9,23.8,0.646,0.276,3.398,3.927,120.134,10:39:14.523
22,90.0,21.8,3.0,23.3,120.097,23.9,171.6,19.4,23.4,0.687,0.281,3.323,3.927,120.097,10:39:15.627
23,90.0,21.6,3.0,21.8,119.346,23.9,171.6,19.4,24.1,0.688,0.278,4.229,3.361,119.676,10:39:16.729
24,90.0,21.6,3.0,21.8,120.122,23.9,171.6,19.4,23.8,0.691,0.25,3.059,3.889,120.122,10:39:17.847
25,90.0,21.8,3.0,23.3,119.621,26.0,171.6,19.4,23.6,0.653,0.278,3.436,4.418,119.621,10:39:18.952
26,90.0,21.3,3.0,21.9,119.964,23.9,171.6,20.9,24.1,0.676,0.278,4.003,3.738,119.964,10:39:20.054
27,90.0,22.0,3.0,21.9,119.868,23.9,171.6,19.4,24.1,0.676,0.284,3.965,3.663,119.868,10:39:21.177
28,90.0,22.3,3.0,23.3,120.129,23.8,171.6,19.4,23.6,0.696,0.28,3.21,3.096,120.129,10:39:22.295
29,90.0,21.8,3.0,21.8,119.624,25.9,171.6,19.4,23.4,0.659,0.295,3.247,3.663,119.624,10:39:23.402
30,90.0,21.3,3.0,21.9,120.189,23.8,171.6,19.4,23.6,0.643,0.276,2.87,3.398,120.189,10:39:24.505
31,90.0,22.7,3.0,21.9,119.841,25.9,171.6,19.4,23.6,0.671,0.298,3.663,4.607,119.841,10:39:25.613
32,90.0,20.9,3.0,21.9,119.044,23.8,171.6,19.5,23.8,0.668,0.281,4.871,4.267,119.044,10:39:26.717
33,90.0,21.8,3.0,23.3,120.445,23.8,171.6,19.4,24.1,0.679,0.261,2.794,3.7,120.445,10:39:27.818
34,90.0,21.8,3.0,21.9,119.794,23.7,171.6,20.9,23.4,0.679,0.265,3.474,3.549,119.794,10:39:28.927
35,90.0,21.3,3.0,21.9,120.178,23.7,171.6,19.4,23.8,0.673,0.289,3.247,4.04,120.178,10:39:30.029
36,90.0,22.0,3.0,21.9,120.053,25.8,171.6,19.5,23.8,0.681,0.28,3.512,4.04,120.053,10:39:31.135
37,90.0,22.0,3.0,21.9,119.81,23.7,171.6,19.4,23.8,0.658,0.276,3.663,3.398,119.81,10:39:32.245
38,90.0,22.5,3.0,23.3,119.977,23.7,171.6,19.5,24.1,0.658,0.271,3.361,3.965,119.977,10:39:33.341
39,90.0,22.3,3.0,21.9,119.677,23.7,171.6,20.9,24.3,0.719,0.276,3.059,4.456,119.677,10:39:34.448
40,90.0,21.8,3.0,23.3,119.904,23.7,171.6,19.5,23.6,0.703,0.286,3.814,3.852,119.904,10:39:35.552
41,90.0,22.3,3.0,21.9,120.043,25.7,171.6,19.5,23.8,0.654,0.28,3.625,4.531,120.043,10:39:36.655
42,90.0,21.6,3.0,21.9,120.252,23.6,171.6,19.5,23.8,0.688,0.293,3.587,3.474,120.252,10:39:37.772
43,90.0,21.6,3.0,23.3,119.984,23.6,171.6,19.5,23.6,0.688,0.273,3.021,3.398,119.984,10:39:38.880
44,90.0,21.6,3.0,21.9,120.083,23.6,171.6,20.9,24.3,0.645,0.275,3.738,4.418,120.083,10:39:39.977
45,90.0,21.8,3.0,23.3,120.078,23.6,171.6,19.5,23.8,0.673,0.273,2.983,4.72,120.078,10:39:41.081
46,90.0,21.8,3.0,21.9,119.825,25.7,171.6,19.5,23.6,0.686,0.266,3.096,3.965,119.825,10:39:42.188
47,90.0,22.3,3.0,21.9,120.137,25.7,171.6,20.9,24.1,0.641,0.298,2.908,3.096,120.137,10:39:43.312
48,90.0,21.8,3.0,23.3,119.781,23.6,171.6,19.5,23.8,0.658,0.284,3.889,3.927,119.781,10:39:44.407
49,90.0,22.5,3.0,21.9,119.988,25.6,171.6,21.0,23.8,0.697,0.269,3.285,3.852,119.988,10:39:45.515
50,90.0,22.0,3.0,21.9,120.131,23.6,171.6,19.5,24.1,0.646,0.28,3.663,3.927,120.131,10:39:46.619
51,90.0,21.8,3.0,21.9,119.917,25.6,171.6,19.5,24.3,0.674,0.289,3.549,3.776,119.917,10:39:47.722
52,90.0,22.3,3.0,21.9,119.938,25.6,171.6,19.5,24.1,0.691,0.27,3.285,3.738,119.938,10:39:48.849
53,90.0,22.3,3.0,21.9,119.694,23.5,171.6,19.5,23.8,0.668,0.286,3.21,4.078,119.694,10:39:49.956
54,90.0,22.3,3.0,21.9,119.537,25.6,171.6,19.5,24.1,0.668,0.284,3.852,4.04,119.537,10:39:51.056
55,90.0,22.3,3.0,22.0,119.912,25.6,171.6,21.0,24.3,0.667,0.308,3.663,4.191,119.912,10:39:52.157
56,90.0,22.3,3.0,23.4,120.658,23.5,171.6,19.5,23.8,0.702,0.265,3.663,3.398,120.658,10:39:53.260
57,90.0,22.5,3.0,22.0,119.925,25.6,171.6,21.0,23.8,0.66,0.288,2.643,3.285,119.925,10:39:54.367
58,90.0,21.8,3.0,23.4,120.112,23.5,171.6,19.5,24.3,0.663,0.27,3.398,4.116,120.112,10:39:55.471
59,90.0,22.7,3.0,22.0,119.782,23.5,171.6,19.5,24.1,0.681,0.28,3.398,5.098,119.782,10:39:56.578
60,90.0,21.8,3.0,22.0,119.941,23.5,171.6,21.0,24.3,0.654,0.281,4.003,4.305,119.941,10:39:57.688
61,90.0,22.0,3.0,23.4,119.191,23.5,171.6,19.5,24.1,0.653,0.286,4.418,3.059,119.191,10:39:58.795
62,90.0,21.8,3.0,22.0,120.02,25.6,171.6,21.0,24.1,0.696,0.266,2.756,4.191,120.02,10:39:59.896
63,90.0,23.2,3.0,23.4,118.745,23.5,171.6,19.5,24.3,0.684,0.281,4.38,3.738,118.745,10:40:01.002
64,90.0,22.5,3.0,22.0,120.141,23.5,171.6,19.5,24.3,0.664,0.265,3.474,4.456,120.141,10:40:02.109
65,90.0,22.3,3.0,22.0,119.971,23.5,171.6,19.5,24.1,0.679,0.293,3.285,4.229,119.971,10:40:03.210
66,90.0,21.8,3.0,23.4,120.393,23.5,171.6,19.5,24.8,0.688,0.276,2.341,4.607,120.393,10:40:04.336
67,90.0,21.3,3.0,22.0,119.531,23.5,171.6,19.5,23.8,0.645,0.291,3.549,4.305,119.531,10:40:05.445
68,90.0,21.8,3.0,22.0,120.152,23.4,171.6,19.5,23.8,0.692,0.289,4.342,4.418,120.152,10:40:06.556
69,90.0,22.9,3.0,22.0,119.845,23.4,171.6,19.5,24.1,0.691,0.288,3.7,4.418,119.845,10:40:07.678
70,90.0,22.3,3.0,22.0,120.488,23.4,171.6,19.5,24.3,0.641,0.298,3.549,3.776,120.488,10:40:08.782
71,90.0,21.8,3.0,22.0,120.006,23.4,171.6,19.5,24.1,0.653,0.313,2.794,4.682,120.006,10:40:09.885
72,90.0,21.8,3.0,23.4,120.582,23.4,171.6,19.5,23.8,0.681,0.291,3.361,4.116,120.582,10:40:11.002
73,90.0,23.2,3.0,22.1,120.219,23.4,171.6,19.5,24.3,0.679,0.27,3.549,4.72,120.219,10:40:12.120
74,90.0,22.0,3.0,22.0,119.805,23.4,171.6,19.5,24.3,0.674,0.276,4.456,4.342,119.805,10:40:13.217
75,90.0,22.3,3.0,23.5,119.8,23.4,171.6,19.5,23.8,0.682,0.28,2.983,4.607,119.8,10:40:14.315
76,90.0,22.3,3.0,22.1,119.6,25.5,171.6,19.5,24.3,0.646,0.26,3.587,4.116,119.6,10:40:15.417
77,90.0,21.8,3.0,22.1,120.236,23.4,171.6,19.5,24.1,0.636,0.308,3.21,4.267,120.236,10:40:16.516
78,90.0,22.3,3.0,22.1,119.971,25.5,171.6,21.0,24.3,0.691,0.276,3.474,4.267,119.971,10:40:17.616
79,90.0,22.0,3.0,23.5,119.122,23.4,171.6,19.5,24.3,0.635,0.3,4.493,4.682,119.122,10:40:18.716
80,90.0,22.3,3.0,22.1,120.288,25.5,171.6,21.0,24.1,0.676,0.276,3.134,3.7,120.288,10:40:19.819
81,90.0,21.6,3.0,23.5,119.824,23.4,171.6,19.5,24.1,0.669,0.27,3.323,4.607,119.824,10:40:20.919
82,90.0,21.6,3.0,23.5,120.083,23.4,171.6,19.5,24.1,0.678,0.28,4.04,4.569,120.083,10:40:22.052
