Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M2,mixer_torque_M1,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,12.5,9.5,11.564,6.608,10.3746,5.928342857,60.122,60.7448,08:41.7
2,12.5,10,10.3085,5.890571429,8.3922,4.795542857,60.8045,59.5398,08:42.6
3,12.7,9.5,4.0309,2.303371429,2.7093,1.548171429,21.6034,45.4088,08:43.4
4,12.9,10,4.3613,2.492171429,5.2203,2.983028571,20.4441,19.992,08:44.1
5,12.7,10,5.9472,3.3984,4.2952,2.4544,20.2849,20.6335,08:44.9
6,12.5,9.5,5.6829,3.247371429,4.6917,2.680971429,20.299,20.3774,08:45.6
7,13.2,9.5,5.0882,2.907542857,2.7754,1.585942857,20.3181,20.5197,08:46.4
8,12.7,9.5,3.5683,2.039028571,4.4934,2.567657143,20.4908,20.2984,08:47.2
9,12.3,9.3,5.6829,3.247371429,4.2291,2.416628571,20.3058,20.7424,08:47.9
10,12.7,10,5.2864,3.0208,4.2291,2.416628571,20.4648,20.6508,08:48.7
11,12.3,10,6.1454,3.511657143,3.8987,2.227828571,20.3755,20.2729,08:49.5
12,12.3,10,3.6344,2.0768,5.0882,2.907542857,20.5524,20.307,08:50.2
13,12.5,9.8,4.3613,2.492171429,3.8987,2.227828571,20.5741,20.1404,08:51.0
14,12.5,10,4.4934,2.567657143,4.7578,2.718742857,20.1989,20.633,08:51.8
15,12.7,10.4,5.4846,3.134057143,3.4362,1.963542857,20.4478,20.3386,08:52.5
16,12.5,9.5,8.3261,4.757771429,6.8723,3.927028571,29.1742,20.4189,08:53.3
17,12.5,9.5,7.7314,4.417942857,6.4098,3.662742857,39.4877,39.5214,08:54.1
18,12.3,10,7.7974,4.455657143,6.7402,3.851542857,38.9163,39.4584,08:54.9
19,12.5,10.4,6.9384,3.9648,6.5419,3.738228571,39.69,39.505,08:55.6
20,12.3,10.4,8.8547,5.059828571,6.1454,3.511657143,39.4881,39.7342,08:56.4
21,12.3,9.5,7.2027,4.115828571,7.0706,4.040342857,39.6411,39.2806,08:57.2
22,12,9.5,7.6653,4.380171429,6.1454,3.511657143,39.7038,39.2252,08:57.9
23,12.5,10.2,7.7974,4.455657143,6.3437,3.624971429,39.7551,39.5922,08:58.7
24,12.3,10,8.9869,5.135371429,6.4758,3.700457143,39.9931,39.4244,08:59.5
25,12.9,10.2,6.8062,3.889257143,5.8811,3.360628571,39.8409,39.3656,09:00.2
26,12.7,10,8.6565,4.946571429,6.608,3.776,39.5229,39.4315,09:01.0
27,12.7,10.4,7.0706,4.040342857,6.0794,3.473942857,39.5102,39.6681,09:01.8
28,12.7,9.5,8.4582,4.833257143,6.7402,3.851542857,39.6159,39.6904,09:02.5
29,12.9,10,9.053,5.173142857,6.4098,3.662742857,48.1829,39.5156,09:03.3
30,12.3,10.4,9.2512,5.2864,9.8459,5.626228571,61.0595,59.7003,09:04.1
31,12.7,10.2,10.3085,5.890571429,8.3261,4.757771429,60.445,59.8824,09:04.9
32,12.3,10.2,10.1763,5.815028571,8.26,4.72,60.2504,59.6228,09:05.6
33,12.5,10.4,9.7798,5.588457143,6.2776,3.5872,59.9396,60.033,09:06.4
34,12.5,10,9.6477,5.512971429,8.7886,5.022057143,60.7252,59.9265,09:07.2
35,12.5,10.2,9.2512,5.2864,7.9957,4.568971429,60.117,59.9557,09:07.9
36,12.3,9.8,10.9693,6.268171429,8.4582,4.833257143,60.1769,60.3721,09:08.7
37,12.5,9.5,7.467,4.266857143,8.9869,5.135371429,59.9193,60.1468,09:09.5
38,12.7,10.4,9.9781,5.701771429,7.401,4.229142857,59.8384,60.5148,09:10.2
39,12.7,10.2,10.0442,5.739542857,8.8547,5.059828571,60.0151,60.2053,09:11.0
40,12.7,9.3,10.1102,5.777257143,8.4582,4.833257143,59.891,60.1262,09:11.8
41,12.9,9.8,7.2027,4.115828571,7.6653,4.380171429,59.797,59.7391,09:12.5
42,12.7,10.2,11.3658,6.494742857,7.5992,4.3424,64.6394,60.2036,09:13.3
43,12.9,9.8,9.912,5.664,7.8635,4.493428571,80.9904,80.881,09:14.1
44,12.5,10.2,9.119,5.210857143,9.2512,5.2864,80.3199,80.219,09:14.9
45,12.7,10,10.0442,5.739542857,8.8547,5.059828571,80.7655,80.2292,09:15.6
46,12.7,10,8.26,4.72,9.6477,5.512971429,80.8095,80.3759,09:16.4
47,12.9,10.4,7.8635,4.493428571,11.2997,6.456971429,79.6777,81.0554,09:17.1
48,12.7,10,8.9869,5.135371429,11.4318,6.532457143,80.1366,81.2449,09:17.9
49,12.9,9.5,9.2512,5.2864,12.357,7.061142857,79.859,81.6028,09:18.7
50,12.7,10,9.053,5.173142857,11.3658,6.494742857,79.8817,80.4219,09:19.4
51,12.7,9.8,11.1675,6.381428571,10.9032,6.2304,79.672,80.6041,09:20.2
52,12.5,9.5,10.2424,5.8528,10.8371,6.192628571,79.6528,80.7041,09:20.9
53,12.9,10.7,12.0266,6.872342857,9.5816,5.4752,79.4006,80.0235,09:21.7
54,12.9,10.4,12.7534,7.287657143,10.0442,5.739542857,80.5643,79.9238,09:22.5
55,13.2,9.5,14.075,8.042857143,12.357,7.061142857,79.7795,79.7911,09:23.2
56,12.5,10,14.4715,8.269428571,11.6301,6.645771429,100.0469,101.0984,09:24.0
57,12.7,10.9,12.9517,7.400971429,13.4142,7.665257143,99.4757,99.631,09:24.8
